seqnames	start	end	strand	transcript_id	type	gene_id
chr10	2	431	+	ENST00000646907.2	UTR	NA
chr10	432	615	+	ENST00000646907.2	CDS	ENSG00000178217.15
chr10	615	716	+	ENST00000646907.2	intron	ENSG00000178217.15
chr10	716	878	+	ENST00000646907.2	CDS	ENSG00000178217.15
chr10	878	979	+	ENST00000646907.2	intron	ENSG00000178217.15
chr10	979	1126	+	ENST00000646907.2	CDS	ENSG00000178217.15
chr10	1126	1227	+	ENST00000646907.2	intron	ENSG00000178217.15
chr10	1227	1374	+	ENST00000646907.2	CDS	ENSG00000178217.15
chr10	1374	1475	+	ENST00000646907.2	intron	ENSG00000178217.15
chr10	1475	1691	+	ENST00000646907.2	CDS	ENSG00000178217.15
chr10	1691	1792	+	ENST00000646907.2	intron	ENSG00000178217.15
chr10	1792	1919	+	ENST00000646907.2	CDS	ENSG00000178217.15
chr10	1919	2020	+	ENST00000646907.2	intron	ENSG00000178217.15
chr10	2020	2240	+	ENST00000646907.2	CDS	ENSG00000178217.15
chr10	2240	2341	+	ENST00000646907.2	intron	ENSG00000178217.15
chr10	2341	2436	+	ENST00000646907.2	CDS	ENSG00000178217.15
chr10	2437	4908	+	ENST00000646907.2	UTR	NA
chr10	2	615	+	ENST00000646907.2	exon	ENSG00000178217.15
chr10	615	716	+	ENST00000646907.2	intron	ENSG00000178217.15
chr10	716	878	+	ENST00000646907.2	exon	ENSG00000178217.15
chr10	878	979	+	ENST00000646907.2	intron	ENSG00000178217.15
chr10	979	1126	+	ENST00000646907.2	exon	ENSG00000178217.15
chr10	1126	1227	+	ENST00000646907.2	intron	ENSG00000178217.15
chr10	1227	1374	+	ENST00000646907.2	exon	ENSG00000178217.15
chr10	1374	1475	+	ENST00000646907.2	intron	ENSG00000178217.15
chr10	1475	1691	+	ENST00000646907.2	exon	ENSG00000178217.15
chr10	1691	1792	+	ENST00000646907.2	intron	ENSG00000178217.15
chr10	1792	1919	+	ENST00000646907.2	exon	ENSG00000178217.15
chr10	1919	2020	+	ENST00000646907.2	intron	ENSG00000178217.15
chr10	2020	2240	+	ENST00000646907.2	exon	ENSG00000178217.15
chr10	2240	3033	+	ENST00000646907.2	intron	ENSG00000178217.15
chr10	3033	5600	+	ENST00000646907.2	exon	ENSG00000178217.15
chr10	2199	2240	+	ONT10.3823.11825	exon	SH2D4B
chr10	2241	2747	+	ONT10.3823.11825	exon	SH2D4B
chr10	2341	2436	+	ONT10.3823.11829	exon	SH2D4B
chr10	2437	5007	+	ONT10.3823.11829	exon	SH2D4B
chr10	2367	2436	+	ONT10.3823.11831	exon	SH2D4B
chr10	2437	2945	+	ONT10.3823.11831	exon	SH2D4B
chr10	2389	2932	+	ONT10.3823.11833	exon	SH2D4B
chr10	2933	4889	+	ONT10.3823.11833	exon	SH2D4B
chr10	2416	2932	+	ONT10.3823.11835	exon	SH2D4B
chr10	2933	3517	+	ONT10.3823.11835	exon	SH2D4B
