seqnames	start	end	strand	transcript_id	type	gene_id
chr17	2	516	+	ENST00000689528.1	UTR	NA
chr17	516	620	+	ENST00000689528.1	intron	NA
chr17	620	642	+	ENST00000689528.1	UTR	NA
chr17	643	709	+	ENST00000689528.1	CDS	ENSG00000170921.16
chr17	709	810	+	ENST00000689528.1	intron	ENSG00000170921.16
chr17	810	881	+	ENST00000689528.1	CDS	ENSG00000170921.16
chr17	881	982	+	ENST00000689528.1	intron	ENSG00000170921.16
chr17	982	1164	+	ENST00000689528.1	CDS	ENSG00000170921.16
chr17	1164	2863	+	ENST00000689528.1	intron	ENSG00000170921.16
chr17	2863	2973	+	ENST00000689528.1	CDS	ENSG00000170921.16
chr17	2973	3074	+	ENST00000689528.1	intron	ENSG00000170921.16
chr17	3074	3222	+	ENST00000689528.1	CDS	ENSG00000170921.16
chr17	3222	3327	+	ENST00000689528.1	intron	ENSG00000170921.16
chr17	3327	3513	+	ENST00000689528.1	CDS	ENSG00000170921.16
chr17	3513	3618	+	ENST00000689528.1	intron	ENSG00000170921.16
chr17	3618	3881	+	ENST00000689528.1	CDS	ENSG00000170921.16
chr17	3881	5069	+	ENST00000689528.1	intron	ENSG00000170921.16
chr17	5069	5194	+	ENST00000689528.1	CDS	ENSG00000170921.16
chr17	5194	5295	+	ENST00000689528.1	intron	ENSG00000170921.16
chr17	5295	5576	+	ENST00000689528.1	CDS	ENSG00000170921.16
chr17	5576	5677	+	ENST00000689528.1	intron	ENSG00000170921.16
chr17	5677	5810	+	ENST00000689528.1	CDS	ENSG00000170921.16
chr17	5810	5911	+	ENST00000689528.1	intron	ENSG00000170921.16
chr17	5911	6142	+	ENST00000689528.1	CDS	ENSG00000170921.16
chr17	6142	6243	+	ENST00000689528.1	intron	ENSG00000170921.16
chr17	6243	6409	+	ENST00000689528.1	CDS	ENSG00000170921.16
chr17	6409	6510	+	ENST00000689528.1	intron	ENSG00000170921.16
chr17	6510	7117	+	ENST00000689528.1	CDS	ENSG00000170921.16
chr17	7117	7218	+	ENST00000689528.1	intron	ENSG00000170921.16
chr17	7218	7326	+	ENST00000689528.1	CDS	ENSG00000170921.16
chr17	7326	7463	+	ENST00000689528.1	intron	ENSG00000170921.16
chr17	7463	7585	+	ENST00000689528.1	CDS	ENSG00000170921.16
chr17	7585	7688	+	ENST00000689528.1	intron	ENSG00000170921.16
chr17	7688	7924	+	ENST00000689528.1	CDS	ENSG00000170921.16
chr17	7924	8689	+	ENST00000689528.1	intron	ENSG00000170921.16
chr17	8689	8874	+	ENST00000689528.1	CDS	ENSG00000170921.16
chr17	8874	10029	+	ENST00000689528.1	intron	ENSG00000170921.16
chr17	10029	10122	+	ENST00000689528.1	CDS	ENSG00000170921.16
chr17	10122	10595	+	ENST00000689528.1	intron	ENSG00000170921.16
chr17	10595	10728	+	ENST00000689528.1	CDS	ENSG00000170921.16
chr17	10728	10829	+	ENST00000689528.1	intron	ENSG00000170921.16
chr17	10829	10952	+	ENST00000689528.1	CDS	ENSG00000170921.16
chr17	10952	11053	+	ENST00000689528.1	intron	ENSG00000170921.16
chr17	11053	11228	+	ENST00000689528.1	CDS	ENSG00000170921.16
chr17	11228	11329	+	ENST00000689528.1	intron	ENSG00000170921.16
chr17	11329	11461	+	ENST00000689528.1	CDS	ENSG00000170921.16
chr17	11461	11562	+	ENST00000689528.1	intron	ENSG00000170921.16
chr17	11562	11591	+	ENST00000689528.1	CDS	ENSG00000170921.16
chr17	11591	11692	+	ENST00000689528.1	intron	ENSG00000170921.16
chr17	11692	11783	+	ENST00000689528.1	CDS	ENSG00000170921.16
chr17	11783	11884	+	ENST00000689528.1	intron	ENSG00000170921.16
chr17	11884	12030	+	ENST00000689528.1	CDS	ENSG00000170921.16
chr17	12030	12131	+	ENST00000689528.1	intron	ENSG00000170921.16
chr17	12131	12231	+	ENST00000689528.1	CDS	ENSG00000170921.16
chr17	12231	12332	+	ENST00000689528.1	intron	ENSG00000170921.16
chr17	12332	14291	+	ENST00000689528.1	CDS	ENSG00000170921.16
chr17	14292	20036	+	ENST00000689528.1	UTR	NA
chr17	242	516	+	ONT17.1698.11360	UTR	NA
chr17	516	620	+	ONT17.1698.11360	intron	NA
chr17	620	642	+	ONT17.1698.11360	UTR	NA
chr17	643	709	+	ONT17.1698.11360	CDS	TANC2
chr17	709	810	+	ONT17.1698.11360	intron	TANC2
chr17	810	881	+	ONT17.1698.11360	CDS	TANC2
chr17	881	982	+	ONT17.1698.11360	intron	TANC2
chr17	982	1164	+	ONT17.1698.11360	CDS	TANC2
chr17	1164	2863	+	ONT17.1698.11360	intron	TANC2
chr17	2863	2973	+	ONT17.1698.11360	CDS	TANC2
chr17	2973	3074	+	ONT17.1698.11360	intron	TANC2
chr17	3074	3222	+	ONT17.1698.11360	CDS	TANC2
chr17	3222	3327	+	ONT17.1698.11360	intron	TANC2
chr17	3327	3517	+	ONT17.1698.11360	CDS	TANC2
chr17	3517	3618	+	ONT17.1698.11360	intron	TANC2
chr17	3618	3639	+	ONT17.1698.11360	CDS	TANC2
chr17	3640	4966	+	ONT17.1698.11360	UTR	NA
chr17	317	516	+	ONT17.1698.11401	UTR	NA
chr17	516	620	+	ONT17.1698.11401	intron	NA
chr17	620	642	+	ONT17.1698.11401	UTR	NA
chr17	643	709	+	ONT17.1698.11401	CDS	TANC2
chr17	709	810	+	ONT17.1698.11401	intron	TANC2
chr17	810	881	+	ONT17.1698.11401	CDS	TANC2
chr17	881	982	+	ONT17.1698.11401	intron	TANC2
chr17	982	1181	+	ONT17.1698.11401	CDS	TANC2
chr17	1182	2208	+	ONT17.1698.11401	UTR	NA
chr17	355	516	+	ONT17.1698.11405	UTR	NA
chr17	516	620	+	ONT17.1698.11405	intron	NA
chr17	620	642	+	ONT17.1698.11405	UTR	NA
chr17	643	709	+	ONT17.1698.11405	CDS	TANC2
chr17	709	810	+	ONT17.1698.11405	intron	TANC2
chr17	810	881	+	ONT17.1698.11405	CDS	TANC2
chr17	881	982	+	ONT17.1698.11405	intron	TANC2
chr17	982	1181	+	ONT17.1698.11405	CDS	TANC2
chr17	1182	1305	+	ONT17.1698.11405	UTR	NA
chr17	428	516	+	ONT17.1698.11427	UTR	NA
chr17	516	620	+	ONT17.1698.11427	intron	NA
chr17	620	642	+	ONT17.1698.11427	UTR	NA
chr17	643	706	+	ONT17.1698.11427	CDS	TANC2
chr17	706	810	+	ONT17.1698.11427	intron	TANC2
chr17	810	881	+	ONT17.1698.11427	CDS	TANC2
chr17	881	982	+	ONT17.1698.11427	intron	TANC2
chr17	982	1181	+	ONT17.1698.11427	CDS	TANC2
chr17	1182	1303	+	ONT17.1698.11427	UTR	NA
chr17	617	642	+	ONT17.1698.11833	UTR	NA
chr17	643	709	+	ONT17.1698.11833	CDS	TANC2
chr17	709	810	+	ONT17.1698.11833	intron	TANC2
chr17	810	881	+	ONT17.1698.11833	CDS	TANC2
chr17	881	982	+	ONT17.1698.11833	intron	TANC2
chr17	982	1181	+	ONT17.1698.11833	CDS	TANC2
chr17	1182	1309	+	ONT17.1698.11833	UTR	NA
chr17	2309	2762	+	ONT17.1698.13675	UTR	NA
chr17	2762	2863	+	ONT17.1698.13675	intron	NA
chr17	2863	2973	+	ONT17.1698.13675	UTR	NA
chr17	2973	3074	+	ONT17.1698.13675	intron	NA
chr17	3074	3211	+	ONT17.1698.13675	UTR	NA
chr17	3212	3222	+	ONT17.1698.13675	CDS	TANC2
chr17	3222	3323	+	ONT17.1698.13675	intron	TANC2
chr17	3323	3513	+	ONT17.1698.13675	CDS	TANC2
chr17	3513	3618	+	ONT17.1698.13675	intron	TANC2
chr17	3618	4003	+	ONT17.1698.13675	CDS	TANC2
chr17	4004	4968	+	ONT17.1698.13675	UTR	NA
chr17	6924	6989	+	ONT17.1698.18369	UTR	NA
chr17	6990	7117	+	ONT17.1698.18369	CDS	TANC2
chr17	7117	7218	+	ONT17.1698.18369	intron	TANC2
chr17	7218	7326	+	ONT17.1698.18369	CDS	TANC2
chr17	7326	7463	+	ONT17.1698.18369	intron	TANC2
chr17	7463	7585	+	ONT17.1698.18369	CDS	TANC2
chr17	7585	7688	+	ONT17.1698.18369	intron	TANC2
chr17	7688	7924	+	ONT17.1698.18369	CDS	TANC2
chr17	7924	8689	+	ONT17.1698.18369	intron	TANC2
chr17	8689	8874	+	ONT17.1698.18369	CDS	TANC2
chr17	8874	10029	+	ONT17.1698.18369	intron	TANC2
chr17	10029	10250	+	ONT17.1698.18369	CDS	TANC2
chr17	10251	10494	+	ONT17.1698.18369	UTR	NA
chr17	6964	6989	+	ONT17.1698.18372	UTR	NA
chr17	6990	7117	+	ONT17.1698.18372	CDS	TANC2
chr17	7117	7218	+	ONT17.1698.18372	intron	TANC2
chr17	7218	7326	+	ONT17.1698.18372	CDS	TANC2
chr17	7326	7463	+	ONT17.1698.18372	intron	TANC2
chr17	7463	7585	+	ONT17.1698.18372	CDS	TANC2
chr17	7585	7688	+	ONT17.1698.18372	intron	TANC2
chr17	7688	7924	+	ONT17.1698.18372	CDS	TANC2
chr17	7924	8689	+	ONT17.1698.18372	intron	TANC2
chr17	8689	8892	+	ONT17.1698.18372	CDS	TANC2
chr17	8893	9927	+	ONT17.1698.18372	UTR	NA
chr17	7427	7540	+	ONT17.1698.18824	UTR	NA
chr17	7541	7585	+	ONT17.1698.18824	CDS	TANC2
chr17	7585	7688	+	ONT17.1698.18824	intron	TANC2
chr17	7688	8011	+	ONT17.1698.18824	CDS	TANC2
chr17	8012	8588	+	ONT17.1698.18824	UTR	NA
chr17	7686	7792	+	ONT17.1698.18840	UTR	NA
chr17	7793	7924	+	ONT17.1698.18840	CDS	TANC2
chr17	7924	8689	+	ONT17.1698.18840	intron	TANC2
chr17	8689	8892	+	ONT17.1698.18840	CDS	TANC2
chr17	8893	9928	+	ONT17.1698.18840	UTR	NA
chr17	7686	7792	+	ONT17.1698.18841	UTR	NA
chr17	7793	7924	+	ONT17.1698.18841	CDS	TANC2
chr17	7924	8689	+	ONT17.1698.18841	intron	TANC2
chr17	8689	8874	+	ONT17.1698.18841	CDS	TANC2
chr17	8874	10029	+	ONT17.1698.18841	intron	TANC2
chr17	10029	10250	+	ONT17.1698.18841	CDS	TANC2
chr17	10251	10494	+	ONT17.1698.18841	UTR	NA
chr17	7686	7792	+	ONT17.1698.18842	UTR	NA
chr17	7793	7924	+	ONT17.1698.18842	CDS	TANC2
chr17	7924	8689	+	ONT17.1698.18842	intron	TANC2
chr17	8689	8874	+	ONT17.1698.18842	CDS	TANC2
chr17	8874	10029	+	ONT17.1698.18842	intron	TANC2
chr17	10029	10122	+	ONT17.1698.18842	CDS	TANC2
chr17	10122	10595	+	ONT17.1698.18842	intron	TANC2
chr17	10595	10728	+	ONT17.1698.18842	CDS	TANC2
chr17	10728	10829	+	ONT17.1698.18842	intron	TANC2
chr17	10829	10952	+	ONT17.1698.18842	CDS	TANC2
chr17	10952	11053	+	ONT17.1698.18842	intron	TANC2
chr17	11053	11228	+	ONT17.1698.18842	CDS	TANC2
chr17	11228	11329	+	ONT17.1698.18842	intron	TANC2
chr17	11329	11461	+	ONT17.1698.18842	CDS	TANC2
chr17	11461	11692	+	ONT17.1698.18842	intron	TANC2
chr17	11692	11783	+	ONT17.1698.18842	CDS	TANC2
chr17	11783	11884	+	ONT17.1698.18842	intron	TANC2
chr17	11884	12030	+	ONT17.1698.18842	CDS	TANC2
chr17	12030	12131	+	ONT17.1698.18842	intron	TANC2
chr17	12131	12231	+	ONT17.1698.18842	CDS	TANC2
chr17	12231	17945	+	ONT17.1698.18842	intron	TANC2
chr17	17945	18197	+	ONT17.1698.18842	CDS	TANC2
chr17	18198	20031	+	ONT17.1698.18842	UTR	NA
chr17	7785	7792	+	ONT17.1698.18854	UTR	NA
chr17	7793	7924	+	ONT17.1698.18854	CDS	TANC2
chr17	7924	8689	+	ONT17.1698.18854	intron	TANC2
chr17	8689	8892	+	ONT17.1698.18854	CDS	TANC2
chr17	8893	9868	+	ONT17.1698.18854	UTR	NA
chr17	7866	7924	+	ONT17.1698.18861	UTR	NA
chr17	7924	8689	+	ONT17.1698.18861	intron	NA
chr17	8689	8787	+	ONT17.1698.18861	UTR	NA
chr17	8788	8874	+	ONT17.1698.18861	CDS	TANC2
chr17	8874	10029	+	ONT17.1698.18861	intron	TANC2
chr17	10029	10250	+	ONT17.1698.18861	CDS	TANC2
chr17	10251	10494	+	ONT17.1698.18861	UTR	NA
