seqnames	start	end	strand	transcript_id	type	gene_id
chr21	10	3048	-	ENST00000674351.1	UTR	NA
chr21	3048	3168	-	ENST00000674351.1	intron	NA
chr21	3168	3170	-	ENST00000674351.1	UTR	NA
chr21	3171	3191	-	ENST00000674351.1	CDS	ENSG00000159082.18
chr21	3191	3596	-	ENST00000674351.1	intron	ENSG00000159082.18
chr21	3596	3813	-	ENST00000674351.1	CDS	ENSG00000159082.18
chr21	3813	3916	-	ENST00000674351.1	intron	ENSG00000159082.18
chr21	3916	4024	-	ENST00000674351.1	CDS	ENSG00000159082.18
chr21	4024	4126	-	ENST00000674351.1	intron	ENSG00000159082.18
chr21	4126	4196	-	ENST00000674351.1	CDS	ENSG00000159082.18
chr21	4196	4325	-	ENST00000674351.1	intron	ENSG00000159082.18
chr21	4325	4363	-	ENST00000674351.1	CDS	ENSG00000159082.18
chr21	4363	5093	-	ENST00000674351.1	intron	ENSG00000159082.18
chr21	5093	5140	-	ENST00000674351.1	CDS	ENSG00000159082.18
chr21	5140	5241	-	ENST00000674351.1	intron	ENSG00000159082.18
chr21	5241	5279	-	ENST00000674351.1	CDS	ENSG00000159082.18
chr21	5279	5792	-	ENST00000674351.1	intron	ENSG00000159082.18
chr21	5792	5935	-	ENST00000674351.1	CDS	ENSG00000159082.18
chr21	5935	6036	-	ENST00000674351.1	intron	ENSG00000159082.18
chr21	6036	6245	-	ENST00000674351.1	CDS	ENSG00000159082.18
chr21	6245	6346	-	ENST00000674351.1	intron	ENSG00000159082.18
chr21	6346	6508	-	ENST00000674351.1	CDS	ENSG00000159082.18
chr21	6508	6609	-	ENST00000674351.1	intron	ENSG00000159082.18
chr21	6609	6687	-	ENST00000674351.1	CDS	ENSG00000159082.18
chr21	6687	6795	-	ENST00000674351.1	intron	ENSG00000159082.18
chr21	6795	7010	-	ENST00000674351.1	CDS	ENSG00000159082.18
chr21	7010	7111	-	ENST00000674351.1	intron	ENSG00000159082.18
chr21	7111	7228	-	ENST00000674351.1	CDS	ENSG00000159082.18
chr21	7228	7329	-	ENST00000674351.1	intron	ENSG00000159082.18
chr21	7329	7485	-	ENST00000674351.1	CDS	ENSG00000159082.18
chr21	7485	7586	-	ENST00000674351.1	intron	ENSG00000159082.18
chr21	7586	7744	-	ENST00000674351.1	CDS	ENSG00000159082.18
chr21	7744	7845	-	ENST00000674351.1	intron	ENSG00000159082.18
chr21	7845	8037	-	ENST00000674351.1	CDS	ENSG00000159082.18
chr21	8037	8142	-	ENST00000674351.1	intron	ENSG00000159082.18
chr21	8142	8282	-	ENST00000674351.1	CDS	ENSG00000159082.18
chr21	8282	8383	-	ENST00000674351.1	intron	ENSG00000159082.18
chr21	8383	8467	-	ENST00000674351.1	CDS	ENSG00000159082.18
chr21	8467	8568	-	ENST00000674351.1	intron	ENSG00000159082.18
chr21	8568	8759	-	ENST00000674351.1	CDS	ENSG00000159082.18
chr21	8759	8860	-	ENST00000674351.1	intron	ENSG00000159082.18
chr21	8860	8883	-	ENST00000674351.1	CDS	ENSG00000159082.18
chr21	8883	9715	-	ENST00000674351.1	intron	ENSG00000159082.18
chr21	9715	9871	-	ENST00000674351.1	CDS	ENSG00000159082.18
chr21	9871	10859	-	ENST00000674351.1	intron	ENSG00000159082.18
chr21	10859	11011	-	ENST00000674351.1	CDS	ENSG00000159082.18
chr21	11011	11146	-	ENST00000674351.1	intron	ENSG00000159082.18
chr21	11146	11227	-	ENST00000674351.1	CDS	ENSG00000159082.18
chr21	11227	12856	-	ENST00000674351.1	intron	ENSG00000159082.18
chr21	12856	13025	-	ENST00000674351.1	CDS	ENSG00000159082.18
chr21	13025	13126	-	ENST00000674351.1	intron	ENSG00000159082.18
chr21	13126	13222	-	ENST00000674351.1	CDS	ENSG00000159082.18
chr21	13222	13667	-	ENST00000674351.1	intron	ENSG00000159082.18
chr21	13667	13728	-	ENST00000674351.1	CDS	ENSG00000159082.18
chr21	13728	13829	-	ENST00000674351.1	intron	ENSG00000159082.18
chr21	13829	13912	-	ENST00000674351.1	CDS	ENSG00000159082.18
chr21	13912	14013	-	ENST00000674351.1	intron	ENSG00000159082.18
chr21	14013	14238	-	ENST00000674351.1	CDS	ENSG00000159082.18
chr21	14238	14975	-	ENST00000674351.1	intron	ENSG00000159082.18
chr21	14975	15242	-	ENST00000674351.1	CDS	ENSG00000159082.18
