seqnames	start	end	strand	transcript_id	type	gene_id
chr12	1588	2275	-	ENST00000682720.1	UTR	NA
chr12	2276	2388	-	ENST00000682720.1	CDS	ENSG00000111554.15
chr12	2388	2541	-	ENST00000682720.1	intron	ENSG00000111554.15
chr12	2541	2600	-	ENST00000682720.1	CDS	ENSG00000111554.15
chr12	2600	2805	-	ENST00000682720.1	intron	ENSG00000111554.15
chr12	2805	3057	-	ENST00000682720.1	CDS	ENSG00000111554.15
chr12	3057	3316	-	ENST00000682720.1	intron	ENSG00000111554.15
chr12	3316	3425	-	ENST00000682720.1	CDS	ENSG00000111554.15
chr12	3425	3517	-	ENST00000682720.1	intron	ENSG00000111554.15
chr12	3517	3626	-	ENST00000682720.1	CDS	ENSG00000111554.15
chr12	3626	3735	-	ENST00000682720.1	intron	ENSG00000111554.15
chr12	3735	4052	-	ENST00000682720.1	CDS	ENSG00000111554.15
chr12	4052	4698	-	ENST00000682720.1	intron	ENSG00000111554.15
chr12	4698	4873	-	ENST00000682720.1	CDS	ENSG00000111554.15
chr12	4873	5201	-	ENST00000682720.1	intron	ENSG00000111554.15
chr12	5201	5230	-	ENST00000682720.1	CDS	ENSG00000111554.15
chr12	5230	6932	-	ENST00000682720.1	intron	ENSG00000111554.15
chr12	6932	7031	-	ENST00000682720.1	CDS	ENSG00000111554.15
chr12	7031	7110	-	ENST00000682720.1	intron	ENSG00000111554.15
chr12	7110	7213	-	ENST00000682720.1	CDS	ENSG00000111554.15
chr12	7213	7847	-	ENST00000682720.1	intron	ENSG00000111554.15
chr12	7847	8014	-	ENST00000682720.1	CDS	ENSG00000111554.15
chr12	8014	10215	-	ENST00000682720.1	intron	ENSG00000111554.15
chr12	10215	10349	-	ENST00000682720.1	CDS	ENSG00000111554.15
chr12	10349	11431	-	ENST00000682720.1	intron	ENSG00000111554.15
chr12	11431	11795	-	ENST00000682720.1	CDS	ENSG00000111554.15
chr12	11795	11902	-	ENST00000682720.1	intron	ENSG00000111554.15
chr12	11902	12016	-	ENST00000682720.1	CDS	ENSG00000111554.15
chr12	12016	12119	-	ENST00000682720.1	intron	ENSG00000111554.15
chr12	12119	12139	-	ENST00000682720.1	CDS	ENSG00000111554.15
chr12	12140	12253	-	ENST00000682720.1	UTR	NA
chr12	1588	2278	-	ONT12.2363.100	UTR	NA
chr12	2279	2388	-	ONT12.2363.100	CDS	MDM1
chr12	2388	2541	-	ONT12.2363.100	intron	MDM1
chr12	2541	2600	-	ONT12.2363.100	CDS	MDM1
chr12	2600	2805	-	ONT12.2363.100	intron	MDM1
chr12	2805	3057	-	ONT12.2363.100	CDS	MDM1
chr12	3057	3316	-	ONT12.2363.100	intron	MDM1
chr12	3316	3425	-	ONT12.2363.100	CDS	MDM1
chr12	3425	3517	-	ONT12.2363.100	intron	MDM1
chr12	3517	3626	-	ONT12.2363.100	CDS	MDM1
chr12	3626	3735	-	ONT12.2363.100	intron	MDM1
chr12	3735	4052	-	ONT12.2363.100	CDS	MDM1
chr12	4052	4698	-	ONT12.2363.100	intron	MDM1
chr12	4698	4873	-	ONT12.2363.100	CDS	MDM1
chr12	4873	6932	-	ONT12.2363.100	intron	MDM1
chr12	6932	7031	-	ONT12.2363.100	CDS	MDM1
