seqnames	start	end	strand	transcript_id	type	gene_id
chr10	126	169	+	ENST00000648843.3	UTR	NA
chr10	170	229	+	ENST00000648843.3	CDS	ENSG00000183346.9
chr10	229	649	+	ENST00000648843.3	intron	ENSG00000183346.9
chr10	649	752	+	ENST00000648843.3	CDS	ENSG00000183346.9
chr10	752	855	+	ENST00000648843.3	intron	ENSG00000183346.9
chr10	855	1024	+	ENST00000648843.3	CDS	ENSG00000183346.9
chr10	1024	1127	+	ENST00000648843.3	intron	ENSG00000183346.9
chr10	1127	1271	+	ENST00000648843.3	CDS	ENSG00000183346.9
chr10	1271	1376	+	ENST00000648843.3	intron	ENSG00000183346.9
chr10	1376	1448	+	ENST00000648843.3	CDS	ENSG00000183346.9
chr10	1448	4297	+	ENST00000648843.3	intron	ENSG00000183346.9
chr10	4297	4419	+	ENST00000648843.3	CDS	ENSG00000183346.9
chr10	4419	4520	+	ENST00000648843.3	intron	ENSG00000183346.9
chr10	4520	4660	+	ENST00000648843.3	CDS	ENSG00000183346.9
chr10	4660	4761	+	ENST00000648843.3	intron	ENSG00000183346.9
chr10	4761	4838	+	ENST00000648843.3	CDS	ENSG00000183346.9
chr10	4839	5588	+	ENST00000648843.3	UTR	NA
chr10	158	169	+	ONT10.3063.107	UTR	NA
chr10	170	229	+	ONT10.3063.107	CDS	CABCOCO1
chr10	229	649	+	ONT10.3063.107	intron	CABCOCO1
chr10	649	752	+	ONT10.3063.107	CDS	CABCOCO1
chr10	752	855	+	ONT10.3063.107	intron	CABCOCO1
chr10	855	1024	+	ONT10.3063.107	CDS	CABCOCO1
chr10	1024	1127	+	ONT10.3063.107	intron	CABCOCO1
chr10	1127	1271	+	ONT10.3063.107	CDS	CABCOCO1
chr10	1271	1376	+	ONT10.3063.107	intron	CABCOCO1
chr10	1376	1448	+	ONT10.3063.107	CDS	CABCOCO1
chr10	1448	4297	+	ONT10.3063.107	intron	CABCOCO1
chr10	4297	4419	+	ONT10.3063.107	CDS	CABCOCO1
chr10	4419	4520	+	ONT10.3063.107	intron	CABCOCO1
chr10	4520	4660	+	ONT10.3063.107	CDS	CABCOCO1
chr10	4660	4761	+	ONT10.3063.107	intron	CABCOCO1
chr10	4761	4835	+	ONT10.3063.107	CDS	CABCOCO1
chr10	4836	6206	+	ONT10.3063.107	UTR	NA
chr10	140	169	+	ONT10.3063.122	UTR	NA
chr10	170	229	+	ONT10.3063.122	CDS	CABCOCO1
chr10	229	649	+	ONT10.3063.122	intron	CABCOCO1
chr10	649	752	+	ONT10.3063.122	CDS	CABCOCO1
chr10	752	855	+	ONT10.3063.122	intron	CABCOCO1
chr10	855	1024	+	ONT10.3063.122	CDS	CABCOCO1
chr10	1024	1127	+	ONT10.3063.122	intron	CABCOCO1
chr10	1127	1271	+	ONT10.3063.122	CDS	CABCOCO1
chr10	1271	1376	+	ONT10.3063.122	intron	CABCOCO1
chr10	1376	1493	+	ONT10.3063.122	CDS	CABCOCO1
chr10	1494	1662	+	ONT10.3063.122	UTR	NA
chr10	180	362	+	ONT10.3063.124	UTR	NA
chr10	362	649	+	ONT10.3063.124	intron	NA
chr10	649	726	+	ONT10.3063.124	UTR	NA
chr10	727	752	+	ONT10.3063.124	CDS	CABCOCO1
chr10	752	855	+	ONT10.3063.124	intron	CABCOCO1
chr10	855	1024	+	ONT10.3063.124	CDS	CABCOCO1
chr10	1024	1127	+	ONT10.3063.124	intron	CABCOCO1
chr10	1127	1271	+	ONT10.3063.124	CDS	CABCOCO1
chr10	1271	1376	+	ONT10.3063.124	intron	CABCOCO1
chr10	1376	1448	+	ONT10.3063.124	CDS	CABCOCO1
chr10	1448	4297	+	ONT10.3063.124	intron	CABCOCO1
chr10	4297	4419	+	ONT10.3063.124	CDS	CABCOCO1
chr10	4419	4520	+	ONT10.3063.124	intron	CABCOCO1
chr10	4520	4660	+	ONT10.3063.124	CDS	CABCOCO1
chr10	4660	4761	+	ONT10.3063.124	intron	CABCOCO1
chr10	4761	4835	+	ONT10.3063.124	CDS	CABCOCO1
chr10	4836	5672	+	ONT10.3063.124	UTR	NA
chr10	145	169	+	ONT10.3063.132	UTR	NA
chr10	170	229	+	ONT10.3063.132	CDS	CABCOCO1
chr10	229	649	+	ONT10.3063.132	intron	CABCOCO1
chr10	649	752	+	ONT10.3063.132	CDS	CABCOCO1
chr10	752	855	+	ONT10.3063.132	intron	CABCOCO1
chr10	855	1024	+	ONT10.3063.132	CDS	CABCOCO1
chr10	1024	1127	+	ONT10.3063.132	intron	CABCOCO1
chr10	1127	1271	+	ONT10.3063.132	CDS	CABCOCO1
chr10	1271	1376	+	ONT10.3063.132	intron	CABCOCO1
