seqnames	start	end	strand	transcript_id	type	gene_id
chr1	2401	2722	-	ENST00000375254.8	UTR	NA
chr1	2723	2787	-	ENST00000375254.8	CDS	ENSG00000127481.15
chr1	2787	3276	-	ENST00000375254.8	intron	ENSG00000127481.15
chr1	3276	3438	-	ENST00000375254.8	CDS	ENSG00000127481.15
chr1	3438	4253	-	ENST00000375254.8	intron	ENSG00000127481.15
chr1	4253	4343	-	ENST00000375254.8	CDS	ENSG00000127481.15
chr1	4343	7626	-	ENST00000375254.8	intron	ENSG00000127481.15
chr1	7626	7850	-	ENST00000375254.8	CDS	ENSG00000127481.15
chr1	7850	10781	-	ENST00000375254.8	intron	ENSG00000127481.15
chr1	10781	10975	-	ENST00000375254.8	CDS	ENSG00000127481.15
chr1	10975	11082	-	ENST00000375254.8	intron	ENSG00000127481.15
chr1	11082	11207	-	ENST00000375254.8	CDS	ENSG00000127481.15
chr1	11207	11338	-	ENST00000375254.8	intron	ENSG00000127481.15
chr1	11338	11480	-	ENST00000375254.8	CDS	ENSG00000127481.15
chr1	11480	11584	-	ENST00000375254.8	intron	ENSG00000127481.15
chr1	11584	11697	-	ENST00000375254.8	CDS	ENSG00000127481.15
chr1	11697	11799	-	ENST00000375254.8	intron	ENSG00000127481.15
chr1	11799	12017	-	ENST00000375254.8	CDS	ENSG00000127481.15
chr1	12017	12125	-	ENST00000375254.8	intron	ENSG00000127481.15
chr1	12125	12224	-	ENST00000375254.8	CDS	ENSG00000127481.15
chr1	12224	12483	-	ENST00000375254.8	intron	ENSG00000127481.15
chr1	12483	12656	-	ENST00000375254.8	CDS	ENSG00000127481.15
chr1	12656	13119	-	ENST00000375254.8	intron	ENSG00000127481.15
chr1	13119	13309	-	ENST00000375254.8	CDS	ENSG00000127481.15
chr1	13309	13416	-	ENST00000375254.8	intron	ENSG00000127481.15
chr1	13416	13535	-	ENST00000375254.8	CDS	ENSG00000127481.15
chr1	13535	13637	-	ENST00000375254.8	intron	ENSG00000127481.15
chr1	13637	13744	-	ENST00000375254.8	CDS	ENSG00000127481.15
chr1	13744	13845	-	ENST00000375254.8	intron	ENSG00000127481.15
chr1	13845	13972	-	ENST00000375254.8	CDS	ENSG00000127481.15
chr1	13972	14075	-	ENST00000375254.8	intron	ENSG00000127481.15
chr1	14075	14162	-	ENST00000375254.8	CDS	ENSG00000127481.15
chr1	14162	14267	-	ENST00000375254.8	intron	ENSG00000127481.15
chr1	14267	14347	-	ENST00000375254.8	CDS	ENSG00000127481.15
chr1	14347	14450	-	ENST00000375254.8	intron	ENSG00000127481.15
chr1	14450	14647	-	ENST00000375254.8	CDS	ENSG00000127481.15
chr1	14647	14755	-	ENST00000375254.8	intron	ENSG00000127481.15
chr1	14755	14876	-	ENST00000375254.8	CDS	ENSG00000127481.15
chr1	14876	15312	-	ENST00000375254.8	intron	ENSG00000127481.15
chr1	15312	15485	-	ENST00000375254.8	CDS	ENSG00000127481.15
chr1	15485	15596	-	ENST00000375254.8	intron	ENSG00000127481.15
chr1	15596	15677	-	ENST00000375254.8	CDS	ENSG00000127481.15
chr1	15677	16059	-	ENST00000375254.8	intron	ENSG00000127481.15
chr1	16059	16200	-	ENST00000375254.8	CDS	ENSG00000127481.15
chr1	16200	16353	-	ENST00000375254.8	intron	ENSG00000127481.15
chr1	16353	16462	-	ENST00000375254.8	CDS	ENSG00000127481.15
chr1	16462	16567	-	ENST00000375254.8	intron	ENSG00000127481.15
chr1	16567	16724	-	ENST00000375254.8	CDS	ENSG00000127481.15
chr1	16724	16835	-	ENST00000375254.8	intron	ENSG00000127481.15
chr1	16835	16964	-	ENST00000375254.8	CDS	ENSG00000127481.15
chr1	16964	17065	-	ENST00000375254.8	intron	ENSG00000127481.15
chr1	17065	17192	-	ENST00000375254.8	CDS	ENSG00000127481.15
chr1	17192	17294	-	ENST00000375254.8	intron	ENSG00000127481.15
chr1	17294	17378	-	ENST00000375254.8	CDS	ENSG00000127481.15
chr1	17378	17656	-	ENST00000375254.8	intron	ENSG00000127481.15
chr1	17656	17746	-	ENST00000375254.8	CDS	ENSG00000127481.15
chr1	17746	17851	-	ENST00000375254.8	intron	ENSG00000127481.15
chr1	17851	18194	-	ENST00000375254.8	CDS	ENSG00000127481.15
chr1	18194	18295	-	ENST00000375254.8	intron	ENSG00000127481.15
