seqnames	start	end	strand	transcript_id	type	gene_id
chr12	212	717	+	ENST00000550735.7	UTR	NA
chr12	718	753	+	ENST00000550735.7	CDS	ENSG00000089022.14
chr12	753	1078	+	ENST00000550735.7	intron	ENSG00000089022.14
chr12	1078	1151	+	ENST00000550735.7	CDS	ENSG00000089022.14
chr12	1151	1255	+	ENST00000550735.7	intron	ENSG00000089022.14
chr12	1255	1330	+	ENST00000550735.7	CDS	ENSG00000089022.14
chr12	1330	1431	+	ENST00000550735.7	intron	ENSG00000089022.14
chr12	1431	1528	+	ENST00000550735.7	CDS	ENSG00000089022.14
chr12	1528	2433	+	ENST00000550735.7	intron	ENSG00000089022.14
chr12	2433	2541	+	ENST00000550735.7	CDS	ENSG00000089022.14
chr12	2541	3951	+	ENST00000550735.7	intron	ENSG00000089022.14
chr12	3951	4040	+	ENST00000550735.7	CDS	ENSG00000089022.14
chr12	4040	4765	+	ENST00000550735.7	intron	ENSG00000089022.14
chr12	4765	4860	+	ENST00000550735.7	CDS	ENSG00000089022.14
chr12	4860	4964	+	ENST00000550735.7	intron	ENSG00000089022.14
chr12	4964	5044	+	ENST00000550735.7	CDS	ENSG00000089022.14
chr12	5044	5312	+	ENST00000550735.7	intron	ENSG00000089022.14
chr12	5312	5499	+	ENST00000550735.7	CDS	ENSG00000089022.14
chr12	5499	7647	+	ENST00000550735.7	intron	ENSG00000089022.14
chr12	7647	7767	+	ENST00000550735.7	CDS	ENSG00000089022.14
chr12	7767	8399	+	ENST00000550735.7	intron	ENSG00000089022.14
chr12	8399	8529	+	ENST00000550735.7	CDS	ENSG00000089022.14
chr12	8529	8796	+	ENST00000550735.7	intron	ENSG00000089022.14
chr12	8796	8911	+	ENST00000550735.7	CDS	ENSG00000089022.14
chr12	8911	9951	+	ENST00000550735.7	intron	ENSG00000089022.14
chr12	9951	10055	+	ENST00000550735.7	CDS	ENSG00000089022.14
chr12	10055	10424	+	ENST00000550735.7	intron	ENSG00000089022.14
chr12	10424	10521	+	ENST00000550735.7	CDS	ENSG00000089022.14
chr12	10522	19679	+	ENST00000550735.7	UTR	NA
chr12	2	717	+	ONT12.4312.48198	UTR	NA
chr12	718	753	+	ONT12.4312.48198	CDS	MAPKAPK5
chr12	753	1078	+	ONT12.4312.48198	intron	MAPKAPK5
chr12	1078	1151	+	ONT12.4312.48198	CDS	MAPKAPK5
chr12	1151	1255	+	ONT12.4312.48198	intron	MAPKAPK5
chr12	1255	1330	+	ONT12.4312.48198	CDS	MAPKAPK5
chr12	1330	1431	+	ONT12.4312.48198	intron	MAPKAPK5
chr12	1431	1528	+	ONT12.4312.48198	CDS	MAPKAPK5
chr12	1528	2433	+	ONT12.4312.48198	intron	MAPKAPK5
chr12	2433	2541	+	ONT12.4312.48198	CDS	MAPKAPK5
chr12	2541	3951	+	ONT12.4312.48198	intron	MAPKAPK5
chr12	3951	4040	+	ONT12.4312.48198	CDS	MAPKAPK5
chr12	4040	4765	+	ONT12.4312.48198	intron	MAPKAPK5
chr12	4765	4860	+	ONT12.4312.48198	CDS	MAPKAPK5
chr12	4860	4964	+	ONT12.4312.48198	intron	MAPKAPK5
chr12	4964	5044	+	ONT12.4312.48198	CDS	MAPKAPK5
chr12	5044	5312	+	ONT12.4312.48198	intron	MAPKAPK5
chr12	5312	5499	+	ONT12.4312.48198	CDS	MAPKAPK5
chr12	5499	7647	+	ONT12.4312.48198	intron	MAPKAPK5
chr12	7647	7767	+	ONT12.4312.48198	CDS	MAPKAPK5
chr12	7767	8399	+	ONT12.4312.48198	intron	MAPKAPK5
chr12	8399	8529	+	ONT12.4312.48198	CDS	MAPKAPK5
chr12	8529	8796	+	ONT12.4312.48198	intron	MAPKAPK5
chr12	8796	8917	+	ONT12.4312.48198	CDS	MAPKAPK5
chr12	8917	9951	+	ONT12.4312.48198	intron	MAPKAPK5
chr12	9951	10055	+	ONT12.4312.48198	CDS	MAPKAPK5
chr12	10055	10424	+	ONT12.4312.48198	intron	MAPKAPK5
chr12	10424	10518	+	ONT12.4312.48198	CDS	MAPKAPK5
chr12	10519	10622	+	ONT12.4312.48198	UTR	NA
chr12	15	717	+	ONT12.4312.48205	UTR	NA
chr12	718	753	+	ONT12.4312.48205	CDS	MAPKAPK5
chr12	753	1078	+	ONT12.4312.48205	intron	MAPKAPK5
chr12	1078	1151	+	ONT12.4312.48205	CDS	MAPKAPK5
chr12	1151	1255	+	ONT12.4312.48205	intron	MAPKAPK5
chr12	1255	1330	+	ONT12.4312.48205	CDS	MAPKAPK5
chr12	1330	1431	+	ONT12.4312.48205	intron	MAPKAPK5
chr12	1431	1528	+	ONT12.4312.48205	CDS	MAPKAPK5
chr12	1528	3951	+	ONT12.4312.48205	intron	MAPKAPK5
chr12	3951	3954	+	ONT12.4312.48205	CDS	MAPKAPK5
chr12	3955	4040	+	ONT12.4312.48205	UTR	NA
chr12	4040	4765	+	ONT12.4312.48205	intron	NA
chr12	4765	4860	+	ONT12.4312.48205	UTR	NA
chr12	4860	4964	+	ONT12.4312.48205	intron	NA
chr12	4964	5044	+	ONT12.4312.48205	UTR	NA
chr12	5044	5312	+	ONT12.4312.48205	intron	NA
chr12	5312	5499	+	ONT12.4312.48205	UTR	NA
chr12	5499	7647	+	ONT12.4312.48205	intron	NA
chr12	7647	7767	+	ONT12.4312.48205	UTR	NA
chr12	7767	8399	+	ONT12.4312.48205	intron	NA
chr12	8399	8529	+	ONT12.4312.48205	UTR	NA
chr12	8529	8796	+	ONT12.4312.48205	intron	NA
chr12	8796	8911	+	ONT12.4312.48205	UTR	NA
chr12	8911	9951	+	ONT12.4312.48205	intron	NA
chr12	9951	10055	+	ONT12.4312.48205	UTR	NA
chr12	10055	10424	+	ONT12.4312.48205	intron	NA
chr12	10424	10613	+	ONT12.4312.48205	UTR	NA
chr12	22	717	+	ONT12.4312.48206	UTR	NA
