seqnames	start	end	strand	transcript_id	type	gene_id
chr14	630	751	+	ENST00000392634.9	UTR	NA
chr14	751	853	+	ENST00000392634.9	intron	NA
chr14	853	861	+	ENST00000392634.9	UTR	NA
chr14	862	1252	+	ENST00000392634.9	CDS	ENSG00000203485.14
chr14	1252	2601	+	ENST00000392634.9	intron	ENSG00000203485.14
chr14	2601	2716	+	ENST00000392634.9	CDS	ENSG00000203485.14
chr14	2716	2791	+	ENST00000392634.9	intron	ENSG00000203485.14
chr14	2791	2950	+	ENST00000392634.9	CDS	ENSG00000203485.14
chr14	2950	3051	+	ENST00000392634.9	intron	ENSG00000203485.14
chr14	3051	3084	+	ENST00000392634.9	CDS	ENSG00000203485.14
chr14	3084	4045	+	ENST00000392634.9	intron	ENSG00000203485.14
chr14	4045	4186	+	ENST00000392634.9	CDS	ENSG00000203485.14
chr14	4186	4287	+	ENST00000392634.9	intron	ENSG00000203485.14
chr14	4287	4428	+	ENST00000392634.9	CDS	ENSG00000203485.14
chr14	4428	4529	+	ENST00000392634.9	intron	ENSG00000203485.14
chr14	4529	5278	+	ENST00000392634.9	CDS	ENSG00000203485.14
chr14	5278	5379	+	ENST00000392634.9	intron	ENSG00000203485.14
chr14	5379	5530	+	ENST00000392634.9	CDS	ENSG00000203485.14
chr14	5530	5614	+	ENST00000392634.9	intron	ENSG00000203485.14
chr14	5614	5675	+	ENST00000392634.9	CDS	ENSG00000203485.14
chr14	5675	5776	+	ENST00000392634.9	intron	ENSG00000203485.14
chr14	5776	5878	+	ENST00000392634.9	CDS	ENSG00000203485.14
chr14	5878	5979	+	ENST00000392634.9	intron	ENSG00000203485.14
chr14	5979	6064	+	ENST00000392634.9	CDS	ENSG00000203485.14
chr14	6064	6175	+	ENST00000392634.9	intron	ENSG00000203485.14
chr14	6175	6275	+	ENST00000392634.9	CDS	ENSG00000203485.14
chr14	6275	6383	+	ENST00000392634.9	intron	ENSG00000203485.14
chr14	6383	6453	+	ENST00000392634.9	CDS	ENSG00000203485.14
chr14	6453	6525	+	ENST00000392634.9	intron	ENSG00000203485.14
chr14	6525	6632	+	ENST00000392634.9	CDS	ENSG00000203485.14
chr14	6632	6733	+	ENST00000392634.9	intron	ENSG00000203485.14
chr14	6733	6803	+	ENST00000392634.9	CDS	ENSG00000203485.14
chr14	6803	6905	+	ENST00000392634.9	intron	ENSG00000203485.14
chr14	6905	7025	+	ENST00000392634.9	CDS	ENSG00000203485.14
chr14	7025	7133	+	ENST00000392634.9	intron	ENSG00000203485.14
chr14	7133	7297	+	ENST00000392634.9	CDS	ENSG00000203485.14
chr14	7297	7403	+	ENST00000392634.9	intron	ENSG00000203485.14
chr14	7403	7505	+	ENST00000392634.9	CDS	ENSG00000203485.14
chr14	7505	7641	+	ENST00000392634.9	intron	ENSG00000203485.14
chr14	7641	7802	+	ENST00000392634.9	CDS	ENSG00000203485.14
chr14	7802	7903	+	ENST00000392634.9	intron	ENSG00000203485.14
chr14	7903	8556	+	ENST00000392634.9	CDS	ENSG00000203485.14
