seqnames	start	end	strand	transcript_id	type	gene_id
chr15	15	1321	-	ENST00000394272.8	UTR	NA
chr15	1322	1452	-	ENST00000394272.8	CDS	ENSG00000184508.12
chr15	1452	1751	-	ENST00000394272.8	intron	ENSG00000184508.12
chr15	1751	1991	-	ENST00000394272.8	CDS	ENSG00000184508.12
chr15	1991	2102	-	ENST00000394272.8	intron	ENSG00000184508.12
chr15	2102	2157	-	ENST00000394272.8	CDS	ENSG00000184508.12
chr15	2157	2301	-	ENST00000394272.8	intron	ENSG00000184508.12
chr15	2301	2415	-	ENST00000394272.8	CDS	ENSG00000184508.12
chr15	2416	2421	-	ENST00000394272.8	UTR	NA
chr15	15	1730	-	ONT15.2162.18603	UTR	NA
chr15	1731	1991	-	ONT15.2162.18603	CDS	HDDC3
chr15	1991	2102	-	ONT15.2162.18603	intron	HDDC3
chr15	2102	2157	-	ONT15.2162.18603	CDS	HDDC3
chr15	2157	2301	-	ONT15.2162.18603	intron	HDDC3
chr15	2301	2415	-	ONT15.2162.18603	CDS	HDDC3
chr15	2416	2436	-	ONT15.2162.18603	UTR	NA
chr15	2	1592	-	ONT15.2162.18604	UTR	NA
chr15	1593	1603	-	ONT15.2162.18604	CDS	HDDC3
chr15	1603	1751	-	ONT15.2162.18604	intron	HDDC3
chr15	1751	1991	-	ONT15.2162.18604	CDS	HDDC3
chr15	1991	2102	-	ONT15.2162.18604	intron	HDDC3
chr15	2102	2157	-	ONT15.2162.18604	CDS	HDDC3
chr15	2157	2301	-	ONT15.2162.18604	intron	HDDC3
chr15	2301	2415	-	ONT15.2162.18604	CDS	HDDC3
chr15	2416	2427	-	ONT15.2162.18604	UTR	NA
chr15	965	1324	-	ONT15.2162.18667	UTR	NA
chr15	1325	1452	-	ONT15.2162.18667	CDS	HDDC3
chr15	1452	1751	-	ONT15.2162.18667	intron	HDDC3
chr15	1751	1991	-	ONT15.2162.18667	CDS	HDDC3
chr15	1991	2102	-	ONT15.2162.18667	intron	HDDC3
chr15	2102	2157	-	ONT15.2162.18667	CDS	HDDC3
chr15	2157	2301	-	ONT15.2162.18667	intron	HDDC3
chr15	2301	2415	-	ONT15.2162.18667	CDS	HDDC3
chr15	2416	2546	-	ONT15.2162.18667	UTR	NA
chr15	968	1452	-	ONT15.2162.18668	UTR	NA
chr15	1452	1751	-	ONT15.2162.18668	intron	NA
chr15	1751	2026	-	ONT15.2162.18668	UTR	NA
chr15	2027	2157	-	ONT15.2162.18668	CDS	HDDC3
chr15	2157	2301	-	ONT15.2162.18668	intron	HDDC3
chr15	2301	2415	-	ONT15.2162.18668	CDS	HDDC3
chr15	2416	2447	-	ONT15.2162.18668	UTR	NA
chr15	968	1324	-	ONT15.2162.18672	UTR	NA
chr15	1325	1452	-	ONT15.2162.18672	CDS	HDDC3
chr15	1452	1751	-	ONT15.2162.18672	intron	HDDC3
chr15	1751	1991	-	ONT15.2162.18672	CDS	HDDC3
chr15	1991	2102	-	ONT15.2162.18672	intron	HDDC3
chr15	2102	2157	-	ONT15.2162.18672	CDS	HDDC3
chr15	2157	2301	-	ONT15.2162.18672	intron	HDDC3
chr15	2301	2415	-	ONT15.2162.18672	CDS	HDDC3
chr15	2416	2678	-	ONT15.2162.18672	UTR	NA
chr15	2678	2779	-	ONT15.2162.18672	intron	NA
chr15	2779	2995	-	ONT15.2162.18672	UTR	NA
chr15	965	1592	-	ONT15.2162.18678	UTR	NA
chr15	1593	1603	-	ONT15.2162.18678	CDS	HDDC3
chr15	1603	1751	-	ONT15.2162.18678	intron	HDDC3
chr15	1751	1991	-	ONT15.2162.18678	CDS	HDDC3
chr15	1991	2102	-	ONT15.2162.18678	intron	HDDC3
chr15	2102	2157	-	ONT15.2162.18678	CDS	HDDC3
chr15	2157	2301	-	ONT15.2162.18678	intron	HDDC3
chr15	2301	2415	-	ONT15.2162.18678	CDS	HDDC3
chr15	2416	2421	-	ONT15.2162.18678	UTR	NA
chr15	965	1324	-	ONT15.2162.18679	UTR	NA
chr15	1325	1452	-	ONT15.2162.18679	CDS	HDDC3
chr15	1452	1751	-	ONT15.2162.18679	intron	HDDC3
chr15	1751	1991	-	ONT15.2162.18679	CDS	HDDC3
chr15	1991	2111	-	ONT15.2162.18679	intron	HDDC3
chr15	2111	2157	-	ONT15.2162.18679	CDS	HDDC3
chr15	2157	2301	-	ONT15.2162.18679	intron	HDDC3
chr15	2301	2415	-	ONT15.2162.18679	CDS	HDDC3
chr15	2416	2417	-	ONT15.2162.18679	UTR	NA
chr15	965	1452	-	ONT15.2162.18681	UTR	NA
chr15	1452	1751	-	ONT15.2162.18681	intron	NA
chr15	1751	1991	-	ONT15.2162.18681	UTR	NA
chr15	1991	2102	-	ONT15.2162.18681	intron	NA
chr15	2102	2120	-	ONT15.2162.18681	UTR	NA
chr15	2121	2157	-	ONT15.2162.18681	CDS	HDDC3
chr15	2157	2261	-	ONT15.2162.18681	intron	HDDC3
chr15	2261	2415	-	ONT15.2162.18681	CDS	HDDC3
chr15	2416	2448	-	ONT15.2162.18681	UTR	NA
chr15	965	1324	-	ONT15.2162.18692	UTR	NA
chr15	1325	1452	-	ONT15.2162.18692	CDS	HDDC3
chr15	1452	1751	-	ONT15.2162.18692	intron	HDDC3
chr15	1751	1991	-	ONT15.2162.18692	CDS	HDDC3
