seqnames	start	end	strand	transcript_id	type	gene_id
chr18	27	119	-	ENST00000419743.7	UTR	NA
chr18	120	389	-	ENST00000419743.7	CDS	ENSG00000141665.13
chr18	389	890	-	ENST00000419743.7	intron	ENSG00000141665.13
chr18	890	1014	-	ENST00000419743.7	CDS	ENSG00000141665.13
chr18	1014	1891	-	ENST00000419743.7	intron	ENSG00000141665.13
chr18	1891	2033	-	ENST00000419743.7	CDS	ENSG00000141665.13
chr18	2033	2138	-	ENST00000419743.7	intron	ENSG00000141665.13
chr18	2138	2220	-	ENST00000419743.7	CDS	ENSG00000141665.13
chr18	2220	2323	-	ENST00000419743.7	intron	ENSG00000141665.13
chr18	2323	2449	-	ENST00000419743.7	CDS	ENSG00000141665.13
chr18	2449	2836	-	ENST00000419743.7	intron	ENSG00000141665.13
chr18	2836	3045	-	ENST00000419743.7	CDS	ENSG00000141665.13
chr18	3045	3146	-	ENST00000419743.7	intron	ENSG00000141665.13
chr18	3146	3388	-	ENST00000419743.7	CDS	ENSG00000141665.13
chr18	3388	3489	-	ENST00000419743.7	intron	ENSG00000141665.13
chr18	3489	3593	-	ENST00000419743.7	CDS	ENSG00000141665.13
chr18	3593	3696	-	ENST00000419743.7	intron	ENSG00000141665.13
chr18	3696	3806	-	ENST00000419743.7	CDS	ENSG00000141665.13
chr18	3806	4444	-	ENST00000419743.7	intron	ENSG00000141665.13
chr18	4444	4562	-	ENST00000419743.7	CDS	ENSG00000141665.13
chr18	4563	4608	-	ENST00000419743.7	UTR	NA
chr18	29	389	-	ONT18.5052.105	UTR	NA
chr18	389	890	-	ONT18.5052.105	intron	NA
chr18	890	1014	-	ONT18.5052.105	UTR	NA
chr18	1014	1891	-	ONT18.5052.105	intron	NA
chr18	1891	2033	-	ONT18.5052.105	UTR	NA
chr18	2033	2138	-	ONT18.5052.105	intron	NA
chr18	2138	2220	-	ONT18.5052.105	UTR	NA
chr18	2220	2323	-	ONT18.5052.105	intron	NA
chr18	2323	2449	-	ONT18.5052.105	UTR	NA
chr18	2449	2552	-	ONT18.5052.105	intron	NA
chr18	2552	2614	-	ONT18.5052.105	UTR	NA
chr18	2615	2735	-	ONT18.5052.105	CDS	FBXO15
chr18	2735	2836	-	ONT18.5052.105	intron	FBXO15
chr18	2836	3045	-	ONT18.5052.105	CDS	FBXO15
chr18	3045	3146	-	ONT18.5052.105	intron	FBXO15
chr18	3146	3388	-	ONT18.5052.105	CDS	FBXO15
chr18	3388	3489	-	ONT18.5052.105	intron	FBXO15
chr18	3489	3595	-	ONT18.5052.105	CDS	FBXO15
chr18	3595	3696	-	ONT18.5052.105	intron	NA
chr18	3696	3735	-	ONT18.5052.105	UTR	NA
chr18	27	389	-	ONT18.5052.107	UTR	NA
chr18	389	890	-	ONT18.5052.107	intron	NA
chr18	890	993	-	ONT18.5052.107	UTR	NA
chr18	994	1014	-	ONT18.5052.107	CDS	FBXO15
chr18	1014	2323	-	ONT18.5052.107	intron	FBXO15
chr18	2323	2449	-	ONT18.5052.107	CDS	FBXO15
chr18	2449	2836	-	ONT18.5052.107	intron	FBXO15
chr18	2836	3045	-	ONT18.5052.107	CDS	FBXO15
chr18	3045	3146	-	ONT18.5052.107	intron	FBXO15
chr18	3146	3388	-	ONT18.5052.107	CDS	FBXO15
chr18	3388	3489	-	ONT18.5052.107	intron	FBXO15
chr18	3489	3593	-	ONT18.5052.107	CDS	FBXO15
chr18	3593	3696	-	ONT18.5052.107	intron	FBXO15
chr18	3696	3806	-	ONT18.5052.107	CDS	FBXO15
chr18	3806	4444	-	ONT18.5052.107	intron	FBXO15
chr18	4444	4562	-	ONT18.5052.107	CDS	FBXO15
chr18	4563	4614	-	ONT18.5052.107	UTR	NA
chr18	32	122	-	ONT18.5052.11	UTR	NA
chr18	123	389	-	ONT18.5052.11	CDS	FBXO15
chr18	389	890	-	ONT18.5052.11	intron	FBXO15
chr18	890	1014	-	ONT18.5052.11	CDS	FBXO15
chr18	1014	1891	-	ONT18.5052.11	intron	FBXO15
chr18	1891	2033	-	ONT18.5052.11	CDS	FBXO15
chr18	2033	2138	-	ONT18.5052.11	intron	FBXO15
chr18	2138	2220	-	ONT18.5052.11	CDS	FBXO15
chr18	2220	2323	-	ONT18.5052.11	intron	FBXO15
chr18	2323	2449	-	ONT18.5052.11	CDS	FBXO15
chr18	2449	2836	-	ONT18.5052.11	intron	FBXO15
chr18	2836	3045	-	ONT18.5052.11	CDS	FBXO15
chr18	3045	3146	-	ONT18.5052.11	intron	FBXO15
chr18	3146	3388	-	ONT18.5052.11	CDS	FBXO15
chr18	3388	3489	-	ONT18.5052.11	intron	FBXO15
chr18	3489	3595	-	ONT18.5052.11	CDS	FBXO15
chr18	3595	3696	-	ONT18.5052.11	intron	NA
chr18	3696	3806	-	ONT18.5052.11	UTR	NA
chr18	3806	4689	-	ONT18.5052.11	intron	NA
chr18	4689	4744	-	ONT18.5052.11	UTR	NA
chr18	32	122	-	ONT18.5052.118	UTR	NA
chr18	123	389	-	ONT18.5052.118	CDS	FBXO15
chr18	389	890	-	ONT18.5052.118	intron	FBXO15
chr18	890	1014	-	ONT18.5052.118	CDS	FBXO15
chr18	1014	1891	-	ONT18.5052.118	intron	FBXO15
chr18	1891	2033	-	ONT18.5052.118	CDS	FBXO15
chr18	2033	2138	-	ONT18.5052.118	intron	FBXO15
chr18	2138	2220	-	ONT18.5052.118	CDS	FBXO15
chr18	2220	2323	-	ONT18.5052.118	intron	FBXO15
chr18	2323	2449	-	ONT18.5052.118	CDS	FBXO15
chr18	2449	3146	-	ONT18.5052.118	intron	FBXO15
chr18	3146	3388	-	ONT18.5052.118	CDS	FBXO15
chr18	3388	3489	-	ONT18.5052.118	intron	FBXO15
chr18	3489	3595	-	ONT18.5052.118	CDS	FBXO15
chr18	3595	3696	-	ONT18.5052.118	intron	NA
chr18	3696	3766	-	ONT18.5052.118	UTR	NA
chr18	2	122	-	ONT18.5052.12	UTR	NA
chr18	123	389	-	ONT18.5052.12	CDS	FBXO15
chr18	389	890	-	ONT18.5052.12	intron	FBXO15
