seqnames	start	end	strand	transcript_id	type	gene_id
chr11	5	217	+	ENST00000358752.4	UTR	NA
chr11	218	1813	+	ENST00000358752.4	CDS	ENSG00000196371.4
chr11	1814	5979	+	ENST00000358752.4	UTR	NA
chr11	2	217	+	ONT11.4281.8480	UTR	NA
chr11	218	1810	+	ONT11.4281.8480	CDS	FUT4
chr11	1811	2722	+	ONT11.4281.8480	UTR	NA
chr11	44	6018	+	ENST00000358752.4	exon	ENSG00000196371.4
chr11	2	240	+	ONT11.4281.8469	exon	FUT4
chr11	41	2761	+	ONT11.4281.8480	exon	FUT4
chr11	502	2728	+	ONT11.4281.8502	exon	FUT4
chr11	561	2949	+	ONT11.4281.8503	exon	FUT4
chr11	1137	2728	+	ONT11.4281.8517	exon	FUT4
chr11	1221	2728	+	ONT11.4281.8518	exon	FUT4
chr11	1219	2965	+	ONT11.4281.8519	exon	FUT4
chr11	1263	2724	+	ONT11.4281.8522	exon	FUT4
chr11	1419	2728	+	ONT11.4281.8529	exon	FUT4
chr11	1495	2943	+	ONT11.4281.8532	exon	FUT4
chr11	1560	2728	+	ONT11.4281.8533	exon	FUT4
chr11	1556	2949	+	ONT11.4281.8534	exon	FUT4
chr11	1725	2940	+	ONT11.4281.8538	exon	FUT4
chr11	1756	2728	+	ONT11.4281.8541	exon	FUT4
chr11	1799	2944	+	ONT11.4281.8546	exon	FUT4
chr11	1827	2728	+	ONT11.4281.8551	exon	FUT4
chr11	1938	2755	+	ONT11.4281.8554	exon	FUT4
chr11	2077	2940	+	ONT11.4281.8557	exon	FUT4
chr11	2267	2941	+	ONT11.4281.8564	exon	FUT4
chr11	2342	2728	+	ONT11.4281.8568	exon	FUT4
chr11	2379	2949	+	ONT11.4281.8569	exon	FUT4
chr11	2401	2728	+	ONT11.4281.8570	exon	FUT4
chr11	2422	6012	+	ONT11.4281.8571	exon	FUT4
chr11	2485	2761	+	ONT11.4281.8572	exon	FUT4
chr11	2474	2960	+	ONT11.4281.8573	exon	FUT4
chr11	2475	6018	+	ONT11.4281.8575	exon	FUT4
chr11	2774	2939	+	ONT11.4281.8586	exon	FUT4
chr11	2907	6022	+	ONT11.4281.8588	exon	FUT4
chr11	2937	4356	+	ONT11.4281.8589	exon	FUT4
chr11	3067	6012	+	ONT11.4281.8592	exon	FUT4
chr11	3300	6021	+	ONT11.4281.8593	exon	FUT4
chr11	3309	6021	+	ONT11.4281.8595	exon	FUT4
chr11	3461	6017	+	ONT11.4281.8596	exon	FUT4
chr11	3699	6018	+	ONT11.4281.8600	exon	FUT4
chr11	3753	6013	+	ONT11.4281.8601	exon	FUT4
chr11	3845	6017	+	ONT11.4281.8602	exon	FUT4
chr11	4088	6018	+	ONT11.4281.8606	exon	FUT4
chr11	4216	6018	+	ONT11.4281.8607	exon	FUT4
chr11	4279	6018	+	ONT11.4281.8608	exon	FUT4
chr11	4344	6014	+	ONT11.4281.8609	exon	FUT4
chr11	4407	6017	+	ONT11.4281.8610	exon	FUT4
chr11	4503	6018	+	ONT11.4281.8612	exon	FUT4
chr11	4585	6014	+	ONT11.4281.8614	exon	FUT4
chr11	4657	6018	+	ONT11.4281.8616	exon	FUT4
chr11	4725	6010	+	ONT11.4281.8619	exon	FUT4
chr11	4782	6018	+	ONT11.4281.8621	exon	FUT4
chr11	4853	6021	+	ONT11.4281.8623	exon	FUT4
chr11	4947	6014	+	ONT11.4281.8624	exon	FUT4
chr11	5038	6018	+	ONT11.4281.8626	exon	FUT4
chr11	5090	6021	+	ONT11.4281.8627	exon	FUT4
chr11	5227	6018	+	ONT11.4281.8629	exon	FUT4
chr11	5244	6010	+	ONT11.4281.8632	exon	FUT4
chr11	5302	6013	+	ONT11.4281.8634	exon	FUT4
chr11	5358	6008	+	ONT11.4281.8636	exon	FUT4
chr11	5417	6008	+	ONT11.4281.8638	exon	FUT4
chr11	5486	6016	+	ONT11.4281.8640	exon	FUT4
chr11	5556	6018	+	ONT11.4281.8642	exon	FUT4
chr11	5600	6018	+	ONT11.4281.8643	exon	FUT4
chr11	5662	6014	+	ONT11.4281.8647	exon	FUT4
chr11	5703	6020	+	ONT11.4281.8648	exon	FUT4
chr11	5761	6009	+	ONT11.4281.8651	exon	FUT4
chr11	5822	6014	+	ONT11.4281.8654	exon	FUT4
chr11	5878	6018	+	ONT11.4281.8655	exon	FUT4
