seqnames	start	end	strand	transcript_id	type	gene_id
chr5	109	369	+	ENST00000503335.7	UTR	NA
chr5	369	625	+	ENST00000503335.7	intron	NA
chr5	625	642	+	ENST00000503335.7	UTR	NA
chr5	643	758	+	ENST00000503335.7	CDS	ENSG00000145794.17
chr5	758	859	+	ENST00000503335.7	intron	ENSG00000145794.17
chr5	859	960	+	ENST00000503335.7	CDS	ENSG00000145794.17
chr5	960	1061	+	ENST00000503335.7	intron	ENSG00000145794.17
chr5	1061	1161	+	ENST00000503335.7	CDS	ENSG00000145794.17
chr5	1161	1262	+	ENST00000503335.7	intron	ENSG00000145794.17
chr5	1262	1354	+	ENST00000503335.7	CDS	ENSG00000145794.17
chr5	1354	1455	+	ENST00000503335.7	intron	ENSG00000145794.17
chr5	1455	1701	+	ENST00000503335.7	CDS	ENSG00000145794.17
chr5	1701	1802	+	ENST00000503335.7	intron	ENSG00000145794.17
chr5	1802	1922	+	ENST00000503335.7	CDS	ENSG00000145794.17
chr5	1922	2024	+	ENST00000503335.7	intron	ENSG00000145794.17
chr5	2024	2160	+	ENST00000503335.7	CDS	ENSG00000145794.17
chr5	2160	2745	+	ENST00000503335.7	intron	ENSG00000145794.17
chr5	2745	2957	+	ENST00000503335.7	CDS	ENSG00000145794.17
chr5	2957	3058	+	ENST00000503335.7	intron	ENSG00000145794.17
chr5	3058	3232	+	ENST00000503335.7	CDS	ENSG00000145794.17
chr5	3232	3337	+	ENST00000503335.7	intron	ENSG00000145794.17
chr5	3337	3457	+	ENST00000503335.7	CDS	ENSG00000145794.17
chr5	3457	3558	+	ENST00000503335.7	intron	ENSG00000145794.17
chr5	3558	3721	+	ENST00000503335.7	CDS	ENSG00000145794.17
chr5	3721	3822	+	ENST00000503335.7	intron	ENSG00000145794.17
chr5	3822	3924	+	ENST00000503335.7	CDS	ENSG00000145794.17
chr5	3924	6182	+	ENST00000503335.7	intron	ENSG00000145794.17
chr5	6182	6328	+	ENST00000503335.7	CDS	ENSG00000145794.17
chr5	6328	6429	+	ENST00000503335.7	intron	ENSG00000145794.17
chr5	6429	6563	+	ENST00000503335.7	CDS	ENSG00000145794.17
chr5	6563	6664	+	ENST00000503335.7	intron	ENSG00000145794.17
chr5	6664	6792	+	ENST00000503335.7	CDS	ENSG00000145794.17
chr5	6792	7199	+	ENST00000503335.7	intron	ENSG00000145794.17
chr5	7199	7327	+	ENST00000503335.7	CDS	ENSG00000145794.17
chr5	7327	7432	+	ENST00000503335.7	intron	ENSG00000145794.17
chr5	7432	7560	+	ENST00000503335.7	CDS	ENSG00000145794.17
chr5	7560	7665	+	ENST00000503335.7	intron	ENSG00000145794.17
chr5	7665	7793	+	ENST00000503335.7	CDS	ENSG00000145794.17
chr5	7793	7936	+	ENST00000503335.7	intron	ENSG00000145794.17
chr5	7936	8172	+	ENST00000503335.7	CDS	ENSG00000145794.17
chr5	8172	8276	+	ENST00000503335.7	intron	ENSG00000145794.17
chr5	8276	8403	+	ENST00000503335.7	CDS	ENSG00000145794.17
chr5	8403	8504	+	ENST00000503335.7	intron	ENSG00000145794.17
chr5	8504	8627	+	ENST00000503335.7	CDS	ENSG00000145794.17
chr5	8627	9416	+	ENST00000503335.7	intron	ENSG00000145794.17
chr5	9416	9460	+	ENST00000503335.7	CDS	ENSG00000145794.17
chr5	9460	9563	+	ENST00000503335.7	intron	ENSG00000145794.17
chr5	9563	9769	+	ENST00000503335.7	CDS	ENSG00000145794.17
chr5	9769	9870	+	ENST00000503335.7	intron	ENSG00000145794.17
chr5	9870	10063	+	ENST00000503335.7	CDS	ENSG00000145794.17
chr5	10064	13964	+	ENST00000503335.7	UTR	NA
chr5	2	369	+	ONT5.8644.10067	UTR	NA
chr5	369	625	+	ONT5.8644.10067	intron	NA
chr5	625	642	+	ONT5.8644.10067	UTR	NA
chr5	643	758	+	ONT5.8644.10067	CDS	MEGF10
chr5	758	859	+	ONT5.8644.10067	intron	MEGF10
chr5	859	960	+	ONT5.8644.10067	CDS	MEGF10
chr5	960	1061	+	ONT5.8644.10067	intron	MEGF10
chr5	1061	1161	+	ONT5.8644.10067	CDS	MEGF10
chr5	1161	1262	+	ONT5.8644.10067	intron	MEGF10
chr5	1262	1354	+	ONT5.8644.10067	CDS	MEGF10
chr5	1354	1455	+	ONT5.8644.10067	intron	MEGF10
chr5	1455	1701	+	ONT5.8644.10067	CDS	MEGF10
chr5	1701	1802	+	ONT5.8644.10067	intron	MEGF10
chr5	1802	1922	+	ONT5.8644.10067	CDS	MEGF10
chr5	1922	2024	+	ONT5.8644.10067	intron	MEGF10
chr5	2024	2160	+	ONT5.8644.10067	CDS	MEGF10
chr5	2160	2745	+	ONT5.8644.10067	intron	MEGF10
chr5	2745	2957	+	ONT5.8644.10067	CDS	MEGF10
chr5	2957	3058	+	ONT5.8644.10067	intron	MEGF10
chr5	3058	3232	+	ONT5.8644.10067	CDS	MEGF10
chr5	3232	3337	+	ONT5.8644.10067	intron	MEGF10
chr5	3337	3457	+	ONT5.8644.10067	CDS	MEGF10
chr5	3457	3558	+	ONT5.8644.10067	intron	MEGF10
chr5	3558	3721	+	ONT5.8644.10067	CDS	MEGF10
chr5	3721	3822	+	ONT5.8644.10067	intron	MEGF10
chr5	3822	3924	+	ONT5.8644.10067	CDS	MEGF10
chr5	3924	6182	+	ONT5.8644.10067	intron	MEGF10
chr5	6182	6328	+	ONT5.8644.10067	CDS	MEGF10
chr5	6328	6429	+	ONT5.8644.10067	intron	MEGF10
chr5	6429	6563	+	ONT5.8644.10067	CDS	MEGF10
chr5	6563	6664	+	ONT5.8644.10067	intron	MEGF10
chr5	6664	6792	+	ONT5.8644.10067	CDS	MEGF10
chr5	6792	7199	+	ONT5.8644.10067	intron	MEGF10
chr5	7199	7327	+	ONT5.8644.10067	CDS	MEGF10
chr5	7327	7432	+	ONT5.8644.10067	intron	MEGF10
chr5	7432	7560	+	ONT5.8644.10067	CDS	MEGF10
chr5	7560	7665	+	ONT5.8644.10067	intron	MEGF10
chr5	7665	7793	+	ONT5.8644.10067	CDS	MEGF10
chr5	7793	7936	+	ONT5.8644.10067	intron	MEGF10
chr5	7936	8172	+	ONT5.8644.10067	CDS	MEGF10
chr5	8172	8276	+	ONT5.8644.10067	intron	MEGF10
chr5	8276	8403	+	ONT5.8644.10067	CDS	MEGF10
chr5	8403	8504	+	ONT5.8644.10067	intron	MEGF10
chr5	8504	8627	+	ONT5.8644.10067	CDS	MEGF10
chr5	8627	9416	+	ONT5.8644.10067	intron	MEGF10
chr5	9416	9460	+	ONT5.8644.10067	CDS	MEGF10
chr5	9460	9563	+	ONT5.8644.10067	intron	MEGF10
chr5	9563	9769	+	ONT5.8644.10067	CDS	MEGF10
chr5	9769	9870	+	ONT5.8644.10067	intron	MEGF10
chr5	9870	10060	+	ONT5.8644.10067	CDS	MEGF10
chr5	10061	11383	+	ONT5.8644.10067	UTR	NA
chr5	35	369	+	ONT5.8644.10077	UTR	NA
chr5	369	625	+	ONT5.8644.10077	intron	NA
chr5	625	642	+	ONT5.8644.10077	UTR	NA
chr5	643	758	+	ONT5.8644.10077	CDS	MEGF10
chr5	758	859	+	ONT5.8644.10077	intron	MEGF10
chr5	859	960	+	ONT5.8644.10077	CDS	MEGF10
chr5	960	1061	+	ONT5.8644.10077	intron	MEGF10
chr5	1061	1161	+	ONT5.8644.10077	CDS	MEGF10
chr5	1161	1262	+	ONT5.8644.10077	intron	MEGF10
chr5	1262	1354	+	ONT5.8644.10077	CDS	MEGF10
chr5	1354	1455	+	ONT5.8644.10077	intron	MEGF10
chr5	1455	1701	+	ONT5.8644.10077	CDS	MEGF10
chr5	1701	1802	+	ONT5.8644.10077	intron	MEGF10
chr5	1802	1922	+	ONT5.8644.10077	CDS	MEGF10
chr5	1922	2024	+	ONT5.8644.10077	intron	MEGF10
