seqnames	start	end	strand	transcript_id	type	gene_id
chr4	165	347	+	ENST00000307142.9	UTR	NA
chr4	348	452	+	ENST00000307142.9	CDS	ENSG00000172403.11
chr4	452	553	+	ENST00000307142.9	intron	ENSG00000172403.11
chr4	553	704	+	ENST00000307142.9	CDS	ENSG00000172403.11
chr4	704	805	+	ENST00000307142.9	intron	ENSG00000172403.11
chr4	805	1616	+	ENST00000307142.9	CDS	ENSG00000172403.11
chr4	1616	1717	+	ENST00000307142.9	intron	ENSG00000172403.11
chr4	1717	3899	+	ENST00000307142.9	CDS	ENSG00000172403.11
chr4	3899	5705	+	ENST00000307142.9	intron	ENSG00000172403.11
chr4	5705	6241	+	ENST00000307142.9	CDS	ENSG00000172403.11
chr4	6242	9551	+	ENST00000307142.9	UTR	NA
chr4	2	347	+	ONT4.8414.10478	UTR	NA
chr4	348	452	+	ONT4.8414.10478	CDS	SYNPO2
chr4	452	553	+	ONT4.8414.10478	intron	SYNPO2
chr4	553	704	+	ONT4.8414.10478	CDS	SYNPO2
chr4	704	805	+	ONT4.8414.10478	intron	SYNPO2
chr4	805	1616	+	ONT4.8414.10478	CDS	SYNPO2
chr4	1616	1717	+	ONT4.8414.10478	intron	SYNPO2
chr4	1717	3929	+	ONT4.8414.10478	CDS	SYNPO2
chr4	3930	5604	+	ONT4.8414.10478	UTR	NA
chr4	53	347	+	ONT4.8414.10482	UTR	NA
chr4	348	452	+	ONT4.8414.10482	CDS	SYNPO2
chr4	452	553	+	ONT4.8414.10482	intron	SYNPO2
chr4	553	704	+	ONT4.8414.10482	CDS	SYNPO2
chr4	704	805	+	ONT4.8414.10482	intron	SYNPO2
chr4	805	1616	+	ONT4.8414.10482	CDS	SYNPO2
chr4	1616	1717	+	ONT4.8414.10482	intron	SYNPO2
chr4	1717	3929	+	ONT4.8414.10482	CDS	SYNPO2
chr4	3930	5602	+	ONT4.8414.10482	UTR	NA
chr4	136	347	+	ONT4.8414.10489	UTR	NA
chr4	348	452	+	ONT4.8414.10489	CDS	SYNPO2
chr4	452	553	+	ONT4.8414.10489	intron	SYNPO2
chr4	553	704	+	ONT4.8414.10489	CDS	SYNPO2
chr4	704	805	+	ONT4.8414.10489	intron	SYNPO2
chr4	805	1616	+	ONT4.8414.10489	CDS	SYNPO2
chr4	1616	1717	+	ONT4.8414.10489	intron	SYNPO2
chr4	1717	3929	+	ONT4.8414.10489	CDS	SYNPO2
chr4	3930	5604	+	ONT4.8414.10489	UTR	NA
chr4	158	347	+	ONT4.8414.10506	UTR	NA
chr4	348	452	+	ONT4.8414.10506	CDS	SYNPO2
chr4	452	553	+	ONT4.8414.10506	intron	SYNPO2
chr4	553	704	+	ONT4.8414.10506	CDS	SYNPO2
chr4	704	5705	+	ONT4.8414.10506	intron	SYNPO2
chr4	5705	5819	+	ONT4.8414.10506	CDS	SYNPO2
chr4	5820	9551	+	ONT4.8414.10506	UTR	NA
chr4	250	347	+	ONT4.8414.10525	UTR	NA
chr4	348	452	+	ONT4.8414.10525	CDS	SYNPO2
chr4	452	553	+	ONT4.8414.10525	intron	SYNPO2
chr4	553	704	+	ONT4.8414.10525	CDS	SYNPO2
chr4	704	805	+	ONT4.8414.10525	intron	SYNPO2
chr4	805	1616	+	ONT4.8414.10525	CDS	SYNPO2
chr4	1616	1717	+	ONT4.8414.10525	intron	SYNPO2
chr4	1717	3929	+	ONT4.8414.10525	CDS	SYNPO2
chr4	3930	5604	+	ONT4.8414.10525	UTR	NA
chr4	247	347	+	ONT4.8414.10531	UTR	NA
chr4	348	452	+	ONT4.8414.10531	CDS	SYNPO2
chr4	452	553	+	ONT4.8414.10531	intron	SYNPO2
chr4	553	704	+	ONT4.8414.10531	CDS	SYNPO2
chr4	704	5705	+	ONT4.8414.10531	intron	SYNPO2
