seqnames	start	end	strand	transcript_id	type	gene_id
chr2	2	9773	-	ENST00000283243.13	UTR	NA
chr2	9774	9988	-	ENST00000283243.13	CDS	ENSG00000153246.13
chr2	9988	10089	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	10089	10121	-	ENST00000283243.13	CDS	ENSG00000153246.13
chr2	10121	10222	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	10222	10398	-	ENST00000283243.13	CDS	ENSG00000153246.13
chr2	10398	10499	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	10499	10615	-	ENST00000283243.13	CDS	ENSG00000153246.13
chr2	10615	10716	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	10716	10856	-	ENST00000283243.13	CDS	ENSG00000153246.13
chr2	10856	10957	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	10957	11125	-	ENST00000283243.13	CDS	ENSG00000153246.13
chr2	11125	11226	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	11226	11464	-	ENST00000283243.13	CDS	ENSG00000153246.13
chr2	11464	11565	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	11565	11712	-	ENST00000283243.13	CDS	ENSG00000153246.13
chr2	11712	11813	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	11813	11943	-	ENST00000283243.13	CDS	ENSG00000153246.13
chr2	11943	12044	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	12044	12161	-	ENST00000283243.13	CDS	ENSG00000153246.13
chr2	12161	12262	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	12262	12401	-	ENST00000283243.13	CDS	ENSG00000153246.13
chr2	12401	12502	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	12502	12605	-	ENST00000283243.13	CDS	ENSG00000153246.13
chr2	12605	12706	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	12706	12770	-	ENST00000283243.13	CDS	ENSG00000153246.13
chr2	12770	12871	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	12871	13028	-	ENST00000283243.13	CDS	ENSG00000153246.13
chr2	13028	13129	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	13129	13164	-	ENST00000283243.13	CDS	ENSG00000153246.13
chr2	13164	13265	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	13265	13397	-	ENST00000283243.13	CDS	ENSG00000153246.13
chr2	13397	13498	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	13498	13582	-	ENST00000283243.13	CDS	ENSG00000153246.13
chr2	13582	13683	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	13683	13828	-	ENST00000283243.13	CDS	ENSG00000153246.13
chr2	13828	13929	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	13929	14131	-	ENST00000283243.13	CDS	ENSG00000153246.13
chr2	14131	14232	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	14232	14401	-	ENST00000283243.13	CDS	ENSG00000153246.13
chr2	14401	14502	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	14502	14614	-	ENST00000283243.13	CDS	ENSG00000153246.13
chr2	14614	14715	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	14715	14813	-	ENST00000283243.13	CDS	ENSG00000153246.13
chr2	14813	14914	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	14914	15071	-	ENST00000283243.13	CDS	ENSG00000153246.13
chr2	15071	15172	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	15172	15366	-	ENST00000283243.13	CDS	ENSG00000153246.13
chr2	15366	15467	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	15467	15610	-	ENST00000283243.13	CDS	ENSG00000153246.13
chr2	15610	15711	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	15711	15824	-	ENST00000283243.13	CDS	ENSG00000153246.13
chr2	15824	15925	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	15925	16098	-	ENST00000283243.13	CDS	ENSG00000153246.13
chr2	16098	16199	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	16199	16372	-	ENST00000283243.13	CDS	ENSG00000153246.13
chr2	16372	16473	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	16473	16856	-	ENST00000283243.13	CDS	ENSG00000153246.13
chr2	16856	16957	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	16957	17068	-	ENST00000283243.13	CDS	ENSG00000153246.13
chr2	17069	17277	-	ENST00000283243.13	UTR	NA
chr2	2	9988	-	ENST00000283243.13	exon	ENSG00000153246.13
chr2	9988	10089	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	10089	10121	-	ENST00000283243.13	exon	ENSG00000153246.13
chr2	10121	10222	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	10222	10398	-	ENST00000283243.13	exon	ENSG00000153246.13
chr2	10398	10499	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	10499	10615	-	ENST00000283243.13	exon	ENSG00000153246.13
chr2	10615	10716	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	10716	10856	-	ENST00000283243.13	exon	ENSG00000153246.13
chr2	10856	10957	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	10957	11125	-	ENST00000283243.13	exon	ENSG00000153246.13
chr2	11125	11226	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	11226	11464	-	ENST00000283243.13	exon	ENSG00000153246.13
chr2	11464	11565	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	11565	11712	-	ENST00000283243.13	exon	ENSG00000153246.13
chr2	11712	11813	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	11813	11943	-	ENST00000283243.13	exon	ENSG00000153246.13
chr2	11943	12044	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	12044	12161	-	ENST00000283243.13	exon	ENSG00000153246.13
chr2	12161	12262	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	12262	12401	-	ENST00000283243.13	exon	ENSG00000153246.13
chr2	12401	12502	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	12502	12605	-	ENST00000283243.13	exon	ENSG00000153246.13
chr2	12605	12706	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	12706	12770	-	ENST00000283243.13	exon	ENSG00000153246.13
chr2	12770	12871	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	12871	13028	-	ENST00000283243.13	exon	ENSG00000153246.13
chr2	13028	13129	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	13129	13164	-	ENST00000283243.13	exon	ENSG00000153246.13
chr2	13164	13265	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	13265	13397	-	ENST00000283243.13	exon	ENSG00000153246.13
chr2	13397	13498	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	13498	13582	-	ENST00000283243.13	exon	ENSG00000153246.13
chr2	13582	13683	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	13683	13828	-	ENST00000283243.13	exon	ENSG00000153246.13
chr2	13828	13929	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	13929	14131	-	ENST00000283243.13	exon	ENSG00000153246.13
chr2	14131	14232	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	14232	14401	-	ENST00000283243.13	exon	ENSG00000153246.13
chr2	14401	14502	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	14502	14614	-	ENST00000283243.13	exon	ENSG00000153246.13
chr2	14614	14715	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	14715	14813	-	ENST00000283243.13	exon	ENSG00000153246.13
chr2	14813	14914	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	14914	15071	-	ENST00000283243.13	exon	ENSG00000153246.13
chr2	15071	15172	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	15172	15366	-	ENST00000283243.13	exon	ENSG00000153246.13
chr2	15366	15467	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	15467	15610	-	ENST00000283243.13	exon	ENSG00000153246.13
chr2	15610	15711	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	15711	15824	-	ENST00000283243.13	exon	ENSG00000153246.13
chr2	15824	15925	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	15925	16098	-	ENST00000283243.13	exon	ENSG00000153246.13
chr2	16098	16199	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	16199	16372	-	ENST00000283243.13	exon	ENSG00000153246.13
chr2	16372	17128	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	17128	17511	-	ENST00000283243.13	exon	ENSG00000153246.13
chr2	17511	17612	-	ENST00000283243.13	intron	ENSG00000153246.13
chr2	17612	17932	-	ENST00000283243.13	exon	ENSG00000153246.13
chr2	8	294	-	ONT2.9549.14492	exon	PLA2R1
chr2	295	400	-	ONT2.9549.14492	exon	PLA2R1
chr2	16473	17511	-	ONT2.9549.14992	exon	PLA2R1
chr2	17512	17570	-	ONT2.9549.14992	exon	PLA2R1
