seqnames	start	end	strand	transcript_id	type	gene_id
chr4	294	2026	-	ENST00000273814.8	UTR	NA
chr4	2027	2128	-	ENST00000273814.8	CDS	ENSG00000145214.14
chr4	2128	2456	-	ENST00000273814.8	intron	ENSG00000145214.14
chr4	2456	2608	-	ENST00000273814.8	CDS	ENSG00000145214.14
chr4	2608	2710	-	ENST00000273814.8	intron	ENSG00000145214.14
chr4	2710	2821	-	ENST00000273814.8	CDS	ENSG00000145214.14
chr4	2821	2922	-	ENST00000273814.8	intron	ENSG00000145214.14
chr4	2922	3068	-	ENST00000273814.8	CDS	ENSG00000145214.14
chr4	3068	3169	-	ENST00000273814.8	intron	ENSG00000145214.14
chr4	3169	3269	-	ENST00000273814.8	CDS	ENSG00000145214.14
chr4	3269	3370	-	ENST00000273814.8	intron	ENSG00000145214.14
chr4	3370	3548	-	ENST00000273814.8	CDS	ENSG00000145214.14
chr4	3548	3649	-	ENST00000273814.8	intron	ENSG00000145214.14
chr4	3649	3797	-	ENST00000273814.8	CDS	ENSG00000145214.14
chr4	3797	3899	-	ENST00000273814.8	intron	ENSG00000145214.14
chr4	3899	4050	-	ENST00000273814.8	CDS	ENSG00000145214.14
chr4	4050	5357	-	ENST00000273814.8	intron	ENSG00000145214.14
chr4	5357	5472	-	ENST00000273814.8	CDS	ENSG00000145214.14
chr4	5472	5604	-	ENST00000273814.8	intron	ENSG00000145214.14
chr4	5604	5642	-	ENST00000273814.8	CDS	ENSG00000145214.14
chr4	5642	5745	-	ENST00000273814.8	intron	ENSG00000145214.14
chr4	5745	5895	-	ENST00000273814.8	CDS	ENSG00000145214.14
chr4	5895	5996	-	ENST00000273814.8	intron	ENSG00000145214.14
chr4	5996	6057	-	ENST00000273814.8	CDS	ENSG00000145214.14
chr4	6057	6158	-	ENST00000273814.8	intron	ENSG00000145214.14
chr4	6158	6212	-	ENST00000273814.8	CDS	ENSG00000145214.14
chr4	6212	6313	-	ENST00000273814.8	intron	ENSG00000145214.14
chr4	6313	6403	-	ENST00000273814.8	CDS	ENSG00000145214.14
chr4	6403	6478	-	ENST00000273814.8	intron	ENSG00000145214.14
chr4	6478	6710	-	ENST00000273814.8	CDS	ENSG00000145214.14
