seqnames	start	end	strand	transcript_id	type	gene_id
chr5	2	4296	-	ENST00000257536.13	UTR	NA
chr5	4297	4717	-	ENST00000257536.13	CDS	ENSG00000135083.17
chr5	4717	5125	-	ENST00000257536.13	intron	ENSG00000135083.17
chr5	5125	5284	-	ENST00000257536.13	CDS	ENSG00000135083.17
chr5	5284	5464	-	ENST00000257536.13	intron	ENSG00000135083.17
chr5	5464	5766	-	ENST00000257536.13	CDS	ENSG00000135083.17
chr5	5766	5867	-	ENST00000257536.13	intron	ENSG00000135083.17
chr5	5867	6080	-	ENST00000257536.13	CDS	ENSG00000135083.17
chr5	6080	6181	-	ENST00000257536.13	intron	ENSG00000135083.17
chr5	6181	6249	-	ENST00000257536.13	CDS	ENSG00000135083.17
chr5	6250	6295	-	ENST00000257536.13	UTR	NA
chr5	6295	6396	-	ENST00000257536.13	intron	NA
chr5	6396	6596	-	ENST00000257536.13	UTR	NA
chr5	2571	4299	-	ONT5.9524.3401	UTR	NA
chr5	4300	4717	-	ONT5.9524.3401	CDS	CCNJL
chr5	4717	5125	-	ONT5.9524.3401	intron	CCNJL
chr5	5125	5284	-	ONT5.9524.3401	CDS	CCNJL
chr5	5284	5464	-	ONT5.9524.3401	intron	CCNJL
chr5	5464	5766	-	ONT5.9524.3401	CDS	CCNJL
chr5	5766	5867	-	ONT5.9524.3401	intron	CCNJL
chr5	5867	6080	-	ONT5.9524.3401	CDS	CCNJL
chr5	6080	6181	-	ONT5.9524.3401	intron	CCNJL
chr5	6181	6249	-	ONT5.9524.3401	CDS	CCNJL
chr5	6250	6295	-	ONT5.9524.3401	UTR	NA
chr5	6295	6396	-	ONT5.9524.3401	intron	NA
chr5	6396	6564	-	ONT5.9524.3401	UTR	NA
chr5	2571	4299	-	ONT5.9524.3402	UTR	NA
chr5	4300	4665	-	ONT5.9524.3402	CDS	CCNJL
chr5	4666	4717	-	ONT5.9524.3402	UTR	NA
chr5	4717	4818	-	ONT5.9524.3402	intron	NA
chr5	4818	4932	-	ONT5.9524.3402	UTR	NA
chr5	2571	4299	-	ONT5.9524.3406	UTR	NA
