seqnames	start	end	strand	transcript_id	type	gene_id
chr19	2	813	-	ENST00000291294.7	UTR	NA
chr19	814	1206	-	ENST00000291294.7	CDS	ENSG00000160013.9
chr19	1206	1307	-	ENST00000291294.7	intron	ENSG00000160013.9
chr19	1307	2077	-	ENST00000291294.7	CDS	ENSG00000160013.9
chr19	2078	2086	-	ENST00000291294.7	UTR	NA
chr19	2086	2187	-	ENST00000291294.7	intron	NA
chr19	2187	2279	-	ENST00000291294.7	UTR	NA
chr19	11	816	-	ONT19.575.43043	UTR	NA
chr19	817	1206	-	ONT19.575.43043	CDS	PTGIR
chr19	1206	1307	-	ONT19.575.43043	intron	PTGIR
chr19	1307	2077	-	ONT19.575.43043	CDS	PTGIR
chr19	2078	2086	-	ONT19.575.43043	UTR	NA
chr19	2086	2187	-	ONT19.575.43043	intron	NA
chr19	2187	2251	-	ONT19.575.43043	UTR	NA
chr19	2	1206	-	ENST00000291294.7	exon	ENSG00000160013.9
chr19	1206	1307	-	ENST00000291294.7	intron	ENSG00000160013.9
chr19	1307	2086	-	ENST00000291294.7	exon	ENSG00000160013.9
chr19	2086	2187	-	ENST00000291294.7	intron	NA
chr19	2187	2279	-	ENST00000291294.7	exon	ENSG00000160013.9
chr19	11	1206	-	ONT19.575.43043	exon	PTGIR
chr19	1206	1307	-	ONT19.575.43043	intron	PTGIR
chr19	1307	2086	-	ONT19.575.43043	exon	PTGIR
chr19	2086	2187	-	ONT19.575.43043	intron	NA
chr19	2187	2251	-	ONT19.575.43043	exon	PTGIR
