seqnames	start	end	strand	transcript_id	type	gene_id
chr5	497	3689	-	ENST00000315948.11	UTR	NA
chr5	3690	4355	-	ENST00000315948.11	CDS	ENSG00000176018.13
chr5	4355	4456	-	ENST00000315948.11	intron	ENSG00000176018.13
chr5	4456	4713	-	ENST00000315948.11	CDS	ENSG00000176018.13
chr5	4714	4721	-	ENST00000315948.11	UTR	NA
chr5	4721	5441	-	ENST00000315948.11	intron	NA
chr5	5441	5577	-	ENST00000315948.11	UTR	NA
chr5	2	3692	-	ONT5.6061.1764	UTR	NA
chr5	3693	4355	-	ONT5.6061.1764	CDS	LYSMD3
chr5	4355	4456	-	ONT5.6061.1764	intron	LYSMD3
chr5	4456	4713	-	ONT5.6061.1764	CDS	LYSMD3
chr5	4714	4721	-	ONT5.6061.1764	UTR	NA
chr5	4721	5441	-	ONT5.6061.1764	intron	NA
chr5	5441	5568	-	ONT5.6061.1764	UTR	NA
chr5	497	3692	-	ONT5.6061.1771	UTR	NA
chr5	3693	4355	-	ONT5.6061.1771	CDS	LYSMD3
chr5	4355	4456	-	ONT5.6061.1771	intron	LYSMD3
chr5	4456	4713	-	ONT5.6061.1771	CDS	LYSMD3
chr5	4714	4721	-	ONT5.6061.1771	UTR	NA
chr5	4721	5441	-	ONT5.6061.1771	intron	NA
chr5	5441	5584	-	ONT5.6061.1771	UTR	NA
chr5	497	3692	-	ONT5.6061.1774	UTR	NA
chr5	3693	4355	-	ONT5.6061.1774	CDS	LYSMD3
chr5	4355	4456	-	ONT5.6061.1774	intron	LYSMD3
chr5	4456	4713	-	ONT5.6061.1774	CDS	LYSMD3
chr5	4714	4721	-	ONT5.6061.1774	UTR	NA
chr5	4721	5441	-	ONT5.6061.1774	intron	NA
chr5	5441	5718	-	ONT5.6061.1774	UTR	NA
chr5	497	3692	-	ONT5.6061.1775	UTR	NA
chr5	3693	4355	-	ONT5.6061.1775	CDS	LYSMD3
chr5	4355	4456	-	ONT5.6061.1775	intron	LYSMD3
chr5	4456	4713	-	ONT5.6061.1775	CDS	LYSMD3
chr5	4714	4721	-	ONT5.6061.1775	UTR	NA
chr5	4721	5008	-	ONT5.6061.1775	intron	NA
chr5	5008	5583	-	ONT5.6061.1775	UTR	NA
chr5	497	3692	-	ONT5.6061.1781	UTR	NA
chr5	3693	4355	-	ONT5.6061.1781	CDS	LYSMD3
chr5	4355	4456	-	ONT5.6061.1781	intron	LYSMD3
chr5	4456	4713	-	ONT5.6061.1781	CDS	LYSMD3
chr5	4714	4714	-	ONT5.6061.1781	UTR	NA
