seqnames	start	end	strand	transcript_id	type	gene_id
chr20	2	6437	-	ENST00000359125.7	UTR	NA
chr20	6438	7169	-	ENST00000359125.7	CDS	ENSG00000075043.20
chr20	7169	7270	-	ENST00000359125.7	intron	ENSG00000075043.20
chr20	7270	7393	-	ENST00000359125.7	CDS	ENSG00000075043.20
chr20	7393	8705	-	ENST00000359125.7	intron	ENSG00000075043.20
chr20	8705	8836	-	ENST00000359125.7	CDS	ENSG00000075043.20
chr20	8836	8937	-	ENST00000359125.7	intron	ENSG00000075043.20
chr20	8937	9042	-	ENST00000359125.7	CDS	ENSG00000075043.20
chr20	9042	9149	-	ENST00000359125.7	intron	ENSG00000075043.20
chr20	9149	9372	-	ENST00000359125.7	CDS	ENSG00000075043.20
chr20	9372	9476	-	ENST00000359125.7	intron	ENSG00000075043.20
chr20	9476	9529	-	ENST00000359125.7	CDS	ENSG00000075043.20
chr20	9529	9630	-	ENST00000359125.7	intron	ENSG00000075043.20
chr20	9630	9659	-	ENST00000359125.7	CDS	ENSG00000075043.20
chr20	9659	9779	-	ENST00000359125.7	intron	ENSG00000075043.20
chr20	9779	9847	-	ENST00000359125.7	CDS	ENSG00000075043.20
chr20	9847	9950	-	ENST00000359125.7	intron	ENSG00000075043.20
chr20	9950	9979	-	ENST00000359125.7	CDS	ENSG00000075043.20
chr20	9979	10211	-	ENST00000359125.7	intron	ENSG00000075043.20
chr20	10211	10305	-	ENST00000359125.7	CDS	ENSG00000075043.20
chr20	10305	11210	-	ENST00000359125.7	intron	ENSG00000075043.20
chr20	11210	11305	-	ENST00000359125.7	CDS	ENSG00000075043.20
chr20	11305	11406	-	ENST00000359125.7	intron	ENSG00000075043.20
chr20	11406	11516	-	ENST00000359125.7	CDS	ENSG00000075043.20
chr20	11516	11617	-	ENST00000359125.7	intron	ENSG00000075043.20
chr20	11617	11742	-	ENST00000359125.7	CDS	ENSG00000075043.20
chr20	11742	12071	-	ENST00000359125.7	intron	ENSG00000075043.20
chr20	12071	12246	-	ENST00000359125.7	CDS	ENSG00000075043.20
chr20	12246	12595	-	ENST00000359125.7	intron	ENSG00000075043.20
chr20	12595	12721	-	ENST00000359125.7	CDS	ENSG00000075043.20
chr20	12721	13930	-	ENST00000359125.7	intron	ENSG00000075043.20
chr20	13930	14020	-	ENST00000359125.7	CDS	ENSG00000075043.20
chr20	14020	15958	-	ENST00000359125.7	intron	ENSG00000075043.20
chr20	15958	16256	-	ENST00000359125.7	CDS	ENSG00000075043.20
chr20	16257	16445	-	ENST00000359125.7	UTR	NA
chr20	10	1795	-	ONT20.3433.1167	UTR	NA
chr20	1795	1855	-	ONT20.3433.1167	intron	NA
chr20	1855	2499	-	ONT20.3433.1167	UTR	NA
chr20	2500	3270	-	ONT20.3433.1167	CDS	KCNQ2
chr20	3271	3492	-	ONT20.3433.1167	UTR	NA
chr20	4	1795	-	ONT20.3433.1172	UTR	NA
chr20	1795	1853	-	ONT20.3433.1172	intron	NA
chr20	1853	2499	-	ONT20.3433.1172	UTR	NA
chr20	2500	3270	-	ONT20.3433.1172	CDS	KCNQ2
chr20	3271	4423	-	ONT20.3433.1172	UTR	NA
chr20	2	1795	-	ONT20.3433.1197	UTR	NA
chr20	1795	1855	-	ONT20.3433.1197	intron	NA
chr20	1855	2499	-	ONT20.3433.1197	UTR	NA
chr20	2500	3270	-	ONT20.3433.1197	CDS	KCNQ2
chr20	3271	3771	-	ONT20.3433.1197	UTR	NA
chr20	4	1795	-	ONT20.3433.1199	UTR	NA
chr20	1795	1855	-	ONT20.3433.1199	intron	NA
chr20	1855	2499	-	ONT20.3433.1199	UTR	NA
chr20	2500	3066	-	ONT20.3433.1199	CDS	KCNQ2
chr20	3067	3161	-	ONT20.3433.1199	UTR	NA
chr20	7	1795	-	ONT20.3433.1201	UTR	NA
chr20	1795	1855	-	ONT20.3433.1201	intron	NA
chr20	1855	2499	-	ONT20.3433.1201	UTR	NA
chr20	2500	3270	-	ONT20.3433.1201	CDS	KCNQ2
chr20	3271	3678	-	ONT20.3433.1201	UTR	NA
chr20	2	744	-	ONT20.3433.1203	UTR	NA
chr20	745	1010	-	ONT20.3433.1203	CDS	KCNQ2
chr20	1010	1250	-	ONT20.3433.1203	intron	KCNQ2
chr20	1250	1385	-	ONT20.3433.1203	CDS	KCNQ2
chr20	1386	1704	-	ONT20.3433.1203	UTR	NA
chr20	8	1795	-	ONT20.3433.1219	UTR	NA
chr20	1795	1853	-	ONT20.3433.1219	intron	NA
chr20	1853	2499	-	ONT20.3433.1219	UTR	NA
chr20	2500	3270	-	ONT20.3433.1219	CDS	KCNQ2
chr20	3271	4761	-	ONT20.3433.1219	UTR	NA
chr20	4	1010	-	ONT20.3433.1378	UTR	NA
chr20	1010	1250	-	ONT20.3433.1378	intron	NA
chr20	1250	2499	-	ONT20.3433.1378	UTR	NA
chr20	2500	3066	-	ONT20.3433.1378	CDS	KCNQ2
chr20	3067	3121	-	ONT20.3433.1378	UTR	NA
chr20	8	1010	-	ONT20.3433.1477	UTR	NA
chr20	1010	1250	-	ONT20.3433.1477	intron	NA
chr20	1250	2499	-	ONT20.3433.1477	UTR	NA
chr20	2500	3270	-	ONT20.3433.1477	CDS	KCNQ2
chr20	3271	3997	-	ONT20.3433.1477	UTR	NA
chr20	5833	6440	-	ONT20.3433.1748	UTR	NA
chr20	6441	7169	-	ONT20.3433.1748	CDS	KCNQ2
chr20	7169	7270	-	ONT20.3433.1748	intron	KCNQ2
chr20	7270	7305	-	ONT20.3433.1748	CDS	KCNQ2
chr20	7306	7320	-	ONT20.3433.1748	UTR	NA
chr20	5833	6440	-	ONT20.3433.1751	UTR	NA
chr20	6441	7169	-	ONT20.3433.1751	CDS	KCNQ2
chr20	7169	7270	-	ONT20.3433.1751	intron	KCNQ2
chr20	7270	7393	-	ONT20.3433.1751	CDS	KCNQ2
chr20	7393	8705	-	ONT20.3433.1751	intron	KCNQ2
chr20	8705	8835	-	ONT20.3433.1751	CDS	KCNQ2
chr20	8836	8836	-	ONT20.3433.1751	UTR	NA
chr20	8836	8940	-	ONT20.3433.1751	intron	NA
chr20	8940	9042	-	ONT20.3433.1751	UTR	NA
chr20	9042	9149	-	ONT20.3433.1751	intron	NA
chr20	9149	9374	-	ONT20.3433.1751	UTR	NA
chr20	5848	6440	-	ONT20.3433.1753	UTR	NA
chr20	6441	7169	-	ONT20.3433.1753	CDS	KCNQ2
chr20	7169	7270	-	ONT20.3433.1753	intron	KCNQ2
chr20	7270	7393	-	ONT20.3433.1753	CDS	KCNQ2
chr20	7393	8705	-	ONT20.3433.1753	intron	KCNQ2
chr20	8705	8835	-	ONT20.3433.1753	CDS	KCNQ2
chr20	8836	8836	-	ONT20.3433.1753	UTR	NA
chr20	8836	8937	-	ONT20.3433.1753	intron	NA
chr20	8937	9042	-	ONT20.3433.1753	UTR	NA
chr20	9042	9149	-	ONT20.3433.1753	intron	NA
chr20	9149	9303	-	ONT20.3433.1753	UTR	NA
chr20	5848	6440	-	ONT20.3433.1765	UTR	NA
chr20	6441	7169	-	ONT20.3433.1765	CDS	KCNQ2
chr20	7169	7270	-	ONT20.3433.1765	intron	KCNQ2
chr20	7270	7305	-	ONT20.3433.1765	CDS	KCNQ2
chr20	7306	7393	-	ONT20.3433.1765	UTR	NA
chr20	7393	8705	-	ONT20.3433.1765	intron	NA
chr20	8705	8722	-	ONT20.3433.1765	UTR	NA
chr20	5848	6440	-	ONT20.3433.1766	UTR	NA
chr20	6441	7169	-	ONT20.3433.1766	CDS	KCNQ2
chr20	7169	7270	-	ONT20.3433.1766	intron	KCNQ2
chr20	7270	7393	-	ONT20.3433.1766	CDS	KCNQ2
chr20	7393	8705	-	ONT20.3433.1766	intron	KCNQ2
chr20	8705	8835	-	ONT20.3433.1766	CDS	KCNQ2
chr20	5841	7169	-	ONT20.3433.1787	UTR	NA
