seqnames	start	end	strand	transcript_id	type	gene_id
chr10	12	2061	-	ENST00000374139.8	UTR	NA
chr10	2062	2327	-	ENST00000374139.8	CDS	ENSG00000165606.10
chr10	2327	2428	-	ENST00000374139.8	intron	ENSG00000165606.10
chr10	2428	2540	-	ENST00000374139.8	CDS	ENSG00000165606.10
chr10	2540	2630	-	ENST00000374139.8	intron	ENSG00000165606.10
chr10	2630	2808	-	ENST00000374139.8	CDS	ENSG00000165606.10
chr10	2808	3114	-	ENST00000374139.8	intron	ENSG00000165606.10
chr10	3114	3215	-	ENST00000374139.8	CDS	ENSG00000165606.10
chr10	3215	3316	-	ENST00000374139.8	intron	ENSG00000165606.10
chr10	3316	3413	-	ENST00000374139.8	CDS	ENSG00000165606.10
chr10	3413	3514	-	ENST00000374139.8	intron	ENSG00000165606.10
chr10	3514	3550	-	ENST00000374139.8	CDS	ENSG00000165606.10
chr10	3551	3628	-	ENST00000374139.8	UTR	NA
chr10	3628	3999	-	ENST00000374139.8	intron	NA
chr10	3999	4153	-	ENST00000374139.8	UTR	NA
chr10	12	2064	-	ONT10.2174.876	UTR	NA
chr10	2065	2327	-	ONT10.2174.876	CDS	DRGX
chr10	2327	2428	-	ONT10.2174.876	intron	DRGX
chr10	2428	2540	-	ONT10.2174.876	CDS	DRGX
chr10	2540	2630	-	ONT10.2174.876	intron	DRGX
chr10	2630	2808	-	ONT10.2174.876	CDS	DRGX
chr10	2808	3114	-	ONT10.2174.876	intron	DRGX
chr10	3114	3215	-	ONT10.2174.876	CDS	DRGX
chr10	3215	3316	-	ONT10.2174.876	intron	DRGX
chr10	3316	3413	-	ONT10.2174.876	CDS	DRGX
chr10	3413	3514	-	ONT10.2174.876	intron	DRGX
chr10	3514	3550	-	ONT10.2174.876	CDS	DRGX
chr10	3551	3628	-	ONT10.2174.876	UTR	NA
chr10	3628	4289	-	ONT10.2174.876	intron	NA
chr10	4289	4456	-	ONT10.2174.876	UTR	NA
chr10	10	2064	-	ONT10.2174.877	UTR	NA
chr10	2065	2327	-	ONT10.2174.877	CDS	DRGX
chr10	2327	2428	-	ONT10.2174.877	intron	DRGX
chr10	2428	2540	-	ONT10.2174.877	CDS	DRGX
chr10	2540	2630	-	ONT10.2174.877	intron	DRGX
chr10	2630	2808	-	ONT10.2174.877	CDS	DRGX
chr10	2808	3114	-	ONT10.2174.877	intron	DRGX
chr10	3114	3215	-	ONT10.2174.877	CDS	DRGX
chr10	3215	3316	-	ONT10.2174.877	intron	DRGX
chr10	3316	3413	-	ONT10.2174.877	CDS	DRGX
chr10	3413	3514	-	ONT10.2174.877	intron	DRGX
chr10	3514	3550	-	ONT10.2174.877	CDS	DRGX
chr10	3551	3628	-	ONT10.2174.877	UTR	NA
chr10	3628	3999	-	ONT10.2174.877	intron	NA
chr10	3999	4188	-	ONT10.2174.877	UTR	NA
chr10	2	2064	-	ONT10.2174.882	UTR	NA
chr10	2065	2327	-	ONT10.2174.882	CDS	DRGX
chr10	2327	2428	-	ONT10.2174.882	intron	DRGX
chr10	2428	2540	-	ONT10.2174.882	CDS	DRGX
chr10	2540	2630	-	ONT10.2174.882	intron	DRGX
chr10	2630	2808	-	ONT10.2174.882	CDS	DRGX
chr10	2808	3114	-	ONT10.2174.882	intron	DRGX
chr10	3114	3215	-	ONT10.2174.882	CDS	DRGX
chr10	3215	3316	-	ONT10.2174.882	intron	DRGX
chr10	3316	3413	-	ONT10.2174.882	CDS	DRGX
chr10	3413	3514	-	ONT10.2174.882	intron	DRGX
chr10	3514	3550	-	ONT10.2174.882	CDS	DRGX
chr10	3551	3628	-	ONT10.2174.882	UTR	NA
chr10	3628	3801	-	ONT10.2174.882	intron	NA
chr10	3801	3969	-	ONT10.2174.882	UTR	NA
chr10	12	2064	-	ONT10.2174.890	UTR	NA
chr10	2065	2327	-	ONT10.2174.890	CDS	DRGX
chr10	2327	2428	-	ONT10.2174.890	intron	DRGX
chr10	2428	2540	-	ONT10.2174.890	CDS	DRGX
chr10	2540	2630	-	ONT10.2174.890	intron	DRGX
chr10	2630	2808	-	ONT10.2174.890	CDS	DRGX
chr10	2808	3114	-	ONT10.2174.890	intron	DRGX
chr10	3114	3215	-	ONT10.2174.890	CDS	DRGX
chr10	3215	3316	-	ONT10.2174.890	intron	DRGX
chr10	3316	3413	-	ONT10.2174.890	CDS	DRGX
chr10	3413	3514	-	ONT10.2174.890	intron	DRGX
chr10	3514	3550	-	ONT10.2174.890	CDS	DRGX
chr10	3551	3700	-	ONT10.2174.890	UTR	NA
chr10	3	2064	-	ONT10.2174.891	UTR	NA
chr10	2065	2327	-	ONT10.2174.891	CDS	DRGX
chr10	2327	2428	-	ONT10.2174.891	intron	DRGX
chr10	2428	2540	-	ONT10.2174.891	CDS	DRGX
chr10	2540	2630	-	ONT10.2174.891	intron	DRGX
chr10	2630	2808	-	ONT10.2174.891	CDS	DRGX
chr10	2808	2909	-	ONT10.2174.891	intron	DRGX
chr10	2909	3013	-	ONT10.2174.891	CDS	DRGX
chr10	3013	3114	-	ONT10.2174.891	intron	DRGX
chr10	3114	3215	-	ONT10.2174.891	CDS	DRGX
chr10	3215	3316	-	ONT10.2174.891	intron	DRGX
chr10	3316	3413	-	ONT10.2174.891	CDS	DRGX
chr10	3413	3514	-	ONT10.2174.891	intron	DRGX
chr10	3514	3550	-	ONT10.2174.891	CDS	DRGX
chr10	3551	3628	-	ONT10.2174.891	UTR	NA
chr10	3628	4289	-	ONT10.2174.891	intron	NA
chr10	4289	4387	-	ONT10.2174.891	UTR	NA
chr10	5	2064	-	ONT10.2174.892	UTR	NA
chr10	2065	2327	-	ONT10.2174.892	CDS	DRGX
chr10	2327	2428	-	ONT10.2174.892	intron	DRGX
chr10	2428	2540	-	ONT10.2174.892	CDS	DRGX
chr10	2540	2630	-	ONT10.2174.892	intron	DRGX
chr10	2630	2808	-	ONT10.2174.892	CDS	DRGX
chr10	2808	3114	-	ONT10.2174.892	intron	DRGX
chr10	3114	3215	-	ONT10.2174.892	CDS	DRGX
chr10	3215	3316	-	ONT10.2174.892	intron	DRGX
chr10	3316	3413	-	ONT10.2174.892	CDS	DRGX
chr10	3413	3514	-	ONT10.2174.892	intron	DRGX
chr10	3514	3550	-	ONT10.2174.892	CDS	DRGX
chr10	3551	3628	-	ONT10.2174.892	UTR	NA
chr10	3628	4469	-	ONT10.2174.892	intron	NA
chr10	4469	4615	-	ONT10.2174.892	UTR	NA
chr10	12	2064	-	ONT10.2174.895	UTR	NA
chr10	2065	2295	-	ONT10.2174.895	CDS	DRGX
chr10	2296	2327	-	ONT10.2174.895	UTR	NA
chr10	2327	2428	-	ONT10.2174.895	intron	NA
chr10	2428	2540	-	ONT10.2174.895	UTR	NA
chr10	2540	2630	-	ONT10.2174.895	intron	NA
chr10	2630	2701	-	ONT10.2174.895	UTR	NA
chr10	11	2064	-	ONT10.2174.900	UTR	NA
chr10	2065	2327	-	ONT10.2174.900	CDS	DRGX
chr10	2327	2428	-	ONT10.2174.900	intron	DRGX
chr10	2428	2540	-	ONT10.2174.900	CDS	DRGX
chr10	2540	2630	-	ONT10.2174.900	intron	DRGX
chr10	2630	2808	-	ONT10.2174.900	CDS	DRGX
chr10	2808	3114	-	ONT10.2174.900	intron	DRGX
chr10	3114	3215	-	ONT10.2174.900	CDS	DRGX
chr10	3215	3316	-	ONT10.2174.900	intron	DRGX
chr10	3316	3413	-	ONT10.2174.900	CDS	DRGX
chr10	3413	3514	-	ONT10.2174.900	intron	DRGX
chr10	3514	3550	-	ONT10.2174.900	CDS	DRGX
chr10	3551	3625	-	ONT10.2174.900	UTR	NA
chr10	12	2064	-	ONT10.2174.906	UTR	NA
chr10	2065	2327	-	ONT10.2174.906	CDS	DRGX
chr10	2327	2428	-	ONT10.2174.906	intron	DRGX
chr10	2428	2540	-	ONT10.2174.906	CDS	DRGX
chr10	2540	2630	-	ONT10.2174.906	intron	DRGX
chr10	2630	2808	-	ONT10.2174.906	CDS	DRGX
chr10	2808	2909	-	ONT10.2174.906	intron	DRGX
chr10	2909	3013	-	ONT10.2174.906	CDS	DRGX
chr10	3013	3114	-	ONT10.2174.906	intron	DRGX
chr10	3114	3215	-	ONT10.2174.906	CDS	DRGX
chr10	3215	3316	-	ONT10.2174.906	intron	DRGX
chr10	3316	3413	-	ONT10.2174.906	CDS	DRGX
chr10	3413	3514	-	ONT10.2174.906	intron	DRGX
chr10	3514	3550	-	ONT10.2174.906	CDS	DRGX
chr10	3551	3628	-	ONT10.2174.906	UTR	NA
chr10	3628	3999	-	ONT10.2174.906	intron	NA
chr10	3999	4021	-	ONT10.2174.906	UTR	NA
chr10	12	2064	-	ONT10.2174.908	UTR	NA
chr10	2065	2327	-	ONT10.2174.908	CDS	DRGX
chr10	2327	2428	-	ONT10.2174.908	intron	DRGX
chr10	2428	2540	-	ONT10.2174.908	CDS	DRGX
chr10	2540	2630	-	ONT10.2174.908	intron	DRGX
chr10	2630	2808	-	ONT10.2174.908	CDS	DRGX
chr10	2808	2909	-	ONT10.2174.908	intron	DRGX
chr10	2909	3013	-	ONT10.2174.908	CDS	DRGX
chr10	3013	3114	-	ONT10.2174.908	intron	DRGX
chr10	3114	3215	-	ONT10.2174.908	CDS	DRGX
chr10	3215	3316	-	ONT10.2174.908	intron	DRGX
chr10	3316	3413	-	ONT10.2174.908	CDS	DRGX
chr10	3413	3514	-	ONT10.2174.908	intron	DRGX
chr10	3514	3550	-	ONT10.2174.908	CDS	DRGX
chr10	3551	3628	-	ONT10.2174.908	UTR	NA
chr10	3628	3999	-	ONT10.2174.908	intron	NA
chr10	3999	4150	-	ONT10.2174.908	UTR	NA
chr10	12	2064	-	ONT10.2174.927	UTR	NA
chr10	2065	2327	-	ONT10.2174.927	CDS	DRGX
chr10	2327	2428	-	ONT10.2174.927	intron	DRGX
chr10	2428	2540	-	ONT10.2174.927	CDS	DRGX
chr10	2540	2630	-	ONT10.2174.927	intron	DRGX
chr10	2630	2808	-	ONT10.2174.927	CDS	DRGX
chr10	2808	2909	-	ONT10.2174.927	intron	DRGX
chr10	2909	3013	-	ONT10.2174.927	CDS	DRGX
chr10	3013	3114	-	ONT10.2174.927	intron	DRGX
chr10	3114	3215	-	ONT10.2174.927	CDS	DRGX
chr10	3215	3316	-	ONT10.2174.927	intron	DRGX
chr10	3316	3413	-	ONT10.2174.927	CDS	DRGX
