seqnames	start	end	strand	transcript_id	type	gene_id
chr10	149	264	+	ENST00000684848.1	UTR	NA
chr10	264	365	+	ENST00000684848.1	intron	NA
chr10	365	501	+	ENST00000684848.1	UTR	NA
chr10	502	636	+	ENST00000684848.1	CDS	ENSG00000188385.13
chr10	636	2047	+	ENST00000684848.1	intron	ENSG00000188385.13
chr10	2047	2544	+	ENST00000684848.1	CDS	ENSG00000188385.13
chr10	2544	2645	+	ENST00000684848.1	intron	ENSG00000188385.13
chr10	2645	2860	+	ENST00000684848.1	CDS	ENSG00000188385.13
chr10	2860	2961	+	ENST00000684848.1	intron	ENSG00000188385.13
chr10	2961	3080	+	ENST00000684848.1	CDS	ENSG00000188385.13
chr10	3080	3181	+	ENST00000684848.1	intron	ENSG00000188385.13
chr10	3181	3327	+	ENST00000684848.1	CDS	ENSG00000188385.13
chr10	3327	3428	+	ENST00000684848.1	intron	ENSG00000188385.13
chr10	3428	3559	+	ENST00000684848.1	CDS	ENSG00000188385.13
chr10	3559	3660	+	ENST00000684848.1	intron	ENSG00000188385.13
chr10	3660	3695	+	ENST00000684848.1	CDS	ENSG00000188385.13
chr10	3695	3796	+	ENST00000684848.1	intron	ENSG00000188385.13
chr10	3796	3855	+	ENST00000684848.1	CDS	ENSG00000188385.13
chr10	3855	3956	+	ENST00000684848.1	intron	ENSG00000188385.13
chr10	3956	4084	+	ENST00000684848.1	CDS	ENSG00000188385.13
chr10	4084	4185	+	ENST00000684848.1	intron	ENSG00000188385.13
chr10	4185	4313	+	ENST00000684848.1	CDS	ENSG00000188385.13
chr10	4313	4414	+	ENST00000684848.1	intron	ENSG00000188385.13
chr10	4414	4497	+	ENST00000684848.1	CDS	ENSG00000188385.13
chr10	4497	4598	+	ENST00000684848.1	intron	ENSG00000188385.13
chr10	4598	4660	+	ENST00000684848.1	CDS	ENSG00000188385.13
chr10	4660	4761	+	ENST00000684848.1	intron	ENSG00000188385.13
chr10	4761	4859	+	ENST00000684848.1	CDS	ENSG00000188385.13
chr10	4859	4960	+	ENST00000684848.1	intron	ENSG00000188385.13
chr10	4960	5058	+	ENST00000684848.1	CDS	ENSG00000188385.13
chr10	5058	5159	+	ENST00000684848.1	intron	ENSG00000188385.13
chr10	5159	5218	+	ENST00000684848.1	CDS	ENSG00000188385.13
chr10	5218	5319	+	ENST00000684848.1	intron	ENSG00000188385.13
chr10	5319	5384	+	ENST00000684848.1	CDS	ENSG00000188385.13
chr10	5384	5487	+	ENST00000684848.1	intron	ENSG00000188385.13
chr10	5487	5555	+	ENST00000684848.1	CDS	ENSG00000188385.13
chr10	5555	5641	+	ENST00000684848.1	intron	ENSG00000188385.13
chr10	5641	5718	+	ENST00000684848.1	CDS	ENSG00000188385.13
chr10	5718	5819	+	ENST00000684848.1	intron	ENSG00000188385.13
chr10	5819	6022	+	ENST00000684848.1	CDS	ENSG00000188385.13
chr10	6022	6123	+	ENST00000684848.1	intron	ENSG00000188385.13
chr10	6123	6188	+	ENST00000684848.1	CDS	ENSG00000188385.13
chr10	6188	6289	+	ENST00000684848.1	intron	ENSG00000188385.13
chr10	6289	6342	+	ENST00000684848.1	CDS	ENSG00000188385.13
chr10	6343	6361	+	ENST00000684848.1	UTR	NA
chr10	6361	6462	+	ENST00000684848.1	intron	NA
chr10	6462	7542	+	ENST00000684848.1	UTR	NA
chr10	7542	7643	+	ENST00000684848.1	intron	NA
chr10	7643	10144	+	ENST00000684848.1	UTR	NA
chr10	2	48	+	ONT10.6900.2046	UTR	NA
chr10	48	365	+	ONT10.6900.2046	intron	NA
chr10	365	501	+	ONT10.6900.2046	UTR	NA
chr10	502	636	+	ONT10.6900.2046	CDS	JAKMIP3
