seqnames	start	end	strand	transcript_id	type	gene_id
chr9	2385	3881	-	ENST00000375991.9	UTR	NA
chr9	3882	4030	-	ENST00000375991.9	CDS	ENSG00000135070.15
chr9	4030	4731	-	ENST00000375991.9	intron	ENSG00000135070.15
chr9	4731	4836	-	ENST00000375991.9	CDS	ENSG00000135070.15
chr9	4836	4941	-	ENST00000375991.9	intron	ENSG00000135070.15
chr9	4941	4994	-	ENST00000375991.9	CDS	ENSG00000135070.15
chr9	4994	5099	-	ENST00000375991.9	intron	ENSG00000135070.15
chr9	5099	5182	-	ENST00000375991.9	CDS	ENSG00000135070.15
chr9	5183	5259	-	ENST00000375991.9	UTR	NA
chr9	1816	3884	-	ONT9.2793.10310	UTR	NA
chr9	3885	4030	-	ONT9.2793.10310	CDS	ISCA1
chr9	4030	4731	-	ONT9.2793.10310	intron	ISCA1
chr9	4731	4836	-	ONT9.2793.10310	CDS	ISCA1
chr9	4836	4941	-	ONT9.2793.10310	intron	ISCA1
chr9	4941	4994	-	ONT9.2793.10310	CDS	ISCA1
chr9	4994	5099	-	ONT9.2793.10310	intron	ISCA1
chr9	5099	5182	-	ONT9.2793.10310	CDS	ISCA1
chr9	5183	5274	-	ONT9.2793.10310	UTR	NA
chr9	2385	3884	-	ONT9.2793.10331	UTR	NA
chr9	3885	4030	-	ONT9.2793.10331	CDS	ISCA1
chr9	4030	4731	-	ONT9.2793.10331	intron	ISCA1
chr9	4731	4836	-	ONT9.2793.10331	CDS	ISCA1
chr9	4836	4941	-	ONT9.2793.10331	intron	ISCA1
chr9	4941	4994	-	ONT9.2793.10331	CDS	ISCA1
chr9	4994	5099	-	ONT9.2793.10331	intron	ISCA1
chr9	5099	5182	-	ONT9.2793.10331	CDS	ISCA1
chr9	5183	5287	-	ONT9.2793.10331	UTR	NA
chr9	2401	3884	-	ONT9.2793.10335	UTR	NA
chr9	3885	4030	-	ONT9.2793.10335	CDS	ISCA1
chr9	4030	4731	-	ONT9.2793.10335	intron	ISCA1
chr9	4731	4836	-	ONT9.2793.10335	CDS	ISCA1
chr9	4836	4941	-	ONT9.2793.10335	intron	ISCA1
chr9	4941	4994	-	ONT9.2793.10335	CDS	ISCA1
chr9	4994	5099	-	ONT9.2793.10335	intron	ISCA1
chr9	5099	5182	-	ONT9.2793.10335	CDS	ISCA1
chr9	5183	5248	-	ONT9.2793.10335	UTR	NA
chr9	2316	3859	-	ONT9.2793.10349	UTR	NA
chr9	3860	3873	-	ONT9.2793.10349	CDS	ISCA1
chr9	3873	3950	-	ONT9.2793.10349	intron	ISCA1
chr9	3950	4030	-	ONT9.2793.10349	CDS	ISCA1
chr9	4030	4731	-	ONT9.2793.10349	intron	ISCA1
chr9	4731	4836	-	ONT9.2793.10349	CDS	ISCA1
chr9	4836	4941	-	ONT9.2793.10349	intron	ISCA1
chr9	4941	4994	-	ONT9.2793.10349	CDS	ISCA1
chr9	4994	5099	-	ONT9.2793.10349	intron	ISCA1
