seqnames	start	end	strand	transcript_id	type	gene_id
chr11	2	832	+	ENST00000397843.7	UTR	NA
chr11	833	864	+	ENST00000397843.7	CDS	ENSG00000196914.9
chr11	864	1301	+	ENST00000397843.7	intron	ENSG00000196914.9
chr11	1301	1324	+	ENST00000397843.7	CDS	ENSG00000196914.9
chr11	1324	1441	+	ENST00000397843.7	intron	ENSG00000196914.9
chr11	1441	1526	+	ENST00000397843.7	CDS	ENSG00000196914.9
chr11	1526	1627	+	ENST00000397843.7	intron	ENSG00000196914.9
chr11	1627	1683	+	ENST00000397843.7	CDS	ENSG00000196914.9
chr11	1683	1784	+	ENST00000397843.7	intron	ENSG00000196914.9
chr11	1784	1882	+	ENST00000397843.7	CDS	ENSG00000196914.9
chr11	1882	1983	+	ENST00000397843.7	intron	ENSG00000196914.9
chr11	1983	2032	+	ENST00000397843.7	CDS	ENSG00000196914.9
chr11	2032	2133	+	ENST00000397843.7	intron	ENSG00000196914.9
chr11	2133	2190	+	ENST00000397843.7	CDS	ENSG00000196914.9
chr11	2190	3621	+	ENST00000397843.7	intron	ENSG00000196914.9
chr11	3621	3799	+	ENST00000397843.7	CDS	ENSG00000196914.9
chr11	3799	3901	+	ENST00000397843.7	intron	ENSG00000196914.9
chr11	3901	3978	+	ENST00000397843.7	CDS	ENSG00000196914.9
chr11	3978	4079	+	ENST00000397843.7	intron	ENSG00000196914.9
chr11	4079	4198	+	ENST00000397843.7	CDS	ENSG00000196914.9
chr11	4198	4299	+	ENST00000397843.7	intron	ENSG00000196914.9
chr11	4299	4439	+	ENST00000397843.7	CDS	ENSG00000196914.9
chr11	4439	6599	+	ENST00000397843.7	intron	ENSG00000196914.9
chr11	6599	6673	+	ENST00000397843.7	CDS	ENSG00000196914.9
chr11	6673	9420	+	ENST00000397843.7	intron	ENSG00000196914.9
chr11	9420	9512	+	ENST00000397843.7	CDS	ENSG00000196914.9
chr11	9512	9613	+	ENST00000397843.7	intron	ENSG00000196914.9
chr11	9613	9723	+	ENST00000397843.7	CDS	ENSG00000196914.9
chr11	9723	9824	+	ENST00000397843.7	intron	ENSG00000196914.9
chr11	9824	9922	+	ENST00000397843.7	CDS	ENSG00000196914.9
chr11	9922	10023	+	ENST00000397843.7	intron	ENSG00000196914.9
chr11	10023	10065	+	ENST00000397843.7	CDS	ENSG00000196914.9
chr11	10065	10166	+	ENST00000397843.7	intron	ENSG00000196914.9
chr11	10166	10271	+	ENST00000397843.7	CDS	ENSG00000196914.9
chr11	10271	10372	+	ENST00000397843.7	intron	ENSG00000196914.9
chr11	10372	10509	+	ENST00000397843.7	CDS	ENSG00000196914.9
chr11	10509	10911	+	ENST00000397843.7	intron	ENSG00000196914.9
chr11	10911	10943	+	ENST00000397843.7	CDS	ENSG00000196914.9
chr11	10943	11044	+	ENST00000397843.7	intron	ENSG00000196914.9
chr11	11044	11158	+	ENST00000397843.7	CDS	ENSG00000196914.9
chr11	11158	11261	+	ENST00000397843.7	intron	ENSG00000196914.9
chr11	11261	11366	+	ENST00000397843.7	CDS	ENSG00000196914.9
chr11	11366	11467	+	ENST00000397843.7	intron	ENSG00000196914.9
chr11	11467	11679	+	ENST00000397843.7	CDS	ENSG00000196914.9
