seqnames	start	end	strand	transcript_id	type	gene_id
chr16	45	136	+	ENST00000342085.9	UTR	NA
chr16	137	160	+	ENST00000342085.9	CDS	ENSG00000140992.19
chr16	160	516	+	ENST00000342085.9	intron	ENSG00000140992.19
chr16	516	776	+	ENST00000342085.9	CDS	ENSG00000140992.19
chr16	776	898	+	ENST00000342085.9	intron	ENSG00000140992.19
chr16	898	940	+	ENST00000342085.9	CDS	ENSG00000140992.19
chr16	940	1045	+	ENST00000342085.9	intron	ENSG00000140992.19
chr16	1045	1182	+	ENST00000342085.9	CDS	ENSG00000140992.19
chr16	1182	1283	+	ENST00000342085.9	intron	ENSG00000140992.19
chr16	1283	1427	+	ENST00000342085.9	CDS	ENSG00000140992.19
chr16	1427	1528	+	ENST00000342085.9	intron	ENSG00000140992.19
chr16	1528	1625	+	ENST00000342085.9	CDS	ENSG00000140992.19
chr16	1625	2095	+	ENST00000342085.9	intron	ENSG00000140992.19
chr16	2095	2170	+	ENST00000342085.9	CDS	ENSG00000140992.19
chr16	2170	2364	+	ENST00000342085.9	intron	ENSG00000140992.19
chr16	2364	2432	+	ENST00000342085.9	CDS	ENSG00000140992.19
chr16	2432	2533	+	ENST00000342085.9	intron	ENSG00000140992.19
chr16	2533	2629	+	ENST00000342085.9	CDS	ENSG00000140992.19
chr16	2629	2730	+	ENST00000342085.9	intron	ENSG00000140992.19
chr16	2730	2903	+	ENST00000342085.9	CDS	ENSG00000140992.19
chr16	2903	3004	+	ENST00000342085.9	intron	ENSG00000140992.19
chr16	3004	3221	+	ENST00000342085.9	CDS	ENSG00000140992.19
chr16	3221	3322	+	ENST00000342085.9	intron	ENSG00000140992.19
chr16	3322	3379	+	ENST00000342085.9	CDS	ENSG00000140992.19
chr16	3379	4652	+	ENST00000342085.9	intron	ENSG00000140992.19
chr16	4652	4804	+	ENST00000342085.9	CDS	ENSG00000140992.19
chr16	4804	4905	+	ENST00000342085.9	intron	ENSG00000140992.19
chr16	4905	5024	+	ENST00000342085.9	CDS	ENSG00000140992.19
chr16	5025	10442	+	ENST00000342085.9	UTR	NA
chr16	4	136	+	ONT16.73.26254	UTR	NA
chr16	137	160	+	ONT16.73.26254	CDS	PDPK1
chr16	160	516	+	ONT16.73.26254	intron	PDPK1
chr16	516	776	+	ONT16.73.26254	CDS	PDPK1
chr16	776	898	+	ONT16.73.26254	intron	PDPK1
chr16	898	944	+	ONT16.73.26254	CDS	PDPK1
chr16	944	1045	+	ONT16.73.26254	intron	PDPK1
chr16	1045	1048	+	ONT16.73.26254	CDS	PDPK1
chr16	1049	1182	+	ONT16.73.26254	UTR	NA
chr16	1182	1283	+	ONT16.73.26254	intron	NA
chr16	1283	1427	+	ONT16.73.26254	UTR	NA
chr16	1427	1528	+	ONT16.73.26254	intron	NA
chr16	1528	1625	+	ONT16.73.26254	UTR	NA
chr16	1625	2095	+	ONT16.73.26254	intron	NA
chr16	2095	2170	+	ONT16.73.26254	UTR	NA
chr16	2170	2364	+	ONT16.73.26254	intron	NA
chr16	2364	2432	+	ONT16.73.26254	UTR	NA
chr16	2432	2533	+	ONT16.73.26254	intron	NA
chr16	2533	2629	+	ONT16.73.26254	UTR	NA
chr16	2629	2730	+	ONT16.73.26254	intron	NA
chr16	2730	2903	+	ONT16.73.26254	UTR	NA
chr16	2903	3004	+	ONT16.73.26254	intron	NA
chr16	3004	3221	+	ONT16.73.26254	UTR	NA
chr16	3221	3322	+	ONT16.73.26254	intron	NA
chr16	3322	3379	+	ONT16.73.26254	UTR	NA
chr16	3379	4652	+	ONT16.73.26254	intron	NA
chr16	4652	4804	+	ONT16.73.26254	UTR	NA
chr16	4804	4905	+	ONT16.73.26254	intron	NA
chr16	4905	5182	+	ONT16.73.26254	UTR	NA
chr16	55	136	+	ONT16.73.26265	UTR	NA
chr16	137	160	+	ONT16.73.26265	CDS	PDPK1
chr16	160	516	+	ONT16.73.26265	intron	PDPK1
chr16	516	776	+	ONT16.73.26265	CDS	PDPK1
chr16	776	898	+	ONT16.73.26265	intron	PDPK1
chr16	898	940	+	ONT16.73.26265	CDS	PDPK1
chr16	940	2364	+	ONT16.73.26265	intron	PDPK1
chr16	2364	2392	+	ONT16.73.26265	CDS	PDPK1
chr16	2393	2432	+	ONT16.73.26265	UTR	NA
chr16	2432	2533	+	ONT16.73.26265	intron	NA
chr16	2533	2629	+	ONT16.73.26265	UTR	NA
chr16	2629	2730	+	ONT16.73.26265	intron	NA
chr16	2730	2903	+	ONT16.73.26265	UTR	NA
chr16	2903	3004	+	ONT16.73.26265	intron	NA
chr16	3004	3221	+	ONT16.73.26265	UTR	NA
chr16	3221	3322	+	ONT16.73.26265	intron	NA
chr16	3322	3379	+	ONT16.73.26265	UTR	NA
chr16	3379	4652	+	ONT16.73.26265	intron	NA
chr16	4652	4804	+	ONT16.73.26265	UTR	NA
chr16	4804	4905	+	ONT16.73.26265	intron	NA
chr16	4905	5182	+	ONT16.73.26265	UTR	NA
chr16	2	136	+	ONT16.73.26269	UTR	NA
chr16	137	160	+	ONT16.73.26269	CDS	PDPK1
chr16	160	516	+	ONT16.73.26269	intron	PDPK1
