seqnames	start	end	strand	transcript_id	type	gene_id
chr3	905	911	+	ENST00000680020.1	UTR	NA
chr3	912	1083	+	ENST00000680020.1	CDS	ENSG00000175110.14
chr3	1083	1934	+	ENST00000680020.1	intron	ENSG00000175110.14
chr3	1934	2100	+	ENST00000680020.1	CDS	ENSG00000175110.14
chr3	2100	2207	+	ENST00000680020.1	intron	ENSG00000175110.14
chr3	2207	2371	+	ENST00000680020.1	CDS	ENSG00000175110.14
chr3	2371	4226	+	ENST00000680020.1	intron	ENSG00000175110.14
chr3	4226	4369	+	ENST00000680020.1	CDS	ENSG00000175110.14
chr3	4369	5024	+	ENST00000680020.1	intron	ENSG00000175110.14
chr3	5024	5107	+	ENST00000680020.1	CDS	ENSG00000175110.14
chr3	5107	6694	+	ENST00000680020.1	intron	ENSG00000175110.14
chr3	6694	6839	+	ENST00000680020.1	CDS	ENSG00000175110.14
chr3	6839	9729	+	ENST00000680020.1	intron	ENSG00000175110.14
chr3	9729	9837	+	ENST00000680020.1	CDS	ENSG00000175110.14
chr3	9837	10966	+	ENST00000680020.1	intron	ENSG00000175110.14
chr3	10966	11064	+	ENST00000680020.1	CDS	ENSG00000175110.14
chr3	11065	11176	+	ENST00000680020.1	UTR	NA
chr3	2	234	+	ONT3.6297.17	UTR	NA
chr3	234	335	+	ONT3.6297.17	intron	NA
chr3	335	592	+	ONT3.6297.17	UTR	NA
chr3	593	704	+	ONT3.6297.17	CDS	MRPS22
chr3	704	1937	+	ONT3.6297.17	intron	MRPS22
chr3	1937	2100	+	ONT3.6297.17	CDS	MRPS22
chr3	2100	2207	+	ONT3.6297.17	intron	MRPS22
chr3	2207	2371	+	ONT3.6297.17	CDS	MRPS22
chr3	2371	4226	+	ONT3.6297.17	intron	MRPS22
chr3	4226	4369	+	ONT3.6297.17	CDS	MRPS22
chr3	4369	5024	+	ONT3.6297.17	intron	MRPS22
chr3	5024	5107	+	ONT3.6297.17	CDS	MRPS22
chr3	5107	6694	+	ONT3.6297.17	intron	MRPS22
chr3	6694	6839	+	ONT3.6297.17	CDS	MRPS22
chr3	6839	9729	+	ONT3.6297.17	intron	MRPS22
chr3	9729	9837	+	ONT3.6297.17	CDS	MRPS22
chr3	9837	10966	+	ONT3.6297.17	intron	MRPS22
chr3	10966	11061	+	ONT3.6297.17	CDS	MRPS22
chr3	11062	11167	+	ONT3.6297.17	UTR	NA
chr3	805	911	+	ONT3.6297.223	UTR	NA
chr3	912	1083	+	ONT3.6297.223	CDS	MRPS22
chr3	1083	1937	+	ONT3.6297.223	intron	MRPS22
chr3	1937	2100	+	ONT3.6297.223	CDS	MRPS22
chr3	2100	2207	+	ONT3.6297.223	intron	MRPS22
chr3	2207	2371	+	ONT3.6297.223	CDS	MRPS22
chr3	2371	4226	+	ONT3.6297.223	intron	MRPS22
chr3	4226	4369	+	ONT3.6297.223	CDS	MRPS22
chr3	4369	5024	+	ONT3.6297.223	intron	MRPS22
chr3	5024	5107	+	ONT3.6297.223	CDS	MRPS22
chr3	5107	6694	+	ONT3.6297.223	intron	MRPS22
chr3	6694	6839	+	ONT3.6297.223	CDS	MRPS22
chr3	6839	9729	+	ONT3.6297.223	intron	MRPS22
chr3	9729	9837	+	ONT3.6297.223	CDS	MRPS22
chr3	9837	10966	+	ONT3.6297.223	intron	MRPS22
chr3	10966	11061	+	ONT3.6297.223	CDS	MRPS22
chr3	11062	11093	+	ONT3.6297.223	UTR	NA
chr3	905	911	+	ONT3.6297.224	UTR	NA
chr3	912	1083	+	ONT3.6297.224	CDS	MRPS22
chr3	1083	1937	+	ONT3.6297.224	intron	MRPS22
chr3	1937	2100	+	ONT3.6297.224	CDS	MRPS22
chr3	2100	2207	+	ONT3.6297.224	intron	MRPS22
chr3	2207	2371	+	ONT3.6297.224	CDS	MRPS22
chr3	2371	4226	+	ONT3.6297.224	intron	MRPS22
chr3	4226	4369	+	ONT3.6297.224	CDS	MRPS22
chr3	4369	5024	+	ONT3.6297.224	intron	MRPS22
chr3	5024	5107	+	ONT3.6297.224	CDS	MRPS22
chr3	5107	6694	+	ONT3.6297.224	intron	MRPS22
chr3	6694	6839	+	ONT3.6297.224	CDS	MRPS22
chr3	6839	9729	+	ONT3.6297.224	intron	MRPS22
chr3	9729	9837	+	ONT3.6297.224	CDS	MRPS22
chr3	9837	10966	+	ONT3.6297.224	intron	MRPS22
chr3	10966	11061	+	ONT3.6297.224	CDS	MRPS22
chr3	11062	11281	+	ONT3.6297.224	UTR	NA
chr3	898	911	+	ONT3.6297.226	UTR	NA
chr3	912	1083	+	ONT3.6297.226	CDS	MRPS22
chr3	1083	1934	+	ONT3.6297.226	intron	MRPS22
