seqnames	start	end	strand	transcript_id	type	gene_id
chr12	77	248	+	ENST00000247833.12	UTR	NA
chr12	248	954	+	ENST00000247833.12	intron	NA
chr12	954	978	+	ENST00000247833.12	UTR	NA
chr12	979	1229	+	ENST00000247833.12	CDS	ENSG00000127328.22
chr12	1229	1330	+	ENST00000247833.12	intron	ENSG00000127328.22
chr12	1330	1588	+	ENST00000247833.12	CDS	ENSG00000127328.22
chr12	1588	3758	+	ENST00000247833.12	intron	ENSG00000127328.22
chr12	3758	3853	+	ENST00000247833.12	CDS	ENSG00000127328.22
chr12	3853	6676	+	ENST00000247833.12	intron	ENSG00000127328.22
chr12	6676	6753	+	ENST00000247833.12	CDS	ENSG00000127328.22
chr12	6753	6867	+	ENST00000247833.12	intron	ENSG00000127328.22
chr12	6867	7070	+	ENST00000247833.12	CDS	ENSG00000127328.22
chr12	7070	8474	+	ENST00000247833.12	intron	ENSG00000127328.22
chr12	8474	8602	+	ENST00000247833.12	CDS	ENSG00000127328.22
chr12	8602	8711	+	ENST00000247833.12	intron	ENSG00000127328.22
chr12	8711	8823	+	ENST00000247833.12	CDS	ENSG00000127328.22
chr12	8823	8928	+	ENST00000247833.12	intron	ENSG00000127328.22
chr12	8928	9027	+	ENST00000247833.12	CDS	ENSG00000127328.22
chr12	9027	9114	+	ENST00000247833.12	intron	ENSG00000127328.22
chr12	9114	9183	+	ENST00000247833.12	CDS	ENSG00000127328.22
chr12	9183	9288	+	ENST00000247833.12	intron	ENSG00000127328.22
chr12	9288	9373	+	ENST00000247833.12	CDS	ENSG00000127328.22
chr12	9374	17123	+	ENST00000247833.12	UTR	NA
chr12	10	248	+	ONT12.2392.8970	UTR	NA
chr12	248	954	+	ONT12.2392.8970	intron	NA
chr12	954	978	+	ONT12.2392.8970	UTR	NA
chr12	979	1229	+	ONT12.2392.8970	CDS	RAB3IP
chr12	1229	1330	+	ONT12.2392.8970	intron	RAB3IP
chr12	1330	1588	+	ONT12.2392.8970	CDS	RAB3IP
chr12	1588	3758	+	ONT12.2392.8970	intron	RAB3IP
chr12	3758	3853	+	ONT12.2392.8970	CDS	RAB3IP
chr12	3853	6676	+	ONT12.2392.8970	intron	RAB3IP
chr12	6676	6753	+	ONT12.2392.8970	CDS	RAB3IP
chr12	6753	6867	+	ONT12.2392.8970	intron	RAB3IP
chr12	6867	7070	+	ONT12.2392.8970	CDS	RAB3IP
chr12	7070	8474	+	ONT12.2392.8970	intron	RAB3IP
chr12	8474	8602	+	ONT12.2392.8970	CDS	RAB3IP
chr12	8602	8711	+	ONT12.2392.8970	intron	RAB3IP
chr12	8711	8823	+	ONT12.2392.8970	CDS	RAB3IP
chr12	8823	8928	+	ONT12.2392.8970	intron	RAB3IP
chr12	8928	9027	+	ONT12.2392.8970	CDS	RAB3IP
chr12	9027	9114	+	ONT12.2392.8970	intron	RAB3IP
chr12	9114	9183	+	ONT12.2392.8970	CDS	RAB3IP
