seqnames	start	end	strand	transcript_id	type	gene_id
chr3	284	321	+	ENST00000345716.9	UTR	NA
chr3	322	414	+	ENST00000345716.9	CDS	ENSG00000010322.16
chr3	414	518	+	ENST00000345716.9	intron	ENSG00000010322.16
chr3	518	601	+	ENST00000345716.9	CDS	ENSG00000010322.16
chr3	601	702	+	ENST00000345716.9	intron	ENSG00000010322.16
chr3	702	884	+	ENST00000345716.9	CDS	ENSG00000010322.16
chr3	884	2286	+	ENST00000345716.9	intron	ENSG00000010322.16
chr3	2286	2334	+	ENST00000345716.9	CDS	ENSG00000010322.16
chr3	2334	2455	+	ENST00000345716.9	intron	ENSG00000010322.16
chr3	2455	2618	+	ENST00000345716.9	CDS	ENSG00000010322.16
chr3	2618	2721	+	ENST00000345716.9	intron	ENSG00000010322.16
chr3	2721	2816	+	ENST00000345716.9	CDS	ENSG00000010322.16
chr3	2816	2919	+	ENST00000345716.9	intron	ENSG00000010322.16
chr3	2919	3014	+	ENST00000345716.9	CDS	ENSG00000010322.16
chr3	3014	4497	+	ENST00000345716.9	intron	ENSG00000010322.16
chr3	4497	4649	+	ENST00000345716.9	CDS	ENSG00000010322.16
chr3	4649	4752	+	ENST00000345716.9	intron	ENSG00000010322.16
chr3	4752	4820	+	ENST00000345716.9	CDS	ENSG00000010322.16
chr3	4820	5275	+	ENST00000345716.9	intron	ENSG00000010322.16
chr3	5275	5460	+	ENST00000345716.9	CDS	ENSG00000010322.16
chr3	5460	5627	+	ENST00000345716.9	intron	ENSG00000010322.16
chr3	5627	5755	+	ENST00000345716.9	CDS	ENSG00000010322.16
chr3	5755	6039	+	ENST00000345716.9	intron	ENSG00000010322.16
chr3	6039	6152	+	ENST00000345716.9	CDS	ENSG00000010322.16
chr3	6152	6253	+	ENST00000345716.9	intron	ENSG00000010322.16
chr3	6253	6364	+	ENST00000345716.9	CDS	ENSG00000010322.16
chr3	6364	8440	+	ENST00000345716.9	intron	ENSG00000010322.16
chr3	8440	8564	+	ENST00000345716.9	CDS	ENSG00000010322.16
chr3	8564	8693	+	ENST00000345716.9	intron	ENSG00000010322.16
chr3	8693	8742	+	ENST00000345716.9	CDS	ENSG00000010322.16
chr3	8742	8874	+	ENST00000345716.9	intron	ENSG00000010322.16
chr3	8874	10283	+	ENST00000345716.9	CDS	ENSG00000010322.16
chr3	10283	10387	+	ENST00000345716.9	intron	ENSG00000010322.16
chr3	10387	10729	+	ENST00000345716.9	CDS	ENSG00000010322.16
chr3	10729	11126	+	ENST00000345716.9	intron	ENSG00000010322.16
chr3	11126	11282	+	ENST00000345716.9	CDS	ENSG00000010322.16
