seqnames	start	end	strand	transcript_id	type	gene_id
chrX	94	181	+	ENST00000373502.10	UTR	NA
chrX	182	477	+	ENST00000373502.10	CDS	ENSG00000204116.12
chrX	477	578	+	ENST00000373502.10	intron	ENSG00000204116.12
chrX	578	632	+	ENST00000373502.10	CDS	ENSG00000204116.12
chrX	632	5038	+	ENST00000373502.10	intron	ENSG00000204116.12
chrX	5038	5193	+	ENST00000373502.10	CDS	ENSG00000204116.12
chrX	5193	5294	+	ENST00000373502.10	intron	ENSG00000204116.12
chrX	5294	5350	+	ENST00000373502.10	CDS	ENSG00000204116.12
chrX	5350	5451	+	ENST00000373502.10	intron	ENSG00000204116.12
chrX	5451	5510	+	ENST00000373502.10	CDS	ENSG00000204116.12
chrX	5510	5611	+	ENST00000373502.10	intron	ENSG00000204116.12
chrX	5611	5664	+	ENST00000373502.10	CDS	ENSG00000204116.12
chrX	5665	11767	+	ENST00000373502.10	UTR	NA
chrX	2	181	+	ONTX.3621.5990	UTR	NA
chrX	182	477	+	ONTX.3621.5990	CDS	CHIC1
chrX	477	578	+	ONTX.3621.5990	intron	CHIC1
chrX	578	632	+	ONTX.3621.5990	CDS	CHIC1
chrX	632	5038	+	ONTX.3621.5990	intron	CHIC1
chrX	5038	5193	+	ONTX.3621.5990	CDS	CHIC1
chrX	5193	5294	+	ONTX.3621.5990	intron	CHIC1
chrX	5294	5350	+	ONTX.3621.5990	CDS	CHIC1
chrX	5350	5451	+	ONTX.3621.5990	intron	CHIC1
chrX	5451	5510	+	ONTX.3621.5990	CDS	CHIC1
chrX	5510	5611	+	ONTX.3621.5990	intron	CHIC1
chrX	5611	5661	+	ONTX.3621.5990	CDS	CHIC1
chrX	5662	6859	+	ONTX.3621.5990	UTR	NA
chrX	4	181	+	ONTX.3621.5997	UTR	NA
chrX	182	477	+	ONTX.3621.5997	CDS	CHIC1
chrX	477	578	+	ONTX.3621.5997	intron	CHIC1
chrX	578	632	+	ONTX.3621.5997	CDS	CHIC1
chrX	632	5038	+	ONTX.3621.5997	intron	CHIC1
chrX	5038	5193	+	ONTX.3621.5997	CDS	CHIC1
chrX	5193	5294	+	ONTX.3621.5997	intron	CHIC1
chrX	5294	5350	+	ONTX.3621.5997	CDS	CHIC1
chrX	5350	5451	+	ONTX.3621.5997	intron	CHIC1
chrX	5451	5510	+	ONTX.3621.5997	CDS	CHIC1
chrX	5510	5611	+	ONTX.3621.5997	intron	CHIC1
chrX	5611	5661	+	ONTX.3621.5997	CDS	CHIC1
chrX	5662	6210	+	ONTX.3621.5997	UTR	NA
chrX	8	181	+	ONTX.3621.5998	UTR	NA
chrX	182	477	+	ONTX.3621.5998	CDS	CHIC1
chrX	477	578	+	ONTX.3621.5998	intron	CHIC1
chrX	578	632	+	ONTX.3621.5998	CDS	CHIC1
chrX	632	5038	+	ONTX.3621.5998	intron	CHIC1
chrX	5038	5193	+	ONTX.3621.5998	CDS	CHIC1
chrX	5193	5294	+	ONTX.3621.5998	intron	CHIC1
chrX	5294	5350	+	ONTX.3621.5998	CDS	CHIC1
chrX	5350	5451	+	ONTX.3621.5998	intron	CHIC1
chrX	5451	5510	+	ONTX.3621.5998	CDS	CHIC1
chrX	5510	5611	+	ONTX.3621.5998	intron	CHIC1
chrX	5611	5661	+	ONTX.3621.5998	CDS	CHIC1
chrX	5662	11758	+	ONTX.3621.5998	UTR	NA
chrX	29	181	+	ONTX.3621.5999	UTR	NA
chrX	182	477	+	ONTX.3621.5999	CDS	CHIC1
chrX	477	578	+	ONTX.3621.5999	intron	CHIC1
chrX	578	636	+	ONTX.3621.5999	CDS	CHIC1
chrX	636	5038	+	ONTX.3621.5999	intron	CHIC1
chrX	5038	5057	+	ONTX.3621.5999	CDS	CHIC1
chrX	5058	5193	+	ONTX.3621.5999	UTR	NA
chrX	5193	5294	+	ONTX.3621.5999	intron	NA
chrX	5294	5350	+	ONTX.3621.5999	UTR	NA
chrX	5350	5451	+	ONTX.3621.5999	intron	NA
chrX	5451	5510	+	ONTX.3621.5999	UTR	NA
chrX	5510	5611	+	ONTX.3621.5999	intron	NA
chrX	5611	7499	+	ONTX.3621.5999	UTR	NA
chrX	15	181	+	ONTX.3621.6001	UTR	NA
chrX	182	477	+	ONTX.3621.6001	CDS	CHIC1
chrX	477	578	+	ONTX.3621.6001	intron	CHIC1
chrX	578	632	+	ONTX.3621.6001	CDS	CHIC1
chrX	632	5038	+	ONTX.3621.6001	intron	CHIC1
chrX	5038	5193	+	ONTX.3621.6001	CDS	CHIC1
chrX	5193	5294	+	ONTX.3621.6001	intron	CHIC1
chrX	5294	5350	+	ONTX.3621.6001	CDS	CHIC1
chrX	5350	5451	+	ONTX.3621.6001	intron	CHIC1
chrX	5451	5510	+	ONTX.3621.6001	CDS	CHIC1
chrX	5510	5611	+	ONTX.3621.6001	intron	CHIC1
chrX	5611	5661	+	ONTX.3621.6001	CDS	CHIC1
chrX	5662	6544	+	ONTX.3621.6001	UTR	NA
chrX	24	181	+	ONTX.3621.6003	UTR	NA
chrX	182	477	+	ONTX.3621.6003	CDS	CHIC1
chrX	477	578	+	ONTX.3621.6003	intron	CHIC1
chrX	578	653	+	ONTX.3621.6003	CDS	CHIC1
chrX	654	4937	+	ONTX.3621.6003	UTR	NA
chrX	94	181	+	ONTX.3621.6024	UTR	NA
chrX	182	477	+	ONTX.3621.6024	CDS	CHIC1
chrX	477	578	+	ONTX.3621.6024	intron	CHIC1
chrX	578	632	+	ONTX.3621.6024	CDS	CHIC1
chrX	632	5038	+	ONTX.3621.6024	intron	CHIC1
chrX	5038	5193	+	ONTX.3621.6024	CDS	CHIC1
chrX	5193	5294	+	ONTX.3621.6024	intron	CHIC1
chrX	5294	5350	+	ONTX.3621.6024	CDS	CHIC1
chrX	5350	5451	+	ONTX.3621.6024	intron	CHIC1
chrX	5451	5510	+	ONTX.3621.6024	CDS	CHIC1
chrX	5510	5611	+	ONTX.3621.6024	intron	CHIC1
chrX	5611	5661	+	ONTX.3621.6024	CDS	CHIC1
chrX	5662	11767	+	ONTX.3621.6024	UTR	NA
chrX	91	181	+	ONTX.3621.6028	UTR	NA
chrX	182	477	+	ONTX.3621.6028	CDS	CHIC1
chrX	477	578	+	ONTX.3621.6028	intron	CHIC1
chrX	578	632	+	ONTX.3621.6028	CDS	CHIC1
chrX	632	5038	+	ONTX.3621.6028	intron	CHIC1
chrX	5038	5193	+	ONTX.3621.6028	CDS	CHIC1
chrX	5193	5294	+	ONTX.3621.6028	intron	CHIC1
chrX	5294	5350	+	ONTX.3621.6028	CDS	CHIC1
chrX	5350	5451	+	ONTX.3621.6028	intron	CHIC1
chrX	5451	5510	+	ONTX.3621.6028	CDS	CHIC1
chrX	5510	5611	+	ONTX.3621.6028	intron	CHIC1
chrX	5611	5661	+	ONTX.3621.6028	CDS	CHIC1
chrX	5662	7089	+	ONTX.3621.6028	UTR	NA
chrX	95	181	+	ONTX.3621.6036	UTR	NA
chrX	182	477	+	ONTX.3621.6036	CDS	CHIC1
chrX	477	578	+	ONTX.3621.6036	intron	CHIC1
chrX	578	632	+	ONTX.3621.6036	CDS	CHIC1
chrX	632	5038	+	ONTX.3621.6036	intron	CHIC1
chrX	5038	5193	+	ONTX.3621.6036	CDS	CHIC1
chrX	5193	5294	+	ONTX.3621.6036	intron	CHIC1
chrX	5294	5350	+	ONTX.3621.6036	CDS	CHIC1
chrX	5350	5451	+	ONTX.3621.6036	intron	CHIC1
chrX	5451	5510	+	ONTX.3621.6036	CDS	CHIC1
chrX	5510	5611	+	ONTX.3621.6036	intron	CHIC1
chrX	5611	5661	+	ONTX.3621.6036	CDS	CHIC1
chrX	5662	6812	+	ONTX.3621.6036	UTR	NA
chrX	100	181	+	ONTX.3621.6041	UTR	NA
chrX	182	477	+	ONTX.3621.6041	CDS	CHIC1
chrX	477	578	+	ONTX.3621.6041	intron	CHIC1
chrX	578	632	+	ONTX.3621.6041	CDS	CHIC1
chrX	632	5038	+	ONTX.3621.6041	intron	CHIC1
chrX	5038	5193	+	ONTX.3621.6041	CDS	CHIC1
chrX	5193	5294	+	ONTX.3621.6041	intron	CHIC1
chrX	5294	5350	+	ONTX.3621.6041	CDS	CHIC1
chrX	5350	5611	+	ONTX.3621.6041	intron	CHIC1
chrX	5611	5661	+	ONTX.3621.6041	CDS	CHIC1
chrX	5662	6862	+	ONTX.3621.6041	UTR	NA
chrX	101	181	+	ONTX.3621.6044	UTR	NA
chrX	182	477	+	ONTX.3621.6044	CDS	CHIC1
chrX	477	578	+	ONTX.3621.6044	intron	CHIC1
chrX	578	632	+	ONTX.3621.6044	CDS	CHIC1
chrX	632	5038	+	ONTX.3621.6044	intron	CHIC1
chrX	5038	5193	+	ONTX.3621.6044	CDS	CHIC1
chrX	5193	5294	+	ONTX.3621.6044	intron	CHIC1
chrX	5294	5350	+	ONTX.3621.6044	CDS	CHIC1
chrX	5350	5451	+	ONTX.3621.6044	intron	CHIC1
chrX	5451	5510	+	ONTX.3621.6044	CDS	CHIC1
chrX	5510	5611	+	ONTX.3621.6044	intron	CHIC1
chrX	5611	5661	+	ONTX.3621.6044	CDS	CHIC1
chrX	5662	7618	+	ONTX.3621.6044	UTR	NA
chrX	149	181	+	ONTX.3621.6058	UTR	NA
chrX	182	477	+	ONTX.3621.6058	CDS	CHIC1
chrX	477	578	+	ONTX.3621.6058	intron	CHIC1
chrX	578	632	+	ONTX.3621.6058	CDS	CHIC1
chrX	632	5038	+	ONTX.3621.6058	intron	CHIC1
chrX	5038	5193	+	ONTX.3621.6058	CDS	CHIC1
chrX	5193	5294	+	ONTX.3621.6058	intron	CHIC1
chrX	5294	5350	+	ONTX.3621.6058	CDS	CHIC1
chrX	5350	5451	+	ONTX.3621.6058	intron	CHIC1
chrX	5451	5510	+	ONTX.3621.6058	CDS	CHIC1
chrX	5510	5611	+	ONTX.3621.6058	intron	CHIC1
chrX	5611	5661	+	ONTX.3621.6058	CDS	CHIC1
chrX	5662	7266	+	ONTX.3621.6058	UTR	NA
chrX	173	181	+	ONTX.3621.6061	UTR	NA
chrX	182	477	+	ONTX.3621.6061	CDS	CHIC1
chrX	477	578	+	ONTX.3621.6061	intron	CHIC1
chrX	578	632	+	ONTX.3621.6061	CDS	CHIC1
chrX	632	5038	+	ONTX.3621.6061	intron	CHIC1
chrX	5038	5193	+	ONTX.3621.6061	CDS	CHIC1
chrX	5193	5294	+	ONTX.3621.6061	intron	CHIC1
chrX	5294	5350	+	ONTX.3621.6061	CDS	CHIC1
chrX	5350	5451	+	ONTX.3621.6061	intron	CHIC1
chrX	5451	5510	+	ONTX.3621.6061	CDS	CHIC1
chrX	5510	5611	+	ONTX.3621.6061	intron	CHIC1
chrX	5611	5661	+	ONTX.3621.6061	CDS	CHIC1
chrX	5662	7636	+	ONTX.3621.6061	UTR	NA
chrX	194	202	+	ONTX.3621.6069	UTR	NA
chrX	203	477	+	ONTX.3621.6069	CDS	CHIC1
chrX	477	578	+	ONTX.3621.6069	intron	CHIC1
chrX	578	632	+	ONTX.3621.6069	CDS	CHIC1
chrX	632	5038	+	ONTX.3621.6069	intron	CHIC1
chrX	5038	5193	+	ONTX.3621.6069	CDS	CHIC1
chrX	5193	5294	+	ONTX.3621.6069	intron	CHIC1
chrX	5294	5350	+	ONTX.3621.6069	CDS	CHIC1
chrX	5350	5451	+	ONTX.3621.6069	intron	CHIC1
chrX	5451	5510	+	ONTX.3621.6069	CDS	CHIC1
chrX	5510	5611	+	ONTX.3621.6069	intron	CHIC1
chrX	5611	5661	+	ONTX.3621.6069	CDS	CHIC1
chrX	5662	7105	+	ONTX.3621.6069	UTR	NA
chrX	195	202	+	ONTX.3621.6070	UTR	NA
chrX	203	477	+	ONTX.3621.6070	CDS	CHIC1
chrX	477	578	+	ONTX.3621.6070	intron	CHIC1
chrX	578	632	+	ONTX.3621.6070	CDS	CHIC1
chrX	632	5038	+	ONTX.3621.6070	intron	CHIC1
chrX	5038	5193	+	ONTX.3621.6070	CDS	CHIC1
chrX	5193	5294	+	ONTX.3621.6070	intron	CHIC1
chrX	5294	5350	+	ONTX.3621.6070	CDS	CHIC1
chrX	5350	5451	+	ONTX.3621.6070	intron	CHIC1
chrX	5451	5510	+	ONTX.3621.6070	CDS	CHIC1
chrX	5510	5611	+	ONTX.3621.6070	intron	CHIC1
chrX	5611	5661	+	ONTX.3621.6070	CDS	CHIC1
chrX	5662	6881	+	ONTX.3621.6070	UTR	NA
chrX	184	202	+	ONTX.3621.6071	UTR	NA
chrX	203	477	+	ONTX.3621.6071	CDS	CHIC1
chrX	477	578	+	ONTX.3621.6071	intron	CHIC1
chrX	578	632	+	ONTX.3621.6071	CDS	CHIC1
chrX	632	5038	+	ONTX.3621.6071	intron	CHIC1
chrX	5038	5193	+	ONTX.3621.6071	CDS	CHIC1
chrX	5193	5294	+	ONTX.3621.6071	intron	CHIC1
chrX	5294	5350	+	ONTX.3621.6071	CDS	CHIC1
chrX	5350	11252	+	ONTX.3621.6071	intron	CHIC1
chrX	11252	11278	+	ONTX.3621.6071	CDS	CHIC1
chrX	11279	11758	+	ONTX.3621.6071	UTR	NA
chrX	193	202	+	ONTX.3621.6079	UTR	NA
chrX	203	477	+	ONTX.3621.6079	CDS	CHIC1
chrX	477	578	+	ONTX.3621.6079	intron	CHIC1
chrX	578	632	+	ONTX.3621.6079	CDS	CHIC1
chrX	632	5038	+	ONTX.3621.6079	intron	CHIC1
chrX	5038	5193	+	ONTX.3621.6079	CDS	CHIC1
chrX	5193	5294	+	ONTX.3621.6079	intron	CHIC1
chrX	5294	5350	+	ONTX.3621.6079	CDS	CHIC1
chrX	5350	5451	+	ONTX.3621.6079	intron	CHIC1
chrX	5451	5510	+	ONTX.3621.6079	CDS	CHIC1
chrX	5510	5611	+	ONTX.3621.6079	intron	CHIC1
chrX	5611	5661	+	ONTX.3621.6079	CDS	CHIC1
chrX	5662	6573	+	ONTX.3621.6079	UTR	NA
chrX	188	202	+	ONTX.3621.6080	UTR	NA
chrX	203	477	+	ONTX.3621.6080	CDS	CHIC1
chrX	477	578	+	ONTX.3621.6080	intron	CHIC1
chrX	578	632	+	ONTX.3621.6080	CDS	CHIC1
chrX	632	5038	+	ONTX.3621.6080	intron	CHIC1
chrX	5038	5193	+	ONTX.3621.6080	CDS	CHIC1
chrX	5193	5294	+	ONTX.3621.6080	intron	CHIC1
chrX	5294	5350	+	ONTX.3621.6080	CDS	CHIC1
chrX	5350	5451	+	ONTX.3621.6080	intron	CHIC1
chrX	5451	5510	+	ONTX.3621.6080	CDS	CHIC1
chrX	5510	5611	+	ONTX.3621.6080	intron	CHIC1
chrX	5611	5661	+	ONTX.3621.6080	CDS	CHIC1
chrX	5662	7868	+	ONTX.3621.6080	UTR	NA
chrX	94	477	+	ENST00000373502.10	exon	ENSG00000204116.12
chrX	477	578	+	ENST00000373502.10	intron	ENSG00000204116.12
chrX	578	632	+	ENST00000373502.10	exon	ENSG00000204116.12
chrX	632	5038	+	ENST00000373502.10	intron	ENSG00000204116.12
chrX	5038	5193	+	ENST00000373502.10	exon	ENSG00000204116.12
chrX	5193	6145	+	ENST00000373502.10	intron	ENSG00000204116.12
chrX	6145	6201	+	ENST00000373502.10	exon	ENSG00000204116.12
chrX	6201	6302	+	ENST00000373502.10	intron	ENSG00000204116.12
chrX	6302	6361	+	ENST00000373502.10	exon	ENSG00000204116.12
chrX	6361	6462	+	ENST00000373502.10	intron	ENSG00000204116.12
chrX	6462	12618	+	ENST00000373502.10	exon	ENSG00000204116.12
chrX	2	477	+	ONTX.3621.5990	exon	CHIC1
chrX	477	578	+	ONTX.3621.5990	intron	CHIC1
chrX	578	632	+	ONTX.3621.5990	exon	CHIC1
chrX	632	5038	+	ONTX.3621.5990	intron	CHIC1
chrX	5038	5193	+	ONTX.3621.5990	exon	CHIC1
chrX	5193	6145	+	ONTX.3621.5990	intron	CHIC1
chrX	6145	6201	+	ONTX.3621.5990	exon	CHIC1
chrX	6201	6302	+	ONTX.3621.5990	intron	CHIC1
chrX	6302	6361	+	ONTX.3621.5990	exon	CHIC1
chrX	6361	6462	+	ONTX.3621.5990	intron	CHIC1
chrX	6462	7710	+	ONTX.3621.5990	exon	CHIC1
chrX	4	477	+	ONTX.3621.5997	exon	CHIC1
