seqnames	start	end	strand	transcript_id	type	gene_id
chr19	769	795	+	ENST00000247970.9	UTR	NA
chr19	796	853	+	ENST00000247970.9	CDS	ENSG00000127445.14
chr19	853	2760	+	ENST00000247970.9	intron	ENSG00000127445.14
chr19	2760	2972	+	ENST00000247970.9	CDS	ENSG00000127445.14
chr19	2972	4132	+	ENST00000247970.9	intron	ENSG00000127445.14
chr19	4132	4242	+	ENST00000247970.9	CDS	ENSG00000127445.14
chr19	4242	5192	+	ENST00000247970.9	intron	ENSG00000127445.14
chr19	5192	5304	+	ENST00000247970.9	CDS	ENSG00000127445.14
chr19	5305	5791	+	ENST00000247970.9	UTR	NA
chr19	2	113	+	ONT19.47.12399	UTR	NA
chr19	114	186	+	ONT19.47.12399	CDS	PIN1
chr19	186	2760	+	ONT19.47.12399	intron	PIN1
chr19	2760	2972	+	ONT19.47.12399	CDS	PIN1
chr19	2972	4132	+	ONT19.47.12399	intron	PIN1
chr19	4132	4242	+	ONT19.47.12399	CDS	PIN1
chr19	4242	5192	+	ONT19.47.12399	intron	PIN1
chr19	5192	5301	+	ONT19.47.12399	CDS	PIN1
chr19	5302	5784	+	ONT19.47.12399	UTR	NA
chr19	93	113	+	ONT19.47.12400	UTR	NA
chr19	114	186	+	ONT19.47.12400	CDS	PIN1
chr19	186	2760	+	ONT19.47.12400	intron	PIN1
chr19	2760	2972	+	ONT19.47.12400	CDS	PIN1
chr19	2972	4132	+	ONT19.47.12400	intron	PIN1
chr19	4132	4242	+	ONT19.47.12400	CDS	PIN1
chr19	4242	5192	+	ONT19.47.12400	intron	PIN1
chr19	5192	5301	+	ONT19.47.12400	CDS	PIN1
chr19	5302	5784	+	ONT19.47.12400	UTR	NA
chr19	287	795	+	ONT19.47.12402	UTR	NA
chr19	796	853	+	ONT19.47.12402	CDS	PIN1
chr19	853	2760	+	ONT19.47.12402	intron	PIN1
chr19	2760	2972	+	ONT19.47.12402	CDS	PIN1
chr19	2972	4132	+	ONT19.47.12402	intron	PIN1
chr19	4132	4242	+	ONT19.47.12402	CDS	PIN1
chr19	4242	5192	+	ONT19.47.12402	intron	PIN1
chr19	5192	5301	+	ONT19.47.12402	CDS	PIN1
chr19	5302	5792	+	ONT19.47.12402	UTR	NA
chr19	580	795	+	ONT19.47.12405	UTR	NA
chr19	796	853	+	ONT19.47.12405	CDS	PIN1
chr19	853	2760	+	ONT19.47.12405	intron	PIN1
chr19	2760	2972	+	ONT19.47.12405	CDS	PIN1
chr19	2972	4132	+	ONT19.47.12405	intron	PIN1
chr19	4132	4242	+	ONT19.47.12405	CDS	PIN1
chr19	4242	5192	+	ONT19.47.12405	intron	PIN1
chr19	5192	5301	+	ONT19.47.12405	CDS	PIN1
chr19	5302	5783	+	ONT19.47.12405	UTR	NA
chr19	594	795	+	ONT19.47.12406	UTR	NA
chr19	796	853	+	ONT19.47.12406	CDS	PIN1
chr19	853	2760	+	ONT19.47.12406	intron	PIN1
chr19	2760	2972	+	ONT19.47.12406	CDS	PIN1
chr19	2972	4132	+	ONT19.47.12406	intron	PIN1
chr19	4132	4242	+	ONT19.47.12406	CDS	PIN1
chr19	4242	5192	+	ONT19.47.12406	intron	PIN1
chr19	5192	5301	+	ONT19.47.12406	CDS	PIN1
chr19	5302	5785	+	ONT19.47.12406	UTR	NA
chr19	660	795	+	ONT19.47.12408	UTR	NA
chr19	796	853	+	ONT19.47.12408	CDS	PIN1
chr19	853	2760	+	ONT19.47.12408	intron	PIN1
chr19	2760	2972	+	ONT19.47.12408	CDS	PIN1
chr19	2972	4132	+	ONT19.47.12408	intron	PIN1
chr19	4132	4242	+	ONT19.47.12408	CDS	PIN1
chr19	4242	5192	+	ONT19.47.12408	intron	PIN1
chr19	5192	5301	+	ONT19.47.12408	CDS	PIN1
chr19	5302	5791	+	ONT19.47.12408	UTR	NA
chr19	692	795	+	ONT19.47.12409	UTR	NA
chr19	796	853	+	ONT19.47.12409	CDS	PIN1
chr19	853	2760	+	ONT19.47.12409	intron	PIN1
chr19	2760	2972	+	ONT19.47.12409	CDS	PIN1
chr19	2972	4132	+	ONT19.47.12409	intron	PIN1
chr19	4132	4242	+	ONT19.47.12409	CDS	PIN1
chr19	4242	5192	+	ONT19.47.12409	intron	PIN1
chr19	5192	5301	+	ONT19.47.12409	CDS	PIN1
chr19	5302	5785	+	ONT19.47.12409	UTR	NA
chr19	778	795	+	ONT19.47.12412	UTR	NA
chr19	796	853	+	ONT19.47.12412	CDS	PIN1
chr19	853	2760	+	ONT19.47.12412	intron	PIN1
chr19	2760	2972	+	ONT19.47.12412	CDS	PIN1
chr19	2972	4132	+	ONT19.47.12412	intron	PIN1
chr19	4132	4242	+	ONT19.47.12412	CDS	PIN1
chr19	4242	5192	+	ONT19.47.12412	intron	PIN1
chr19	5192	5301	+	ONT19.47.12412	CDS	PIN1
chr19	5302	5424	+	ONT19.47.12412	UTR	NA
chr19	5424	5479	+	ONT19.47.12412	intron	NA
chr19	5479	5791	+	ONT19.47.12412	UTR	NA
chr19	781	795	+	ONT19.47.12413	UTR	NA
chr19	796	853	+	ONT19.47.12413	CDS	PIN1
chr19	853	2760	+	ONT19.47.12413	intron	PIN1
chr19	2760	2972	+	ONT19.47.12413	CDS	PIN1
chr19	2972	4132	+	ONT19.47.12413	intron	PIN1
chr19	4132	4242	+	ONT19.47.12413	CDS	PIN1
chr19	4242	5192	+	ONT19.47.12413	intron	PIN1
chr19	5192	5301	+	ONT19.47.12413	CDS	PIN1
chr19	5302	5413	+	ONT19.47.12413	UTR	NA
chr19	5413	5635	+	ONT19.47.12413	intron	NA
chr19	5635	5784	+	ONT19.47.12413	UTR	NA
chr19	725	795	+	ONT19.47.12415	UTR	NA
chr19	796	853	+	ONT19.47.12415	CDS	PIN1
chr19	853	2760	+	ONT19.47.12415	intron	PIN1
chr19	2760	2972	+	ONT19.47.12415	CDS	PIN1
chr19	2972	4132	+	ONT19.47.12415	intron	PIN1
chr19	4132	4242	+	ONT19.47.12415	CDS	PIN1
chr19	4242	5192	+	ONT19.47.12415	intron	PIN1
chr19	5192	5301	+	ONT19.47.12415	CDS	PIN1
chr19	5302	5422	+	ONT19.47.12415	UTR	NA
chr19	5422	5625	+	ONT19.47.12415	intron	NA
chr19	5625	5784	+	ONT19.47.12415	UTR	NA
chr19	775	795	+	ONT19.47.12418	UTR	NA
chr19	796	853	+	ONT19.47.12418	CDS	PIN1
chr19	853	2772	+	ONT19.47.12418	intron	PIN1
chr19	2772	2972	+	ONT19.47.12418	CDS	PIN1
chr19	2972	4132	+	ONT19.47.12418	intron	PIN1
chr19	4132	4242	+	ONT19.47.12418	CDS	PIN1
chr19	4242	5192	+	ONT19.47.12418	intron	PIN1
chr19	5192	5301	+	ONT19.47.12418	CDS	PIN1
chr19	5302	5791	+	ONT19.47.12418	UTR	NA
chr19	726	795	+	ONT19.47.12420	UTR	NA
chr19	796	853	+	ONT19.47.12420	CDS	PIN1
chr19	853	2760	+	ONT19.47.12420	intron	PIN1
chr19	2760	2972	+	ONT19.47.12420	CDS	PIN1
chr19	2972	4132	+	ONT19.47.12420	intron	PIN1
chr19	4132	4216	+	ONT19.47.12420	CDS	PIN1
chr19	4216	5635	+	ONT19.47.12420	intron	PIN1
chr19	5635	5671	+	ONT19.47.12420	CDS	PIN1
chr19	5672	5790	+	ONT19.47.12420	UTR	NA
chr19	792	795	+	ONT19.47.12421	UTR	NA
chr19	796	853	+	ONT19.47.12421	CDS	PIN1
chr19	853	2760	+	ONT19.47.12421	intron	PIN1
chr19	2760	2972	+	ONT19.47.12421	CDS	PIN1
chr19	2972	4132	+	ONT19.47.12421	intron	PIN1
chr19	4132	4242	+	ONT19.47.12421	CDS	PIN1
chr19	4242	5192	+	ONT19.47.12421	intron	PIN1
chr19	5192	5301	+	ONT19.47.12421	CDS	PIN1
chr19	5302	6451	+	ONT19.47.12421	UTR	NA
chr19	728	795	+	ONT19.47.12423	UTR	NA
chr19	796	853	+	ONT19.47.12423	CDS	PIN1
chr19	853	2760	+	ONT19.47.12423	intron	PIN1
chr19	2760	2972	+	ONT19.47.12423	CDS	PIN1
chr19	2972	4132	+	ONT19.47.12423	intron	PIN1
chr19	4132	4242	+	ONT19.47.12423	CDS	PIN1
chr19	4242	5192	+	ONT19.47.12423	intron	PIN1
chr19	5192	5301	+	ONT19.47.12423	CDS	PIN1
chr19	5302	5335	+	ONT19.47.12423	UTR	NA
chr19	5335	5567	+	ONT19.47.12423	intron	NA
chr19	5567	5784	+	ONT19.47.12423	UTR	NA
chr19	786	795	+	ONT19.47.12427	UTR	NA
chr19	796	853	+	ONT19.47.12427	CDS	PIN1
chr19	853	1465	+	ONT19.47.12427	intron	PIN1
chr19	1465	1469	+	ONT19.47.12427	CDS	PIN1
chr19	1470	1517	+	ONT19.47.12427	UTR	NA
chr19	1517	2336	+	ONT19.47.12427	intron	NA
chr19	2336	2399	+	ONT19.47.12427	UTR	NA
chr19	2399	2760	+	ONT19.47.12427	intron	NA
chr19	2760	2972	+	ONT19.47.12427	UTR	NA
chr19	2972	4132	+	ONT19.47.12427	intron	NA
chr19	4132	4242	+	ONT19.47.12427	UTR	NA
chr19	4242	5192	+	ONT19.47.12427	intron	NA
chr19	5192	5785	+	ONT19.47.12427	UTR	NA
chr19	734	795	+	ONT19.47.12428	UTR	NA
chr19	796	853	+	ONT19.47.12428	CDS	PIN1
chr19	853	2760	+	ONT19.47.12428	intron	PIN1
chr19	2760	2972	+	ONT19.47.12428	CDS	PIN1
chr19	2972	4132	+	ONT19.47.12428	intron	PIN1
chr19	4132	4242	+	ONT19.47.12428	CDS	PIN1
chr19	4242	5348	+	ONT19.47.12428	intron	PIN1
chr19	5348	5526	+	ONT19.47.12428	CDS	PIN1
chr19	5527	5791	+	ONT19.47.12428	UTR	NA
chr19	738	795	+	ONT19.47.12432	UTR	NA
chr19	796	853	+	ONT19.47.12432	CDS	PIN1
chr19	853	2760	+	ONT19.47.12432	intron	PIN1
chr19	2760	2972	+	ONT19.47.12432	CDS	PIN1
chr19	2972	4132	+	ONT19.47.12432	intron	PIN1
chr19	4132	4242	+	ONT19.47.12432	CDS	PIN1
chr19	4242	5192	+	ONT19.47.12432	intron	PIN1
chr19	5192	5301	+	ONT19.47.12432	CDS	PIN1
chr19	5302	5377	+	ONT19.47.12432	UTR	NA
chr19	5377	5655	+	ONT19.47.12432	intron	NA
chr19	5655	5784	+	ONT19.47.12432	UTR	NA
chr19	771	795	+	ONT19.47.12433	UTR	NA
chr19	796	853	+	ONT19.47.12433	CDS	PIN1
chr19	853	2760	+	ONT19.47.12433	intron	PIN1
chr19	2760	2972	+	ONT19.47.12433	CDS	PIN1
chr19	2972	3118	+	ONT19.47.12433	intron	PIN1
chr19	3118	3215	+	ONT19.47.12433	CDS	PIN1
chr19	3216	3309	+	ONT19.47.12433	UTR	NA
chr19	3309	4132	+	ONT19.47.12433	intron	NA
chr19	4132	4242	+	ONT19.47.12433	UTR	NA
chr19	4242	5192	+	ONT19.47.12433	intron	NA
chr19	5192	5785	+	ONT19.47.12433	UTR	NA
chr19	738	795	+	ONT19.47.12434	UTR	NA
chr19	796	853	+	ONT19.47.12434	CDS	PIN1
chr19	853	2760	+	ONT19.47.12434	intron	PIN1
chr19	2760	2972	+	ONT19.47.12434	CDS	PIN1
chr19	2972	4132	+	ONT19.47.12434	intron	PIN1
