seqnames	start	end	strand	transcript_id	type	gene_id
chr11	2	4193	-	ENST00000354193.5	UTR	NA
chr11	4194	4208	-	ENST00000354193.5	CDS	ENSG00000198168.9
chr11	4208	4309	-	ENST00000354193.5	intron	ENSG00000198168.9
chr11	4309	4422	-	ENST00000354193.5	CDS	ENSG00000198168.9
chr11	4422	4523	-	ENST00000354193.5	intron	ENSG00000198168.9
chr11	4523	4573	-	ENST00000354193.5	CDS	ENSG00000198168.9
chr11	4573	4674	-	ENST00000354193.5	intron	ENSG00000198168.9
chr11	4674	4730	-	ENST00000354193.5	CDS	ENSG00000198168.9
chr11	4731	4780	-	ENST00000354193.5	UTR	NA
chr11	381	4587	-	ENST00000354193.5	exon	ENSG00000198168.9
chr11	4587	6231	-	ENST00000354193.5	intron	ENSG00000198168.9
chr11	6231	6344	-	ENST00000354193.5	exon	ENSG00000198168.9
chr11	6344	6488	-	ENST00000354193.5	intron	ENSG00000198168.9
chr11	6488	6538	-	ENST00000354193.5	exon	ENSG00000198168.9
chr11	6538	6960	-	ENST00000354193.5	intron	ENSG00000198168.9
chr11	6960	7066	-	ENST00000354193.5	exon	ENSG00000198168.9
chr11	2	276	-	ONT11.1031.127	exon	SVIP
chr11	277	421	-	ONT11.1031.127	exon	SVIP
chr11	422	535	-	ONT11.1031.127	exon	SVIP
chr11	536	586	-	ONT11.1031.127	exon	SVIP
chr11	587	727	-	ONT11.1031.127	exon	SVIP
chr11	381	4587	-	ONT11.1031.175	exon	SVIP
chr11	4588	4701	-	ONT11.1031.175	exon	SVIP
chr11	4702	4752	-	ONT11.1031.175	exon	SVIP
chr11	4753	4922	-	ONT11.1031.175	exon	SVIP
chr11	377	1033	-	ONT11.1031.192	exon	SVIP
chr11	1034	3243	-	ONT11.1031.192	exon	SVIP
chr11	3244	3357	-	ONT11.1031.192	exon	SVIP
chr11	3358	3408	-	ONT11.1031.192	exon	SVIP
chr11	3409	3566	-	ONT11.1031.192	exon	SVIP
chr11	382	3329	-	ONT11.1031.208	exon	SVIP
chr11	3330	3615	-	ONT11.1031.208	exon	SVIP
chr11	3616	3729	-	ONT11.1031.208	exon	SVIP
chr11	3730	3780	-	ONT11.1031.208	exon	SVIP
chr11	3781	3948	-	ONT11.1031.208	exon	SVIP
chr11	545	4587	-	ONT11.1031.219	exon	SVIP
chr11	4588	4701	-	ONT11.1031.219	exon	SVIP
chr11	4702	4752	-	ONT11.1031.219	exon	SVIP
chr11	4753	4890	-	ONT11.1031.219	exon	SVIP
chr11	1212	4587	-	ONT11.1031.224	exon	SVIP
chr11	4588	4701	-	ONT11.1031.224	exon	SVIP
chr11	4702	4752	-	ONT11.1031.224	exon	SVIP
chr11	4753	4859	-	ONT11.1031.224	exon	SVIP
chr11	1532	4587	-	ONT11.1031.235	exon	SVIP
chr11	4588	4701	-	ONT11.1031.235	exon	SVIP
chr11	4702	4752	-	ONT11.1031.235	exon	SVIP
chr11	4753	4892	-	ONT11.1031.235	exon	SVIP
chr11	1532	3329	-	ONT11.1031.241	exon	SVIP
chr11	3330	3615	-	ONT11.1031.241	exon	SVIP
chr11	3616	3729	-	ONT11.1031.241	exon	SVIP
chr11	3730	3780	-	ONT11.1031.241	exon	SVIP
chr11	3781	3935	-	ONT11.1031.241	exon	SVIP
chr11	1532	4587	-	ONT11.1031.248	exon	SVIP
chr11	4588	4701	-	ONT11.1031.248	exon	SVIP
chr11	4702	4752	-	ONT11.1031.248	exon	SVIP
chr11	4753	4859	-	ONT11.1031.248	exon	SVIP
chr11	1752	4587	-	ONT11.1031.255	exon	SVIP
chr11	4588	4701	-	ONT11.1031.255	exon	SVIP
chr11	4702	4752	-	ONT11.1031.255	exon	SVIP
chr11	4753	4908	-	ONT11.1031.255	exon	SVIP
chr11	1752	4580	-	ONT11.1031.256	exon	SVIP
chr11	4581	4694	-	ONT11.1031.256	exon	SVIP
chr11	4695	4745	-	ONT11.1031.256	exon	SVIP
chr11	4746	4856	-	ONT11.1031.256	exon	SVIP
chr11	2060	3329	-	ONT11.1031.291	exon	SVIP
