seqnames	start	end	strand	transcript_id	type	gene_id
chr22	2	116	+	ENST00000400358.9	UTR	NA
chr22	117	135	+	ENST00000400358.9	CDS	ENSG00000167037.19
chr22	135	232	+	ENST00000400358.9	intron	ENSG00000167037.19
chr22	232	275	+	ENST00000400358.9	CDS	ENSG00000167037.19
chr22	275	376	+	ENST00000400358.9	intron	ENSG00000167037.19
chr22	376	451	+	ENST00000400358.9	CDS	ENSG00000167037.19
chr22	451	552	+	ENST00000400358.9	intron	ENSG00000167037.19
chr22	552	714	+	ENST00000400358.9	CDS	ENSG00000167037.19
chr22	714	815	+	ENST00000400358.9	intron	ENSG00000167037.19
chr22	815	967	+	ENST00000400358.9	CDS	ENSG00000167037.19
chr22	967	1068	+	ENST00000400358.9	intron	ENSG00000167037.19
chr22	1068	1135	+	ENST00000400358.9	CDS	ENSG00000167037.19
chr22	1135	1237	+	ENST00000400358.9	intron	ENSG00000167037.19
chr22	1237	1382	+	ENST00000400358.9	CDS	ENSG00000167037.19
chr22	1382	1483	+	ENST00000400358.9	intron	ENSG00000167037.19
chr22	1483	1614	+	ENST00000400358.9	CDS	ENSG00000167037.19
chr22	1614	1715	+	ENST00000400358.9	intron	ENSG00000167037.19
chr22	1715	1839	+	ENST00000400358.9	CDS	ENSG00000167037.19
chr22	1839	3710	+	ENST00000400358.9	intron	ENSG00000167037.19
chr22	3710	3777	+	ENST00000400358.9	CDS	ENSG00000167037.19
chr22	3777	3878	+	ENST00000400358.9	intron	ENSG00000167037.19
chr22	3878	4041	+	ENST00000400358.9	CDS	ENSG00000167037.19
chr22	4041	4144	+	ENST00000400358.9	intron	ENSG00000167037.19
chr22	4144	4276	+	ENST00000400358.9	CDS	ENSG00000167037.19
chr22	4276	4378	+	ENST00000400358.9	intron	ENSG00000167037.19
chr22	4378	4516	+	ENST00000400358.9	CDS	ENSG00000167037.19
chr22	4516	4618	+	ENST00000400358.9	intron	ENSG00000167037.19
chr22	4618	4682	+	ENST00000400358.9	CDS	ENSG00000167037.19
chr22	4682	4787	+	ENST00000400358.9	intron	ENSG00000167037.19
chr22	4787	4932	+	ENST00000400358.9	CDS	ENSG00000167037.19
chr22	4932	5033	+	ENST00000400358.9	intron	ENSG00000167037.19
chr22	5033	5161	+	ENST00000400358.9	CDS	ENSG00000167037.19
chr22	5161	5617	+	ENST00000400358.9	intron	ENSG00000167037.19
chr22	5617	5799	+	ENST00000400358.9	CDS	ENSG00000167037.19
chr22	5799	5900	+	ENST00000400358.9	intron	ENSG00000167037.19
chr22	5900	5968	+	ENST00000400358.9	CDS	ENSG00000167037.19
chr22	5968	6069	+	ENST00000400358.9	intron	ENSG00000167037.19
chr22	6069	6656	+	ENST00000400358.9	CDS	ENSG00000167037.19
chr22	6656	6757	+	ENST00000400358.9	intron	ENSG00000167037.19
chr22	6757	6881	+	ENST00000400358.9	CDS	ENSG00000167037.19
chr22	6881	6982	+	ENST00000400358.9	intron	ENSG00000167037.19
chr22	6982	7064	+	ENST00000400358.9	CDS	ENSG00000167037.19
chr22	7064	7170	+	ENST00000400358.9	intron	ENSG00000167037.19
chr22	7170	7279	+	ENST00000400358.9	CDS	ENSG00000167037.19
chr22	7279	8089	+	ENST00000400358.9	intron	ENSG00000167037.19
chr22	8089	8185	+	ENST00000400358.9	CDS	ENSG00000167037.19
chr22	8185	8295	+	ENST00000400358.9	intron	ENSG00000167037.19
chr22	8295	8462	+	ENST00000400358.9	CDS	ENSG00000167037.19
chr22	8462	8563	+	ENST00000400358.9	intron	ENSG00000167037.19
chr22	8563	8654	+	ENST00000400358.9	CDS	ENSG00000167037.19
chr22	8655	11955	+	ENST00000400358.9	UTR	NA
chr22	29	116	+	ONT22.487.13845	UTR	NA
chr22	117	135	+	ONT22.487.13845	CDS	SGSM1
chr22	135	232	+	ONT22.487.13845	intron	SGSM1
chr22	232	275	+	ONT22.487.13845	CDS	SGSM1
chr22	275	376	+	ONT22.487.13845	intron	SGSM1
chr22	376	451	+	ONT22.487.13845	CDS	SGSM1
chr22	451	552	+	ONT22.487.13845	intron	SGSM1
chr22	552	714	+	ONT22.487.13845	CDS	SGSM1
chr22	714	815	+	ONT22.487.13845	intron	SGSM1
chr22	815	967	+	ONT22.487.13845	CDS	SGSM1
chr22	967	1068	+	ONT22.487.13845	intron	SGSM1
chr22	1068	1135	+	ONT22.487.13845	CDS	SGSM1
chr22	1135	1237	+	ONT22.487.13845	intron	SGSM1
chr22	1237	1382	+	ONT22.487.13845	CDS	SGSM1
chr22	1382	1483	+	ONT22.487.13845	intron	SGSM1
chr22	1483	1614	+	ONT22.487.13845	CDS	SGSM1
chr22	1614	1715	+	ONT22.487.13845	intron	SGSM1
chr22	1715	1839	+	ONT22.487.13845	CDS	SGSM1
chr22	1839	3710	+	ONT22.487.13845	intron	SGSM1
chr22	3710	3777	+	ONT22.487.13845	CDS	SGSM1
chr22	3777	3878	+	ONT22.487.13845	intron	SGSM1
chr22	3878	4041	+	ONT22.487.13845	CDS	SGSM1
chr22	4041	4144	+	ONT22.487.13845	intron	SGSM1
chr22	4144	4276	+	ONT22.487.13845	CDS	SGSM1
chr22	4276	4378	+	ONT22.487.13845	intron	SGSM1
chr22	4378	4516	+	ONT22.487.13845	CDS	SGSM1
chr22	4516	4618	+	ONT22.487.13845	intron	SGSM1
chr22	4618	4682	+	ONT22.487.13845	CDS	SGSM1
chr22	4682	4787	+	ONT22.487.13845	intron	SGSM1
chr22	4787	4932	+	ONT22.487.13845	CDS	SGSM1
chr22	4932	5033	+	ONT22.487.13845	intron	SGSM1
chr22	5033	5161	+	ONT22.487.13845	CDS	SGSM1
chr22	5161	5617	+	ONT22.487.13845	intron	SGSM1
chr22	5617	5799	+	ONT22.487.13845	CDS	SGSM1
chr22	5799	5900	+	ONT22.487.13845	intron	SGSM1
chr22	5900	5968	+	ONT22.487.13845	CDS	SGSM1
chr22	5968	6069	+	ONT22.487.13845	intron	SGSM1
chr22	6069	6656	+	ONT22.487.13845	CDS	SGSM1
chr22	6656	6757	+	ONT22.487.13845	intron	SGSM1
chr22	6757	6881	+	ONT22.487.13845	CDS	SGSM1
chr22	6881	6982	+	ONT22.487.13845	intron	SGSM1
chr22	6982	7064	+	ONT22.487.13845	CDS	SGSM1
chr22	7064	7170	+	ONT22.487.13845	intron	SGSM1
chr22	7170	7279	+	ONT22.487.13845	CDS	SGSM1
chr22	7279	8089	+	ONT22.487.13845	intron	SGSM1
chr22	8089	8185	+	ONT22.487.13845	CDS	SGSM1
chr22	8185	8295	+	ONT22.487.13845	intron	SGSM1
chr22	8295	8462	+	ONT22.487.13845	CDS	SGSM1
chr22	8462	8563	+	ONT22.487.13845	intron	SGSM1
chr22	8563	8651	+	ONT22.487.13845	CDS	SGSM1
chr22	8652	11215	+	ONT22.487.13845	UTR	NA
chr22	2	116	+	ONT22.487.13847	UTR	NA
chr22	117	135	+	ONT22.487.13847	CDS	SGSM1
chr22	135	232	+	ONT22.487.13847	intron	SGSM1
chr22	232	275	+	ONT22.487.13847	CDS	SGSM1
chr22	275	385	+	ONT22.487.13847	intron	SGSM1
chr22	385	451	+	ONT22.487.13847	CDS	SGSM1
chr22	451	552	+	ONT22.487.13847	intron	SGSM1
chr22	552	714	+	ONT22.487.13847	CDS	SGSM1
chr22	714	815	+	ONT22.487.13847	intron	SGSM1
chr22	815	967	+	ONT22.487.13847	CDS	SGSM1
chr22	967	1068	+	ONT22.487.13847	intron	SGSM1
chr22	1068	1135	+	ONT22.487.13847	CDS	SGSM1
chr22	1135	1237	+	ONT22.487.13847	intron	SGSM1
chr22	1237	1382	+	ONT22.487.13847	CDS	SGSM1
chr22	1382	1483	+	ONT22.487.13847	intron	SGSM1
chr22	1483	1614	+	ONT22.487.13847	CDS	SGSM1
chr22	1614	1715	+	ONT22.487.13847	intron	SGSM1
chr22	1715	1839	+	ONT22.487.13847	CDS	SGSM1
chr22	1839	3710	+	ONT22.487.13847	intron	SGSM1
chr22	3710	3777	+	ONT22.487.13847	CDS	SGSM1
chr22	3777	3878	+	ONT22.487.13847	intron	SGSM1
chr22	3878	4041	+	ONT22.487.13847	CDS	SGSM1
chr22	4041	4144	+	ONT22.487.13847	intron	SGSM1
chr22	4144	4276	+	ONT22.487.13847	CDS	SGSM1
chr22	4276	4378	+	ONT22.487.13847	intron	SGSM1
chr22	4378	4516	+	ONT22.487.13847	CDS	SGSM1
chr22	4516	4618	+	ONT22.487.13847	intron	SGSM1
chr22	4618	4682	+	ONT22.487.13847	CDS	SGSM1
chr22	4682	4787	+	ONT22.487.13847	intron	SGSM1
chr22	4787	4932	+	ONT22.487.13847	CDS	SGSM1
chr22	4932	5033	+	ONT22.487.13847	intron	SGSM1
chr22	5033	5161	+	ONT22.487.13847	CDS	SGSM1
chr22	5161	5617	+	ONT22.487.13847	intron	SGSM1
chr22	5617	5799	+	ONT22.487.13847	CDS	SGSM1
chr22	5799	5900	+	ONT22.487.13847	intron	SGSM1
chr22	5900	5968	+	ONT22.487.13847	CDS	SGSM1
chr22	5968	6069	+	ONT22.487.13847	intron	SGSM1
chr22	6069	6656	+	ONT22.487.13847	CDS	SGSM1
chr22	6656	6757	+	ONT22.487.13847	intron	SGSM1
chr22	6757	6881	+	ONT22.487.13847	CDS	SGSM1
chr22	6881	6982	+	ONT22.487.13847	intron	SGSM1
chr22	6982	7068	+	ONT22.487.13847	CDS	SGSM1
chr22	7068	7170	+	ONT22.487.13847	intron	SGSM1
chr22	7170	7279	+	ONT22.487.13847	CDS	SGSM1
chr22	7279	8089	+	ONT22.487.13847	intron	SGSM1
chr22	8089	8111	+	ONT22.487.13847	CDS	SGSM1
chr22	8112	8185	+	ONT22.487.13847	UTR	NA
chr22	8185	8295	+	ONT22.487.13847	intron	NA
chr22	8295	8462	+	ONT22.487.13847	UTR	NA
chr22	8462	8563	+	ONT22.487.13847	intron	NA
chr22	8563	11220	+	ONT22.487.13847	UTR	NA
chr22	2	116	+	ONT22.487.13849	UTR	NA
chr22	117	135	+	ONT22.487.13849	CDS	SGSM1
chr22	135	232	+	ONT22.487.13849	intron	SGSM1
chr22	232	275	+	ONT22.487.13849	CDS	SGSM1
chr22	275	376	+	ONT22.487.13849	intron	SGSM1
chr22	376	451	+	ONT22.487.13849	CDS	SGSM1
chr22	451	552	+	ONT22.487.13849	intron	SGSM1
chr22	552	714	+	ONT22.487.13849	CDS	SGSM1
chr22	714	815	+	ONT22.487.13849	intron	SGSM1
chr22	815	967	+	ONT22.487.13849	CDS	SGSM1
chr22	967	1068	+	ONT22.487.13849	intron	SGSM1
chr22	1068	1135	+	ONT22.487.13849	CDS	SGSM1
