seqnames	start	end	strand	transcript_id	type	gene_id
chr4	52	294	+	ENST00000514213.7	UTR	NA
chr4	295	360	+	ENST00000514213.7	CDS	ENSG00000138768.15
chr4	360	462	+	ENST00000514213.7	intron	ENSG00000138768.15
chr4	462	548	+	ENST00000514213.7	CDS	ENSG00000138768.15
chr4	548	629	+	ENST00000514213.7	intron	ENSG00000138768.15
chr4	629	693	+	ENST00000514213.7	CDS	ENSG00000138768.15
chr4	693	795	+	ENST00000514213.7	intron	ENSG00000138768.15
chr4	795	871	+	ENST00000514213.7	CDS	ENSG00000138768.15
chr4	871	985	+	ENST00000514213.7	intron	ENSG00000138768.15
chr4	985	1085	+	ENST00000514213.7	CDS	ENSG00000138768.15
chr4	1085	1186	+	ENST00000514213.7	intron	ENSG00000138768.15
chr4	1186	1288	+	ENST00000514213.7	CDS	ENSG00000138768.15
chr4	1288	1446	+	ENST00000514213.7	intron	ENSG00000138768.15
chr4	1446	1501	+	ENST00000514213.7	CDS	ENSG00000138768.15
chr4	1501	2342	+	ENST00000514213.7	intron	ENSG00000138768.15
chr4	2342	2462	+	ENST00000514213.7	CDS	ENSG00000138768.15
chr4	2462	2573	+	ENST00000514213.7	intron	ENSG00000138768.15
chr4	2573	2751	+	ENST00000514213.7	CDS	ENSG00000138768.15
chr4	2751	2856	+	ENST00000514213.7	intron	ENSG00000138768.15
chr4	2856	2996	+	ENST00000514213.7	CDS	ENSG00000138768.15
chr4	2996	4686	+	ENST00000514213.7	intron	ENSG00000138768.15
chr4	4686	4774	+	ENST00000514213.7	CDS	ENSG00000138768.15
chr4	4774	5179	+	ENST00000514213.7	intron	ENSG00000138768.15
chr4	5179	5333	+	ENST00000514213.7	CDS	ENSG00000138768.15
chr4	5333	5560	+	ENST00000514213.7	intron	ENSG00000138768.15
chr4	5560	5771	+	ENST00000514213.7	CDS	ENSG00000138768.15
chr4	5771	10262	+	ENST00000514213.7	intron	ENSG00000138768.15
chr4	10262	10372	+	ENST00000514213.7	CDS	ENSG00000138768.15
chr4	10372	10991	+	ENST00000514213.7	intron	ENSG00000138768.15
