seqnames	start	end	strand	transcript_id	type	gene_id
chr2	4	695	-	ENST00000272298.12	UTR	NA
chr2	696	724	-	ENST00000272298.12	CDS	ENSG00000143933.20
chr2	724	1643	-	ENST00000272298.12	intron	ENSG00000143933.20
chr2	1643	1778	-	ENST00000272298.12	CDS	ENSG00000143933.20
chr2	1778	2206	-	ENST00000272298.12	intron	ENSG00000143933.20
chr2	2206	2312	-	ENST00000272298.12	CDS	ENSG00000143933.20
chr2	2312	2439	-	ENST00000272298.12	intron	ENSG00000143933.20
chr2	2439	2582	-	ENST00000272298.12	CDS	ENSG00000143933.20
chr2	2582	3434	-	ENST00000272298.12	intron	ENSG00000143933.20
chr2	3434	3464	-	ENST00000272298.12	CDS	ENSG00000143933.20
chr2	3464	3887	-	ENST00000272298.12	intron	ENSG00000143933.20
chr2	3887	3892	-	ENST00000272298.12	CDS	ENSG00000143933.20
chr2	3893	3957	-	ENST00000272298.12	UTR	NA
chr2	102	698	-	ONT2.2975.10185	UTR	NA
chr2	699	724	-	ONT2.2975.10185	CDS	CALM2
chr2	724	1643	-	ONT2.2975.10185	intron	CALM2
chr2	1643	1778	-	ONT2.2975.10185	CDS	CALM2
chr2	1778	2206	-	ONT2.2975.10185	intron	CALM2
chr2	2206	2312	-	ONT2.2975.10185	CDS	CALM2
chr2	2312	2439	-	ONT2.2975.10185	intron	CALM2
chr2	2439	2582	-	ONT2.2975.10185	CDS	CALM2
chr2	2582	4091	-	ONT2.2975.10185	intron	CALM2
chr2	4091	4100	-	ONT2.2975.10185	CDS	CALM2
chr2	4101	4154	-	ONT2.2975.10185	UTR	NA
chr2	493	698	-	ONT2.2975.10490	UTR	NA
chr2	699	724	-	ONT2.2975.10490	CDS	CALM2
chr2	724	1643	-	ONT2.2975.10490	intron	CALM2
chr2	1643	1778	-	ONT2.2975.10490	CDS	CALM2
chr2	1778	2206	-	ONT2.2975.10490	intron	CALM2
chr2	2206	2312	-	ONT2.2975.10490	CDS	CALM2
chr2	2312	2439	-	ONT2.2975.10490	intron	CALM2
chr2	2439	2588	-	ONT2.2975.10490	CDS	CALM2
chr2	2588	3883	-	ONT2.2975.10490	intron	CALM2
chr2	3883	3892	-	ONT2.2975.10490	CDS	CALM2
chr2	3893	3953	-	ONT2.2975.10490	UTR	NA
chr2	563	724	-	ONT2.2975.10501	UTR	NA
chr2	724	1643	-	ONT2.2975.10501	intron	NA
chr2	1643	1761	-	ONT2.2975.10501	UTR	NA
chr2	1762	1778	-	ONT2.2975.10501	CDS	CALM2
