seqnames	start	end	strand	transcript_id	type	gene_id
chr4	2	5203	-	ENST00000399132.6	UTR	NA
chr4	5204	5206	-	ENST00000399132.6	CDS	ENSG00000188517.17
chr4	5206	5307	-	ENST00000399132.6	intron	ENSG00000188517.17
chr4	5307	5345	-	ENST00000399132.6	CDS	ENSG00000188517.17
chr4	5345	5446	-	ENST00000399132.6	intron	ENSG00000188517.17
chr4	5446	5523	-	ENST00000399132.6	CDS	ENSG00000188517.17
chr4	5523	5624	-	ENST00000399132.6	intron	ENSG00000188517.17
chr4	5624	5677	-	ENST00000399132.6	CDS	ENSG00000188517.17
chr4	5677	5778	-	ENST00000399132.6	intron	ENSG00000188517.17
chr4	5778	5804	-	ENST00000399132.6	CDS	ENSG00000188517.17
chr4	5804	5905	-	ENST00000399132.6	intron	ENSG00000188517.17
chr4	5905	5958	-	ENST00000399132.6	CDS	ENSG00000188517.17
chr4	5958	6059	-	ENST00000399132.6	intron	ENSG00000188517.17
chr4	6059	6112	-	ENST00000399132.6	CDS	ENSG00000188517.17
chr4	6112	6213	-	ENST00000399132.6	intron	ENSG00000188517.17
chr4	6213	6239	-	ENST00000399132.6	CDS	ENSG00000188517.17
chr4	6239	6340	-	ENST00000399132.6	intron	ENSG00000188517.17
chr4	6340	6390	-	ENST00000399132.6	CDS	ENSG00000188517.17
chr4	6390	6491	-	ENST00000399132.6	intron	ENSG00000188517.17
chr4	6491	6553	-	ENST00000399132.6	CDS	ENSG00000188517.17
chr4	6553	6655	-	ENST00000399132.6	intron	ENSG00000188517.17
chr4	6655	6735	-	ENST00000399132.6	CDS	ENSG00000188517.17
chr4	6735	6836	-	ENST00000399132.6	intron	ENSG00000188517.17
chr4	6836	6880	-	ENST00000399132.6	CDS	ENSG00000188517.17
chr4	6880	6981	-	ENST00000399132.6	intron	ENSG00000188517.17
chr4	6981	7025	-	ENST00000399132.6	CDS	ENSG00000188517.17
chr4	7025	7126	-	ENST00000399132.6	intron	ENSG00000188517.17
chr4	7126	7149	-	ENST00000399132.6	CDS	ENSG00000188517.17
chr4	7149	7254	-	ENST00000399132.6	intron	ENSG00000188517.17
chr4	7254	7331	-	ENST00000399132.6	CDS	ENSG00000188517.17
chr4	7331	7432	-	ENST00000399132.6	intron	ENSG00000188517.17
chr4	7432	7476	-	ENST00000399132.6	CDS	ENSG00000188517.17
chr4	7476	7577	-	ENST00000399132.6	intron	ENSG00000188517.17
chr4	7577	7621	-	ENST00000399132.6	CDS	ENSG00000188517.17
chr4	7621	7722	-	ENST00000399132.6	intron	ENSG00000188517.17
chr4	7722	7790	-	ENST00000399132.6	CDS	ENSG00000188517.17
chr4	7790	7891	-	ENST00000399132.6	intron	ENSG00000188517.17
chr4	7891	7953	-	ENST00000399132.6	CDS	ENSG00000188517.17
chr4	7953	8054	-	ENST00000399132.6	intron	ENSG00000188517.17
chr4	8054	8098	-	ENST00000399132.6	CDS	ENSG00000188517.17
chr4	8098	8199	-	ENST00000399132.6	intron	ENSG00000188517.17
chr4	8199	8234	-	ENST00000399132.6	CDS	ENSG00000188517.17
chr4	8234	8335	-	ENST00000399132.6	intron	ENSG00000188517.17
chr4	8335	8367	-	ENST00000399132.6	CDS	ENSG00000188517.17
chr4	8367	8468	-	ENST00000399132.6	intron	ENSG00000188517.17
chr4	8468	8512	-	ENST00000399132.6	CDS	ENSG00000188517.17
chr4	8512	8613	-	ENST00000399132.6	intron	ENSG00000188517.17
chr4	8613	8639	-	ENST00000399132.6	CDS	ENSG00000188517.17
