seqnames	start	end	strand	transcript_id	type	gene_id
chr1	1018	1406	-	ENST00000368467.4	UTR	NA
chr1	1407	1543	-	ENST00000368467.4	CDS	ENSG00000163344.6
chr1	1543	1660	-	ENST00000368467.4	intron	ENSG00000163344.6
chr1	1660	1789	-	ENST00000368467.4	CDS	ENSG00000163344.6
chr1	1789	4330	-	ENST00000368467.4	intron	ENSG00000163344.6
chr1	4330	4482	-	ENST00000368467.4	CDS	ENSG00000163344.6
chr1	4482	5251	-	ENST00000368467.4	intron	ENSG00000163344.6
chr1	5251	5314	-	ENST00000368467.4	CDS	ENSG00000163344.6
chr1	5314	5834	-	ENST00000368467.4	intron	ENSG00000163344.6
chr1	5834	5931	-	ENST00000368467.4	CDS	ENSG00000163344.6
chr1	5932	5962	-	ENST00000368467.4	UTR	NA
chr1	2	187	-	ONT1.5118.26550	UTR	NA
chr1	187	288	-	ONT1.5118.26550	intron	NA
chr1	288	1409	-	ONT1.5118.26550	UTR	NA
chr1	1410	1543	-	ONT1.5118.26550	CDS	PMVK
chr1	1543	1660	-	ONT1.5118.26550	intron	PMVK
chr1	1660	1789	-	ONT1.5118.26550	CDS	PMVK
chr1	1789	4330	-	ONT1.5118.26550	intron	PMVK
chr1	4330	4482	-	ONT1.5118.26550	CDS	PMVK
chr1	4482	5251	-	ONT1.5118.26550	intron	PMVK
chr1	5251	5314	-	ONT1.5118.26550	CDS	PMVK
chr1	5314	5834	-	ONT1.5118.26550	intron	PMVK
chr1	5834	5931	-	ONT1.5118.26550	CDS	PMVK
chr1	5932	6005	-	ONT1.5118.26550	UTR	NA
chr1	1013	1409	-	ONT1.5118.26564	UTR	NA
chr1	1410	1543	-	ONT1.5118.26564	CDS	PMVK
chr1	1543	1660	-	ONT1.5118.26564	intron	PMVK
chr1	1660	1789	-	ONT1.5118.26564	CDS	PMVK
chr1	1789	4330	-	ONT1.5118.26564	intron	PMVK
chr1	4330	4482	-	ONT1.5118.26564	CDS	PMVK
chr1	4482	5251	-	ONT1.5118.26564	intron	PMVK
chr1	5251	5314	-	ONT1.5118.26564	CDS	PMVK
chr1	5314	5834	-	ONT1.5118.26564	intron	PMVK
chr1	5834	5931	-	ONT1.5118.26564	CDS	PMVK
chr1	5932	6222	-	ONT1.5118.26564	UTR	NA
chr1	1012	1543	-	ONT1.5118.26565	UTR	NA
chr1	1543	1660	-	ONT1.5118.26565	intron	NA
chr1	1660	1785	-	ONT1.5118.26565	UTR	NA
chr1	1786	1789	-	ONT1.5118.26565	CDS	PMVK
chr1	1789	5834	-	ONT1.5118.26565	intron	PMVK
chr1	5834	5931	-	ONT1.5118.26565	CDS	PMVK
chr1	5932	6221	-	ONT1.5118.26565	UTR	NA
chr1	1017	1543	-	ONT1.5118.26566	UTR	NA
chr1	1543	1660	-	ONT1.5118.26566	intron	NA
chr1	1660	1789	-	ONT1.5118.26566	UTR	NA
chr1	1789	4330	-	ONT1.5118.26566	intron	NA
chr1	4330	4472	-	ONT1.5118.26566	UTR	NA
chr1	4473	4482	-	ONT1.5118.26566	CDS	PMVK
chr1	4482	5834	-	ONT1.5118.26566	intron	PMVK
chr1	5834	5931	-	ONT1.5118.26566	CDS	PMVK
chr1	5932	6240	-	ONT1.5118.26566	UTR	NA
chr1	1012	1543	-	ONT1.5118.26569	UTR	NA
chr1	1543	1660	-	ONT1.5118.26569	intron	NA
chr1	1660	1781	-	ONT1.5118.26569	UTR	NA
chr1	1781	4330	-	ONT1.5118.26569	intron	PMVK
chr1	4330	4482	-	ONT1.5118.26569	CDS	PMVK
chr1	4482	5251	-	ONT1.5118.26569	intron	PMVK
chr1	5251	5314	-	ONT1.5118.26569	CDS	PMVK
chr1	5314	5834	-	ONT1.5118.26569	intron	PMVK
chr1	5834	5931	-	ONT1.5118.26569	CDS	PMVK
chr1	5932	5984	-	ONT1.5118.26569	UTR	NA
chr1	1018	1435	-	ONT1.5118.26570	UTR	NA
chr1	1436	1543	-	ONT1.5118.26570	CDS	PMVK
chr1	1543	1673	-	ONT1.5118.26570	intron	PMVK
chr1	1673	1789	-	ONT1.5118.26570	CDS	PMVK
chr1	1789	4330	-	ONT1.5118.26570	intron	PMVK
chr1	4330	4482	-	ONT1.5118.26570	CDS	PMVK
chr1	4482	5251	-	ONT1.5118.26570	intron	PMVK
chr1	5251	5314	-	ONT1.5118.26570	CDS	PMVK
chr1	5314	5834	-	ONT1.5118.26570	intron	PMVK
chr1	5834	5931	-	ONT1.5118.26570	CDS	PMVK
chr1	5932	6215	-	ONT1.5118.26570	UTR	NA
chr1	1012	1409	-	ONT1.5118.26571	UTR	NA
chr1	1410	1543	-	ONT1.5118.26571	CDS	PMVK
chr1	1543	1660	-	ONT1.5118.26571	intron	PMVK
chr1	1660	1789	-	ONT1.5118.26571	CDS	PMVK
chr1	1789	4330	-	ONT1.5118.26571	intron	PMVK
chr1	4330	4419	-	ONT1.5118.26571	CDS	PMVK
chr1	4420	4482	-	ONT1.5118.26571	UTR	NA
chr1	4482	5251	-	ONT1.5118.26571	intron	NA
chr1	5251	5318	-	ONT1.5118.26571	UTR	NA
chr1	1018	1409	-	ONT1.5118.26572	UTR	NA
chr1	1410	1543	-	ONT1.5118.26572	CDS	PMVK
chr1	1543	1660	-	ONT1.5118.26572	intron	PMVK
chr1	1660	1789	-	ONT1.5118.26572	CDS	PMVK
chr1	1789	4330	-	ONT1.5118.26572	intron	PMVK
chr1	4330	4419	-	ONT1.5118.26572	CDS	PMVK
chr1	4420	4485	-	ONT1.5118.26572	UTR	NA
chr1	1018	1162	-	ONT1.5118.26576	UTR	NA
chr1	1163	1256	-	ONT1.5118.26576	CDS	PMVK
chr1	1256	1453	-	ONT1.5118.26576	intron	PMVK
chr1	1453	1543	-	ONT1.5118.26576	CDS	PMVK
chr1	1543	1660	-	ONT1.5118.26576	intron	PMVK
chr1	1660	1789	-	ONT1.5118.26576	CDS	PMVK
chr1	1789	4330	-	ONT1.5118.26576	intron	PMVK
chr1	4330	4482	-	ONT1.5118.26576	CDS	PMVK
