seqnames	start	end	strand	transcript_id	type	gene_id
chr16	2	1776	-	ENST00000397621.6	UTR	NA
chr16	1777	1925	-	ENST00000397621.6	CDS	ENSG00000127585.12
chr16	1925	2026	-	ENST00000397621.6	intron	ENSG00000127585.12
chr16	2026	2089	-	ENST00000397621.6	CDS	ENSG00000127585.12
chr16	2089	2192	-	ENST00000397621.6	intron	ENSG00000127585.12
chr16	2192	2276	-	ENST00000397621.6	CDS	ENSG00000127585.12
chr16	2276	2381	-	ENST00000397621.6	intron	ENSG00000127585.12
chr16	2381	2889	-	ENST00000397621.6	CDS	ENSG00000127585.12
chr16	2889	2990	-	ENST00000397621.6	intron	ENSG00000127585.12
chr16	2990	3625	-	ENST00000397621.6	CDS	ENSG00000127585.12
chr16	3626	3636	-	ENST00000397621.6	UTR	NA
chr16	3636	3737	-	ENST00000397621.6	intron	NA
chr16	3737	4026	-	ENST00000397621.6	UTR	NA
chr16	10	1779	-	ONT16.17.13995	UTR	NA
chr16	1780	1925	-	ONT16.17.13995	CDS	FBXL16
chr16	1925	2026	-	ONT16.17.13995	intron	FBXL16
chr16	2026	2089	-	ONT16.17.13995	CDS	FBXL16
chr16	2089	2192	-	ONT16.17.13995	intron	FBXL16
chr16	2192	2276	-	ONT16.17.13995	CDS	FBXL16
chr16	2276	2381	-	ONT16.17.13995	intron	FBXL16
chr16	2381	2442	-	ONT16.17.13995	CDS	FBXL16
chr16	2443	2674	-	ONT16.17.13995	UTR	NA
chr16	5	1779	-	ONT16.17.13999	UTR	NA
chr16	1780	1925	-	ONT16.17.13999	CDS	FBXL16
chr16	1925	2026	-	ONT16.17.13999	intron	FBXL16
chr16	2026	2089	-	ONT16.17.13999	CDS	FBXL16
chr16	2089	2192	-	ONT16.17.13999	intron	FBXL16
chr16	2192	2276	-	ONT16.17.13999	CDS	FBXL16
chr16	2276	2381	-	ONT16.17.13999	intron	FBXL16
chr16	2381	2889	-	ONT16.17.13999	CDS	FBXL16
