seqnames	start	end	strand	transcript_id	type	gene_id
chr15	2	713	-	ENST00000268150.13	UTR	NA
chr15	714	851	-	ENST00000268150.13	CDS	ENSG00000140545.16
chr15	851	952	-	ENST00000268150.13	intron	ENSG00000140545.16
chr15	952	1107	-	ENST00000268150.13	CDS	ENSG00000140545.16
chr15	1107	1410	-	ENST00000268150.13	intron	ENSG00000140545.16
chr15	1410	1594	-	ENST00000268150.13	CDS	ENSG00000140545.16
chr15	1594	5616	-	ENST00000268150.13	intron	ENSG00000140545.16
chr15	5616	5760	-	ENST00000268150.13	CDS	ENSG00000140545.16
chr15	5760	6298	-	ENST00000268150.13	intron	ENSG00000140545.16
chr15	6298	6450	-	ENST00000268150.13	CDS	ENSG00000140545.16
chr15	6450	6556	-	ENST00000268150.13	intron	ENSG00000140545.16
chr15	6556	6737	-	ENST00000268150.13	CDS	ENSG00000140545.16
chr15	6737	6842	-	ENST00000268150.13	intron	ENSG00000140545.16
chr15	6842	6973	-	ENST00000268150.13	CDS	ENSG00000140545.16
chr15	6973	10297	-	ENST00000268150.13	intron	ENSG00000140545.16
chr15	10297	10372	-	ENST00000268150.13	CDS	ENSG00000140545.16
chr15	10373	10429	-	ENST00000268150.13	UTR	NA
chr15	2	716	-	ONT15.2143.136	UTR	NA
chr15	717	851	-	ONT15.2143.136	CDS	MFGE8
chr15	851	952	-	ONT15.2143.136	intron	MFGE8
chr15	952	1107	-	ONT15.2143.136	CDS	MFGE8
chr15	1107	1410	-	ONT15.2143.136	intron	MFGE8
chr15	1410	1594	-	ONT15.2143.136	CDS	MFGE8
chr15	1594	5616	-	ONT15.2143.136	intron	MFGE8
chr15	5616	5760	-	ONT15.2143.136	CDS	MFGE8
chr15	5760	6298	-	ONT15.2143.136	intron	MFGE8
chr15	6298	6450	-	ONT15.2143.136	CDS	MFGE8
chr15	6450	6556	-	ONT15.2143.136	intron	MFGE8
chr15	6556	6737	-	ONT15.2143.136	CDS	MFGE8
chr15	6737	6842	-	ONT15.2143.136	intron	MFGE8
chr15	6842	6973	-	ONT15.2143.136	CDS	MFGE8
chr15	6973	10297	-	ONT15.2143.136	intron	MFGE8
chr15	10297	10372	-	ONT15.2143.136	CDS	MFGE8
chr15	10373	10429	-	ONT15.2143.136	UTR	NA
chr15	3	716	-	ONT15.2143.138	UTR	NA
chr15	717	851	-	ONT15.2143.138	CDS	MFGE8
chr15	851	1410	-	ONT15.2143.138	intron	MFGE8
chr15	1410	1594	-	ONT15.2143.138	CDS	MFGE8
chr15	1594	5616	-	ONT15.2143.138	intron	MFGE8
chr15	5616	5760	-	ONT15.2143.138	CDS	MFGE8
chr15	5760	6298	-	ONT15.2143.138	intron	MFGE8
chr15	6298	6450	-	ONT15.2143.138	CDS	MFGE8
chr15	6450	6556	-	ONT15.2143.138	intron	MFGE8
chr15	6556	6737	-	ONT15.2143.138	CDS	MFGE8
chr15	6737	6842	-	ONT15.2143.138	intron	MFGE8
chr15	6842	6973	-	ONT15.2143.138	CDS	MFGE8
chr15	6973	10297	-	ONT15.2143.138	intron	MFGE8
chr15	10297	10372	-	ONT15.2143.138	CDS	MFGE8
chr15	10373	10519	-	ONT15.2143.138	UTR	NA
chr15	2	716	-	ONT15.2143.145	UTR	NA
chr15	717	851	-	ONT15.2143.145	CDS	MFGE8
chr15	851	952	-	ONT15.2143.145	intron	MFGE8
chr15	952	1107	-	ONT15.2143.145	CDS	MFGE8
chr15	1107	1410	-	ONT15.2143.145	intron	MFGE8
chr15	1410	1594	-	ONT15.2143.145	CDS	MFGE8
chr15	1594	5616	-	ONT15.2143.145	intron	MFGE8
chr15	5616	5760	-	ONT15.2143.145	CDS	MFGE8
chr15	5760	6298	-	ONT15.2143.145	intron	MFGE8
chr15	6298	6450	-	ONT15.2143.145	CDS	MFGE8
chr15	6450	6556	-	ONT15.2143.145	intron	MFGE8
chr15	6556	6609	-	ONT15.2143.145	CDS	MFGE8
chr15	6610	6737	-	ONT15.2143.145	UTR	NA
chr15	6737	6842	-	ONT15.2143.145	intron	NA
chr15	6842	6973	-	ONT15.2143.145	UTR	NA
