seqnames	start	end	strand	transcript_id	type	gene_id
chr19	2	152	+	ENST00000222345.11	UTR	NA
chr19	152	253	+	ENST00000222345.11	intron	NA
chr19	253	320	+	ENST00000222345.11	UTR	NA
chr19	320	421	+	ENST00000222345.11	intron	NA
chr19	421	730	+	ENST00000222345.11	UTR	NA
chr19	731	2264	+	ENST00000222345.11	CDS	ENSG00000105738.11
chr19	2264	2365	+	ENST00000222345.11	intron	ENSG00000105738.11
chr19	2365	2495	+	ENST00000222345.11	CDS	ENSG00000105738.11
chr19	2495	2596	+	ENST00000222345.11	intron	ENSG00000105738.11
chr19	2596	2784	+	ENST00000222345.11	CDS	ENSG00000105738.11
chr19	2784	2885	+	ENST00000222345.11	intron	ENSG00000105738.11
chr19	2885	3059	+	ENST00000222345.11	CDS	ENSG00000105738.11
chr19	3059	3160	+	ENST00000222345.11	intron	ENSG00000105738.11
chr19	3160	3263	+	ENST00000222345.11	CDS	ENSG00000105738.11
chr19	3263	3364	+	ENST00000222345.11	intron	ENSG00000105738.11
chr19	3364	3521	+	ENST00000222345.11	CDS	ENSG00000105738.11
chr19	3521	3622	+	ENST00000222345.11	intron	ENSG00000105738.11
chr19	3622	4198	+	ENST00000222345.11	CDS	ENSG00000105738.11
chr19	4198	4299	+	ENST00000222345.11	intron	ENSG00000105738.11
chr19	4299	4573	+	ENST00000222345.11	CDS	ENSG00000105738.11
chr19	4573	4674	+	ENST00000222345.11	intron	ENSG00000105738.11
chr19	4674	4925	+	ENST00000222345.11	CDS	ENSG00000105738.11
chr19	4925	5026	+	ENST00000222345.11	intron	ENSG00000105738.11
chr19	5026	5163	+	ENST00000222345.11	CDS	ENSG00000105738.11
chr19	5163	5264	+	ENST00000222345.11	intron	ENSG00000105738.11
chr19	5264	5391	+	ENST00000222345.11	CDS	ENSG00000105738.11
chr19	5391	5492	+	ENST00000222345.11	intron	ENSG00000105738.11
chr19	5492	5610	+	ENST00000222345.11	CDS	ENSG00000105738.11
chr19	5610	5711	+	ENST00000222345.11	intron	ENSG00000105738.11
chr19	5711	6138	+	ENST00000222345.11	CDS	ENSG00000105738.11
chr19	6138	6399	+	ENST00000222345.11	intron	ENSG00000105738.11
chr19	6399	6620	+	ENST00000222345.11	CDS	ENSG00000105738.11
chr19	6620	6721	+	ENST00000222345.11	intron	ENSG00000105738.11
chr19	6721	6886	+	ENST00000222345.11	CDS	ENSG00000105738.11
chr19	6886	6987	+	ENST00000222345.11	intron	ENSG00000105738.11
chr19	6987	7230	+	ENST00000222345.11	CDS	ENSG00000105738.11
chr19	7230	7331	+	ENST00000222345.11	intron	ENSG00000105738.11
chr19	7331	7474	+	ENST00000222345.11	CDS	ENSG00000105738.11
chr19	7474	7575	+	ENST00000222345.11	intron	ENSG00000105738.11
chr19	7575	7710	+	ENST00000222345.11	CDS	ENSG00000105738.11
chr19	7710	7811	+	ENST00000222345.11	intron	ENSG00000105738.11
chr19	7811	7892	+	ENST00000222345.11	CDS	ENSG00000105738.11
chr19	7892	7993	+	ENST00000222345.11	intron	ENSG00000105738.11
chr19	7993	8139	+	ENST00000222345.11	CDS	ENSG00000105738.11
chr19	8140	10265	+	ENST00000222345.11	UTR	NA
chr19	6109	6138	+	ONT19.519.82200	UTR	NA
chr19	6138	6399	+	ONT19.519.82200	intron	NA
chr19	6399	6402	+	ONT19.519.82200	UTR	NA
chr19	6403	6620	+	ONT19.519.82200	CDS	SIPA1L3
chr19	6620	6721	+	ONT19.519.82200	intron	SIPA1L3
chr19	6721	6886	+	ONT19.519.82200	CDS	SIPA1L3
chr19	6886	6987	+	ONT19.519.82200	intron	SIPA1L3
chr19	6987	7230	+	ONT19.519.82200	CDS	SIPA1L3
chr19	7230	7331	+	ONT19.519.82200	intron	SIPA1L3
chr19	7331	7474	+	ONT19.519.82200	CDS	SIPA1L3
chr19	7474	7575	+	ONT19.519.82200	intron	SIPA1L3
chr19	7575	7710	+	ONT19.519.82200	CDS	SIPA1L3
chr19	7710	7811	+	ONT19.519.82200	intron	SIPA1L3
chr19	7811	7892	+	ONT19.519.82200	CDS	SIPA1L3
chr19	7892	7993	+	ONT19.519.82200	intron	SIPA1L3
chr19	7993	8136	+	ONT19.519.82200	CDS	SIPA1L3
chr19	8137	10265	+	ONT19.519.82200	UTR	NA
chr19	6239	6269	+	ONT19.519.82299	UTR	NA
chr19	6270	6298	+	ONT19.519.82299	CDS	SIPA1L3
chr19	6298	6399	+	ONT19.519.82299	intron	SIPA1L3
chr19	6399	6620	+	ONT19.519.82299	CDS	SIPA1L3
chr19	6620	6721	+	ONT19.519.82299	intron	SIPA1L3
chr19	6721	6886	+	ONT19.519.82299	CDS	SIPA1L3
chr19	6886	6987	+	ONT19.519.82299	intron	SIPA1L3
chr19	6987	7230	+	ONT19.519.82299	CDS	SIPA1L3
