seqnames	start	end	strand	transcript_id	type	gene_id
chr1	17	431	+	ENST00000366903.8	UTR	NA
chr1	432	1023	+	ENST00000366903.8	CDS	ENSG00000136630.13
chr1	1023	1126	+	ENST00000366903.8	intron	ENSG00000136630.13
chr1	1126	1305	+	ENST00000366903.8	CDS	ENSG00000136630.13
chr1	1305	1406	+	ENST00000366903.8	intron	ENSG00000136630.13
chr1	1406	1590	+	ENST00000366903.8	CDS	ENSG00000136630.13
chr1	1590	1691	+	ENST00000366903.8	intron	ENSG00000136630.13
chr1	1691	2203	+	ENST00000366903.8	CDS	ENSG00000136630.13
chr1	2204	2555	+	ENST00000366903.8	UTR	NA
chr1	2	431	+	ONT1.8988.6909	UTR	NA
chr1	432	1023	+	ONT1.8988.6909	CDS	HLX
chr1	1023	1126	+	ONT1.8988.6909	intron	HLX
chr1	1126	1305	+	ONT1.8988.6909	CDS	HLX
chr1	1305	1406	+	ONT1.8988.6909	intron	HLX
chr1	1406	1590	+	ONT1.8988.6909	CDS	HLX
chr1	1590	1691	+	ONT1.8988.6909	intron	HLX
chr1	1691	2200	+	ONT1.8988.6909	CDS	HLX
chr1	2201	2555	+	ONT1.8988.6909	UTR	NA
chr1	78	431	+	ONT1.8988.6911	UTR	NA
chr1	432	1023	+	ONT1.8988.6911	CDS	HLX
chr1	1023	1126	+	ONT1.8988.6911	intron	HLX
chr1	1126	1305	+	ONT1.8988.6911	CDS	HLX
chr1	1305	1406	+	ONT1.8988.6911	intron	HLX
chr1	1406	1590	+	ONT1.8988.6911	CDS	HLX
chr1	1590	1691	+	ONT1.8988.6911	intron	HLX
chr1	1691	2200	+	ONT1.8988.6911	CDS	HLX
chr1	2201	2549	+	ONT1.8988.6911	UTR	NA
chr1	212	431	+	ONT1.8988.6912	UTR	NA
chr1	432	1023	+	ONT1.8988.6912	CDS	HLX
chr1	1023	1126	+	ONT1.8988.6912	intron	HLX
chr1	1126	1305	+	ONT1.8988.6912	CDS	HLX
chr1	1305	1406	+	ONT1.8988.6912	intron	HLX
chr1	1406	1590	+	ONT1.8988.6912	CDS	HLX
chr1	1590	1691	+	ONT1.8988.6912	intron	HLX
chr1	1691	2200	+	ONT1.8988.6912	CDS	HLX
chr1	2201	2551	+	ONT1.8988.6912	UTR	NA
chr1	320	431	+	ONT1.8988.6913	UTR	NA
chr1	432	1023	+	ONT1.8988.6913	CDS	HLX
chr1	1023	1126	+	ONT1.8988.6913	intron	HLX
chr1	1126	1305	+	ONT1.8988.6913	CDS	HLX
chr1	1305	1406	+	ONT1.8988.6913	intron	HLX
chr1	1406	1590	+	ONT1.8988.6913	CDS	HLX
chr1	1590	1691	+	ONT1.8988.6913	intron	HLX
chr1	1691	2200	+	ONT1.8988.6913	CDS	HLX
chr1	2201	2555	+	ONT1.8988.6913	UTR	NA
chr1	374	431	+	ONT1.8988.6915	UTR	NA
chr1	432	1023	+	ONT1.8988.6915	CDS	HLX
chr1	1023	1126	+	ONT1.8988.6915	intron	HLX
chr1	1126	1305	+	ONT1.8988.6915	CDS	HLX
chr1	1305	1406	+	ONT1.8988.6915	intron	HLX
chr1	1406	1590	+	ONT1.8988.6915	CDS	HLX
chr1	1590	1691	+	ONT1.8988.6915	intron	HLX
chr1	1691	2200	+	ONT1.8988.6915	CDS	HLX
chr1	2201	2559	+	ONT1.8988.6915	UTR	NA
chr1	981	1023	+	ONT1.8988.6920	UTR	NA
chr1	1023	1126	+	ONT1.8988.6920	intron	NA
chr1	1126	1305	+	ONT1.8988.6920	UTR	NA
chr1	1305	1406	+	ONT1.8988.6920	intron	NA
chr1	1406	1434	+	ONT1.8988.6920	UTR	NA
chr1	1435	1590	+	ONT1.8988.6920	CDS	HLX
chr1	1590	1691	+	ONT1.8988.6920	intron	HLX
chr1	1691	2200	+	ONT1.8988.6920	CDS	HLX
chr1	2201	2555	+	ONT1.8988.6920	UTR	NA
chr1	1124	1305	+	ONT1.8988.6921	UTR	NA
chr1	1305	1406	+	ONT1.8988.6921	intron	NA
chr1	1406	1434	+	ONT1.8988.6921	UTR	NA
chr1	1435	1590	+	ONT1.8988.6921	CDS	HLX
chr1	1590	1691	+	ONT1.8988.6921	intron	HLX
chr1	1691	2200	+	ONT1.8988.6921	CDS	HLX
chr1	2201	2555	+	ONT1.8988.6921	UTR	NA
chr1	17	1023	+	ENST00000366903.8	exon	ENSG00000136630.13
chr1	1023	1126	+	ENST00000366903.8	intron	ENSG00000136630.13
chr1	1126	1305	+	ENST00000366903.8	exon	ENSG00000136630.13
chr1	1305	1406	+	ENST00000366903.8	intron	ENSG00000136630.13
chr1	1406	1590	+	ENST00000366903.8	exon	ENSG00000136630.13
chr1	1590	1691	+	ENST00000366903.8	intron	ENSG00000136630.13
chr1	1691	2555	+	ENST00000366903.8	exon	ENSG00000136630.13
chr1	2	1023	+	ONT1.8988.6909	exon	HLX
chr1	1023	1126	+	ONT1.8988.6909	intron	HLX
