seqnames	start	end	strand	transcript_id	type	gene_id
chr8	2	2799	-	ENST00000297354.7	UTR	NA
chr8	2800	2917	-	ENST00000297354.7	CDS	ENSG00000164764.11
chr8	2917	3018	-	ENST00000297354.7	intron	ENSG00000164764.11
chr8	3018	3194	-	ENST00000297354.7	CDS	ENSG00000164764.11
chr8	3194	3295	-	ENST00000297354.7	intron	ENSG00000164764.11
chr8	3295	3385	-	ENST00000297354.7	CDS	ENSG00000164764.11
chr8	3385	3486	-	ENST00000297354.7	intron	ENSG00000164764.11
chr8	3486	3680	-	ENST00000297354.7	CDS	ENSG00000164764.11
chr8	3680	3781	-	ENST00000297354.7	intron	ENSG00000164764.11
chr8	3781	3997	-	ENST00000297354.7	CDS	ENSG00000164764.11
chr8	3998	4099	-	ENST00000297354.7	UTR	NA
chr8	1360	2802	-	ONT8.3980.3442	UTR	NA
chr8	2803	2917	-	ONT8.3980.3442	CDS	SBSPON
chr8	2917	3018	-	ONT8.3980.3442	intron	SBSPON
chr8	3018	3194	-	ONT8.3980.3442	CDS	SBSPON
chr8	3194	3295	-	ONT8.3980.3442	intron	SBSPON
chr8	3295	3385	-	ONT8.3980.3442	CDS	SBSPON
chr8	3385	3486	-	ONT8.3980.3442	intron	SBSPON
chr8	3486	3680	-	ONT8.3980.3442	CDS	SBSPON
chr8	3680	3781	-	ONT8.3980.3442	intron	SBSPON
chr8	3781	3997	-	ONT8.3980.3442	CDS	SBSPON
chr8	3998	4097	-	ONT8.3980.3442	UTR	NA
chr8	2	2917	-	ENST00000297354.7	exon	ENSG00000164764.11
chr8	2917	3018	-	ENST00000297354.7	intron	ENSG00000164764.11
chr8	3018	3194	-	ENST00000297354.7	exon	ENSG00000164764.11
chr8	3194	3295	-	ENST00000297354.7	intron	ENSG00000164764.11
chr8	3295	3385	-	ENST00000297354.7	exon	ENSG00000164764.11
chr8	3385	3486	-	ENST00000297354.7	intron	ENSG00000164764.11
chr8	3486	3680	-	ENST00000297354.7	exon	ENSG00000164764.11
chr8	3680	3781	-	ENST00000297354.7	intron	ENSG00000164764.11
chr8	3781	4099	-	ENST00000297354.7	exon	ENSG00000164764.11
chr8	1360	2917	-	ONT8.3980.3442	exon	SBSPON
chr8	2917	3018	-	ONT8.3980.3442	intron	SBSPON
chr8	3018	3194	-	ONT8.3980.3442	exon	SBSPON
chr8	3194	3295	-	ONT8.3980.3442	intron	SBSPON
chr8	3295	3385	-	ONT8.3980.3442	exon	SBSPON
chr8	3385	3486	-	ONT8.3980.3442	intron	SBSPON
chr8	3486	3680	-	ONT8.3980.3442	exon	SBSPON
chr8	3680	3781	-	ONT8.3980.3442	intron	SBSPON
chr8	3781	4097	-	ONT8.3980.3442	exon	SBSPON
