seqnames	start	end	strand	transcript_id	type	gene_id
chr2	8	2631	-	ENST00000283254.12	UTR	NA
chr2	2632	3827	-	ENST00000283254.12	CDS	ENSG00000153253.19
chr2	3827	4736	-	ENST00000283254.12	intron	ENSG00000153253.19
chr2	4736	5006	-	ENST00000283254.12	CDS	ENSG00000153253.19
chr2	5006	5107	-	ENST00000283254.12	intron	ENSG00000153253.19
chr2	5107	5211	-	ENST00000283254.12	CDS	ENSG00000153253.19
chr2	5211	6244	-	ENST00000283254.12	intron	ENSG00000153253.19
chr2	6244	6381	-	ENST00000283254.12	CDS	ENSG00000153253.19
chr2	6381	6482	-	ENST00000283254.12	intron	ENSG00000153253.19
chr2	6482	6535	-	ENST00000283254.12	CDS	ENSG00000153253.19
chr2	6535	6640	-	ENST00000283254.12	intron	ENSG00000153253.19
chr2	6640	6912	-	ENST00000283254.12	CDS	ENSG00000153253.19
chr2	6912	7582	-	ENST00000283254.12	intron	ENSG00000153253.19
chr2	7582	7704	-	ENST00000283254.12	CDS	ENSG00000153253.19
chr2	7704	8281	-	ENST00000283254.12	intron	ENSG00000153253.19
chr2	8281	8454	-	ENST00000283254.12	CDS	ENSG00000153253.19
chr2	8454	8559	-	ENST00000283254.12	intron	ENSG00000153253.19
chr2	8559	8713	-	ENST00000283254.12	CDS	ENSG00000153253.19
chr2	8713	8814	-	ENST00000283254.12	intron	ENSG00000153253.19
chr2	8814	8934	-	ENST00000283254.12	CDS	ENSG00000153253.19
chr2	8934	10828	-	ENST00000283254.12	intron	ENSG00000153253.19
chr2	10828	11298	-	ENST00000283254.12	CDS	ENSG00000153253.19
chr2	11298	11400	-	ENST00000283254.12	intron	ENSG00000153253.19
chr2	11400	11756	-	ENST00000283254.12	CDS	ENSG00000153253.19
chr2	11756	11858	-	ENST00000283254.12	intron	ENSG00000153253.19
chr2	11858	12031	-	ENST00000283254.12	CDS	ENSG00000153253.19
chr2	12031	12634	-	ENST00000283254.12	intron	ENSG00000153253.19
chr2	12634	12872	-	ENST00000283254.12	CDS	ENSG00000153253.19
chr2	12872	12975	-	ENST00000283254.12	intron	ENSG00000153253.19
chr2	12975	13107	-	ENST00000283254.12	CDS	ENSG00000153253.19
chr2	13107	14150	-	ENST00000283254.12	intron	ENSG00000153253.19
chr2	14150	14497	-	ENST00000283254.12	CDS	ENSG00000153253.19
chr2	14497	18139	-	ENST00000283254.12	intron	ENSG00000153253.19
chr2	18139	18429	-	ENST00000283254.12	CDS	ENSG00000153253.19
chr2	18429	18657	-	ENST00000283254.12	intron	ENSG00000153253.19
chr2	18657	18863	-	ENST00000283254.12	CDS	ENSG00000153253.19
chr2	18863	18992	-	ENST00000283254.12	intron	ENSG00000153253.19
chr2	18992	19133	-	ENST00000283254.12	CDS	ENSG00000153253.19
chr2	19133	19969	-	ENST00000283254.12	intron	ENSG00000153253.19
chr2	19969	20032	-	ENST00000283254.12	CDS	ENSG00000153253.19
chr2	20032	20217	-	ENST00000283254.12	intron	ENSG00000153253.19
chr2	20217	20489	-	ENST00000283254.12	CDS	ENSG00000153253.19
chr2	20489	21279	-	ENST00000283254.12	intron	ENSG00000153253.19
chr2	21279	21370	-	ENST00000283254.12	CDS	ENSG00000153253.19
chr2	21370	22053	-	ENST00000283254.12	intron	ENSG00000153253.19
chr2	22053	22181	-	ENST00000283254.12	CDS	ENSG00000153253.19
chr2	22181	25450	-	ENST00000283254.12	intron	ENSG00000153253.19
chr2	25450	25539	-	ENST00000283254.12	CDS	ENSG00000153253.19
chr2	25539	25660	-	ENST00000283254.12	intron	ENSG00000153253.19
chr2	25660	25778	-	ENST00000283254.12	CDS	ENSG00000153253.19
chr2	25778	30138	-	ENST00000283254.12	intron	ENSG00000153253.19
chr2	30138	30404	-	ENST00000283254.12	CDS	ENSG00000153253.19
chr2	30405	30451	-	ENST00000283254.12	UTR	NA
chr2	30451	30792	-	ENST00000283254.12	intron	NA
chr2	30792	30988	-	ENST00000283254.12	UTR	NA
chr2	30988	31089	-	ENST00000283254.12	intron	NA
chr2	31089	31316	-	ENST00000283254.12	UTR	NA
chr2	7838	8105	-	ONT2.9939.1099	UTR	NA
chr2	8106	8180	-	ONT2.9939.1099	CDS	SCN3A
chr2	8180	8281	-	ONT2.9939.1099	intron	SCN3A
chr2	8281	8454	-	ONT2.9939.1099	CDS	SCN3A
chr2	8454	8559	-	ONT2.9939.1099	intron	SCN3A
chr2	8559	8713	-	ONT2.9939.1099	CDS	SCN3A
chr2	8713	8814	-	ONT2.9939.1099	intron	SCN3A
chr2	8814	8934	-	ONT2.9939.1099	CDS	SCN3A
chr2	8934	10828	-	ONT2.9939.1099	intron	SCN3A
