seqnames	start	end	strand	transcript_id	type	gene_id
chrX	2	1429	-	ENST00000535214.6	UTR	NA
chrX	1430	2779	-	ENST00000535214.6	CDS	ENSG00000198883.12
chrX	2780	2899	-	ENST00000535214.6	UTR	NA
chrX	2899	3000	-	ENST00000535214.6	intron	NA
chrX	3000	3075	-	ENST00000535214.6	UTR	NA
chrX	3075	3438	-	ENST00000535214.6	intron	NA
chrX	3438	3567	-	ENST00000535214.6	UTR	NA
chrX	3567	3668	-	ENST00000535214.6	intron	NA
chrX	3668	3751	-	ENST00000535214.6	UTR	NA
chrX	709	1432	-	ONTX.9708.1014	UTR	NA
chrX	1433	2779	-	ONTX.9708.1014	CDS	PNMA5
chrX	2780	2899	-	ONTX.9708.1014	UTR	NA
chrX	2899	3000	-	ONTX.9708.1014	intron	NA
chrX	3000	3075	-	ONTX.9708.1014	UTR	NA
chrX	3075	3176	-	ONTX.9708.1014	intron	NA
chrX	3176	3311	-	ONTX.9708.1014	UTR	NA
chrX	779	1432	-	ONTX.9708.1016	UTR	NA
chrX	1433	2779	-	ONTX.9708.1016	CDS	PNMA5
chrX	2780	2899	-	ONTX.9708.1016	UTR	NA
chrX	2899	3000	-	ONTX.9708.1016	intron	NA
chrX	3000	3282	-	ONTX.9708.1016	UTR	NA
chrX	787	1432	-	ONTX.9708.1017	UTR	NA
chrX	1433	2779	-	ONTX.9708.1017	CDS	PNMA5
chrX	2780	2899	-	ONTX.9708.1017	UTR	NA
chrX	2899	3014	-	ONTX.9708.1017	intron	NA
chrX	3014	3075	-	ONTX.9708.1017	UTR	NA
chrX	3075	3176	-	ONTX.9708.1017	intron	NA
chrX	3176	3298	-	ONTX.9708.1017	UTR	NA
chrX	797	1432	-	ONTX.9708.1021	UTR	NA
chrX	1433	2779	-	ONTX.9708.1021	CDS	PNMA5
chrX	2780	2899	-	ONTX.9708.1021	UTR	NA
chrX	2899	3014	-	ONTX.9708.1021	intron	NA
chrX	3014	3337	-	ONTX.9708.1021	UTR	NA
chrX	832	1432	-	ONTX.9708.1028	UTR	NA
chrX	1433	2779	-	ONTX.9708.1028	CDS	PNMA5
chrX	2780	2899	-	ONTX.9708.1028	UTR	NA
chrX	2899	3000	-	ONTX.9708.1028	intron	NA
chrX	3000	3075	-	ONTX.9708.1028	UTR	NA
chrX	3075	3176	-	ONTX.9708.1028	intron	NA
chrX	3176	3327	-	ONTX.9708.1028	UTR	NA
chrX	829	1432	-	ONTX.9708.1035	UTR	NA
chrX	1433	2779	-	ONTX.9708.1035	CDS	PNMA5
chrX	2780	2899	-	ONTX.9708.1035	UTR	NA
chrX	2899	3014	-	ONTX.9708.1035	intron	NA
chrX	3014	3279	-	ONTX.9708.1035	UTR	NA
chrX	5	1432	-	ONTX.9708.853	UTR	NA
chrX	1433	2779	-	ONTX.9708.853	CDS	PNMA5
chrX	2780	2899	-	ONTX.9708.853	UTR	NA
chrX	2899	3014	-	ONTX.9708.853	intron	NA
chrX	3014	3075	-	ONTX.9708.853	UTR	NA
chrX	3075	3176	-	ONTX.9708.853	intron	NA
chrX	3176	3282	-	ONTX.9708.853	UTR	NA
chrX	2	112	-	ONTX.9708.863	UTR	NA
chrX	112	1024	-	ONTX.9708.863	intron	NA
chrX	1024	1432	-	ONTX.9708.863	UTR	NA
chrX	1433	2779	-	ONTX.9708.863	CDS	PNMA5
chrX	2780	2899	-	ONTX.9708.863	UTR	NA
chrX	2899	3000	-	ONTX.9708.863	intron	NA
chrX	3000	3317	-	ONTX.9708.863	UTR	NA
chrX	2	106	-	ONTX.9708.864	UTR	NA
chrX	106	1385	-	ONTX.9708.864	intron	NA
chrX	1385	1432	-	ONTX.9708.864	UTR	NA
chrX	1433	2779	-	ONTX.9708.864	CDS	PNMA5
chrX	2780	2899	-	ONTX.9708.864	UTR	NA
chrX	2899	3000	-	ONTX.9708.864	intron	NA
chrX	3000	3286	-	ONTX.9708.864	UTR	NA
chrX	5	1432	-	ONTX.9708.876	UTR	NA
chrX	1433	2779	-	ONTX.9708.876	CDS	PNMA5
chrX	2780	2899	-	ONTX.9708.876	UTR	NA
chrX	2899	3000	-	ONTX.9708.876	intron	NA
chrX	3000	3075	-	ONTX.9708.876	UTR	NA
chrX	3075	3176	-	ONTX.9708.876	intron	NA
chrX	3176	3282	-	ONTX.9708.876	UTR	NA
chrX	5	1432	-	ONTX.9708.880	UTR	NA
chrX	1433	2779	-	ONTX.9708.880	CDS	PNMA5
chrX	2780	2899	-	ONTX.9708.880	UTR	NA
chrX	2899	3000	-	ONTX.9708.880	intron	NA
chrX	3000	3286	-	ONTX.9708.880	UTR	NA
chrX	2	1432	-	ONTX.9708.884	UTR	NA
chrX	1433	2779	-	ONTX.9708.884	CDS	PNMA5
chrX	2780	2899	-	ONTX.9708.884	UTR	NA
chrX	2899	3014	-	ONTX.9708.884	intron	NA
chrX	3014	3075	-	ONTX.9708.884	UTR	NA
chrX	3075	3438	-	ONTX.9708.884	intron	NA
chrX	3438	3567	-	ONTX.9708.884	UTR	NA
chrX	3567	3668	-	ONTX.9708.884	intron	NA
chrX	3668	3760	-	ONTX.9708.884	UTR	NA
chrX	3760	3861	-	ONTX.9708.884	intron	NA
chrX	3861	3977	-	ONTX.9708.884	UTR	NA
chrX	3977	4078	-	ONTX.9708.884	intron	NA
chrX	4078	4156	-	ONTX.9708.884	UTR	NA
chrX	13	1432	-	ONTX.9708.894	UTR	NA
chrX	1433	2779	-	ONTX.9708.894	CDS	PNMA5
chrX	2780	2899	-	ONTX.9708.894	UTR	NA
chrX	2899	3014	-	ONTX.9708.894	intron	NA
chrX	3014	3288	-	ONTX.9708.894	UTR	NA
chrX	2	117	-	ONTX.9708.899	UTR	NA
chrX	117	1393	-	ONTX.9708.899	intron	NA
chrX	1393	1432	-	ONTX.9708.899	UTR	NA
chrX	1433	2779	-	ONTX.9708.899	CDS	PNMA5
chrX	2780	2899	-	ONTX.9708.899	UTR	NA
chrX	2899	3000	-	ONTX.9708.899	intron	NA
chrX	3000	3310	-	ONTX.9708.899	UTR	NA
chrX	2	108	-	ONTX.9708.900	UTR	NA
chrX	108	1190	-	ONTX.9708.900	intron	NA
chrX	1190	1432	-	ONTX.9708.900	UTR	NA
chrX	1433	2779	-	ONTX.9708.900	CDS	PNMA5
chrX	2780	2899	-	ONTX.9708.900	UTR	NA
chrX	2899	3000	-	ONTX.9708.900	intron	NA
chrX	3000	3075	-	ONTX.9708.900	UTR	NA
chrX	3075	3176	-	ONTX.9708.900	intron	NA
chrX	3176	3283	-	ONTX.9708.900	UTR	NA
chrX	5	701	-	ONTX.9708.904	UTR	NA
