seqnames	start	end	strand	transcript_id	type	gene_id
chr7	15	2799	-	ENST00000222553.8	UTR	NA
chr7	2800	2910	-	ENST00000222553.8	CDS	ENSG00000105835.13
chr7	2910	3015	-	ENST00000222553.8	intron	ENSG00000105835.13
chr7	3015	3149	-	ENST00000222553.8	CDS	ENSG00000105835.13
chr7	3149	3250	-	ENST00000222553.8	intron	ENSG00000105835.13
chr7	3250	3390	-	ENST00000222553.8	CDS	ENSG00000105835.13
chr7	3390	4631	-	ENST00000222553.8	intron	ENSG00000105835.13
chr7	4631	4750	-	ENST00000222553.8	CDS	ENSG00000105835.13
chr7	4750	4853	-	ENST00000222553.8	intron	ENSG00000105835.13
chr7	4853	5078	-	ENST00000222553.8	CDS	ENSG00000105835.13
chr7	5078	5181	-	ENST00000222553.8	intron	ENSG00000105835.13
chr7	5181	5317	-	ENST00000222553.8	CDS	ENSG00000105835.13
chr7	5317	5424	-	ENST00000222553.8	intron	ENSG00000105835.13
chr7	5424	5582	-	ENST00000222553.8	CDS	ENSG00000105835.13
chr7	5582	8369	-	ENST00000222553.8	intron	ENSG00000105835.13
chr7	8369	8497	-	ENST00000222553.8	CDS	ENSG00000105835.13
chr7	8497	8600	-	ENST00000222553.8	intron	ENSG00000105835.13
chr7	8600	8703	-	ENST00000222553.8	CDS	ENSG00000105835.13
chr7	8703	8806	-	ENST00000222553.8	intron	ENSG00000105835.13
chr7	8806	8962	-	ENST00000222553.8	CDS	ENSG00000105835.13
chr7	8962	9550	-	ENST00000222553.8	intron	ENSG00000105835.13
chr7	9550	9609	-	ENST00000222553.8	CDS	ENSG00000105835.13
chr7	9610	9705	-	ENST00000222553.8	UTR	NA
chr7	6104	8329	-	ONT7.4393.1113	UTR	NA
chr7	8330	8497	-	ONT7.4393.1113	CDS	NAMPT
chr7	8497	8600	-	ONT7.4393.1113	intron	NAMPT
chr7	8600	8703	-	ONT7.4393.1113	CDS	NAMPT
chr7	8703	8806	-	ONT7.4393.1113	intron	NAMPT
chr7	8806	8962	-	ONT7.4393.1113	CDS	NAMPT
chr7	8962	9550	-	ONT7.4393.1113	intron	NAMPT
chr7	9550	9609	-	ONT7.4393.1113	CDS	NAMPT
chr7	9610	9713	-	ONT7.4393.1113	UTR	NA
chr7	6879	8329	-	ONT7.4393.1120	UTR	NA
chr7	8330	8497	-	ONT7.4393.1120	CDS	NAMPT
chr7	8497	8600	-	ONT7.4393.1120	intron	NAMPT
chr7	8600	8703	-	ONT7.4393.1120	CDS	NAMPT
chr7	8703	8806	-	ONT7.4393.1120	intron	NAMPT
chr7	8806	8962	-	ONT7.4393.1120	CDS	NAMPT
chr7	8962	9550	-	ONT7.4393.1120	intron	NAMPT
chr7	9550	9609	-	ONT7.4393.1120	CDS	NAMPT
chr7	9610	9849	-	ONT7.4393.1120	UTR	NA
chr7	6937	8329	-	ONT7.4393.1126	UTR	NA
chr7	8330	8497	-	ONT7.4393.1126	CDS	NAMPT
chr7	8497	8600	-	ONT7.4393.1126	intron	NAMPT
chr7	8600	8703	-	ONT7.4393.1126	CDS	NAMPT
chr7	8703	8806	-	ONT7.4393.1126	intron	NAMPT
chr7	8806	8962	-	ONT7.4393.1126	CDS	NAMPT
chr7	8962	9550	-	ONT7.4393.1126	intron	NAMPT
chr7	9550	9609	-	ONT7.4393.1126	CDS	NAMPT
chr7	9610	9703	-	ONT7.4393.1126	UTR	NA
chr7	9703	10018	-	ONT7.4393.1126	intron	NA
chr7	10018	10241	-	ONT7.4393.1126	UTR	NA
chr7	7067	8329	-	ONT7.4393.1160	UTR	NA
chr7	8330	8497	-	ONT7.4393.1160	CDS	NAMPT
chr7	8497	8600	-	ONT7.4393.1160	intron	NAMPT
chr7	8600	8703	-	ONT7.4393.1160	CDS	NAMPT
chr7	8703	8806	-	ONT7.4393.1160	intron	NAMPT
chr7	8806	8962	-	ONT7.4393.1160	CDS	NAMPT
chr7	8962	9550	-	ONT7.4393.1160	intron	NAMPT
chr7	9550	9609	-	ONT7.4393.1160	CDS	NAMPT
chr7	9610	9759	-	ONT7.4393.1160	UTR	NA
chr7	7069	8329	-	ONT7.4393.1161	UTR	NA
chr7	8330	8497	-	ONT7.4393.1161	CDS	NAMPT
chr7	8497	8600	-	ONT7.4393.1161	intron	NAMPT
chr7	8600	8703	-	ONT7.4393.1161	CDS	NAMPT
chr7	8703	8806	-	ONT7.4393.1161	intron	NAMPT
chr7	8806	8962	-	ONT7.4393.1161	CDS	NAMPT
chr7	8962	9550	-	ONT7.4393.1161	intron	NAMPT
chr7	9550	9609	-	ONT7.4393.1161	CDS	NAMPT
chr7	9610	9698	-	ONT7.4393.1161	UTR	NA
chr7	7074	8329	-	ONT7.4393.1167	UTR	NA
chr7	8330	8497	-	ONT7.4393.1167	CDS	NAMPT
chr7	8497	8600	-	ONT7.4393.1167	intron	NAMPT
chr7	8600	8703	-	ONT7.4393.1167	CDS	NAMPT
chr7	8703	8806	-	ONT7.4393.1167	intron	NAMPT
chr7	8806	8962	-	ONT7.4393.1167	CDS	NAMPT
chr7	8962	9550	-	ONT7.4393.1167	intron	NAMPT
chr7	9550	9609	-	ONT7.4393.1167	CDS	NAMPT
chr7	9610	9888	-	ONT7.4393.1167	UTR	NA
chr7	7075	8329	-	ONT7.4393.1172	UTR	NA
chr7	8330	8497	-	ONT7.4393.1172	CDS	NAMPT
chr7	8497	8600	-	ONT7.4393.1172	intron	NAMPT
chr7	8600	8703	-	ONT7.4393.1172	CDS	NAMPT
chr7	8703	8806	-	ONT7.4393.1172	intron	NAMPT
chr7	8806	8962	-	ONT7.4393.1172	CDS	NAMPT
chr7	8962	9550	-	ONT7.4393.1172	intron	NAMPT
chr7	9550	9609	-	ONT7.4393.1172	CDS	NAMPT
chr7	9610	9837	-	ONT7.4393.1172	UTR	NA
chr7	7170	8329	-	ONT7.4393.1178	UTR	NA
chr7	8330	8497	-	ONT7.4393.1178	CDS	NAMPT
chr7	8497	8600	-	ONT7.4393.1178	intron	NAMPT
chr7	8600	8703	-	ONT7.4393.1178	CDS	NAMPT
chr7	8703	8806	-	ONT7.4393.1178	intron	NAMPT
chr7	8806	8962	-	ONT7.4393.1178	CDS	NAMPT
chr7	8962	9550	-	ONT7.4393.1178	intron	NAMPT
chr7	9550	9609	-	ONT7.4393.1178	CDS	NAMPT
chr7	9610	9734	-	ONT7.4393.1178	UTR	NA
chr7	7174	8329	-	ONT7.4393.1184	UTR	NA
chr7	8330	8497	-	ONT7.4393.1184	CDS	NAMPT
chr7	8497	8600	-	ONT7.4393.1184	intron	NAMPT
chr7	8600	8703	-	ONT7.4393.1184	CDS	NAMPT
chr7	8703	8806	-	ONT7.4393.1184	intron	NAMPT
chr7	8806	8962	-	ONT7.4393.1184	CDS	NAMPT
chr7	8962	9550	-	ONT7.4393.1184	intron	NAMPT
chr7	9550	9609	-	ONT7.4393.1184	CDS	NAMPT
chr7	9610	9667	-	ONT7.4393.1184	UTR	NA
chr7	7175	8329	-	ONT7.4393.1188	UTR	NA
chr7	8330	8497	-	ONT7.4393.1188	CDS	NAMPT
chr7	8497	8600	-	ONT7.4393.1188	intron	NAMPT
chr7	8600	8703	-	ONT7.4393.1188	CDS	NAMPT
chr7	8703	8806	-	ONT7.4393.1188	intron	NAMPT
chr7	8806	8962	-	ONT7.4393.1188	CDS	NAMPT
chr7	8962	9550	-	ONT7.4393.1188	intron	NAMPT
chr7	9550	9609	-	ONT7.4393.1188	CDS	NAMPT
chr7	9610	9906	-	ONT7.4393.1188	UTR	NA
chr7	18	2802	-	ONT7.4393.119	UTR	NA
chr7	2803	2910	-	ONT7.4393.119	CDS	NAMPT
chr7	2910	3015	-	ONT7.4393.119	intron	NAMPT
chr7	3015	3149	-	ONT7.4393.119	CDS	NAMPT
chr7	3149	3250	-	ONT7.4393.119	intron	NAMPT
chr7	3250	3390	-	ONT7.4393.119	CDS	NAMPT
chr7	3390	4631	-	ONT7.4393.119	intron	NAMPT
chr7	4631	4750	-	ONT7.4393.119	CDS	NAMPT
chr7	4750	4853	-	ONT7.4393.119	intron	NAMPT
chr7	4853	5078	-	ONT7.4393.119	CDS	NAMPT
chr7	5078	5181	-	ONT7.4393.119	intron	NAMPT
chr7	5181	5317	-	ONT7.4393.119	CDS	NAMPT
chr7	5317	5424	-	ONT7.4393.119	intron	NAMPT
chr7	5424	5582	-	ONT7.4393.119	CDS	NAMPT
chr7	5582	8369	-	ONT7.4393.119	intron	NAMPT
chr7	8369	8497	-	ONT7.4393.119	CDS	NAMPT
chr7	8497	8600	-	ONT7.4393.119	intron	NAMPT
chr7	8600	8703	-	ONT7.4393.119	CDS	NAMPT
chr7	8703	8806	-	ONT7.4393.119	intron	NAMPT
chr7	8806	8962	-	ONT7.4393.119	CDS	NAMPT
chr7	8962	9550	-	ONT7.4393.119	intron	NAMPT
chr7	9550	9609	-	ONT7.4393.119	CDS	NAMPT
chr7	9610	9703	-	ONT7.4393.119	UTR	NA
chr7	9703	10018	-	ONT7.4393.119	intron	NA
chr7	10018	10442	-	ONT7.4393.119	UTR	NA
chr7	7447	8329	-	ONT7.4393.1196	UTR	NA
chr7	8330	8497	-	ONT7.4393.1196	CDS	NAMPT
chr7	8497	8600	-	ONT7.4393.1196	intron	NAMPT
chr7	8600	8703	-	ONT7.4393.1196	CDS	NAMPT
chr7	8703	8806	-	ONT7.4393.1196	intron	NAMPT
chr7	8806	8962	-	ONT7.4393.1196	CDS	NAMPT
chr7	8962	9550	-	ONT7.4393.1196	intron	NAMPT
chr7	9550	9609	-	ONT7.4393.1196	CDS	NAMPT
chr7	9610	9716	-	ONT7.4393.1196	UTR	NA
chr7	215	2802	-	ONT7.4393.172	UTR	NA
chr7	2803	2910	-	ONT7.4393.172	CDS	NAMPT
chr7	2910	3015	-	ONT7.4393.172	intron	NAMPT
chr7	3015	3149	-	ONT7.4393.172	CDS	NAMPT
chr7	3149	3250	-	ONT7.4393.172	intron	NAMPT
chr7	3250	3381	-	ONT7.4393.172	CDS	NAMPT
chr7	3382	3390	-	ONT7.4393.172	UTR	NA
chr7	3390	4631	-	ONT7.4393.172	intron	NA
chr7	4631	4750	-	ONT7.4393.172	UTR	NA
chr7	4750	4853	-	ONT7.4393.172	intron	NA
chr7	4853	5078	-	ONT7.4393.172	UTR	NA
chr7	5078	5181	-	ONT7.4393.172	intron	NA
chr7	5181	5317	-	ONT7.4393.172	UTR	NA
chr7	5317	5424	-	ONT7.4393.172	intron	NA
chr7	5424	5441	-	ONT7.4393.172	UTR	NA
chr7	290	2802	-	ONT7.4393.175	UTR	NA
chr7	2803	2910	-	ONT7.4393.175	CDS	NAMPT
chr7	2910	3015	-	ONT7.4393.175	intron	NAMPT
chr7	3015	3149	-	ONT7.4393.175	CDS	NAMPT
chr7	3149	3250	-	ONT7.4393.175	intron	NAMPT
chr7	3250	3390	-	ONT7.4393.175	CDS	NAMPT
chr7	3390	4631	-	ONT7.4393.175	intron	NAMPT
chr7	4631	4750	-	ONT7.4393.175	CDS	NAMPT
chr7	4750	4853	-	ONT7.4393.175	intron	NAMPT
chr7	4853	5078	-	ONT7.4393.175	CDS	NAMPT
chr7	5078	5181	-	ONT7.4393.175	intron	NAMPT
chr7	5181	5317	-	ONT7.4393.175	CDS	NAMPT
chr7	5317	5424	-	ONT7.4393.175	intron	NAMPT
chr7	5424	5582	-	ONT7.4393.175	CDS	NAMPT
chr7	5582	8369	-	ONT7.4393.175	intron	NAMPT
chr7	8369	8497	-	ONT7.4393.175	CDS	NAMPT
chr7	8497	8600	-	ONT7.4393.175	intron	NAMPT
chr7	8600	8703	-	ONT7.4393.175	CDS	NAMPT
chr7	8703	8806	-	ONT7.4393.175	intron	NAMPT
chr7	8806	8962	-	ONT7.4393.175	CDS	NAMPT
chr7	8962	9550	-	ONT7.4393.175	intron	NAMPT
chr7	9550	9609	-	ONT7.4393.175	CDS	NAMPT
chr7	9610	9726	-	ONT7.4393.175	UTR	NA
chr7	290	2802	-	ONT7.4393.177	UTR	NA
chr7	2803	2910	-	ONT7.4393.177	CDS	NAMPT
chr7	2910	3015	-	ONT7.4393.177	intron	NAMPT
chr7	3015	3149	-	ONT7.4393.177	CDS	NAMPT
chr7	3149	3250	-	ONT7.4393.177	intron	NAMPT
chr7	3250	3390	-	ONT7.4393.177	CDS	NAMPT
chr7	3390	4631	-	ONT7.4393.177	intron	NAMPT
chr7	4631	4750	-	ONT7.4393.177	CDS	NAMPT
chr7	4750	4853	-	ONT7.4393.177	intron	NAMPT
chr7	4853	5078	-	ONT7.4393.177	CDS	NAMPT
chr7	5078	5181	-	ONT7.4393.177	intron	NAMPT
chr7	5181	5317	-	ONT7.4393.177	CDS	NAMPT
chr7	5317	5424	-	ONT7.4393.177	intron	NAMPT
chr7	5424	5582	-	ONT7.4393.177	CDS	NAMPT
chr7	5582	8369	-	ONT7.4393.177	intron	NAMPT
chr7	8369	8497	-	ONT7.4393.177	CDS	NAMPT
chr7	8497	8600	-	ONT7.4393.177	intron	NAMPT
chr7	8600	8703	-	ONT7.4393.177	CDS	NAMPT
chr7	8703	8806	-	ONT7.4393.177	intron	NAMPT
chr7	8806	8962	-	ONT7.4393.177	CDS	NAMPT
chr7	8962	9550	-	ONT7.4393.177	intron	NAMPT
chr7	9550	9609	-	ONT7.4393.177	CDS	NAMPT
chr7	9610	9888	-	ONT7.4393.177	UTR	NA
chr7	297	2802	-	ONT7.4393.184	UTR	NA
chr7	2803	2910	-	ONT7.4393.184	CDS	NAMPT
