seqnames	start	end	strand	transcript_id	type	gene_id
chr12	2	3023	-	ENST00000549884.6	UTR	NA
chr12	3024	3189	-	ENST00000549884.6	CDS	ENSG00000076108.12
chr12	3189	3274	-	ENST00000549884.6	intron	ENSG00000076108.12
chr12	3274	3417	-	ENST00000549884.6	CDS	ENSG00000076108.12
chr12	3417	3518	-	ENST00000549884.6	intron	ENSG00000076108.12
chr12	3518	3747	-	ENST00000549884.6	CDS	ENSG00000076108.12
chr12	3747	3848	-	ENST00000549884.6	intron	ENSG00000076108.12
chr12	3848	3994	-	ENST00000549884.6	CDS	ENSG00000076108.12
chr12	3994	4096	-	ENST00000549884.6	intron	ENSG00000076108.12
chr12	4096	4228	-	ENST00000549884.6	CDS	ENSG00000076108.12
chr12	4228	4333	-	ENST00000549884.6	intron	ENSG00000076108.12
chr12	4333	4622	-	ENST00000549884.6	CDS	ENSG00000076108.12
chr12	4622	4724	-	ENST00000549884.6	intron	ENSG00000076108.12
chr12	4724	4875	-	ENST00000549884.6	CDS	ENSG00000076108.12
chr12	4875	4977	-	ENST00000549884.6	intron	ENSG00000076108.12
chr12	4977	5132	-	ENST00000549884.6	CDS	ENSG00000076108.12
chr12	5132	5214	-	ENST00000549884.6	intron	ENSG00000076108.12
chr12	5214	5436	-	ENST00000549884.6	CDS	ENSG00000076108.12
chr12	5436	5540	-	ENST00000549884.6	intron	ENSG00000076108.12
chr12	5540	6186	-	ENST00000549884.6	CDS	ENSG00000076108.12
chr12	6186	6287	-	ENST00000549884.6	intron	ENSG00000076108.12
chr12	6287	6431	-	ENST00000549884.6	CDS	ENSG00000076108.12
chr12	6431	6534	-	ENST00000549884.6	intron	ENSG00000076108.12
chr12	6534	6593	-	ENST00000549884.6	CDS	ENSG00000076108.12
chr12	6593	6694	-	ENST00000549884.6	intron	ENSG00000076108.12
chr12	6694	6874	-	ENST00000549884.6	CDS	ENSG00000076108.12
chr12	6874	6975	-	ENST00000549884.6	intron	ENSG00000076108.12
chr12	6975	7049	-	ENST00000549884.6	CDS	ENSG00000076108.12
chr12	7049	7150	-	ENST00000549884.6	intron	ENSG00000076108.12
chr12	7150	7364	-	ENST00000549884.6	CDS	ENSG00000076108.12
chr12	7364	7469	-	ENST00000549884.6	intron	ENSG00000076108.12
chr12	7469	7723	-	ENST00000549884.6	CDS	ENSG00000076108.12
chr12	7723	7824	-	ENST00000549884.6	intron	ENSG00000076108.12
chr12	7824	8057	-	ENST00000549884.6	CDS	ENSG00000076108.12
chr12	8057	8159	-	ENST00000549884.6	intron	ENSG00000076108.12
chr12	8159	8224	-	ENST00000549884.6	CDS	ENSG00000076108.12
chr12	8224	8408	-	ENST00000549884.6	intron	ENSG00000076108.12
chr12	8408	8508	-	ENST00000549884.6	CDS	ENSG00000076108.12
chr12	8508	8609	-	ENST00000549884.6	intron	ENSG00000076108.12
chr12	8609	8819	-	ENST00000549884.6	CDS	ENSG00000076108.12
chr12	8819	8920	-	ENST00000549884.6	intron	ENSG00000076108.12
chr12	8920	9021	-	ENST00000549884.6	CDS	ENSG00000076108.12
chr12	9021	9127	-	ENST00000549884.6	intron	ENSG00000076108.12
chr12	9127	9235	-	ENST00000549884.6	CDS	ENSG00000076108.12
chr12	9235	9336	-	ENST00000549884.6	intron	ENSG00000076108.12
chr12	9336	9396	-	ENST00000549884.6	CDS	ENSG00000076108.12
chr12	9396	9497	-	ENST00000549884.6	intron	ENSG00000076108.12
chr12	9497	9970	-	ENST00000549884.6	CDS	ENSG00000076108.12
chr12	9970	10073	-	ENST00000549884.6	intron	ENSG00000076108.12
chr12	10073	10291	-	ENST00000549884.6	CDS	ENSG00000076108.12
chr12	10291	10392	-	ENST00000549884.6	intron	ENSG00000076108.12
chr12	10392	10577	-	ENST00000549884.6	CDS	ENSG00000076108.12
chr12	10577	11453	-	ENST00000549884.6	intron	ENSG00000076108.12
chr12	11453	12046	-	ENST00000549884.6	CDS	ENSG00000076108.12
chr12	12046	12147	-	ENST00000549884.6	intron	ENSG00000076108.12
chr12	12147	12285	-	ENST00000549884.6	CDS	ENSG00000076108.12
chr12	12285	12386	-	ENST00000549884.6	intron	NA
chr12	12386	12587	-	ENST00000549884.6	UTR	NA
chr12	338	3026	-	ONT12.1874.24239	UTR	NA
chr12	3027	3189	-	ONT12.1874.24239	CDS	BAZ2A
chr12	3189	3274	-	ONT12.1874.24239	intron	BAZ2A
chr12	3274	3417	-	ONT12.1874.24239	CDS	BAZ2A
chr12	3417	3518	-	ONT12.1874.24239	intron	BAZ2A
chr12	3518	3747	-	ONT12.1874.24239	CDS	BAZ2A
chr12	3747	3848	-	ONT12.1874.24239	intron	BAZ2A
