seqnames	start	end	strand	transcript_id	type	gene_id
chr12	270	521	+	ENST00000392977.8	UTR	NA
chr12	521	623	+	ENST00000392977.8	intron	NA
chr12	623	762	+	ENST00000392977.8	UTR	NA
chr12	763	817	+	ENST00000392977.8	CDS	ENSG00000151572.18
chr12	817	918	+	ENST00000392977.8	intron	ENSG00000151572.18
chr12	918	1022	+	ENST00000392977.8	CDS	ENSG00000151572.18
chr12	1022	1123	+	ENST00000392977.8	intron	ENSG00000151572.18
chr12	1123	1259	+	ENST00000392977.8	CDS	ENSG00000151572.18
chr12	1259	1362	+	ENST00000392977.8	intron	ENSG00000151572.18
chr12	1362	1520	+	ENST00000392977.8	CDS	ENSG00000151572.18
chr12	1520	1971	+	ENST00000392977.8	intron	ENSG00000151572.18
chr12	1971	2071	+	ENST00000392977.8	CDS	ENSG00000151572.18
chr12	2071	2700	+	ENST00000392977.8	intron	ENSG00000151572.18
chr12	2700	2744	+	ENST00000392977.8	CDS	ENSG00000151572.18
chr12	2744	2849	+	ENST00000392977.8	intron	ENSG00000151572.18
chr12	2849	2980	+	ENST00000392977.8	CDS	ENSG00000151572.18
chr12	2980	4315	+	ENST00000392977.8	intron	ENSG00000151572.18
chr12	4315	4421	+	ENST00000392977.8	CDS	ENSG00000151572.18
chr12	4421	4526	+	ENST00000392977.8	intron	ENSG00000151572.18
chr12	4526	4581	+	ENST00000392977.8	CDS	ENSG00000151572.18
chr12	4581	4687	+	ENST00000392977.8	intron	ENSG00000151572.18
chr12	4687	4808	+	ENST00000392977.8	CDS	ENSG00000151572.18
chr12	4808	4911	+	ENST00000392977.8	intron	ENSG00000151572.18
chr12	4911	5045	+	ENST00000392977.8	CDS	ENSG00000151572.18
chr12	5045	5152	+	ENST00000392977.8	intron	ENSG00000151572.18
chr12	5152	5248	+	ENST00000392977.8	CDS	ENSG00000151572.18
chr12	5248	5349	+	ENST00000392977.8	intron	ENSG00000151572.18
chr12	5349	5409	+	ENST00000392977.8	CDS	ENSG00000151572.18
chr12	5409	5596	+	ENST00000392977.8	intron	ENSG00000151572.18
chr12	5596	5678	+	ENST00000392977.8	CDS	ENSG00000151572.18
chr12	5678	5786	+	ENST00000392977.8	intron	ENSG00000151572.18
chr12	5786	5926	+	ENST00000392977.8	CDS	ENSG00000151572.18
chr12	5926	6059	+	ENST00000392977.8	intron	ENSG00000151572.18
chr12	6059	6223	+	ENST00000392977.8	CDS	ENSG00000151572.18
chr12	6223	6324	+	ENST00000392977.8	intron	ENSG00000151572.18
chr12	6324	6360	+	ENST00000392977.8	CDS	ENSG00000151572.18
chr12	6360	6497	+	ENST00000392977.8	intron	ENSG00000151572.18
chr12	6497	6608	+	ENST00000392977.8	CDS	ENSG00000151572.18
chr12	6608	6709	+	ENST00000392977.8	intron	ENSG00000151572.18
chr12	6709	6766	+	ENST00000392977.8	CDS	ENSG00000151572.18
chr12	6766	6904	+	ENST00000392977.8	intron	ENSG00000151572.18
chr12	6904	7001	+	ENST00000392977.8	CDS	ENSG00000151572.18
chr12	7001	7106	+	ENST00000392977.8	intron	ENSG00000151572.18
chr12	7106	7248	+	ENST00000392977.8	CDS	ENSG00000151572.18
chr12	7248	7365	+	ENST00000392977.8	intron	ENSG00000151572.18
chr12	7365	7517	+	ENST00000392977.8	CDS	ENSG00000151572.18
chr12	7517	7622	+	ENST00000392977.8	intron	ENSG00000151572.18
chr12	7622	7769	+	ENST00000392977.8	CDS	ENSG00000151572.18
chr12	7769	7872	+	ENST00000392977.8	intron	ENSG00000151572.18
chr12	7872	7991	+	ENST00000392977.8	CDS	ENSG00000151572.18
chr12	7991	8096	+	ENST00000392977.8	intron	ENSG00000151572.18
chr12	8096	8201	+	ENST00000392977.8	CDS	ENSG00000151572.18
chr12	8201	8302	+	ENST00000392977.8	intron	ENSG00000151572.18
chr12	8302	8496	+	ENST00000392977.8	CDS	ENSG00000151572.18
chr12	8497	8497	+	ENST00000392977.8	UTR	NA
chr12	8497	8609	+	ENST00000392977.8	intron	NA
chr12	8609	9377	+	ENST00000392977.8	UTR	NA
chr12	622	762	+	ONT12.4050.1582	UTR	NA
chr12	763	817	+	ONT12.4050.1582	CDS	ANO4
chr12	817	918	+	ONT12.4050.1582	intron	ANO4
chr12	918	1022	+	ONT12.4050.1582	CDS	ANO4
chr12	1022	1123	+	ONT12.4050.1582	intron	ANO4
chr12	1123	1259	+	ONT12.4050.1582	CDS	ANO4
chr12	1259	1362	+	ONT12.4050.1582	intron	ANO4
chr12	1362	1520	+	ONT12.4050.1582	CDS	ANO4
chr12	1520	1971	+	ONT12.4050.1582	intron	ANO4
chr12	1971	2071	+	ONT12.4050.1582	CDS	ANO4
chr12	2071	2700	+	ONT12.4050.1582	intron	ANO4
chr12	2700	2744	+	ONT12.4050.1582	CDS	ANO4
chr12	2744	2849	+	ONT12.4050.1582	intron	ANO4
chr12	2849	2980	+	ONT12.4050.1582	CDS	ANO4
chr12	2980	4315	+	ONT12.4050.1582	intron	ANO4
chr12	4315	4421	+	ONT12.4050.1582	CDS	ANO4
chr12	4421	4526	+	ONT12.4050.1582	intron	ANO4
chr12	4526	4581	+	ONT12.4050.1582	CDS	ANO4
chr12	4581	4687	+	ONT12.4050.1582	intron	ANO4
chr12	4687	4808	+	ONT12.4050.1582	CDS	ANO4
chr12	4808	4911	+	ONT12.4050.1582	intron	ANO4
chr12	4911	5045	+	ONT12.4050.1582	CDS	ANO4
chr12	5045	5152	+	ONT12.4050.1582	intron	ANO4
chr12	5152	5248	+	ONT12.4050.1582	CDS	ANO4
chr12	5248	5349	+	ONT12.4050.1582	intron	ANO4
chr12	5349	5409	+	ONT12.4050.1582	CDS	ANO4
chr12	5409	5596	+	ONT12.4050.1582	intron	ANO4
chr12	5596	5684	+	ONT12.4050.1582	CDS	ANO4
chr12	5684	5786	+	ONT12.4050.1582	intron	NA
chr12	5786	5926	+	ONT12.4050.1582	UTR	NA
chr12	5926	6059	+	ONT12.4050.1582	intron	NA
chr12	6059	6223	+	ONT12.4050.1582	UTR	NA
chr12	6223	6324	+	ONT12.4050.1582	intron	NA
chr12	6324	6360	+	ONT12.4050.1582	UTR	NA
chr12	6360	6497	+	ONT12.4050.1582	intron	NA
chr12	6497	6608	+	ONT12.4050.1582	UTR	NA
chr12	6608	6709	+	ONT12.4050.1582	intron	NA
chr12	6709	6766	+	ONT12.4050.1582	UTR	NA
chr12	6766	6904	+	ONT12.4050.1582	intron	NA
chr12	6904	7001	+	ONT12.4050.1582	UTR	NA
chr12	7001	7106	+	ONT12.4050.1582	intron	NA
chr12	7106	7248	+	ONT12.4050.1582	UTR	NA
chr12	7248	7365	+	ONT12.4050.1582	intron	NA
chr12	7365	7517	+	ONT12.4050.1582	UTR	NA
chr12	7517	7622	+	ONT12.4050.1582	intron	NA
chr12	7622	7769	+	ONT12.4050.1582	UTR	NA
chr12	7769	7872	+	ONT12.4050.1582	intron	NA
chr12	7872	7991	+	ONT12.4050.1582	UTR	NA
chr12	7991	8096	+	ONT12.4050.1582	intron	NA
chr12	8096	8201	+	ONT12.4050.1582	UTR	NA
chr12	8201	8302	+	ONT12.4050.1582	intron	NA
chr12	8302	8497	+	ONT12.4050.1582	UTR	NA
chr12	8497	8609	+	ONT12.4050.1582	intron	NA
chr12	8609	9378	+	ONT12.4050.1582	UTR	NA
chr12	638	762	+	ONT12.4050.1593	UTR	NA
chr12	763	817	+	ONT12.4050.1593	CDS	ANO4
chr12	817	1123	+	ONT12.4050.1593	intron	ANO4
chr12	1123	1259	+	ONT12.4050.1593	CDS	ANO4
chr12	1259	1362	+	ONT12.4050.1593	intron	ANO4
chr12	1362	1520	+	ONT12.4050.1593	CDS	ANO4
chr12	1520	1971	+	ONT12.4050.1593	intron	ANO4
chr12	1971	2071	+	ONT12.4050.1593	CDS	ANO4
chr12	2071	2638	+	ONT12.4050.1593	intron	ANO4
chr12	2638	2653	+	ONT12.4050.1593	CDS	ANO4
chr12	2654	2744	+	ONT12.4050.1593	UTR	NA
chr12	2744	2849	+	ONT12.4050.1593	intron	NA
chr12	2849	2980	+	ONT12.4050.1593	UTR	NA
chr12	2980	4315	+	ONT12.4050.1593	intron	NA
chr12	4315	4406	+	ONT12.4050.1593	UTR	NA
chr12	651	762	+	ONT12.4050.1600	UTR	NA
chr12	763	817	+	ONT12.4050.1600	CDS	ANO4
chr12	817	918	+	ONT12.4050.1600	intron	ANO4
chr12	918	1022	+	ONT12.4050.1600	CDS	ANO4
chr12	1022	1123	+	ONT12.4050.1600	intron	ANO4
chr12	1123	1259	+	ONT12.4050.1600	CDS	ANO4
chr12	1259	1362	+	ONT12.4050.1600	intron	ANO4
chr12	1362	1520	+	ONT12.4050.1600	CDS	ANO4
chr12	1520	1971	+	ONT12.4050.1600	intron	ANO4
chr12	1971	2071	+	ONT12.4050.1600	CDS	ANO4
chr12	2071	2700	+	ONT12.4050.1600	intron	ANO4
chr12	2700	2744	+	ONT12.4050.1600	CDS	ANO4
chr12	2744	2849	+	ONT12.4050.1600	intron	ANO4
chr12	2849	2984	+	ONT12.4050.1600	CDS	ANO4
chr12	2985	3868	+	ONT12.4050.1600	UTR	NA
chr12	653	762	+	ONT12.4050.1627	UTR	NA
chr12	763	817	+	ONT12.4050.1627	CDS	ANO4
chr12	817	918	+	ONT12.4050.1627	intron	ANO4
chr12	918	1022	+	ONT12.4050.1627	CDS	ANO4
chr12	1022	1123	+	ONT12.4050.1627	intron	ANO4
chr12	1123	1259	+	ONT12.4050.1627	CDS	ANO4
chr12	1259	1362	+	ONT12.4050.1627	intron	ANO4
