seqnames	start	end	strand	transcript_id	type	gene_id
chr5	9	166	+	ENST00000316105.7	UTR	NA
chr5	167	2563	+	ENST00000316105.7	CDS	ENSG00000177839.7
chr5	2564	4389	+	ENST00000316105.7	UTR	NA
chr5	2	166	+	ONT5.8934.75171	UTR	NA
chr5	167	205	+	ONT5.8934.75171	CDS	PCDHB9
chr5	205	1127	+	ONT5.8934.75171	intron	PCDHB9
chr5	1127	2560	+	ONT5.8934.75171	CDS	PCDHB9
chr5	2561	2594	+	ONT5.8934.75171	UTR	NA
chr5	31	4411	+	ENST00000316105.7	exon	ENSG00000177839.7
chr5	2	227	+	ONT5.8934.75155	exon	PCDHB9
chr5	228	1437	+	ONT5.8934.75155	exon	PCDHB9
chr5	24	227	+	ONT5.8934.75171	exon	PCDHB9
chr5	227	1149	+	ONT5.8934.75171	intron	PCDHB9
chr5	1149	2616	+	ONT5.8934.75171	exon	PCDHB9
chr5	52	223	+	ONT5.8934.75173	exon	PCDHB9
chr5	224	787	+	ONT5.8934.75173	exon	PCDHB9
chr5	41	223	+	ONT5.8934.75202	exon	PCDHB9
chr5	224	3248	+	ONT5.8934.75202	exon	PCDHB9
chr5	169	227	+	ONT5.8934.75231	exon	PCDHB9
chr5	228	1440	+	ONT5.8934.75231	exon	PCDHB9
chr5	208	574	+	ONT5.8934.75239	exon	PCDHB9
chr5	575	752	+	ONT5.8934.75239	exon	PCDHB9
