seqnames	start	end	strand	transcript_id	type	gene_id
chr20	150	242	+	ENST00000361383.11	UTR	NA
chr20	243	272	+	ENST00000361383.11	CDS	ENSG00000132792.19
chr20	272	1334	+	ENST00000361383.11	intron	ENSG00000132792.19
chr20	1334	1522	+	ENST00000361383.11	CDS	ENSG00000132792.19
chr20	1522	2737	+	ENST00000361383.11	intron	ENSG00000132792.19
chr20	2737	2843	+	ENST00000361383.11	CDS	ENSG00000132792.19
chr20	2843	3234	+	ENST00000361383.11	intron	ENSG00000132792.19
chr20	3234	3373	+	ENST00000361383.11	CDS	ENSG00000132792.19
chr20	3373	4301	+	ENST00000361383.11	intron	ENSG00000132792.19
chr20	4301	4398	+	ENST00000361383.11	CDS	ENSG00000132792.19
chr20	4398	8419	+	ENST00000361383.11	intron	ENSG00000132792.19
chr20	8419	8512	+	ENST00000361383.11	CDS	ENSG00000132792.19
chr20	8512	8626	+	ENST00000361383.11	intron	ENSG00000132792.19
chr20	8626	8717	+	ENST00000361383.11	CDS	ENSG00000132792.19
chr20	8717	10324	+	ENST00000361383.11	intron	ENSG00000132792.19
chr20	10324	10396	+	ENST00000361383.11	CDS	ENSG00000132792.19
chr20	10396	10633	+	ENST00000361383.11	intron	ENSG00000132792.19
chr20	10633	10691	+	ENST00000361383.11	CDS	ENSG00000132792.19
chr20	10691	11869	+	ENST00000361383.11	intron	ENSG00000132792.19
chr20	11869	12017	+	ENST00000361383.11	CDS	ENSG00000132792.19
chr20	12017	12792	+	ENST00000361383.11	intron	ENSG00000132792.19
chr20	12792	12973	+	ENST00000361383.11	CDS	ENSG00000132792.19
chr20	12973	13879	+	ENST00000361383.11	intron	ENSG00000132792.19
chr20	13879	13976	+	ENST00000361383.11	CDS	ENSG00000132792.19
chr20	13976	14083	+	ENST00000361383.11	intron	ENSG00000132792.19
chr20	14083	14163	+	ENST00000361383.11	CDS	ENSG00000132792.19
chr20	14163	15785	+	ENST00000361383.11	intron	ENSG00000132792.19
chr20	15785	15922	+	ENST00000361383.11	CDS	ENSG00000132792.19
chr20	15922	16031	+	ENST00000361383.11	intron	ENSG00000132792.19
chr20	16031	16103	+	ENST00000361383.11	CDS	ENSG00000132792.19
chr20	16103	16468	+	ENST00000361383.11	intron	ENSG00000132792.19
chr20	16468	16559	+	ENST00000361383.11	CDS	ENSG00000132792.19
chr20	16560	16661	+	ENST00000361383.11	UTR	NA
chr20	2	242	+	ONT20.1844.56835	UTR	NA
chr20	243	272	+	ONT20.1844.56835	CDS	CTNNBL1
chr20	272	1334	+	ONT20.1844.56835	intron	CTNNBL1
chr20	1334	1522	+	ONT20.1844.56835	CDS	CTNNBL1
chr20	1522	2737	+	ONT20.1844.56835	intron	CTNNBL1
chr20	2737	2843	+	ONT20.1844.56835	CDS	CTNNBL1
chr20	2843	3234	+	ONT20.1844.56835	intron	CTNNBL1
chr20	3234	3373	+	ONT20.1844.56835	CDS	CTNNBL1
chr20	3373	4301	+	ONT20.1844.56835	intron	CTNNBL1
chr20	4301	4398	+	ONT20.1844.56835	CDS	CTNNBL1
chr20	4398	8419	+	ONT20.1844.56835	intron	CTNNBL1
chr20	8419	8512	+	ONT20.1844.56835	CDS	CTNNBL1
chr20	8512	8626	+	ONT20.1844.56835	intron	CTNNBL1
chr20	8626	8717	+	ONT20.1844.56835	CDS	CTNNBL1
chr20	8717	10324	+	ONT20.1844.56835	intron	CTNNBL1
chr20	10324	10396	+	ONT20.1844.56835	CDS	CTNNBL1
chr20	10396	10633	+	ONT20.1844.56835	intron	CTNNBL1
chr20	10633	10691	+	ONT20.1844.56835	CDS	CTNNBL1
chr20	10691	11869	+	ONT20.1844.56835	intron	CTNNBL1
chr20	11869	12017	+	ONT20.1844.56835	CDS	CTNNBL1
chr20	12017	12792	+	ONT20.1844.56835	intron	CTNNBL1
chr20	12792	12973	+	ONT20.1844.56835	CDS	CTNNBL1
chr20	12973	13879	+	ONT20.1844.56835	intron	CTNNBL1
chr20	13879	13976	+	ONT20.1844.56835	CDS	CTNNBL1
chr20	13976	14083	+	ONT20.1844.56835	intron	CTNNBL1
chr20	14083	14163	+	ONT20.1844.56835	CDS	CTNNBL1
chr20	14163	15785	+	ONT20.1844.56835	intron	CTNNBL1
chr20	15785	15922	+	ONT20.1844.56835	CDS	CTNNBL1
chr20	15922	16031	+	ONT20.1844.56835	intron	CTNNBL1
chr20	16031	16103	+	ONT20.1844.56835	CDS	CTNNBL1
chr20	16103	16468	+	ONT20.1844.56835	intron	CTNNBL1
chr20	16468	16556	+	ONT20.1844.56835	CDS	CTNNBL1
chr20	16557	16658	+	ONT20.1844.56835	UTR	NA
chr20	21	242	+	ONT20.1844.56837	UTR	NA
chr20	243	272	+	ONT20.1844.56837	CDS	CTNNBL1
chr20	272	1334	+	ONT20.1844.56837	intron	CTNNBL1
chr20	1334	1522	+	ONT20.1844.56837	CDS	CTNNBL1
chr20	1522	2737	+	ONT20.1844.56837	intron	CTNNBL1
chr20	2737	2843	+	ONT20.1844.56837	CDS	CTNNBL1
chr20	2843	3234	+	ONT20.1844.56837	intron	CTNNBL1
chr20	3234	3368	+	ONT20.1844.56837	CDS	CTNNBL1
chr20	3368	4298	+	ONT20.1844.56837	intron	CTNNBL1
chr20	4298	4361	+	ONT20.1844.56837	CDS	CTNNBL1
chr20	4362	4398	+	ONT20.1844.56837	UTR	NA
chr20	4398	8419	+	ONT20.1844.56837	intron	NA
chr20	8419	8512	+	ONT20.1844.56837	UTR	NA
chr20	8512	8626	+	ONT20.1844.56837	intron	NA
chr20	8626	8717	+	ONT20.1844.56837	UTR	NA
chr20	8717	10324	+	ONT20.1844.56837	intron	NA
chr20	10324	10396	+	ONT20.1844.56837	UTR	NA
chr20	10396	10633	+	ONT20.1844.56837	intron	NA
chr20	10633	10691	+	ONT20.1844.56837	UTR	NA
chr20	10691	11869	+	ONT20.1844.56837	intron	NA
chr20	11869	12017	+	ONT20.1844.56837	UTR	NA
chr20	12017	12792	+	ONT20.1844.56837	intron	NA
chr20	12792	12973	+	ONT20.1844.56837	UTR	NA
chr20	12973	13879	+	ONT20.1844.56837	intron	NA
chr20	13879	13976	+	ONT20.1844.56837	UTR	NA
chr20	13976	14083	+	ONT20.1844.56837	intron	NA
chr20	14083	14163	+	ONT20.1844.56837	UTR	NA
chr20	14163	15785	+	ONT20.1844.56837	intron	NA
chr20	15785	15922	+	ONT20.1844.56837	UTR	NA
chr20	15922	16031	+	ONT20.1844.56837	intron	NA
chr20	16031	16103	+	ONT20.1844.56837	UTR	NA
chr20	16103	16468	+	ONT20.1844.56837	intron	NA
chr20	16468	16658	+	ONT20.1844.56837	UTR	NA
chr20	43	242	+	ONT20.1844.56838	UTR	NA
chr20	243	272	+	ONT20.1844.56838	CDS	CTNNBL1
chr20	272	1334	+	ONT20.1844.56838	intron	CTNNBL1
chr20	1334	1522	+	ONT20.1844.56838	CDS	CTNNBL1
chr20	1522	2737	+	ONT20.1844.56838	intron	CTNNBL1
chr20	2737	2843	+	ONT20.1844.56838	CDS	CTNNBL1
chr20	2843	3234	+	ONT20.1844.56838	intron	CTNNBL1
chr20	3234	3364	+	ONT20.1844.56838	CDS	CTNNBL1
chr20	3364	4292	+	ONT20.1844.56838	intron	CTNNBL1
chr20	4292	4398	+	ONT20.1844.56838	CDS	CTNNBL1
chr20	4398	8419	+	ONT20.1844.56838	intron	CTNNBL1
chr20	8419	8512	+	ONT20.1844.56838	CDS	CTNNBL1
chr20	8512	8626	+	ONT20.1844.56838	intron	CTNNBL1
chr20	8626	8717	+	ONT20.1844.56838	CDS	CTNNBL1
chr20	8717	10324	+	ONT20.1844.56838	intron	CTNNBL1
chr20	10324	10396	+	ONT20.1844.56838	CDS	CTNNBL1
chr20	10396	10633	+	ONT20.1844.56838	intron	CTNNBL1
chr20	10633	10691	+	ONT20.1844.56838	CDS	CTNNBL1
chr20	10691	11869	+	ONT20.1844.56838	intron	CTNNBL1
chr20	11869	12017	+	ONT20.1844.56838	CDS	CTNNBL1
chr20	12017	12792	+	ONT20.1844.56838	intron	CTNNBL1
chr20	12792	12973	+	ONT20.1844.56838	CDS	CTNNBL1
chr20	12973	13879	+	ONT20.1844.56838	intron	CTNNBL1
chr20	13879	13976	+	ONT20.1844.56838	CDS	CTNNBL1
chr20	13976	14083	+	ONT20.1844.56838	intron	CTNNBL1
chr20	14083	14163	+	ONT20.1844.56838	CDS	CTNNBL1
chr20	14163	15785	+	ONT20.1844.56838	intron	CTNNBL1
chr20	15785	15922	+	ONT20.1844.56838	CDS	CTNNBL1
chr20	15922	16031	+	ONT20.1844.56838	intron	CTNNBL1
chr20	16031	16103	+	ONT20.1844.56838	CDS	CTNNBL1
chr20	16103	16468	+	ONT20.1844.56838	intron	CTNNBL1
chr20	16468	16556	+	ONT20.1844.56838	CDS	CTNNBL1
chr20	16557	16661	+	ONT20.1844.56838	UTR	NA
chr20	83	242	+	ONT20.1844.56843	UTR	NA
chr20	243	272	+	ONT20.1844.56843	CDS	CTNNBL1
chr20	272	1334	+	ONT20.1844.56843	intron	CTNNBL1
chr20	1334	1522	+	ONT20.1844.56843	CDS	CTNNBL1
chr20	1522	2737	+	ONT20.1844.56843	intron	CTNNBL1
chr20	2737	2843	+	ONT20.1844.56843	CDS	CTNNBL1
chr20	2843	3234	+	ONT20.1844.56843	intron	CTNNBL1
chr20	3234	3375	+	ONT20.1844.56843	CDS	CTNNBL1
chr20	3375	4301	+	ONT20.1844.56843	intron	CTNNBL1
chr20	4301	4312	+	ONT20.1844.56843	CDS	CTNNBL1
chr20	4313	4398	+	ONT20.1844.56843	UTR	NA
chr20	4398	8419	+	ONT20.1844.56843	intron	NA
chr20	8419	8512	+	ONT20.1844.56843	UTR	NA
chr20	8512	8626	+	ONT20.1844.56843	intron	NA
chr20	8626	8717	+	ONT20.1844.56843	UTR	NA
chr20	8717	10324	+	ONT20.1844.56843	intron	NA
chr20	10324	10396	+	ONT20.1844.56843	UTR	NA
chr20	10396	10633	+	ONT20.1844.56843	intron	NA
chr20	10633	10691	+	ONT20.1844.56843	UTR	NA
chr20	10691	11869	+	ONT20.1844.56843	intron	NA
chr20	11869	12017	+	ONT20.1844.56843	UTR	NA
chr20	12017	12792	+	ONT20.1844.56843	intron	NA
chr20	12792	12973	+	ONT20.1844.56843	UTR	NA
chr20	12973	13879	+	ONT20.1844.56843	intron	NA
chr20	13879	13976	+	ONT20.1844.56843	UTR	NA
chr20	13976	14083	+	ONT20.1844.56843	intron	NA
chr20	14083	14163	+	ONT20.1844.56843	UTR	NA
chr20	14163	15785	+	ONT20.1844.56843	intron	NA
chr20	15785	15922	+	ONT20.1844.56843	UTR	NA
chr20	15922	16031	+	ONT20.1844.56843	intron	NA
chr20	16031	16103	+	ONT20.1844.56843	UTR	NA
chr20	16103	16468	+	ONT20.1844.56843	intron	NA
chr20	16468	16657	+	ONT20.1844.56843	UTR	NA
chr20	67	242	+	ONT20.1844.56848	UTR	NA
chr20	243	272	+	ONT20.1844.56848	CDS	CTNNBL1
chr20	272	1334	+	ONT20.1844.56848	intron	CTNNBL1
chr20	1334	1522	+	ONT20.1844.56848	CDS	CTNNBL1
chr20	1522	2737	+	ONT20.1844.56848	intron	CTNNBL1
chr20	2737	2843	+	ONT20.1844.56848	CDS	CTNNBL1
chr20	2843	3234	+	ONT20.1844.56848	intron	CTNNBL1
chr20	3234	3396	+	ONT20.1844.56848	CDS	CTNNBL1
chr20	3396	4313	+	ONT20.1844.56848	intron	CTNNBL1
chr20	4313	4339	+	ONT20.1844.56848	CDS	CTNNBL1
chr20	4340	4398	+	ONT20.1844.56848	UTR	NA
chr20	4398	8419	+	ONT20.1844.56848	intron	NA
chr20	8419	8512	+	ONT20.1844.56848	UTR	NA
chr20	8512	8626	+	ONT20.1844.56848	intron	NA
chr20	8626	8717	+	ONT20.1844.56848	UTR	NA
chr20	8717	10324	+	ONT20.1844.56848	intron	NA
chr20	10324	10396	+	ONT20.1844.56848	UTR	NA
chr20	10396	10633	+	ONT20.1844.56848	intron	NA
chr20	10633	10691	+	ONT20.1844.56848	UTR	NA
chr20	10691	11869	+	ONT20.1844.56848	intron	NA
chr20	11869	12017	+	ONT20.1844.56848	UTR	NA
chr20	12017	12792	+	ONT20.1844.56848	intron	NA
chr20	12792	12973	+	ONT20.1844.56848	UTR	NA
chr20	12973	13879	+	ONT20.1844.56848	intron	NA
chr20	13879	13976	+	ONT20.1844.56848	UTR	NA
chr20	13976	14083	+	ONT20.1844.56848	intron	NA
chr20	14083	14163	+	ONT20.1844.56848	UTR	NA
chr20	14163	15785	+	ONT20.1844.56848	intron	NA
chr20	15785	15922	+	ONT20.1844.56848	UTR	NA
chr20	15922	16031	+	ONT20.1844.56848	intron	NA
chr20	16031	16103	+	ONT20.1844.56848	UTR	NA
chr20	16103	16468	+	ONT20.1844.56848	intron	NA
chr20	16468	16661	+	ONT20.1844.56848	UTR	NA
chr20	80	242	+	ONT20.1844.56853	UTR	NA
chr20	243	272	+	ONT20.1844.56853	CDS	CTNNBL1
chr20	272	1334	+	ONT20.1844.56853	intron	CTNNBL1
chr20	1334	1522	+	ONT20.1844.56853	CDS	CTNNBL1
chr20	1522	2737	+	ONT20.1844.56853	intron	CTNNBL1
chr20	2737	2843	+	ONT20.1844.56853	CDS	CTNNBL1
chr20	2843	3234	+	ONT20.1844.56853	intron	CTNNBL1
chr20	3234	3396	+	ONT20.1844.56853	CDS	CTNNBL1
chr20	3396	4313	+	ONT20.1844.56853	intron	CTNNBL1
chr20	4313	4339	+	ONT20.1844.56853	CDS	CTNNBL1
chr20	4340	4398	+	ONT20.1844.56853	UTR	NA
