seqnames	start	end	strand	transcript_id	type	gene_id
chr9	2	844	-	ENST00000360538.7	UTR	NA
chr9	845	3784	-	ENST00000360538.7	CDS	ENSG00000197579.8
chr9	3784	3887	-	ENST00000360538.7	intron	ENSG00000197579.8
chr9	3887	4081	-	ENST00000360538.7	CDS	ENSG00000197579.8
chr9	4081	4396	-	ENST00000360538.7	intron	ENSG00000197579.8
chr9	4396	4401	-	ENST00000360538.7	CDS	ENSG00000197579.8
chr9	4402	4548	-	ENST00000360538.7	UTR	NA
chr9	2	847	-	ONT9.1607.1298	UTR	NA
chr9	848	3784	-	ONT9.1607.1298	CDS	TOPORS
chr9	3784	3887	-	ONT9.1607.1298	intron	TOPORS
chr9	3887	4081	-	ONT9.1607.1298	CDS	TOPORS
chr9	4081	4396	-	ONT9.1607.1298	intron	TOPORS
chr9	4396	4401	-	ONT9.1607.1298	CDS	TOPORS
chr9	4402	4528	-	ONT9.1607.1298	UTR	NA
chr9	2	847	-	ONT9.1607.1300	UTR	NA
chr9	848	3784	-	ONT9.1607.1300	CDS	TOPORS
chr9	3784	3887	-	ONT9.1607.1300	intron	NA
chr9	3887	4064	-	ONT9.1607.1300	UTR	NA
chr9	4	847	-	ONT9.1607.1315	UTR	NA
chr9	848	3784	-	ONT9.1607.1315	CDS	TOPORS
chr9	3784	4396	-	ONT9.1607.1315	intron	TOPORS
chr9	4396	4401	-	ONT9.1607.1315	CDS	TOPORS
chr9	4402	4587	-	ONT9.1607.1315	UTR	NA
chr9	4	847	-	ONT9.1607.1334	UTR	NA
chr9	848	3784	-	ONT9.1607.1334	CDS	TOPORS
chr9	3784	3887	-	ONT9.1607.1334	intron	TOPORS
chr9	3887	4072	-	ONT9.1607.1334	CDS	TOPORS
chr9	4072	4396	-	ONT9.1607.1334	intron	TOPORS
chr9	4396	4401	-	ONT9.1607.1334	CDS	TOPORS
chr9	4402	4548	-	ONT9.1607.1334	UTR	NA
chr9	235	847	-	ONT9.1607.1354	UTR	NA
chr9	848	3784	-	ONT9.1607.1354	CDS	TOPORS
chr9	3784	3887	-	ONT9.1607.1354	intron	TOPORS
chr9	3887	4081	-	ONT9.1607.1354	CDS	TOPORS
chr9	4081	4396	-	ONT9.1607.1354	intron	TOPORS
chr9	4396	4401	-	ONT9.1607.1354	CDS	TOPORS
chr9	4402	4521	-	ONT9.1607.1354	UTR	NA
chr9	232	847	-	ONT9.1607.1356	UTR	NA
chr9	848	3784	-	ONT9.1607.1356	CDS	TOPORS
chr9	3784	3887	-	ONT9.1607.1356	intron	NA
chr9	3887	4061	-	ONT9.1607.1356	UTR	NA
chr9	224	847	-	ONT9.1607.1358	UTR	NA
chr9	848	3784	-	ONT9.1607.1358	CDS	TOPORS
chr9	3784	3887	-	ONT9.1607.1358	intron	TOPORS
chr9	3887	4081	-	ONT9.1607.1358	CDS	TOPORS
chr9	4081	4396	-	ONT9.1607.1358	intron	TOPORS
chr9	4396	4401	-	ONT9.1607.1358	CDS	TOPORS
chr9	4402	4430	-	ONT9.1607.1358	UTR	NA
chr9	239	847	-	ONT9.1607.1360	UTR	NA
chr9	848	3784	-	ONT9.1607.1360	CDS	TOPORS
chr9	3784	3887	-	ONT9.1607.1360	intron	NA
chr9	3887	4081	-	ONT9.1607.1360	UTR	NA
chr9	4081	4191	-	ONT9.1607.1360	intron	NA
chr9	4191	4295	-	ONT9.1607.1360	UTR	NA
chr9	4295	4396	-	ONT9.1607.1360	intron	NA
chr9	4396	4567	-	ONT9.1607.1360	UTR	NA
chr9	232	847	-	ONT9.1607.1361	UTR	NA
chr9	848	3757	-	ONT9.1607.1361	CDS	TOPORS
chr9	3758	3771	-	ONT9.1607.1361	UTR	NA
chr9	3771	3887	-	ONT9.1607.1361	intron	NA
chr9	3887	4009	-	ONT9.1607.1361	UTR	NA
chr9	227	847	-	ONT9.1607.1368	UTR	NA
chr9	848	3784	-	ONT9.1607.1368	CDS	TOPORS
chr9	3784	4396	-	ONT9.1607.1368	intron	TOPORS
chr9	4396	4401	-	ONT9.1607.1368	CDS	TOPORS
chr9	4402	4574	-	ONT9.1607.1368	UTR	NA
chr9	232	847	-	ONT9.1607.1372	UTR	NA
chr9	848	3784	-	ONT9.1607.1372	CDS	TOPORS
chr9	3784	3887	-	ONT9.1607.1372	intron	TOPORS
chr9	3887	4072	-	ONT9.1607.1372	CDS	TOPORS
chr9	4072	4396	-	ONT9.1607.1372	intron	TOPORS
chr9	4396	4401	-	ONT9.1607.1372	CDS	TOPORS
chr9	4402	4586	-	ONT9.1607.1372	UTR	NA
chr9	229	847	-	ONT9.1607.1378	UTR	NA
chr9	848	3595	-	ONT9.1607.1378	CDS	TOPORS
chr9	3595	3887	-	ONT9.1607.1378	intron	TOPORS
chr9	3887	4081	-	ONT9.1607.1378	CDS	TOPORS
chr9	4081	4396	-	ONT9.1607.1378	intron	TOPORS
chr9	4396	4401	-	ONT9.1607.1378	CDS	TOPORS
chr9	4402	4586	-	ONT9.1607.1378	UTR	NA
chr9	229	847	-	ONT9.1607.1380	UTR	NA
chr9	848	3595	-	ONT9.1607.1380	CDS	TOPORS
chr9	3595	3887	-	ONT9.1607.1380	intron	TOPORS
chr9	3887	4081	-	ONT9.1607.1380	CDS	TOPORS
chr9	4081	4396	-	ONT9.1607.1380	intron	TOPORS
chr9	4396	4401	-	ONT9.1607.1380	CDS	TOPORS
chr9	4402	4529	-	ONT9.1607.1380	UTR	NA
chr9	229	847	-	ONT9.1607.1398	UTR	NA
chr9	848	3784	-	ONT9.1607.1398	CDS	TOPORS
chr9	3785	3786	-	ONT9.1607.1398	UTR	NA
chr9	3786	3907	-	ONT9.1607.1398	intron	NA
chr9	3907	4090	-	ONT9.1607.1398	UTR	NA
chr9	524	847	-	ONT9.1607.1504	UTR	NA
chr9	848	3784	-	ONT9.1607.1504	CDS	TOPORS
chr9	3784	3887	-	ONT9.1607.1504	intron	TOPORS
chr9	3887	4081	-	ONT9.1607.1504	CDS	TOPORS
chr9	4081	4396	-	ONT9.1607.1504	intron	TOPORS
chr9	4396	4401	-	ONT9.1607.1504	CDS	TOPORS
chr9	4402	4573	-	ONT9.1607.1504	UTR	NA
chr9	525	847	-	ONT9.1607.1506	UTR	NA
chr9	848	3784	-	ONT9.1607.1506	CDS	TOPORS
chr9	3784	3887	-	ONT9.1607.1506	intron	NA
chr9	3887	4015	-	ONT9.1607.1506	UTR	NA
chr9	521	847	-	ONT9.1607.1508	UTR	NA
chr9	848	3784	-	ONT9.1607.1508	CDS	TOPORS
chr9	3784	3887	-	ONT9.1607.1508	intron	NA
chr9	3887	4089	-	ONT9.1607.1508	UTR	NA
chr9	544	847	-	ONT9.1607.1522	UTR	NA
chr9	848	3784	-	ONT9.1607.1522	CDS	TOPORS
chr9	3784	3887	-	ONT9.1607.1522	intron	NA
chr9	3887	3963	-	ONT9.1607.1522	UTR	NA
chr9	627	847	-	ONT9.1607.1529	UTR	NA
chr9	848	3784	-	ONT9.1607.1529	CDS	TOPORS
chr9	3784	3887	-	ONT9.1607.1529	intron	TOPORS
chr9	3887	4081	-	ONT9.1607.1529	CDS	TOPORS
chr9	4081	4396	-	ONT9.1607.1529	intron	TOPORS
chr9	4396	4401	-	ONT9.1607.1529	CDS	TOPORS
chr9	4402	4581	-	ONT9.1607.1529	UTR	NA
chr9	628	847	-	ONT9.1607.1530	UTR	NA
chr9	848	3784	-	ONT9.1607.1530	CDS	TOPORS
chr9	3784	3887	-	ONT9.1607.1530	intron	NA
chr9	3887	4037	-	ONT9.1607.1530	UTR	NA
chr9	793	847	-	ONT9.1607.1536	UTR	NA
chr9	848	3784	-	ONT9.1607.1536	CDS	TOPORS
chr9	3784	3887	-	ONT9.1607.1536	intron	NA
chr9	3887	4064	-	ONT9.1607.1536	UTR	NA
chr9	2	3784	-	ENST00000360538.7	exon	ENSG00000197579.8
chr9	3784	3887	-	ENST00000360538.7	intron	ENSG00000197579.8
chr9	3887	4081	-	ENST00000360538.7	exon	ENSG00000197579.8
chr9	4081	4400	-	ENST00000360538.7	intron	ENSG00000197579.8
chr9	4400	4552	-	ENST00000360538.7	exon	ENSG00000197579.8
chr9	2	3784	-	ONT9.1607.1298	exon	TOPORS
chr9	3784	3887	-	ONT9.1607.1298	intron	TOPORS
chr9	3887	4081	-	ONT9.1607.1298	exon	TOPORS
chr9	4081	4400	-	ONT9.1607.1298	intron	TOPORS
chr9	4400	4532	-	ONT9.1607.1298	exon	TOPORS
chr9	2	3784	-	ONT9.1607.1300	exon	TOPORS
chr9	3784	3887	-	ONT9.1607.1300	intron	NA
chr9	3887	4064	-	ONT9.1607.1300	exon	TOPORS
chr9	4	3784	-	ONT9.1607.1315	exon	TOPORS
chr9	3784	4400	-	ONT9.1607.1315	intron	TOPORS
chr9	4400	4591	-	ONT9.1607.1315	exon	TOPORS
chr9	4	3784	-	ONT9.1607.1334	exon	TOPORS
chr9	3784	3887	-	ONT9.1607.1334	intron	TOPORS
chr9	3887	4072	-	ONT9.1607.1334	exon	TOPORS
chr9	4072	4400	-	ONT9.1607.1334	intron	TOPORS
chr9	4400	4552	-	ONT9.1607.1334	exon	TOPORS
chr9	235	3784	-	ONT9.1607.1354	exon	TOPORS
chr9	3784	3887	-	ONT9.1607.1354	intron	TOPORS
chr9	3887	4081	-	ONT9.1607.1354	exon	TOPORS
chr9	4081	4400	-	ONT9.1607.1354	intron	TOPORS
chr9	4400	4525	-	ONT9.1607.1354	exon	TOPORS
chr9	232	3784	-	ONT9.1607.1356	exon	TOPORS
