seqnames	start	end	strand	transcript_id	type	gene_id
chr2	630	733	+	ENST00000233809.9	UTR	NA
chr2	734	1175	+	ENST00000233809.9	CDS	ENSG00000115457.10
chr2	1175	3976	+	ENST00000233809.9	intron	ENSG00000115457.10
chr2	3976	4205	+	ENST00000233809.9	CDS	ENSG00000115457.10
chr2	4205	5277	+	ENST00000233809.9	intron	ENSG00000115457.10
chr2	5277	5417	+	ENST00000233809.9	CDS	ENSG00000115457.10
chr2	5417	5527	+	ENST00000233809.9	intron	ENSG00000115457.10
chr2	5527	5694	+	ENST00000233809.9	CDS	ENSG00000115457.10
chr2	5695	6023	+	ENST00000233809.9	UTR	NA
chr2	2	490	+	ONT2.12057.14596	UTR	NA
chr2	490	3976	+	ONT2.12057.14596	intron	NA
chr2	3976	4031	+	ONT2.12057.14596	UTR	NA
chr2	4032	4205	+	ONT2.12057.14596	CDS	IGFBP2
chr2	4205	5277	+	ONT2.12057.14596	intron	IGFBP2
chr2	5277	5417	+	ONT2.12057.14596	CDS	IGFBP2
chr2	5417	5527	+	ONT2.12057.14596	intron	IGFBP2
chr2	5527	5691	+	ONT2.12057.14596	CDS	IGFBP2
chr2	5692	6014	+	ONT2.12057.14596	UTR	NA
chr2	116	490	+	ONT2.12057.14598	UTR	NA
chr2	490	3976	+	ONT2.12057.14598	intron	NA
chr2	3976	4031	+	ONT2.12057.14598	UTR	NA
chr2	4032	4205	+	ONT2.12057.14598	CDS	IGFBP2
chr2	4205	5277	+	ONT2.12057.14598	intron	IGFBP2
chr2	5277	5417	+	ONT2.12057.14598	CDS	IGFBP2
chr2	5417	5527	+	ONT2.12057.14598	intron	IGFBP2
chr2	5527	5691	+	ONT2.12057.14598	CDS	IGFBP2
chr2	5692	6020	+	ONT2.12057.14598	UTR	NA
chr2	178	490	+	ONT2.12057.14599	UTR	NA
chr2	490	3976	+	ONT2.12057.14599	intron	NA
chr2	3976	4031	+	ONT2.12057.14599	UTR	NA
chr2	4032	4209	+	ONT2.12057.14599	CDS	IGFBP2
chr2	4209	5277	+	ONT2.12057.14599	intron	IGFBP2
chr2	5277	5341	+	ONT2.12057.14599	CDS	IGFBP2
chr2	5342	5417	+	ONT2.12057.14599	UTR	NA
chr2	5417	5527	+	ONT2.12057.14599	intron	NA
chr2	5527	6023	+	ONT2.12057.14599	UTR	NA
chr2	206	490	+	ONT2.12057.14600	UTR	NA
chr2	490	3976	+	ONT2.12057.14600	intron	NA
chr2	3976	4031	+	ONT2.12057.14600	UTR	NA
chr2	4032	4205	+	ONT2.12057.14600	CDS	IGFBP2
chr2	4205	5191	+	ONT2.12057.14600	intron	IGFBP2
chr2	5191	5417	+	ONT2.12057.14600	CDS	IGFBP2
chr2	5417	5527	+	ONT2.12057.14600	intron	IGFBP2
chr2	5527	5542	+	ONT2.12057.14600	CDS	IGFBP2
chr2	5543	6020	+	ONT2.12057.14600	UTR	NA
chr2	246	490	+	ONT2.12057.14601	UTR	NA
chr2	490	3976	+	ONT2.12057.14601	intron	NA
chr2	3976	4031	+	ONT2.12057.14601	UTR	NA
chr2	4032	4205	+	ONT2.12057.14601	CDS	IGFBP2
chr2	4205	5277	+	ONT2.12057.14601	intron	IGFBP2
chr2	5277	5417	+	ONT2.12057.14601	CDS	IGFBP2
chr2	5417	5527	+	ONT2.12057.14601	intron	IGFBP2
chr2	5527	5691	+	ONT2.12057.14601	CDS	IGFBP2
chr2	5692	6023	+	ONT2.12057.14601	UTR	NA
chr2	327	490	+	ONT2.12057.14602	UTR	NA
chr2	490	3976	+	ONT2.12057.14602	intron	NA
chr2	3976	4031	+	ONT2.12057.14602	UTR	NA
chr2	4032	4205	+	ONT2.12057.14602	CDS	IGFBP2
chr2	4205	5277	+	ONT2.12057.14602	intron	IGFBP2
chr2	5277	5417	+	ONT2.12057.14602	CDS	IGFBP2
chr2	5417	5527	+	ONT2.12057.14602	intron	IGFBP2
chr2	5527	5691	+	ONT2.12057.14602	CDS	IGFBP2
chr2	5692	6023	+	ONT2.12057.14602	UTR	NA
chr2	403	490	+	ONT2.12057.14611	UTR	NA
chr2	490	3976	+	ONT2.12057.14611	intron	NA
chr2	3976	4031	+	ONT2.12057.14611	UTR	NA
chr2	4032	4205	+	ONT2.12057.14611	CDS	IGFBP2
chr2	4205	5277	+	ONT2.12057.14611	intron	IGFBP2
chr2	5277	5417	+	ONT2.12057.14611	CDS	IGFBP2
chr2	5417	5527	+	ONT2.12057.14611	intron	IGFBP2
chr2	5527	5691	+	ONT2.12057.14611	CDS	IGFBP2
chr2	5692	6023	+	ONT2.12057.14611	UTR	NA
chr2	591	628	+	ONT2.12057.14619	UTR	NA
chr2	628	4113	+	ONT2.12057.14619	intron	NA
chr2	4113	4209	+	ONT2.12057.14619	UTR	NA
