seqnames	start	end	strand	transcript_id	type	gene_id
chr18	1884	1949	+	ENST00000317615.11	UTR	NA
chr18	1950	2006	+	ENST00000317615.11	CDS	ENSG00000128789.21
chr18	2006	2108	+	ENST00000317615.11	intron	ENSG00000128789.21
chr18	2108	2279	+	ENST00000317615.11	CDS	ENSG00000128789.21
chr18	2279	2384	+	ENST00000317615.11	intron	ENSG00000128789.21
chr18	2384	2442	+	ENST00000317615.11	CDS	ENSG00000128789.21
chr18	2442	3845	+	ENST00000317615.11	intron	ENSG00000128789.21
chr18	3845	3963	+	ENST00000317615.11	CDS	ENSG00000128789.21
chr18	3963	4286	+	ENST00000317615.11	intron	ENSG00000128789.21
chr18	4286	4459	+	ENST00000317615.11	CDS	ENSG00000128789.21
chr18	4459	8275	+	ENST00000317615.11	intron	ENSG00000128789.21
chr18	8275	8395	+	ENST00000317615.11	CDS	ENSG00000128789.21
chr18	8395	9215	+	ENST00000317615.11	intron	ENSG00000128789.21
chr18	9215	9310	+	ENST00000317615.11	CDS	ENSG00000128789.21
chr18	9311	9516	+	ENST00000317615.11	UTR	NA
chr18	70	194	+	ONT18.653.12896	UTR	NA
chr18	194	338	+	ONT18.653.12896	intron	NA
chr18	338	537	+	ONT18.653.12896	UTR	NA
chr18	537	2108	+	ONT18.653.12896	intron	NA
chr18	2108	2143	+	ONT18.653.12896	UTR	NA
chr18	2144	2279	+	ONT18.653.12896	CDS	PSMG2
chr18	2279	2384	+	ONT18.653.12896	intron	PSMG2
chr18	2384	2442	+	ONT18.653.12896	CDS	PSMG2
chr18	2442	3845	+	ONT18.653.12896	intron	PSMG2
chr18	3845	3963	+	ONT18.653.12896	CDS	PSMG2
chr18	3963	4286	+	ONT18.653.12896	intron	PSMG2
chr18	4286	4459	+	ONT18.653.12896	CDS	PSMG2
chr18	4459	8275	+	ONT18.653.12896	intron	PSMG2
chr18	8275	8395	+	ONT18.653.12896	CDS	PSMG2
chr18	8395	9215	+	ONT18.653.12896	intron	PSMG2
chr18	9215	9307	+	ONT18.653.12896	CDS	PSMG2
chr18	9308	9516	+	ONT18.653.12896	UTR	NA
chr18	46	194	+	ONT18.653.12901	UTR	NA
chr18	194	338	+	ONT18.653.12901	intron	NA
chr18	338	537	+	ONT18.653.12901	UTR	NA
chr18	537	638	+	ONT18.653.12901	intron	NA
chr18	638	712	+	ONT18.653.12901	UTR	NA
chr18	712	813	+	ONT18.653.12901	intron	NA
chr18	813	838	+	ONT18.653.12901	UTR	NA
chr18	839	919	+	ONT18.653.12901	CDS	PSMG2
chr18	919	2108	+	ONT18.653.12901	intron	PSMG2
chr18	2108	2279	+	ONT18.653.12901	CDS	PSMG2
chr18	2279	2384	+	ONT18.653.12901	intron	PSMG2
chr18	2384	2442	+	ONT18.653.12901	CDS	PSMG2
chr18	2442	3845	+	ONT18.653.12901	intron	PSMG2
chr18	3845	3963	+	ONT18.653.12901	CDS	PSMG2
chr18	3963	4286	+	ONT18.653.12901	intron	PSMG2
chr18	4286	4459	+	ONT18.653.12901	CDS	PSMG2
chr18	4459	8275	+	ONT18.653.12901	intron	PSMG2
chr18	8275	8395	+	ONT18.653.12901	CDS	PSMG2
chr18	8395	9215	+	ONT18.653.12901	intron	PSMG2
chr18	9215	9307	+	ONT18.653.12901	CDS	PSMG2
chr18	9308	9511	+	ONT18.653.12901	UTR	NA
chr18	2	41	+	ONT18.653.12907	UTR	NA
chr18	42	56	+	ONT18.653.12907	CDS	PSMG2
chr18	56	2108	+	ONT18.653.12907	intron	PSMG2
chr18	2108	2279	+	ONT18.653.12907	CDS	PSMG2
chr18	2279	2384	+	ONT18.653.12907	intron	PSMG2
chr18	2384	2442	+	ONT18.653.12907	CDS	PSMG2
chr18	2442	3845	+	ONT18.653.12907	intron	PSMG2
chr18	3845	3963	+	ONT18.653.12907	CDS	PSMG2
chr18	3963	4286	+	ONT18.653.12907	intron	PSMG2
chr18	4286	4459	+	ONT18.653.12907	CDS	PSMG2
chr18	4459	8275	+	ONT18.653.12907	intron	PSMG2
