seqnames	start	end	strand	transcript_id	type	gene_id
chr13	2	3369	-	ENST00000379561.6	UTR	NA
chr13	3369	3470	-	ENST00000379561.6	intron	NA
chr13	3470	3483	-	ENST00000379561.6	UTR	NA
chr13	3484	4821	-	ENST00000379561.6	CDS	ENSG00000150907.10
chr13	4821	4925	-	ENST00000379561.6	intron	ENSG00000150907.10
chr13	4925	5557	-	ENST00000379561.6	CDS	ENSG00000150907.10
chr13	5558	5983	-	ENST00000379561.6	UTR	NA
chr13	2	3369	-	ONT13.1216.306	UTR	NA
chr13	3369	3470	-	ONT13.1216.306	intron	NA
chr13	3470	3486	-	ONT13.1216.306	UTR	NA
chr13	3487	3966	-	ONT13.1216.306	CDS	FOXO1
chr13	3967	3998	-	ONT13.1216.306	UTR	NA
chr13	96	3369	-	ONT13.1216.322	UTR	NA
chr13	3369	3470	-	ONT13.1216.322	intron	NA
chr13	3470	3486	-	ONT13.1216.322	UTR	NA
chr13	3487	4461	-	ONT13.1216.322	CDS	FOXO1
chr13	4462	4605	-	ONT13.1216.322	UTR	NA
chr13	25	3369	-	ONT13.1216.331	UTR	NA
chr13	3369	3470	-	ONT13.1216.331	intron	NA
chr13	3470	3486	-	ONT13.1216.331	UTR	NA
chr13	3487	4419	-	ONT13.1216.331	CDS	FOXO1
chr13	4420	4444	-	ONT13.1216.331	UTR	NA
chr13	95	3369	-	ONT13.1216.335	UTR	NA
chr13	3369	3470	-	ONT13.1216.335	intron	NA
chr13	3470	3486	-	ONT13.1216.335	UTR	NA
chr13	3487	3906	-	ONT13.1216.335	CDS	FOXO1
chr13	99	3369	-	ONT13.1216.337	UTR	NA
chr13	3369	3470	-	ONT13.1216.337	intron	NA
chr13	3470	3486	-	ONT13.1216.337	UTR	NA
chr13	3487	3687	-	ONT13.1216.337	CDS	FOXO1
chr13	3688	3724	-	ONT13.1216.337	UTR	NA
chr13	99	3369	-	ONT13.1216.341	UTR	NA
chr13	3369	3470	-	ONT13.1216.341	intron	NA
chr13	3470	3486	-	ONT13.1216.341	UTR	NA
chr13	3487	4743	-	ONT13.1216.341	CDS	FOXO1
chr13	4744	4824	-	ONT13.1216.341	UTR	NA
chr13	99	3369	-	ONT13.1216.342	UTR	NA
chr13	3369	3470	-	ONT13.1216.342	intron	NA
chr13	3470	3486	-	ONT13.1216.342	UTR	NA
chr13	3487	4686	-	ONT13.1216.342	CDS	FOXO1
chr13	4687	4692	-	ONT13.1216.342	UTR	NA
chr13	714	3369	-	ONT13.1216.369	UTR	NA
chr13	3369	3470	-	ONT13.1216.369	intron	NA
chr13	3470	3486	-	ONT13.1216.369	UTR	NA
chr13	3487	4461	-	ONT13.1216.369	CDS	FOXO1
chr13	4462	4598	-	ONT13.1216.369	UTR	NA
chr13	712	3369	-	ONT13.1216.374	UTR	NA
chr13	3369	3470	-	ONT13.1216.374	intron	NA
chr13	3470	3486	-	ONT13.1216.374	UTR	NA
chr13	3487	4743	-	ONT13.1216.374	CDS	FOXO1
chr13	4744	4820	-	ONT13.1216.374	UTR	NA
chr13	755	3369	-	ONT13.1216.382	UTR	NA
chr13	3369	3470	-	ONT13.1216.382	intron	NA
chr13	3470	3486	-	ONT13.1216.382	UTR	NA
chr13	3487	3909	-	ONT13.1216.382	CDS	FOXO1
chr13	2719	3369	-	ONT13.1216.407	UTR	NA
chr13	3369	3470	-	ONT13.1216.407	intron	NA
chr13	3470	3486	-	ONT13.1216.407	UTR	NA
chr13	3487	4686	-	ONT13.1216.407	CDS	FOXO1
chr13	4687	4697	-	ONT13.1216.407	UTR	NA
chr13	2719	3369	-	ONT13.1216.408	UTR	NA
chr13	3369	3470	-	ONT13.1216.408	intron	NA
chr13	3470	3486	-	ONT13.1216.408	UTR	NA
chr13	3487	4461	-	ONT13.1216.408	CDS	FOXO1
chr13	4462	4598	-	ONT13.1216.408	UTR	NA
chr13	2750	3369	-	ONT13.1216.413	UTR	NA
chr13	3369	3470	-	ONT13.1216.413	intron	NA
chr13	3470	3486	-	ONT13.1216.413	UTR	NA
chr13	3487	3909	-	ONT13.1216.413	CDS	FOXO1
chr13	3910	3941	-	ONT13.1216.413	UTR	NA
chr13	2750	3369	-	ONT13.1216.416	UTR	NA
chr13	3369	3470	-	ONT13.1216.416	intron	NA
chr13	3470	3486	-	ONT13.1216.416	UTR	NA
chr13	3487	3687	-	ONT13.1216.416	CDS	FOXO1
chr13	3688	3726	-	ONT13.1216.416	UTR	NA
chr13	2750	3369	-	ONT13.1216.420	UTR	NA
chr13	3369	3470	-	ONT13.1216.420	intron	NA
chr13	3470	3486	-	ONT13.1216.420	UTR	NA
chr13	3487	4743	-	ONT13.1216.420	CDS	FOXO1
chr13	4744	4762	-	ONT13.1216.420	UTR	NA
chr13	3256	3369	-	ONT13.1216.445	UTR	NA
chr13	3369	3470	-	ONT13.1216.445	intron	NA
chr13	3470	3486	-	ONT13.1216.445	UTR	NA
chr13	3487	3966	-	ONT13.1216.445	CDS	FOXO1
chr13	3967	3995	-	ONT13.1216.445	UTR	NA
chr13	2	3369	-	ENST00000379561.6	exon	ENSG00000150907.10
chr13	3369	3470	-	ENST00000379561.6	intron	NA
chr13	3470	4821	-	ENST00000379561.6	exon	ENSG00000150907.10
chr13	4821	4925	-	ENST00000379561.6	intron	ENSG00000150907.10
chr13	4925	5983	-	ENST00000379561.6	exon	ENSG00000150907.10
chr13	2	3369	-	ONT13.1216.306	exon	FOXO1
chr13	3369	3470	-	ONT13.1216.306	intron	NA
chr13	3470	3998	-	ONT13.1216.306	exon	FOXO1
chr13	96	3369	-	ONT13.1216.322	exon	FOXO1
chr13	3369	3470	-	ONT13.1216.322	intron	NA
chr13	3470	4605	-	ONT13.1216.322	exon	FOXO1
chr13	25	3369	-	ONT13.1216.331	exon	FOXO1
chr13	3369	3470	-	ONT13.1216.331	intron	NA
chr13	3470	4444	-	ONT13.1216.331	exon	FOXO1
chr13	99	3369	-	ONT13.1216.334	exon	FOXO1
chr13	3370	3421	-	ONT13.1216.334	exon	FOXO1
chr13	95	3369	-	ONT13.1216.335	exon	FOXO1
chr13	3369	3470	-	ONT13.1216.335	intron	NA
chr13	3470	3905	-	ONT13.1216.335	exon	FOXO1
