seqnames	start	end	strand	transcript_id	type	gene_id
chr14	193	211	+	ENST00000313250.10	UTR	NA
chr14	212	339	+	ENST00000313250.10	CDS	ENSG00000157326.19
chr14	339	569	+	ENST00000313250.10	intron	ENSG00000157326.19
chr14	569	746	+	ENST00000313250.10	CDS	ENSG00000157326.19
chr14	746	1179	+	ENST00000313250.10	intron	ENSG00000157326.19
chr14	1179	1280	+	ENST00000313250.10	CDS	ENSG00000157326.19
chr14	1280	1872	+	ENST00000313250.10	intron	ENSG00000157326.19
chr14	1872	1942	+	ENST00000313250.10	CDS	ENSG00000157326.19
chr14	1942	2042	+	ENST00000313250.10	intron	ENSG00000157326.19
chr14	2042	2093	+	ENST00000313250.10	CDS	ENSG00000157326.19
chr14	2093	2194	+	ENST00000313250.10	intron	ENSG00000157326.19
chr14	2194	2328	+	ENST00000313250.10	CDS	ENSG00000157326.19
chr14	2328	2429	+	ENST00000313250.10	intron	ENSG00000157326.19
chr14	2429	2484	+	ENST00000313250.10	CDS	ENSG00000157326.19
chr14	2484	3975	+	ENST00000313250.10	intron	ENSG00000157326.19
chr14	3975	4092	+	ENST00000313250.10	CDS	ENSG00000157326.19
chr14	4093	4497	+	ENST00000313250.10	UTR	NA
chr14	2	211	+	ONT14.383.479	UTR	NA
chr14	212	339	+	ONT14.383.479	CDS	DHRS4
chr14	339	569	+	ONT14.383.479	intron	DHRS4
chr14	569	746	+	ONT14.383.479	CDS	DHRS4
chr14	746	1179	+	ONT14.383.479	intron	DHRS4
chr14	1179	1280	+	ONT14.383.479	CDS	DHRS4
chr14	1280	2429	+	ONT14.383.479	intron	DHRS4
chr14	2429	2484	+	ONT14.383.479	CDS	DHRS4
chr14	2484	3975	+	ONT14.383.479	intron	DHRS4
chr14	3975	4089	+	ONT14.383.479	CDS	DHRS4
chr14	4090	4492	+	ONT14.383.479	UTR	NA
chr14	10	211	+	ONT14.383.480	UTR	NA
chr14	212	339	+	ONT14.383.480	CDS	DHRS4
chr14	339	569	+	ONT14.383.480	intron	DHRS4
chr14	569	746	+	ONT14.383.480	CDS	DHRS4
chr14	746	1179	+	ONT14.383.480	intron	DHRS4
chr14	1179	1280	+	ONT14.383.480	CDS	DHRS4
chr14	1280	1872	+	ONT14.383.480	intron	DHRS4
chr14	1872	1942	+	ONT14.383.480	CDS	DHRS4
chr14	1942	2042	+	ONT14.383.480	intron	DHRS4
chr14	2042	2093	+	ONT14.383.480	CDS	DHRS4
chr14	2093	2194	+	ONT14.383.480	intron	DHRS4
chr14	2194	2328	+	ONT14.383.480	CDS	DHRS4
chr14	2328	2429	+	ONT14.383.480	intron	DHRS4
chr14	2429	2484	+	ONT14.383.480	CDS	DHRS4
chr14	2484	3975	+	ONT14.383.480	intron	DHRS4
chr14	3975	4089	+	ONT14.383.480	CDS	DHRS4
chr14	4090	4490	+	ONT14.383.480	UTR	NA
chr14	22	211	+	ONT14.383.483	UTR	NA
chr14	212	339	+	ONT14.383.483	CDS	DHRS4
chr14	339	569	+	ONT14.383.483	intron	DHRS4
chr14	569	746	+	ONT14.383.483	CDS	DHRS4
chr14	746	2429	+	ONT14.383.483	intron	DHRS4
chr14	2429	2484	+	ONT14.383.483	CDS	DHRS4
chr14	2484	3975	+	ONT14.383.483	intron	DHRS4
chr14	3975	4089	+	ONT14.383.483	CDS	DHRS4
