seqnames	start	end	strand	transcript_id	type	gene_id
chr14	359	400	+	ENST00000409074.8	UTR	NA
chr14	401	523	+	ENST00000409074.8	CDS	ENSG00000256053.9
chr14	523	1698	+	ENST00000409074.8	intron	ENSG00000256053.9
chr14	1698	1895	+	ENST00000409074.8	CDS	ENSG00000256053.9
chr14	1895	2027	+	ENST00000409074.8	intron	ENSG00000256053.9
chr14	2027	2090	+	ENST00000409074.8	CDS	ENSG00000256053.9
chr14	2090	2837	+	ENST00000409074.8	intron	ENSG00000256053.9
chr14	2837	2927	+	ENST00000409074.8	CDS	ENSG00000256053.9
chr14	2927	3028	+	ENST00000409074.8	intron	ENSG00000256053.9
chr14	3028	3136	+	ENST00000409074.8	CDS	ENSG00000256053.9
chr14	3137	3743	+	ENST00000409074.8	UTR	NA
chr14	2	34	+	ONT14.3659.36857	UTR	NA
chr14	35	79	+	ONT14.3659.36857	CDS	COA8
chr14	79	1698	+	ONT14.3659.36857	intron	COA8
chr14	1698	1895	+	ONT14.3659.36857	CDS	COA8
chr14	1895	2027	+	ONT14.3659.36857	intron	COA8
chr14	2027	2090	+	ONT14.3659.36857	CDS	COA8
chr14	2090	2837	+	ONT14.3659.36857	intron	COA8
chr14	2837	2927	+	ONT14.3659.36857	CDS	COA8
chr14	2927	3028	+	ONT14.3659.36857	intron	COA8
chr14	3028	3133	+	ONT14.3659.36857	CDS	COA8
chr14	3134	3743	+	ONT14.3659.36857	UTR	NA
chr14	16	34	+	ONT14.3659.36861	UTR	NA
chr14	35	79	+	ONT14.3659.36861	CDS	COA8
chr14	79	1698	+	ONT14.3659.36861	intron	COA8
chr14	1698	1895	+	ONT14.3659.36861	CDS	COA8
chr14	1895	2027	+	ONT14.3659.36861	intron	COA8
chr14	2027	2090	+	ONT14.3659.36861	CDS	COA8
chr14	2090	2837	+	ONT14.3659.36861	intron	COA8
chr14	2837	2927	+	ONT14.3659.36861	CDS	COA8
chr14	2927	3028	+	ONT14.3659.36861	intron	COA8
chr14	3028	3133	+	ONT14.3659.36861	CDS	COA8
chr14	3134	3374	+	ONT14.3659.36861	UTR	NA
chr14	180	361	+	ONT14.3659.36887	UTR	NA
chr14	362	523	+	ONT14.3659.36887	CDS	COA8
chr14	523	1698	+	ONT14.3659.36887	intron	COA8
chr14	1698	1895	+	ONT14.3659.36887	CDS	COA8
chr14	1895	2027	+	ONT14.3659.36887	intron	COA8
chr14	2027	2090	+	ONT14.3659.36887	CDS	COA8
chr14	2090	2837	+	ONT14.3659.36887	intron	COA8
chr14	2837	2927	+	ONT14.3659.36887	CDS	COA8
chr14	2927	3028	+	ONT14.3659.36887	intron	COA8
chr14	3028	3133	+	ONT14.3659.36887	CDS	COA8
chr14	3134	3378	+	ONT14.3659.36887	UTR	NA
chr14	353	361	+	ONT14.3659.36894	UTR	NA
chr14	362	523	+	ONT14.3659.36894	CDS	COA8
chr14	523	1698	+	ONT14.3659.36894	intron	COA8
chr14	1698	1895	+	ONT14.3659.36894	CDS	COA8
chr14	1895	2027	+	ONT14.3659.36894	intron	COA8
chr14	2027	2090	+	ONT14.3659.36894	CDS	COA8
chr14	2090	2837	+	ONT14.3659.36894	intron	COA8
chr14	2837	2927	+	ONT14.3659.36894	CDS	COA8
chr14	2927	3028	+	ONT14.3659.36894	intron	COA8
chr14	3028	3133	+	ONT14.3659.36894	CDS	COA8
chr14	3134	3743	+	ONT14.3659.36894	UTR	NA
chr14	356	361	+	ONT14.3659.36897	UTR	NA
chr14	362	523	+	ONT14.3659.36897	CDS	COA8
chr14	523	1698	+	ONT14.3659.36897	intron	COA8
chr14	1698	1895	+	ONT14.3659.36897	CDS	COA8
chr14	1895	2027	+	ONT14.3659.36897	intron	COA8
chr14	2027	2090	+	ONT14.3659.36897	CDS	COA8
chr14	2090	2837	+	ONT14.3659.36897	intron	COA8
chr14	2837	2927	+	ONT14.3659.36897	CDS	COA8
chr14	2927	3028	+	ONT14.3659.36897	intron	COA8
chr14	3028	3133	+	ONT14.3659.36897	CDS	COA8
chr14	3134	3374	+	ONT14.3659.36897	UTR	NA
chr14	367	400	+	ONT14.3659.36905	UTR	NA
chr14	401	523	+	ONT14.3659.36905	CDS	COA8
chr14	523	614	+	ONT14.3659.36905	intron	COA8
chr14	614	760	+	ONT14.3659.36905	CDS	COA8
chr14	761	778	+	ONT14.3659.36905	UTR	NA
chr14	778	2837	+	ONT14.3659.36905	intron	NA
chr14	2837	2927	+	ONT14.3659.36905	UTR	NA
chr14	2927	3028	+	ONT14.3659.36905	intron	NA
chr14	3028	3744	+	ONT14.3659.36905	UTR	NA
chr14	367	400	+	ONT14.3659.36908	UTR	NA
chr14	401	523	+	ONT14.3659.36908	CDS	COA8
chr14	523	1698	+	ONT14.3659.36908	intron	COA8
chr14	1698	1895	+	ONT14.3659.36908	CDS	COA8
chr14	1895	2027	+	ONT14.3659.36908	intron	COA8
chr14	2027	2090	+	ONT14.3659.36908	CDS	COA8
chr14	2090	2195	+	ONT14.3659.36908	intron	COA8
chr14	2195	2315	+	ONT14.3659.36908	CDS	COA8
chr14	2315	2837	+	ONT14.3659.36908	intron	COA8
chr14	2837	2897	+	ONT14.3659.36908	CDS	COA8
chr14	2898	2927	+	ONT14.3659.36908	UTR	NA
chr14	2927	3028	+	ONT14.3659.36908	intron	NA
chr14	3028	3742	+	ONT14.3659.36908	UTR	NA
chr14	359	361	+	ONT14.3659.36909	UTR	NA
chr14	362	523	+	ONT14.3659.36909	CDS	COA8
chr14	523	1698	+	ONT14.3659.36909	intron	COA8
chr14	1698	1895	+	ONT14.3659.36909	CDS	COA8
chr14	1895	2027	+	ONT14.3659.36909	intron	COA8
chr14	2027	2090	+	ONT14.3659.36909	CDS	COA8
chr14	2090	2837	+	ONT14.3659.36909	intron	COA8
chr14	2837	2927	+	ONT14.3659.36909	CDS	COA8
chr14	2927	3028	+	ONT14.3659.36909	intron	COA8
chr14	3028	3133	+	ONT14.3659.36909	CDS	COA8
chr14	3134	3233	+	ONT14.3659.36909	UTR	NA
chr14	360	361	+	ONT14.3659.36910	UTR	NA
chr14	362	523	+	ONT14.3659.36910	CDS	COA8
chr14	523	2842	+	ONT14.3659.36910	intron	COA8
chr14	2842	2927	+	ONT14.3659.36910	CDS	COA8
chr14	2927	3028	+	ONT14.3659.36910	intron	COA8
chr14	3028	3133	+	ONT14.3659.36910	CDS	COA8
chr14	3134	4330	+	ONT14.3659.36910	UTR	NA
chr14	395	400	+	ONT14.3659.36911	UTR	NA
chr14	401	523	+	ONT14.3659.36911	CDS	COA8
chr14	523	1698	+	ONT14.3659.36911	intron	COA8
chr14	1698	1895	+	ONT14.3659.36911	CDS	COA8
chr14	1895	2027	+	ONT14.3659.36911	intron	COA8
chr14	2027	2090	+	ONT14.3659.36911	CDS	COA8
