seqnames	start	end	strand	transcript_id	type	gene_id
chr20	4665	5462	-	ENST00000376709.9	UTR	NA
chr20	5463	5752	-	ENST00000376709.9	CDS	ENSG00000100987.15
chr20	5752	5853	-	ENST00000376709.9	intron	ENSG00000100987.15
chr20	5853	6033	-	ENST00000376709.9	CDS	ENSG00000100987.15
chr20	6033	6651	-	ENST00000376709.9	intron	ENSG00000100987.15
chr20	6651	6774	-	ENST00000376709.9	CDS	ENSG00000100987.15
chr20	6774	6875	-	ENST00000376709.9	intron	ENSG00000100987.15
chr20	6875	6953	-	ENST00000376709.9	CDS	ENSG00000100987.15
chr20	6953	7054	-	ENST00000376709.9	intron	ENSG00000100987.15
chr20	7054	7480	-	ENST00000376709.9	CDS	ENSG00000100987.15
chr20	7481	7522	-	ENST00000376709.9	UTR	NA
chr20	2	2080	-	ONT20.1611.1939	UTR	NA
chr20	2080	2598	-	ONT20.1611.1939	intron	NA
chr20	2598	2673	-	ONT20.1611.1939	UTR	NA
chr20	2674	2705	-	ONT20.1611.1939	CDS	VSX1
chr20	2705	5853	-	ONT20.1611.1939	intron	VSX1
chr20	5853	5970	-	ONT20.1611.1939	CDS	VSX1
chr20	5971	6216	-	ONT20.1611.1939	UTR	NA
chr20	2	2080	-	ONT20.1611.1941	UTR	NA
chr20	2080	2598	-	ONT20.1611.1941	intron	NA
chr20	2598	2673	-	ONT20.1611.1941	UTR	NA
chr20	2674	2705	-	ONT20.1611.1941	CDS	VSX1
chr20	2705	5853	-	ONT20.1611.1941	intron	VSX1
chr20	5853	5970	-	ONT20.1611.1941	CDS	VSX1
chr20	5971	5996	-	ONT20.1611.1941	UTR	NA
chr20	723	2080	-	ONT20.1611.1964	UTR	NA
chr20	2080	2598	-	ONT20.1611.1964	intron	NA
chr20	2598	2673	-	ONT20.1611.1964	UTR	NA
chr20	2674	2705	-	ONT20.1611.1964	CDS	VSX1
chr20	2705	5853	-	ONT20.1611.1964	intron	VSX1
chr20	5853	5970	-	ONT20.1611.1964	CDS	VSX1
chr20	732	2080	-	ONT20.1611.1965	UTR	NA
chr20	2080	2423	-	ONT20.1611.1965	intron	NA
chr20	2423	2673	-	ONT20.1611.1965	UTR	NA
chr20	2674	2705	-	ONT20.1611.1965	CDS	VSX1
chr20	2705	5853	-	ONT20.1611.1965	intron	VSX1
chr20	5853	5970	-	ONT20.1611.1965	CDS	VSX1
chr20	5971	6217	-	ONT20.1611.1965	UTR	NA
chr20	849	2080	-	ONT20.1611.1967	UTR	NA
chr20	2080	2598	-	ONT20.1611.1967	intron	NA
chr20	2598	2673	-	ONT20.1611.1967	UTR	NA
chr20	2674	2705	-	ONT20.1611.1967	CDS	VSX1
chr20	2705	5853	-	ONT20.1611.1967	intron	VSX1
chr20	5853	5970	-	ONT20.1611.1967	CDS	VSX1
chr20	5971	6000	-	ONT20.1611.1967	UTR	NA
chr20	942	2080	-	ONT20.1611.1969	UTR	NA
chr20	2080	2598	-	ONT20.1611.1969	intron	NA
chr20	2598	2673	-	ONT20.1611.1969	UTR	NA
chr20	2674	2705	-	ONT20.1611.1969	CDS	VSX1
chr20	2705	5853	-	ONT20.1611.1969	intron	VSX1
chr20	5853	5970	-	ONT20.1611.1969	CDS	VSX1
chr20	5971	6156	-	ONT20.1611.1969	UTR	NA
chr20	942	2080	-	ONT20.1611.1972	UTR	NA
chr20	2080	2598	-	ONT20.1611.1972	intron	NA
chr20	2598	2705	-	ONT20.1611.1972	UTR	NA
chr20	2705	2806	-	ONT20.1611.1972	intron	NA
chr20	2806	5465	-	ONT20.1611.1972	UTR	NA
chr20	5466	5752	-	ONT20.1611.1972	CDS	VSX1
chr20	5752	5853	-	ONT20.1611.1972	intron	VSX1
chr20	5853	5970	-	ONT20.1611.1972	CDS	VSX1
chr20	5971	6217	-	ONT20.1611.1972	UTR	NA
chr20	942	2080	-	ONT20.1611.1973	UTR	NA
chr20	2080	2598	-	ONT20.1611.1973	intron	NA
chr20	2598	2673	-	ONT20.1611.1973	UTR	NA
chr20	2674	2705	-	ONT20.1611.1973	CDS	VSX1
chr20	2705	5853	-	ONT20.1611.1973	intron	VSX1
chr20	5853	5970	-	ONT20.1611.1973	CDS	VSX1
chr20	5971	6217	-	ONT20.1611.1973	UTR	NA
chr20	940	2673	-	ONT20.1611.1975	UTR	NA
chr20	2674	2705	-	ONT20.1611.1975	CDS	VSX1
chr20	2705	5853	-	ONT20.1611.1975	intron	VSX1
chr20	5853	5970	-	ONT20.1611.1975	CDS	VSX1
