seqnames	start	end	strand	transcript_id	type	gene_id
chr4	313	641	-	ENST00000334304.10	UTR	NA
chr4	642	1884	-	ENST00000334304.10	CDS	ENSG00000152990.14
chr4	1884	1985	-	ENST00000334304.10	intron	ENSG00000152990.14
chr4	1985	2080	-	ENST00000334304.10	CDS	ENSG00000152990.14
chr4	2080	2181	-	ENST00000334304.10	intron	ENSG00000152990.14
chr4	2181	2326	-	ENST00000334304.10	CDS	ENSG00000152990.14
chr4	2326	4427	-	ENST00000334304.10	intron	ENSG00000152990.14
chr4	4427	4550	-	ENST00000334304.10	CDS	ENSG00000152990.14
chr4	4550	4651	-	ENST00000334304.10	intron	ENSG00000152990.14
chr4	4651	4775	-	ENST00000334304.10	CDS	ENSG00000152990.14
chr4	4775	7082	-	ENST00000334304.10	intron	ENSG00000152990.14
chr4	7082	7290	-	ENST00000334304.10	CDS	ENSG00000152990.14
chr4	7290	7395	-	ENST00000334304.10	intron	ENSG00000152990.14
chr4	7395	7608	-	ENST00000334304.10	CDS	ENSG00000152990.14
chr4	7608	7709	-	ENST00000334304.10	intron	ENSG00000152990.14
chr4	7709	7912	-	ENST00000334304.10	CDS	ENSG00000152990.14
chr4	7912	8013	-	ENST00000334304.10	intron	ENSG00000152990.14
chr4	8013	8174	-	ENST00000334304.10	CDS	ENSG00000152990.14
chr4	8174	8277	-	ENST00000334304.10	intron	ENSG00000152990.14
chr4	8277	8432	-	ENST00000334304.10	CDS	ENSG00000152990.14
chr4	8432	8536	-	ENST00000334304.10	intron	ENSG00000152990.14
chr4	8536	8737	-	ENST00000334304.10	CDS	ENSG00000152990.14
chr4	8737	8842	-	ENST00000334304.10	intron	ENSG00000152990.14
chr4	8842	9006	-	ENST00000334304.10	CDS	ENSG00000152990.14
chr4	9006	9107	-	ENST00000334304.10	intron	ENSG00000152990.14
chr4	9107	9320	-	ENST00000334304.10	CDS	ENSG00000152990.14
chr4	9320	9422	-	ENST00000334304.10	intron	ENSG00000152990.14
chr4	9422	9582	-	ENST00000334304.10	CDS	ENSG00000152990.14
chr4	9582	9683	-	ENST00000334304.10	intron	ENSG00000152990.14
chr4	9683	9754	-	ENST00000334304.10	CDS	ENSG00000152990.14
chr4	9754	9855	-	ENST00000334304.10	intron	ENSG00000152990.14
chr4	9855	9926	-	ENST00000334304.10	CDS	ENSG00000152990.14
chr4	9926	10027	-	ENST00000334304.10	intron	ENSG00000152990.14
chr4	10027	10098	-	ENST00000334304.10	CDS	ENSG00000152990.14
chr4	10098	10199	-	ENST00000334304.10	intron	ENSG00000152990.14
chr4	10199	10270	-	ENST00000334304.10	CDS	ENSG00000152990.14
chr4	10270	10590	-	ENST00000334304.10	intron	ENSG00000152990.14
chr4	10590	10849	-	ENST00000334304.10	CDS	ENSG00000152990.14
chr4	10850	11128	-	ENST00000334304.10	UTR	NA
chr4	2	644	-	ONT4.1208.23329	UTR	NA
chr4	645	1884	-	ONT4.1208.23329	CDS	ADGRA3
chr4	1884	1985	-	ONT4.1208.23329	intron	ADGRA3
chr4	1985	2080	-	ONT4.1208.23329	CDS	ADGRA3
chr4	2080	2181	-	ONT4.1208.23329	intron	ADGRA3
chr4	2181	2326	-	ONT4.1208.23329	CDS	ADGRA3
chr4	2326	4427	-	ONT4.1208.23329	intron	ADGRA3
chr4	4427	4550	-	ONT4.1208.23329	CDS	ADGRA3
chr4	4550	4651	-	ONT4.1208.23329	intron	ADGRA3
chr4	4651	4775	-	ONT4.1208.23329	CDS	ADGRA3
