seqnames	start	end	strand	transcript_id	type	gene_id
chr1	2	264	-	ENST00000326735.13	UTR	NA
chr1	265	402	-	ENST00000326735.13	CDS	ENSG00000159363.19
chr1	402	503	-	ENST00000326735.13	intron	ENSG00000159363.19
chr1	503	672	-	ENST00000326735.13	CDS	ENSG00000159363.19
chr1	672	845	-	ENST00000326735.13	intron	ENSG00000159363.19
chr1	845	996	-	ENST00000326735.13	CDS	ENSG00000159363.19
chr1	996	1086	-	ENST00000326735.13	intron	ENSG00000159363.19
chr1	1086	1309	-	ENST00000326735.13	CDS	ENSG00000159363.19
chr1	1309	1411	-	ENST00000326735.13	intron	ENSG00000159363.19
chr1	1411	1507	-	ENST00000326735.13	CDS	ENSG00000159363.19
chr1	1507	1595	-	ENST00000326735.13	intron	ENSG00000159363.19
chr1	1595	1747	-	ENST00000326735.13	CDS	ENSG00000159363.19
chr1	1747	2092	-	ENST00000326735.13	intron	ENSG00000159363.19
chr1	2092	2171	-	ENST00000326735.13	CDS	ENSG00000159363.19
chr1	2171	2272	-	ENST00000326735.13	intron	ENSG00000159363.19
chr1	2272	2388	-	ENST00000326735.13	CDS	ENSG00000159363.19
chr1	2388	2491	-	ENST00000326735.13	intron	ENSG00000159363.19
chr1	2491	2651	-	ENST00000326735.13	CDS	ENSG00000159363.19
chr1	2651	2755	-	ENST00000326735.13	intron	ENSG00000159363.19
chr1	2755	2879	-	ENST00000326735.13	CDS	ENSG00000159363.19
chr1	2879	2982	-	ENST00000326735.13	intron	ENSG00000159363.19
chr1	2982	3102	-	ENST00000326735.13	CDS	ENSG00000159363.19
chr1	3102	3206	-	ENST00000326735.13	intron	ENSG00000159363.19
chr1	3206	3365	-	ENST00000326735.13	CDS	ENSG00000159363.19
chr1	3365	3449	-	ENST00000326735.13	intron	ENSG00000159363.19
chr1	3449	3544	-	ENST00000326735.13	CDS	ENSG00000159363.19
chr1	3544	4209	-	ENST00000326735.13	intron	ENSG00000159363.19
chr1	4209	4415	-	ENST00000326735.13	CDS	ENSG00000159363.19
chr1	4415	6556	-	ENST00000326735.13	intron	ENSG00000159363.19
chr1	6556	6744	-	ENST00000326735.13	CDS	ENSG00000159363.19
chr1	6744	6834	-	ENST00000326735.13	intron	ENSG00000159363.19
chr1	6834	6880	-	ENST00000326735.13	CDS	ENSG00000159363.19
chr1	6880	6966	-	ENST00000326735.13	intron	ENSG00000159363.19
chr1	6966	7076	-	ENST00000326735.13	CDS	ENSG00000159363.19
chr1	7076	7180	-	ENST00000326735.13	intron	ENSG00000159363.19
chr1	7180	7335	-	ENST00000326735.13	CDS	ENSG00000159363.19
chr1	7335	7437	-	ENST00000326735.13	intron	ENSG00000159363.19
chr1	7437	7568	-	ENST00000326735.13	CDS	ENSG00000159363.19
chr1	7568	7671	-	ENST00000326735.13	intron	ENSG00000159363.19
chr1	7671	7737	-	ENST00000326735.13	CDS	ENSG00000159363.19
chr1	7737	7825	-	ENST00000326735.13	intron	ENSG00000159363.19
chr1	7825	7959	-	ENST00000326735.13	CDS	ENSG00000159363.19
chr1	7959	8248	-	ENST00000326735.13	intron	ENSG00000159363.19
chr1	8248	8317	-	ENST00000326735.13	CDS	ENSG00000159363.19
chr1	8317	8424	-	ENST00000326735.13	intron	ENSG00000159363.19
chr1	8424	8501	-	ENST00000326735.13	CDS	ENSG00000159363.19
chr1	8501	8605	-	ENST00000326735.13	intron	ENSG00000159363.19
chr1	8605	8684	-	ENST00000326735.13	CDS	ENSG00000159363.19
chr1	8684	8788	-	ENST00000326735.13	intron	ENSG00000159363.19
chr1	8788	8917	-	ENST00000326735.13	CDS	ENSG00000159363.19
chr1	8917	9018	-	ENST00000326735.13	intron	ENSG00000159363.19
chr1	9018	9076	-	ENST00000326735.13	CDS	ENSG00000159363.19
chr1	9076	9179	-	ENST00000326735.13	intron	ENSG00000159363.19
chr1	9179	9361	-	ENST00000326735.13	CDS	ENSG00000159363.19
chr1	9361	9462	-	ENST00000326735.13	intron	ENSG00000159363.19
chr1	9462	9556	-	ENST00000326735.13	CDS	ENSG00000159363.19
chr1	9556	9660	-	ENST00000326735.13	intron	ENSG00000159363.19
chr1	9660	9672	-	ENST00000326735.13	CDS	ENSG00000159363.19
chr1	9673	9859	-	ENST00000326735.13	UTR	NA
chr1	5	267	-	ONT1.505.12848	UTR	NA
chr1	268	402	-	ONT1.505.12848	CDS	ATP13A2
chr1	402	503	-	ONT1.505.12848	intron	ATP13A2
chr1	503	514	-	ONT1.505.12848	CDS	ATP13A2
chr1	515	672	-	ONT1.505.12848	UTR	NA
chr1	672	845	-	ONT1.505.12848	intron	NA
chr1	845	977	-	ONT1.505.12848	UTR	NA
chr1	2	267	-	ONT1.505.12849	UTR	NA
chr1	268	402	-	ONT1.505.12849	CDS	ATP13A2
chr1	402	503	-	ONT1.505.12849	intron	ATP13A2
chr1	503	514	-	ONT1.505.12849	CDS	ATP13A2
chr1	515	828	-	ONT1.505.12849	UTR	NA
chr1	4	267	-	ONT1.505.12850	UTR	NA
chr1	268	402	-	ONT1.505.12850	CDS	ATP13A2
chr1	402	503	-	ONT1.505.12850	intron	ATP13A2
chr1	503	672	-	ONT1.505.12850	CDS	ATP13A2
chr1	672	845	-	ONT1.505.12850	intron	ATP13A2
chr1	845	996	-	ONT1.505.12850	CDS	ATP13A2
chr1	996	1086	-	ONT1.505.12850	intron	ATP13A2
chr1	1086	1309	-	ONT1.505.12850	CDS	ATP13A2
chr1	1309	1411	-	ONT1.505.12850	intron	ATP13A2
chr1	1411	1507	-	ONT1.505.12850	CDS	ATP13A2
chr1	1507	1595	-	ONT1.505.12850	intron	ATP13A2
chr1	1595	1747	-	ONT1.505.12850	CDS	ATP13A2
chr1	1747	2092	-	ONT1.505.12850	intron	ATP13A2
chr1	2092	2171	-	ONT1.505.12850	CDS	ATP13A2
chr1	2171	2272	-	ONT1.505.12850	intron	ATP13A2
chr1	2272	2388	-	ONT1.505.12850	CDS	ATP13A2
chr1	2388	2491	-	ONT1.505.12850	intron	ATP13A2
chr1	2491	2651	-	ONT1.505.12850	CDS	ATP13A2
chr1	2651	2755	-	ONT1.505.12850	intron	ATP13A2
chr1	2755	2767	-	ONT1.505.12850	CDS	ATP13A2
chr1	2768	2832	-	ONT1.505.12850	UTR	NA
chr1	8	267	-	ONT1.505.12851	UTR	NA
chr1	268	402	-	ONT1.505.12851	CDS	ATP13A2
chr1	402	503	-	ONT1.505.12851	intron	ATP13A2
chr1	503	672	-	ONT1.505.12851	CDS	ATP13A2
chr1	672	845	-	ONT1.505.12851	intron	ATP13A2
chr1	845	996	-	ONT1.505.12851	CDS	ATP13A2
chr1	996	1086	-	ONT1.505.12851	intron	ATP13A2
chr1	1086	1309	-	ONT1.505.12851	CDS	ATP13A2
chr1	1309	1411	-	ONT1.505.12851	intron	ATP13A2
chr1	1411	1507	-	ONT1.505.12851	CDS	ATP13A2
chr1	1507	1595	-	ONT1.505.12851	intron	ATP13A2
chr1	1595	1747	-	ONT1.505.12851	CDS	ATP13A2
chr1	1747	2092	-	ONT1.505.12851	intron	ATP13A2
chr1	2092	2171	-	ONT1.505.12851	CDS	ATP13A2
chr1	2171	2272	-	ONT1.505.12851	intron	ATP13A2
chr1	2272	2388	-	ONT1.505.12851	CDS	ATP13A2
chr1	2388	2491	-	ONT1.505.12851	intron	ATP13A2
chr1	2491	2610	-	ONT1.505.12851	CDS	ATP13A2
chr1	2611	2654	-	ONT1.505.12851	UTR	NA
chr1	9	267	-	ONT1.505.12852	UTR	NA
chr1	268	402	-	ONT1.505.12852	CDS	ATP13A2
chr1	402	503	-	ONT1.505.12852	intron	ATP13A2
chr1	503	672	-	ONT1.505.12852	CDS	ATP13A2
chr1	672	845	-	ONT1.505.12852	intron	ATP13A2
chr1	845	996	-	ONT1.505.12852	CDS	ATP13A2
chr1	996	1086	-	ONT1.505.12852	intron	ATP13A2
chr1	1086	1309	-	ONT1.505.12852	CDS	ATP13A2
chr1	1309	1411	-	ONT1.505.12852	intron	ATP13A2
chr1	1411	1507	-	ONT1.505.12852	CDS	ATP13A2
chr1	1507	1595	-	ONT1.505.12852	intron	ATP13A2
chr1	1595	1747	-	ONT1.505.12852	CDS	ATP13A2
chr1	1747	2092	-	ONT1.505.12852	intron	ATP13A2
chr1	2092	2171	-	ONT1.505.12852	CDS	ATP13A2
chr1	2171	2491	-	ONT1.505.12852	intron	ATP13A2
chr1	2491	2651	-	ONT1.505.12852	CDS	ATP13A2
chr1	2651	2755	-	ONT1.505.12852	intron	ATP13A2
chr1	2755	2879	-	ONT1.505.12852	CDS	ATP13A2
chr1	2879	2982	-	ONT1.505.12852	intron	ATP13A2
chr1	2982	3102	-	ONT1.505.12852	CDS	ATP13A2
chr1	3102	3206	-	ONT1.505.12852	intron	ATP13A2
chr1	3206	3365	-	ONT1.505.12852	CDS	ATP13A2
chr1	3365	3449	-	ONT1.505.12852	intron	ATP13A2
chr1	3449	3544	-	ONT1.505.12852	CDS	ATP13A2
chr1	3544	4209	-	ONT1.505.12852	intron	ATP13A2
chr1	4209	4415	-	ONT1.505.12852	CDS	ATP13A2
chr1	4415	6556	-	ONT1.505.12852	intron	ATP13A2
chr1	6556	6744	-	ONT1.505.12852	CDS	ATP13A2
chr1	6744	6834	-	ONT1.505.12852	intron	ATP13A2
chr1	6834	6880	-	ONT1.505.12852	CDS	ATP13A2
chr1	6880	6966	-	ONT1.505.12852	intron	ATP13A2
chr1	6966	6999	-	ONT1.505.12852	CDS	ATP13A2
chr1	7000	7076	-	ONT1.505.12852	UTR	NA
chr1	7076	7180	-	ONT1.505.12852	intron	NA
chr1	7180	7288	-	ONT1.505.12852	UTR	NA
chr1	7	267	-	ONT1.505.12853	UTR	NA
chr1	268	402	-	ONT1.505.12853	CDS	ATP13A2
chr1	402	503	-	ONT1.505.12853	intron	ATP13A2
chr1	503	672	-	ONT1.505.12853	CDS	ATP13A2
chr1	672	845	-	ONT1.505.12853	intron	ATP13A2
chr1	845	996	-	ONT1.505.12853	CDS	ATP13A2
chr1	996	1086	-	ONT1.505.12853	intron	ATP13A2
chr1	1086	1309	-	ONT1.505.12853	CDS	ATP13A2
chr1	1309	1411	-	ONT1.505.12853	intron	ATP13A2
chr1	1411	1507	-	ONT1.505.12853	CDS	ATP13A2
chr1	1507	1595	-	ONT1.505.12853	intron	ATP13A2
chr1	1595	1747	-	ONT1.505.12853	CDS	ATP13A2
chr1	1747	2092	-	ONT1.505.12853	intron	ATP13A2
chr1	2092	2171	-	ONT1.505.12853	CDS	ATP13A2
chr1	2171	2272	-	ONT1.505.12853	intron	ATP13A2
chr1	2272	2388	-	ONT1.505.12853	CDS	ATP13A2
chr1	2388	2491	-	ONT1.505.12853	intron	ATP13A2
chr1	2491	2651	-	ONT1.505.12853	CDS	ATP13A2
chr1	2651	2755	-	ONT1.505.12853	intron	ATP13A2
chr1	2755	2879	-	ONT1.505.12853	CDS	ATP13A2
chr1	2879	2982	-	ONT1.505.12853	intron	ATP13A2
chr1	2982	3102	-	ONT1.505.12853	CDS	ATP13A2
chr1	3102	3206	-	ONT1.505.12853	intron	ATP13A2
chr1	3206	3365	-	ONT1.505.12853	CDS	ATP13A2
chr1	3365	3449	-	ONT1.505.12853	intron	ATP13A2
chr1	3449	3544	-	ONT1.505.12853	CDS	ATP13A2
chr1	3544	4209	-	ONT1.505.12853	intron	ATP13A2
chr1	4209	4415	-	ONT1.505.12853	CDS	ATP13A2
chr1	4415	6556	-	ONT1.505.12853	intron	ATP13A2
chr1	6556	6744	-	ONT1.505.12853	CDS	ATP13A2
chr1	6744	6834	-	ONT1.505.12853	intron	ATP13A2
chr1	6834	6880	-	ONT1.505.12853	CDS	ATP13A2
chr1	6880	6966	-	ONT1.505.12853	intron	ATP13A2
chr1	6966	6999	-	ONT1.505.12853	CDS	ATP13A2
chr1	7000	7076	-	ONT1.505.12853	UTR	NA
chr1	7076	7180	-	ONT1.505.12853	intron	NA
chr1	7180	7291	-	ONT1.505.12853	UTR	NA
chr1	2	267	-	ONT1.505.12856	UTR	NA
chr1	268	402	-	ONT1.505.12856	CDS	ATP13A2
chr1	402	503	-	ONT1.505.12856	intron	ATP13A2
chr1	503	672	-	ONT1.505.12856	CDS	ATP13A2
chr1	672	845	-	ONT1.505.12856	intron	ATP13A2
chr1	845	996	-	ONT1.505.12856	CDS	ATP13A2
chr1	996	1086	-	ONT1.505.12856	intron	ATP13A2
chr1	1086	1309	-	ONT1.505.12856	CDS	ATP13A2
chr1	1309	1411	-	ONT1.505.12856	intron	ATP13A2
chr1	1411	1507	-	ONT1.505.12856	CDS	ATP13A2
chr1	1507	1595	-	ONT1.505.12856	intron	ATP13A2
chr1	1595	1747	-	ONT1.505.12856	CDS	ATP13A2
chr1	1747	2092	-	ONT1.505.12856	intron	ATP13A2
chr1	2092	2171	-	ONT1.505.12856	CDS	ATP13A2
chr1	2171	2272	-	ONT1.505.12856	intron	ATP13A2
chr1	2272	2388	-	ONT1.505.12856	CDS	ATP13A2
chr1	2388	2491	-	ONT1.505.12856	intron	ATP13A2
chr1	2491	2651	-	ONT1.505.12856	CDS	ATP13A2
chr1	2651	2755	-	ONT1.505.12856	intron	ATP13A2
chr1	2755	2879	-	ONT1.505.12856	CDS	ATP13A2
chr1	2879	2982	-	ONT1.505.12856	intron	ATP13A2
chr1	2982	3102	-	ONT1.505.12856	CDS	ATP13A2
chr1	3102	3206	-	ONT1.505.12856	intron	ATP13A2
chr1	3206	3305	-	ONT1.505.12856	CDS	ATP13A2
chr1	3306	3352	-	ONT1.505.12856	UTR	NA
chr1	2	267	-	ONT1.505.12859	UTR	NA
chr1	268	402	-	ONT1.505.12859	CDS	ATP13A2
chr1	402	503	-	ONT1.505.12859	intron	ATP13A2
chr1	503	672	-	ONT1.505.12859	CDS	ATP13A2
chr1	672	845	-	ONT1.505.12859	intron	ATP13A2
chr1	845	996	-	ONT1.505.12859	CDS	ATP13A2
chr1	996	1086	-	ONT1.505.12859	intron	ATP13A2
chr1	1086	1309	-	ONT1.505.12859	CDS	ATP13A2
chr1	1309	1411	-	ONT1.505.12859	intron	ATP13A2
chr1	1411	1507	-	ONT1.505.12859	CDS	ATP13A2
chr1	1507	1595	-	ONT1.505.12859	intron	ATP13A2
chr1	1595	1747	-	ONT1.505.12859	CDS	ATP13A2
chr1	1747	2092	-	ONT1.505.12859	intron	ATP13A2
chr1	2092	2171	-	ONT1.505.12859	CDS	ATP13A2
chr1	2171	2272	-	ONT1.505.12859	intron	ATP13A2
chr1	2272	2388	-	ONT1.505.12859	CDS	ATP13A2
chr1	2388	2491	-	ONT1.505.12859	intron	ATP13A2
chr1	2491	2651	-	ONT1.505.12859	CDS	ATP13A2
chr1	2651	2755	-	ONT1.505.12859	intron	ATP13A2
chr1	2755	2879	-	ONT1.505.12859	CDS	ATP13A2
chr1	2879	2982	-	ONT1.505.12859	intron	ATP13A2
chr1	2982	3102	-	ONT1.505.12859	CDS	ATP13A2
chr1	3102	3206	-	ONT1.505.12859	intron	ATP13A2
chr1	3206	3365	-	ONT1.505.12859	CDS	ATP13A2
chr1	3365	3449	-	ONT1.505.12859	intron	ATP13A2
chr1	3449	3544	-	ONT1.505.12859	CDS	ATP13A2
chr1	3544	4209	-	ONT1.505.12859	intron	ATP13A2
chr1	4209	4415	-	ONT1.505.12859	CDS	ATP13A2
chr1	4415	6556	-	ONT1.505.12859	intron	ATP13A2
chr1	6556	6744	-	ONT1.505.12859	CDS	ATP13A2
chr1	6744	6834	-	ONT1.505.12859	intron	ATP13A2
chr1	6834	6880	-	ONT1.505.12859	CDS	ATP13A2
chr1	6880	6966	-	ONT1.505.12859	intron	ATP13A2
chr1	6966	6999	-	ONT1.505.12859	CDS	ATP13A2
chr1	7000	7051	-	ONT1.505.12859	UTR	NA
chr1	5	267	-	ONT1.505.12860	UTR	NA
chr1	268	402	-	ONT1.505.12860	CDS	ATP13A2
chr1	402	503	-	ONT1.505.12860	intron	ATP13A2
chr1	503	672	-	ONT1.505.12860	CDS	ATP13A2
chr1	672	845	-	ONT1.505.12860	intron	ATP13A2
chr1	845	996	-	ONT1.505.12860	CDS	ATP13A2
chr1	996	1086	-	ONT1.505.12860	intron	ATP13A2
chr1	1086	1309	-	ONT1.505.12860	CDS	ATP13A2
chr1	1309	1411	-	ONT1.505.12860	intron	ATP13A2
chr1	1411	1507	-	ONT1.505.12860	CDS	ATP13A2
chr1	1507	1595	-	ONT1.505.12860	intron	ATP13A2
chr1	1595	1747	-	ONT1.505.12860	CDS	ATP13A2
chr1	1747	2092	-	ONT1.505.12860	intron	ATP13A2
chr1	2092	2171	-	ONT1.505.12860	CDS	ATP13A2
chr1	2171	2272	-	ONT1.505.12860	intron	ATP13A2
chr1	2272	2388	-	ONT1.505.12860	CDS	ATP13A2
chr1	2388	2491	-	ONT1.505.12860	intron	ATP13A2
chr1	2491	2651	-	ONT1.505.12860	CDS	ATP13A2
chr1	2651	2755	-	ONT1.505.12860	intron	ATP13A2
chr1	2755	2879	-	ONT1.505.12860	CDS	ATP13A2
chr1	2879	2982	-	ONT1.505.12860	intron	ATP13A2
chr1	2982	3102	-	ONT1.505.12860	CDS	ATP13A2
chr1	3102	3206	-	ONT1.505.12860	intron	ATP13A2
chr1	3206	3365	-	ONT1.505.12860	CDS	ATP13A2
chr1	3365	3449	-	ONT1.505.12860	intron	ATP13A2
chr1	3449	3544	-	ONT1.505.12860	CDS	ATP13A2
chr1	3544	4209	-	ONT1.505.12860	intron	ATP13A2
chr1	4209	4415	-	ONT1.505.12860	CDS	ATP13A2
chr1	4415	6556	-	ONT1.505.12860	intron	ATP13A2
chr1	6556	6744	-	ONT1.505.12860	CDS	ATP13A2
chr1	6744	6834	-	ONT1.505.12860	intron	ATP13A2
chr1	6834	6880	-	ONT1.505.12860	CDS	ATP13A2
chr1	6880	6966	-	ONT1.505.12860	intron	ATP13A2
chr1	6966	7076	-	ONT1.505.12860	CDS	ATP13A2
chr1	7076	7180	-	ONT1.505.12860	intron	ATP13A2
chr1	7180	7335	-	ONT1.505.12860	CDS	ATP13A2
chr1	7335	7437	-	ONT1.505.12860	intron	ATP13A2
chr1	7437	7500	-	ONT1.505.12860	CDS	ATP13A2
chr1	7501	7570	-	ONT1.505.12860	UTR	NA
chr1	6	267	-	ONT1.505.12866	UTR	NA
chr1	268	402	-	ONT1.505.12866	CDS	ATP13A2
chr1	402	503	-	ONT1.505.12866	intron	ATP13A2
chr1	503	672	-	ONT1.505.12866	CDS	ATP13A2
chr1	672	845	-	ONT1.505.12866	intron	ATP13A2
chr1	845	996	-	ONT1.505.12866	CDS	ATP13A2
chr1	996	1086	-	ONT1.505.12866	intron	ATP13A2
chr1	1086	1309	-	ONT1.505.12866	CDS	ATP13A2
chr1	1309	1411	-	ONT1.505.12866	intron	ATP13A2
chr1	1411	1507	-	ONT1.505.12866	CDS	ATP13A2
chr1	1507	1595	-	ONT1.505.12866	intron	ATP13A2
chr1	1595	1747	-	ONT1.505.12866	CDS	ATP13A2
chr1	1747	2092	-	ONT1.505.12866	intron	ATP13A2
chr1	2092	2171	-	ONT1.505.12866	CDS	ATP13A2
chr1	2171	2491	-	ONT1.505.12866	intron	ATP13A2
chr1	2491	2610	-	ONT1.505.12866	CDS	ATP13A2
chr1	2611	2654	-	ONT1.505.12866	UTR	NA
chr1	4	267	-	ONT1.505.12867	UTR	NA
chr1	268	402	-	ONT1.505.12867	CDS	ATP13A2
chr1	402	503	-	ONT1.505.12867	intron	ATP13A2
chr1	503	672	-	ONT1.505.12867	CDS	ATP13A2
chr1	672	845	-	ONT1.505.12867	intron	ATP13A2
chr1	845	996	-	ONT1.505.12867	CDS	ATP13A2
chr1	996	1086	-	ONT1.505.12867	intron	ATP13A2
chr1	1086	1309	-	ONT1.505.12867	CDS	ATP13A2
chr1	1309	1411	-	ONT1.505.12867	intron	ATP13A2
chr1	1411	1507	-	ONT1.505.12867	CDS	ATP13A2
chr1	1507	1595	-	ONT1.505.12867	intron	ATP13A2
chr1	1595	1747	-	ONT1.505.12867	CDS	ATP13A2
chr1	1747	2092	-	ONT1.505.12867	intron	ATP13A2
chr1	2092	2171	-	ONT1.505.12867	CDS	ATP13A2
chr1	2171	2272	-	ONT1.505.12867	intron	ATP13A2
chr1	2272	2388	-	ONT1.505.12867	CDS	ATP13A2
chr1	2388	2491	-	ONT1.505.12867	intron	ATP13A2
chr1	2491	2651	-	ONT1.505.12867	CDS	ATP13A2
chr1	2651	2755	-	ONT1.505.12867	intron	ATP13A2
chr1	2755	2879	-	ONT1.505.12867	CDS	ATP13A2
chr1	2879	2982	-	ONT1.505.12867	intron	ATP13A2
chr1	2982	3102	-	ONT1.505.12867	CDS	ATP13A2
chr1	3102	3206	-	ONT1.505.12867	intron	ATP13A2
chr1	3206	3365	-	ONT1.505.12867	CDS	ATP13A2
chr1	3365	3449	-	ONT1.505.12867	intron	ATP13A2
chr1	3449	3544	-	ONT1.505.12867	CDS	ATP13A2
chr1	3544	4209	-	ONT1.505.12867	intron	ATP13A2
chr1	4209	4415	-	ONT1.505.12867	CDS	ATP13A2
chr1	4415	6556	-	ONT1.505.12867	intron	ATP13A2
chr1	6556	6744	-	ONT1.505.12867	CDS	ATP13A2
chr1	6744	6834	-	ONT1.505.12867	intron	ATP13A2
chr1	6834	6880	-	ONT1.505.12867	CDS	ATP13A2
chr1	6880	6966	-	ONT1.505.12867	intron	ATP13A2
chr1	6966	7076	-	ONT1.505.12867	CDS	ATP13A2
chr1	7076	7180	-	ONT1.505.12867	intron	ATP13A2
chr1	7180	7335	-	ONT1.505.12867	CDS	ATP13A2
chr1	7335	7437	-	ONT1.505.12867	intron	ATP13A2
chr1	7437	7568	-	ONT1.505.12867	CDS	ATP13A2
chr1	7568	7671	-	ONT1.505.12867	intron	ATP13A2
chr1	7671	7737	-	ONT1.505.12867	CDS	ATP13A2
chr1	7737	7825	-	ONT1.505.12867	intron	ATP13A2
chr1	7825	7932	-	ONT1.505.12867	CDS	ATP13A2
chr1	7932	8248	-	ONT1.505.12867	intron	ATP13A2
chr1	8248	8317	-	ONT1.505.12867	CDS	ATP13A2
chr1	8317	8424	-	ONT1.505.12867	intron	ATP13A2
chr1	8424	8501	-	ONT1.505.12867	CDS	ATP13A2
chr1	8501	8605	-	ONT1.505.12867	intron	ATP13A2
chr1	8605	8684	-	ONT1.505.12867	CDS	ATP13A2
chr1	8684	8788	-	ONT1.505.12867	intron	ATP13A2
chr1	8788	8917	-	ONT1.505.12867	CDS	ATP13A2
chr1	8917	9018	-	ONT1.505.12867	intron	ATP13A2
chr1	9018	9076	-	ONT1.505.12867	CDS	ATP13A2
chr1	9076	9179	-	ONT1.505.12867	intron	ATP13A2
chr1	9179	9361	-	ONT1.505.12867	CDS	ATP13A2
chr1	9361	9462	-	ONT1.505.12867	intron	ATP13A2
chr1	9462	9552	-	ONT1.505.12867	CDS	ATP13A2
chr1	9552	9660	-	ONT1.505.12867	intron	ATP13A2
chr1	9660	9691	-	ONT1.505.12867	CDS	ATP13A2
chr1	9692	9734	-	ONT1.505.12867	UTR	NA
chr1	2	267	-	ONT1.505.12868	UTR	NA
chr1	268	402	-	ONT1.505.12868	CDS	ATP13A2
chr1	402	503	-	ONT1.505.12868	intron	ATP13A2
chr1	503	672	-	ONT1.505.12868	CDS	ATP13A2
chr1	672	845	-	ONT1.505.12868	intron	ATP13A2
