seqnames	start	end	strand	transcript_id	type	gene_id
chr1	209	530	+	ENST00000373191.9	UTR	NA
chr1	531	549	+	ENST00000373191.9	CDS	ENSG00000126070.20
chr1	549	651	+	ENST00000373191.9	intron	ENSG00000126070.20
chr1	651	822	+	ENST00000373191.9	CDS	ENSG00000126070.20
chr1	822	923	+	ENST00000373191.9	intron	ENSG00000126070.20
chr1	923	1043	+	ENST00000373191.9	CDS	ENSG00000126070.20
chr1	1043	1602	+	ENST00000373191.9	intron	ENSG00000126070.20
chr1	1602	1810	+	ENST00000373191.9	CDS	ENSG00000126070.20
chr1	1810	1915	+	ENST00000373191.9	intron	ENSG00000126070.20
chr1	1915	2051	+	ENST00000373191.9	CDS	ENSG00000126070.20
chr1	2051	4838	+	ENST00000373191.9	intron	ENSG00000126070.20
chr1	4838	4972	+	ENST00000373191.9	CDS	ENSG00000126070.20
chr1	4972	5954	+	ENST00000373191.9	intron	ENSG00000126070.20
chr1	5954	6041	+	ENST00000373191.9	CDS	ENSG00000126070.20
chr1	6041	6142	+	ENST00000373191.9	intron	ENSG00000126070.20
chr1	6142	6289	+	ENST00000373191.9	CDS	ENSG00000126070.20
chr1	6289	6390	+	ENST00000373191.9	intron	ENSG00000126070.20
chr1	6390	6509	+	ENST00000373191.9	CDS	ENSG00000126070.20
chr1	6509	6615	+	ENST00000373191.9	intron	ENSG00000126070.20
chr1	6615	6737	+	ENST00000373191.9	CDS	ENSG00000126070.20
chr1	6737	6839	+	ENST00000373191.9	intron	ENSG00000126070.20
chr1	6839	6972	+	ENST00000373191.9	CDS	ENSG00000126070.20
chr1	6972	7073	+	ENST00000373191.9	intron	ENSG00000126070.20
chr1	7073	7257	+	ENST00000373191.9	CDS	ENSG00000126070.20
chr1	7257	7358	+	ENST00000373191.9	intron	ENSG00000126070.20
chr1	7358	7517	+	ENST00000373191.9	CDS	ENSG00000126070.20
chr1	7517	7621	+	ENST00000373191.9	intron	ENSG00000126070.20
chr1	7621	7711	+	ENST00000373191.9	CDS	ENSG00000126070.20
chr1	7711	7812	+	ENST00000373191.9	intron	ENSG00000126070.20
chr1	7812	8006	+	ENST00000373191.9	CDS	ENSG00000126070.20
chr1	8006	8111	+	ENST00000373191.9	intron	ENSG00000126070.20
chr1	8111	8245	+	ENST00000373191.9	CDS	ENSG00000126070.20
chr1	8245	8346	+	ENST00000373191.9	intron	ENSG00000126070.20
chr1	8346	8447	+	ENST00000373191.9	CDS	ENSG00000126070.20
chr1	8447	8548	+	ENST00000373191.9	intron	ENSG00000126070.20
chr1	8548	8747	+	ENST00000373191.9	CDS	ENSG00000126070.20
chr1	8747	8848	+	ENST00000373191.9	intron	ENSG00000126070.20
chr1	8848	8959	+	ENST00000373191.9	CDS	ENSG00000126070.20
chr1	8960	25711	+	ENST00000373191.9	UTR	NA
chr1	11	82	+	ONT1.1190.16698	UTR	NA
chr1	82	333	+	ONT1.1190.16698	intron	NA
chr1	333	530	+	ONT1.1190.16698	UTR	NA
chr1	531	549	+	ONT1.1190.16698	CDS	AGO3
chr1	549	651	+	ONT1.1190.16698	intron	AGO3
chr1	651	822	+	ONT1.1190.16698	CDS	AGO3
chr1	822	923	+	ONT1.1190.16698	intron	AGO3
chr1	923	1043	+	ONT1.1190.16698	CDS	AGO3
chr1	1043	1602	+	ONT1.1190.16698	intron	AGO3
chr1	1602	1810	+	ONT1.1190.16698	CDS	AGO3
chr1	1810	1915	+	ONT1.1190.16698	intron	AGO3
chr1	1915	2051	+	ONT1.1190.16698	CDS	AGO3
chr1	2051	4838	+	ONT1.1190.16698	intron	AGO3
chr1	4838	4992	+	ONT1.1190.16698	CDS	AGO3
chr1	4993	5613	+	ONT1.1190.16698	UTR	NA
chr1	2	98	+	ONT1.1190.16702	UTR	NA
chr1	98	333	+	ONT1.1190.16702	intron	NA
chr1	333	530	+	ONT1.1190.16702	UTR	NA
chr1	531	549	+	ONT1.1190.16702	CDS	AGO3
chr1	549	651	+	ONT1.1190.16702	intron	AGO3
chr1	651	822	+	ONT1.1190.16702	CDS	AGO3
chr1	822	923	+	ONT1.1190.16702	intron	AGO3
chr1	923	1043	+	ONT1.1190.16702	CDS	AGO3
chr1	1043	1602	+	ONT1.1190.16702	intron	AGO3
chr1	1602	1810	+	ONT1.1190.16702	CDS	AGO3
chr1	1810	1915	+	ONT1.1190.16702	intron	AGO3
chr1	1915	2051	+	ONT1.1190.16702	CDS	AGO3
chr1	2051	4838	+	ONT1.1190.16702	intron	AGO3
chr1	4838	4972	+	ONT1.1190.16702	CDS	AGO3
chr1	4972	5954	+	ONT1.1190.16702	intron	AGO3
chr1	5954	6041	+	ONT1.1190.16702	CDS	AGO3
chr1	6041	6142	+	ONT1.1190.16702	intron	AGO3
chr1	6142	6289	+	ONT1.1190.16702	CDS	AGO3
chr1	6289	6390	+	ONT1.1190.16702	intron	AGO3
chr1	6390	6509	+	ONT1.1190.16702	CDS	AGO3
chr1	6509	6615	+	ONT1.1190.16702	intron	AGO3
