seqnames	start	end	strand	transcript_id	type	gene_id
chr12	11	74	+	ENST00000266971.8	UTR	NA
chr12	74	175	+	ENST00000266971.8	intron	NA
chr12	175	283	+	ENST00000266971.8	UTR	NA
chr12	283	948	+	ENST00000266971.8	intron	NA
chr12	948	957	+	ENST00000266971.8	UTR	NA
chr12	958	1007	+	ENST00000266971.8	CDS	ENSG00000139531.13
chr12	1007	1129	+	ENST00000266971.8	intron	ENSG00000139531.13
chr12	1129	1306	+	ENST00000266971.8	CDS	ENSG00000139531.13
chr12	1306	1407	+	ENST00000266971.8	intron	ENSG00000139531.13
chr12	1407	2819	+	ENST00000266971.8	CDS	ENSG00000139531.13
chr12	2820	3314	+	ENST00000266971.8	UTR	NA
chr12	8	74	+	ONT12.1888.8476	UTR	NA
chr12	74	1407	+	ONT12.1888.8476	intron	NA
chr12	1407	1553	+	ONT12.1888.8476	UTR	NA
chr12	1554	2816	+	ONT12.1888.8476	CDS	SUOX
chr12	2817	3314	+	ONT12.1888.8476	UTR	NA
chr12	14	74	+	ONT12.1888.8497	UTR	NA
chr12	74	175	+	ONT12.1888.8497	intron	NA
chr12	175	283	+	ONT12.1888.8497	UTR	NA
chr12	283	785	+	ONT12.1888.8497	intron	NA
chr12	785	836	+	ONT12.1888.8497	UTR	NA
chr12	837	847	+	ONT12.1888.8497	CDS	SUOX
chr12	847	948	+	ONT12.1888.8497	intron	SUOX
chr12	948	1007	+	ONT12.1888.8497	CDS	SUOX
chr12	1007	1129	+	ONT12.1888.8497	intron	SUOX
chr12	1129	1306	+	ONT12.1888.8497	CDS	SUOX
chr12	1306	1407	+	ONT12.1888.8497	intron	SUOX
chr12	1407	2816	+	ONT12.1888.8497	CDS	SUOX
chr12	2817	3306	+	ONT12.1888.8497	UTR	NA
chr12	35	74	+	ONT12.1888.8501	UTR	NA
chr12	74	175	+	ONT12.1888.8501	intron	NA
chr12	175	283	+	ONT12.1888.8501	UTR	NA
chr12	283	948	+	ONT12.1888.8501	intron	NA
chr12	948	957	+	ONT12.1888.8501	UTR	NA
chr12	958	1007	+	ONT12.1888.8501	CDS	SUOX
chr12	1007	1108	+	ONT12.1888.8501	intron	SUOX
chr12	1108	1306	+	ONT12.1888.8501	CDS	SUOX
chr12	1306	1407	+	ONT12.1888.8501	intron	SUOX
chr12	1407	2816	+	ONT12.1888.8501	CDS	SUOX
chr12	2817	3311	+	ONT12.1888.8501	UTR	NA
chr12	2	74	+	ONT12.1888.8518	UTR	NA
chr12	74	175	+	ONT12.1888.8518	intron	NA
chr12	175	283	+	ONT12.1888.8518	UTR	NA
chr12	283	427	+	ONT12.1888.8518	intron	NA
chr12	427	552	+	ONT12.1888.8518	UTR	NA
chr12	552	785	+	ONT12.1888.8518	intron	NA
chr12	785	836	+	ONT12.1888.8518	UTR	NA
chr12	837	847	+	ONT12.1888.8518	CDS	SUOX
chr12	847	948	+	ONT12.1888.8518	intron	SUOX
chr12	948	1007	+	ONT12.1888.8518	CDS	SUOX
chr12	1007	1129	+	ONT12.1888.8518	intron	SUOX
chr12	1129	1306	+	ONT12.1888.8518	CDS	SUOX
chr12	1306	1407	+	ONT12.1888.8518	intron	SUOX
chr12	1407	2816	+	ONT12.1888.8518	CDS	SUOX
chr12	2817	3314	+	ONT12.1888.8518	UTR	NA
chr12	11	74	+	ONT12.1888.8539	UTR	NA
chr12	74	175	+	ONT12.1888.8539	intron	NA
chr12	175	283	+	ONT12.1888.8539	UTR	NA
chr12	283	427	+	ONT12.1888.8539	intron	NA
chr12	427	552	+	ONT12.1888.8539	UTR	NA
chr12	552	948	+	ONT12.1888.8539	intron	NA
chr12	948	957	+	ONT12.1888.8539	UTR	NA
chr12	958	1007	+	ONT12.1888.8539	CDS	SUOX
chr12	1007	1129	+	ONT12.1888.8539	intron	SUOX
chr12	1129	1306	+	ONT12.1888.8539	CDS	SUOX
chr12	1306	1416	+	ONT12.1888.8539	intron	SUOX
chr12	1416	2816	+	ONT12.1888.8539	CDS	SUOX
chr12	2817	3314	+	ONT12.1888.8539	UTR	NA
chr12	12	74	+	ONT12.1888.8553	UTR	NA
chr12	74	948	+	ONT12.1888.8553	intron	NA
chr12	948	957	+	ONT12.1888.8553	UTR	NA
chr12	958	1007	+	ONT12.1888.8553	CDS	SUOX
chr12	1007	1129	+	ONT12.1888.8553	intron	SUOX
chr12	1129	1306	+	ONT12.1888.8553	CDS	SUOX
chr12	1306	1416	+	ONT12.1888.8553	intron	SUOX
chr12	1416	2816	+	ONT12.1888.8553	CDS	SUOX
chr12	2817	3310	+	ONT12.1888.8553	UTR	NA
chr12	21	74	+	ONT12.1888.8603	UTR	NA
chr12	74	175	+	ONT12.1888.8603	intron	NA
chr12	175	283	+	ONT12.1888.8603	UTR	NA
chr12	283	427	+	ONT12.1888.8603	intron	NA
chr12	427	684	+	ONT12.1888.8603	UTR	NA
chr12	684	785	+	ONT12.1888.8603	intron	NA
chr12	785	836	+	ONT12.1888.8603	UTR	NA
chr12	837	847	+	ONT12.1888.8603	CDS	SUOX
chr12	847	948	+	ONT12.1888.8603	intron	SUOX
chr12	948	1007	+	ONT12.1888.8603	CDS	SUOX
chr12	1007	1129	+	ONT12.1888.8603	intron	SUOX
chr12	1129	1306	+	ONT12.1888.8603	CDS	SUOX
chr12	1306	1407	+	ONT12.1888.8603	intron	SUOX
chr12	1407	2816	+	ONT12.1888.8603	CDS	SUOX
chr12	2817	3314	+	ONT12.1888.8603	UTR	NA
chr12	203	326	+	ONT12.1888.8696	UTR	NA
chr12	326	1129	+	ONT12.1888.8696	intron	NA
chr12	1129	1249	+	ONT12.1888.8696	UTR	NA
chr12	1250	1306	+	ONT12.1888.8696	CDS	SUOX
chr12	1306	1407	+	ONT12.1888.8696	intron	SUOX
chr12	1407	2816	+	ONT12.1888.8696	CDS	SUOX
chr12	2817	3314	+	ONT12.1888.8696	UTR	NA
chr12	1156	1249	+	ONT12.1888.8789	UTR	NA
chr12	1250	1306	+	ONT12.1888.8789	CDS	SUOX
chr12	1306	1407	+	ONT12.1888.8789	intron	SUOX
chr12	1407	2816	+	ONT12.1888.8789	CDS	SUOX
chr12	2817	3314	+	ONT12.1888.8789	UTR	NA
chr12	1180	1249	+	ONT12.1888.8792	UTR	NA
chr12	1250	1306	+	ONT12.1888.8792	CDS	SUOX
chr12	1306	1407	+	ONT12.1888.8792	intron	SUOX
chr12	1407	2816	+	ONT12.1888.8792	CDS	SUOX
chr12	2817	3308	+	ONT12.1888.8792	UTR	NA
chr12	1288	1306	+	ONT12.1888.8795	UTR	NA
chr12	1306	1407	+	ONT12.1888.8795	intron	NA
chr12	1407	1553	+	ONT12.1888.8795	UTR	NA
chr12	1554	2816	+	ONT12.1888.8795	CDS	SUOX
chr12	2817	3314	+	ONT12.1888.8795	UTR	NA
chr12	76	139	+	ENST00000266971.8	exon	ENSG00000139531.13
chr12	139	415	+	ENST00000266971.8	intron	NA
chr12	415	523	+	ENST00000266971.8	exon	ENSG00000139531.13
chr12	523	1995	+	ENST00000266971.8	intron	NA
chr12	1995	2054	+	ENST00000266971.8	exon	ENSG00000139531.13
chr12	2054	2326	+	ENST00000266971.8	intron	ENSG00000139531.13
chr12	2326	2503	+	ENST00000266971.8	exon	ENSG00000139531.13
chr12	2503	3103	+	ENST00000266971.8	intron	ENSG00000139531.13
chr12	3103	5010	+	ENST00000266971.8	exon	ENSG00000139531.13
chr12	2	139	+	ONT12.1888.8459	exon	SUOX
chr12	140	199	+	ONT12.1888.8459	exon	SUOX
chr12	200	377	+	ONT12.1888.8459	exon	SUOX
chr12	378	2285	+	ONT12.1888.8459	exon	SUOX
chr12	76	139	+	ONT12.1888.8461	exon	SUOX
chr12	140	248	+	ONT12.1888.8461	exon	SUOX
chr12	249	308	+	ONT12.1888.8461	exon	SUOX
chr12	309	486	+	ONT12.1888.8461	exon	SUOX
chr12	487	2394	+	ONT12.1888.8461	exon	SUOX
chr12	70	139	+	ONT12.1888.8462	exon	SUOX
chr12	140	265	+	ONT12.1888.8462	exon	SUOX
chr12	266	325	+	ONT12.1888.8462	exon	SUOX
chr12	326	503	+	ONT12.1888.8462	exon	SUOX
chr12	504	2408	+	ONT12.1888.8462	exon	SUOX
chr12	73	139	+	ONT12.1888.8463	exon	SUOX
chr12	140	199	+	ONT12.1888.8463	exon	SUOX
chr12	200	2107	+	ONT12.1888.8463	exon	SUOX
chr12	15	139	+	ONT12.1888.8466	exon	SUOX
chr12	140	248	+	ONT12.1888.8466	exon	SUOX
chr12	249	360	+	ONT12.1888.8466	exon	SUOX
chr12	361	420	+	ONT12.1888.8466	exon	SUOX
chr12	421	598	+	ONT12.1888.8466	exon	SUOX
chr12	599	2503	+	ONT12.1888.8466	exon	SUOX
chr12	16	139	+	ONT12.1888.8468	exon	SUOX
chr12	140	199	+	ONT12.1888.8468	exon	SUOX
chr12	200	377	+	ONT12.1888.8468	exon	SUOX
chr12	378	2049	+	ONT12.1888.8468	exon	SUOX
chr12	78	139	+	ONT12.1888.8469	exon	SUOX
chr12	140	248	+	ONT12.1888.8469	exon	SUOX
chr12	249	374	+	ONT12.1888.8469	exon	SUOX
chr12	375	434	+	ONT12.1888.8469	exon	SUOX
chr12	435	612	+	ONT12.1888.8469	exon	SUOX
chr12	613	2520	+	ONT12.1888.8469	exon	SUOX
chr12	17	139	+	ONT12.1888.8470	exon	SUOX
chr12	140	248	+	ONT12.1888.8470	exon	SUOX
chr12	249	308	+	ONT12.1888.8470	exon	SUOX
chr12	309	2216	+	ONT12.1888.8470	exon	SUOX
chr12	73	139	+	ONT12.1888.8476	exon	SUOX
chr12	139	3103	+	ONT12.1888.8476	intron	NA
chr12	3103	5010	+	ONT12.1888.8476	exon	SUOX
chr12	80	139	+	ONT12.1888.8481	exon	SUOX
chr12	140	248	+	ONT12.1888.8481	exon	SUOX
chr12	249	506	+	ONT12.1888.8481	exon	SUOX
chr12	507	566	+	ONT12.1888.8481	exon	SUOX
chr12	567	744	+	ONT12.1888.8481	exon	SUOX
chr12	745	2652	+	ONT12.1888.8481	exon	SUOX
chr12	34	139	+	ONT12.1888.8486	exon	SUOX
chr12	140	199	+	ONT12.1888.8486	exon	SUOX
chr12	200	377	+	ONT12.1888.8486	exon	SUOX
chr12	378	2428	+	ONT12.1888.8486	exon	SUOX
chr12	2429	2808	+	ONT12.1888.8486	exon	SUOX
chr12	67	139	+	ONT12.1888.8490	exon	SUOX
chr12	140	248	+	ONT12.1888.8490	exon	SUOX
chr12	249	308	+	ONT12.1888.8490	exon	SUOX
chr12	309	479	+	ONT12.1888.8490	exon	SUOX
chr12	480	2376	+	ONT12.1888.8490	exon	SUOX
chr12	86	139	+	ONT12.1888.8492	exon	SUOX
chr12	140	199	+	ONT12.1888.8492	exon	SUOX
chr12	200	377	+	ONT12.1888.8492	exon	SUOX
chr12	378	1746	+	ONT12.1888.8492	exon	SUOX
chr12	77	139	+	ONT12.1888.8494	exon	SUOX
chr12	140	248	+	ONT12.1888.8494	exon	SUOX
chr12	249	308	+	ONT12.1888.8494	exon	SUOX
chr12	309	486	+	ONT12.1888.8494	exon	SUOX
chr12	487	2535	+	ONT12.1888.8494	exon	SUOX
chr12	2536	2926	+	ONT12.1888.8494	exon	SUOX
chr12	59	139	+	ONT12.1888.8496	exon	SUOX
chr12	140	248	+	ONT12.1888.8496	exon	SUOX
chr12	249	308	+	ONT12.1888.8496	exon	SUOX
chr12	309	486	+	ONT12.1888.8496	exon	SUOX
chr12	487	2158	+	ONT12.1888.8496	exon	SUOX
chr12	79	139	+	ONT12.1888.8497	exon	SUOX
chr12	139	415	+	ONT12.1888.8497	intron	NA
chr12	415	523	+	ONT12.1888.8497	exon	SUOX
chr12	523	1669	+	ONT12.1888.8497	intron	NA
chr12	1669	1731	+	ONT12.1888.8497	exon	SUOX
chr12	1731	1995	+	ONT12.1888.8497	intron	SUOX
chr12	1995	2054	+	ONT12.1888.8497	exon	SUOX
chr12	2054	2326	+	ONT12.1888.8497	intron	SUOX
chr12	2326	2503	+	ONT12.1888.8497	exon	SUOX
chr12	2503	3103	+	ONT12.1888.8497	intron	SUOX
chr12	3103	5002	+	ONT12.1888.8497	exon	SUOX
chr12	96	139	+	ONT12.1888.8500	exon	SUOX
chr12	140	242	+	ONT12.1888.8500	exon	SUOX
chr12	243	302	+	ONT12.1888.8500	exon	SUOX
chr12	303	480	+	ONT12.1888.8500	exon	SUOX
chr12	481	2385	+	ONT12.1888.8500	exon	SUOX
chr12	100	139	+	ONT12.1888.8501	exon	SUOX
chr12	139	415	+	ONT12.1888.8501	intron	NA
chr12	415	523	+	ONT12.1888.8501	exon	SUOX
chr12	523	1995	+	ONT12.1888.8501	intron	NA
chr12	1995	2054	+	ONT12.1888.8501	exon	SUOX
chr12	2054	2305	+	ONT12.1888.8501	intron	SUOX
chr12	2305	2503	+	ONT12.1888.8501	exon	SUOX
chr12	2503	3103	+	ONT12.1888.8501	intron	SUOX
chr12	3103	5007	+	ONT12.1888.8501	exon	SUOX
chr12	59	139	+	ONT12.1888.8502	exon	SUOX
chr12	140	246	+	ONT12.1888.8502	exon	SUOX
chr12	247	372	+	ONT12.1888.8502	exon	SUOX
chr12	373	432	+	ONT12.1888.8502	exon	SUOX
chr12	433	610	+	ONT12.1888.8502	exon	SUOX
chr12	611	2518	+	ONT12.1888.8502	exon	SUOX
chr12	80	139	+	ONT12.1888.8503	exon	SUOX
chr12	140	199	+	ONT12.1888.8503	exon	SUOX
chr12	200	377	+	ONT12.1888.8503	exon	SUOX
chr12	378	2164	+	ONT12.1888.8503	exon	SUOX
chr12	70	139	+	ONT12.1888.8512	exon	SUOX
chr12	140	251	+	ONT12.1888.8512	exon	SUOX
chr12	252	311	+	ONT12.1888.8512	exon	SUOX
chr12	312	489	+	ONT12.1888.8512	exon	SUOX
chr12	490	2394	+	ONT12.1888.8512	exon	SUOX
chr12	86	139	+	ONT12.1888.8513	exon	SUOX
chr12	140	199	+	ONT12.1888.8513	exon	SUOX
chr12	200	394	+	ONT12.1888.8513	exon	SUOX
chr12	395	2302	+	ONT12.1888.8513	exon	SUOX
chr12	78	139	+	ONT12.1888.8517	exon	SUOX
chr12	140	248	+	ONT12.1888.8517	exon	SUOX
chr12	249	308	+	ONT12.1888.8517	exon	SUOX
chr12	309	486	+	ONT12.1888.8517	exon	SUOX
chr12	487	2428	+	ONT12.1888.8517	exon	SUOX
chr12	67	139	+	ONT12.1888.8518	exon	SUOX
chr12	139	415	+	ONT12.1888.8518	intron	NA
chr12	415	523	+	ONT12.1888.8518	exon	SUOX
chr12	523	818	+	ONT12.1888.8518	intron	NA
chr12	818	943	+	ONT12.1888.8518	exon	SUOX
chr12	943	1669	+	ONT12.1888.8518	intron	NA
chr12	1669	1731	+	ONT12.1888.8518	exon	SUOX
chr12	1731	1995	+	ONT12.1888.8518	intron	SUOX
chr12	1995	2054	+	ONT12.1888.8518	exon	SUOX
chr12	2054	2326	+	ONT12.1888.8518	intron	SUOX
chr12	2326	2503	+	ONT12.1888.8518	exon	SUOX
chr12	2503	3103	+	ONT12.1888.8518	intron	SUOX
chr12	3103	5010	+	ONT12.1888.8518	exon	SUOX
chr12	118	139	+	ONT12.1888.8519	exon	SUOX
chr12	140	199	+	ONT12.1888.8519	exon	SUOX
chr12	200	377	+	ONT12.1888.8519	exon	SUOX
chr12	378	2322	+	ONT12.1888.8519	exon	SUOX
chr12	70	139	+	ONT12.1888.8528	exon	SUOX
chr12	140	248	+	ONT12.1888.8528	exon	SUOX
chr12	249	374	+	ONT12.1888.8528	exon	SUOX
chr12	375	434	+	ONT12.1888.8528	exon	SUOX
chr12	435	612	+	ONT12.1888.8528	exon	SUOX
chr12	613	717	+	ONT12.1888.8528	exon	SUOX
chr12	718	2625	+	ONT12.1888.8528	exon	SUOX
chr12	76	139	+	ONT12.1888.8539	exon	SUOX
chr12	139	415	+	ONT12.1888.8539	intron	NA
chr12	415	523	+	ONT12.1888.8539	exon	SUOX
chr12	523	818	+	ONT12.1888.8539	intron	NA
chr12	818	943	+	ONT12.1888.8539	exon	SUOX
chr12	943	1995	+	ONT12.1888.8539	intron	NA
chr12	1995	2054	+	ONT12.1888.8539	exon	SUOX
chr12	2054	2326	+	ONT12.1888.8539	intron	SUOX
chr12	2326	2503	+	ONT12.1888.8539	exon	SUOX
chr12	2503	3112	+	ONT12.1888.8539	intron	SUOX
chr12	3112	5010	+	ONT12.1888.8539	exon	SUOX
chr12	76	139	+	ONT12.1888.8541	exon	SUOX
chr12	140	248	+	ONT12.1888.8541	exon	SUOX
chr12	249	308	+	ONT12.1888.8541	exon	SUOX
chr12	309	486	+	ONT12.1888.8541	exon	SUOX
chr12	487	591	+	ONT12.1888.8541	exon	SUOX
chr12	592	2499	+	ONT12.1888.8541	exon	SUOX
chr12	76	139	+	ONT12.1888.8544	exon	SUOX
chr12	140	248	+	ONT12.1888.8544	exon	SUOX
chr12	249	374	+	ONT12.1888.8544	exon	SUOX
chr12	375	434	+	ONT12.1888.8544	exon	SUOX
chr12	435	2342	+	ONT12.1888.8544	exon	SUOX
chr12	110	139	+	ONT12.1888.8547	exon	SUOX
chr12	140	397	+	ONT12.1888.8547	exon	SUOX
chr12	398	457	+	ONT12.1888.8547	exon	SUOX
chr12	458	635	+	ONT12.1888.8547	exon	SUOX
chr12	636	2543	+	ONT12.1888.8547	exon	SUOX
chr12	77	139	+	ONT12.1888.8553	exon	SUOX
chr12	139	1995	+	ONT12.1888.8553	intron	NA
chr12	1995	2054	+	ONT12.1888.8553	exon	SUOX
chr12	2054	2326	+	ONT12.1888.8553	intron	SUOX
chr12	2326	2503	+	ONT12.1888.8553	exon	SUOX
chr12	2503	3112	+	ONT12.1888.8553	intron	SUOX
chr12	3112	5006	+	ONT12.1888.8553	exon	SUOX
chr12	76	139	+	ONT12.1888.8555	exon	SUOX
chr12	140	248	+	ONT12.1888.8555	exon	SUOX
chr12	249	374	+	ONT12.1888.8555	exon	SUOX
chr12	375	434	+	ONT12.1888.8555	exon	SUOX
chr12	435	612	+	ONT12.1888.8555	exon	SUOX
chr12	613	1982	+	ONT12.1888.8555	exon	SUOX
chr12	76	139	+	ONT12.1888.8556	exon	SUOX
chr12	140	199	+	ONT12.1888.8556	exon	SUOX
chr12	200	1874	+	ONT12.1888.8556	exon	SUOX
chr12	121	139	+	ONT12.1888.8571	exon	SUOX
chr12	140	265	+	ONT12.1888.8571	exon	SUOX
chr12	266	325	+	ONT12.1888.8571	exon	SUOX
chr12	326	503	+	ONT12.1888.8571	exon	SUOX
chr12	504	2175	+	ONT12.1888.8571	exon	SUOX
chr12	86	139	+	ONT12.1888.8586	exon	SUOX
chr12	140	248	+	ONT12.1888.8586	exon	SUOX
chr12	249	374	+	ONT12.1888.8586	exon	SUOX
chr12	375	434	+	ONT12.1888.8586	exon	SUOX
chr12	435	612	+	ONT12.1888.8586	exon	SUOX
chr12	613	2557	+	ONT12.1888.8586	exon	SUOX
