seqnames	start	end	strand	transcript_id	type	gene_id
chr7	1615	4842	-	ENST00000292478.9	UTR	NA
chr7	4843	5025	-	ENST00000292478.9	CDS	ENSG00000106246.18
chr7	5025	6555	-	ENST00000292478.9	intron	ENSG00000106246.18
chr7	6555	6737	-	ENST00000292478.9	CDS	ENSG00000106246.18
chr7	6737	6842	-	ENST00000292478.9	intron	ENSG00000106246.18
chr7	6842	7663	-	ENST00000292478.9	CDS	ENSG00000106246.18
chr7	7663	7766	-	ENST00000292478.9	intron	ENSG00000106246.18
chr7	7766	7867	-	ENST00000292478.9	CDS	ENSG00000106246.18
chr7	7867	7968	-	ENST00000292478.9	intron	ENSG00000106246.18
chr7	7968	8186	-	ENST00000292478.9	CDS	ENSG00000106246.18
chr7	8186	8644	-	ENST00000292478.9	intron	ENSG00000106246.18
chr7	8644	8784	-	ENST00000292478.9	CDS	ENSG00000106246.18
chr7	8784	9179	-	ENST00000292478.9	intron	ENSG00000106246.18
chr7	9179	9634	-	ENST00000292478.9	CDS	ENSG00000106246.18
chr7	9635	9657	-	ENST00000292478.9	UTR	NA
chr7	9657	10446	-	ENST00000292478.9	intron	NA
chr7	10446	10552	-	ENST00000292478.9	UTR	NA
chr7	2	4845	-	ONT7.4318.18723	UTR	NA
chr7	4846	5025	-	ONT7.4318.18723	CDS	PTCD1
chr7	5025	6555	-	ONT7.4318.18723	intron	PTCD1
chr7	6555	6737	-	ONT7.4318.18723	CDS	PTCD1
chr7	6737	6842	-	ONT7.4318.18723	intron	PTCD1
chr7	6842	7663	-	ONT7.4318.18723	CDS	PTCD1
chr7	7663	7766	-	ONT7.4318.18723	intron	PTCD1
chr7	7766	7867	-	ONT7.4318.18723	CDS	PTCD1
chr7	7867	7968	-	ONT7.4318.18723	intron	PTCD1
chr7	7968	8186	-	ONT7.4318.18723	CDS	PTCD1
chr7	8186	8644	-	ONT7.4318.18723	intron	PTCD1
chr7	8644	8784	-	ONT7.4318.18723	CDS	PTCD1
chr7	8784	9179	-	ONT7.4318.18723	intron	PTCD1
chr7	9179	9634	-	ONT7.4318.18723	CDS	PTCD1
