seqnames	start	end	strand	transcript_id	type	gene_id
chr1	2	5059	-	ENST00000646001.2	UTR	NA
chr1	5060	5152	-	ENST00000646001.2	CDS	ENSG00000156869.14
chr1	5152	5230	-	ENST00000646001.2	intron	ENSG00000156869.14
chr1	5230	5291	-	ENST00000646001.2	CDS	ENSG00000156869.14
chr1	5291	5392	-	ENST00000646001.2	intron	ENSG00000156869.14
chr1	5392	5535	-	ENST00000646001.2	CDS	ENSG00000156869.14
chr1	5535	5636	-	ENST00000646001.2	intron	ENSG00000156869.14
chr1	5636	5694	-	ENST00000646001.2	CDS	ENSG00000156869.14
chr1	5694	5795	-	ENST00000646001.2	intron	ENSG00000156869.14
chr1	5795	5892	-	ENST00000646001.2	CDS	ENSG00000156869.14
chr1	5892	5993	-	ENST00000646001.2	intron	ENSG00000156869.14
chr1	5993	6079	-	ENST00000646001.2	CDS	ENSG00000156869.14
chr1	6079	6180	-	ENST00000646001.2	intron	ENSG00000156869.14
chr1	6180	6295	-	ENST00000646001.2	CDS	ENSG00000156869.14
chr1	6295	6396	-	ENST00000646001.2	intron	ENSG00000156869.14
chr1	6396	6509	-	ENST00000646001.2	CDS	ENSG00000156869.14
chr1	6509	6610	-	ENST00000646001.2	intron	ENSG00000156869.14
chr1	6610	6757	-	ENST00000646001.2	CDS	ENSG00000156869.14
chr1	6757	6858	-	ENST00000646001.2	intron	ENSG00000156869.14
chr1	6858	6956	-	ENST00000646001.2	CDS	ENSG00000156869.14
chr1	6956	7057	-	ENST00000646001.2	intron	ENSG00000156869.14
chr1	7057	7239	-	ENST00000646001.2	CDS	ENSG00000156869.14
chr1	7239	7340	-	ENST00000646001.2	intron	ENSG00000156869.14
chr1	7340	7487	-	ENST00000646001.2	CDS	ENSG00000156869.14
chr1	7487	7588	-	ENST00000646001.2	intron	ENSG00000156869.14
chr1	7588	7682	-	ENST00000646001.2	CDS	ENSG00000156869.14
chr1	7682	7783	-	ENST00000646001.2	intron	ENSG00000156869.14
chr1	7783	7919	-	ENST00000646001.2	CDS	ENSG00000156869.14
chr1	7919	8020	-	ENST00000646001.2	intron	ENSG00000156869.14
chr1	8020	8218	-	ENST00000646001.2	CDS	ENSG00000156869.14
chr1	8218	8319	-	ENST00000646001.2	intron	NA
chr1	8319	8423	-	ENST00000646001.2	UTR	NA
chr1	8423	8524	-	ENST00000646001.2	intron	NA
chr1	8524	8552	-	ENST00000646001.2	UTR	NA
chr1	953	6103	-	ENST00000646001.2	exon	ENSG00000156869.14
chr1	6103	6181	-	ENST00000646001.2	intron	ENSG00000156869.14
chr1	6181	6242	-	ENST00000646001.2	exon	ENSG00000156869.14
chr1	6242	6343	-	ENST00000646001.2	intron	ENSG00000156869.14
chr1	6343	6486	-	ENST00000646001.2	exon	ENSG00000156869.14
chr1	6486	6587	-	ENST00000646001.2	intron	ENSG00000156869.14
chr1	6587	6645	-	ENST00000646001.2	exon	ENSG00000156869.14
chr1	6645	6746	-	ENST00000646001.2	intron	ENSG00000156869.14
chr1	6746	6843	-	ENST00000646001.2	exon	ENSG00000156869.14
chr1	6843	6944	-	ENST00000646001.2	intron	ENSG00000156869.14
chr1	6944	7030	-	ENST00000646001.2	exon	ENSG00000156869.14
chr1	7030	7131	-	ENST00000646001.2	intron	ENSG00000156869.14
chr1	7131	7246	-	ENST00000646001.2	exon	ENSG00000156869.14
chr1	7246	7347	-	ENST00000646001.2	intron	ENSG00000156869.14
chr1	7347	7460	-	ENST00000646001.2	exon	ENSG00000156869.14
chr1	7460	7561	-	ENST00000646001.2	intron	ENSG00000156869.14
chr1	7561	7708	-	ENST00000646001.2	exon	ENSG00000156869.14
chr1	7708	7809	-	ENST00000646001.2	intron	ENSG00000156869.14
chr1	7809	7907	-	ENST00000646001.2	exon	ENSG00000156869.14
chr1	7907	8008	-	ENST00000646001.2	intron	ENSG00000156869.14
chr1	8008	8190	-	ENST00000646001.2	exon	ENSG00000156869.14
chr1	8190	8291	-	ENST00000646001.2	intron	ENSG00000156869.14
chr1	8291	8438	-	ENST00000646001.2	exon	ENSG00000156869.14
chr1	8438	8539	-	ENST00000646001.2	intron	ENSG00000156869.14
chr1	8539	8633	-	ENST00000646001.2	exon	ENSG00000156869.14
chr1	8633	8734	-	ENST00000646001.2	intron	ENSG00000156869.14
chr1	8734	8870	-	ENST00000646001.2	exon	ENSG00000156869.14
chr1	8870	8971	-	ENST00000646001.2	intron	ENSG00000156869.14
chr1	8971	9166	-	ENST00000646001.2	exon	ENSG00000156869.14
chr1	9166	9292	-	ENST00000646001.2	intron	NA
chr1	9292	9396	-	ENST00000646001.2	exon	ENSG00000156869.14
chr1	9396	9497	-	ENST00000646001.2	intron	NA
chr1	9497	9525	-	ENST00000646001.2	exon	ENSG00000156869.14
chr1	2	852	-	ONT1.3435.68	exon	FRRS1
chr1	853	875	-	ONT1.3435.68	exon	FRRS1
