seqnames	start	end	strand	transcript_id	type	gene_id
chr11	2	189	+	ENST00000281437.6	UTR	NA
chr11	190	376	+	ENST00000281437.6	CDS	ENSG00000043039.7
chr11	376	477	+	ENST00000281437.6	intron	ENSG00000043039.7
chr11	477	777	+	ENST00000281437.6	CDS	ENSG00000043039.7
chr11	777	878	+	ENST00000281437.6	intron	ENSG00000043039.7
chr11	878	962	+	ENST00000281437.6	CDS	ENSG00000043039.7
chr11	962	1063	+	ENST00000281437.6	intron	ENSG00000043039.7
chr11	1063	1332	+	ENST00000281437.6	CDS	ENSG00000043039.7
chr11	1333	2206	+	ENST00000281437.6	UTR	NA
chr11	2	376	+	ENST00000281437.6	exon	ENSG00000043039.7
chr11	376	477	+	ENST00000281437.6	intron	ENSG00000043039.7
chr11	477	777	+	ENST00000281437.6	exon	ENSG00000043039.7
chr11	777	878	+	ENST00000281437.6	intron	ENSG00000043039.7
chr11	878	962	+	ENST00000281437.6	exon	ENSG00000043039.7
chr11	962	1063	+	ENST00000281437.6	intron	ENSG00000043039.7
chr11	1063	2206	+	ENST00000281437.6	exon	ENSG00000043039.7
chr11	591	777	+	ONT11.5947.3373	exon	BARX2
chr11	778	847	+	ONT11.5947.3373	exon	BARX2
