seqnames	start	end	strand	transcript_id	type	gene_id
chr3	2	2692	-	ENST00000674063.1	UTR	NA
chr3	2693	2830	-	ENST00000674063.1	CDS	ENSG00000051382.9
chr3	2830	2931	-	ENST00000674063.1	intron	ENSG00000051382.9
chr3	2931	3063	-	ENST00000674063.1	CDS	ENSG00000051382.9
chr3	3063	3168	-	ENST00000674063.1	intron	ENSG00000051382.9
chr3	3168	3313	-	ENST00000674063.1	CDS	ENSG00000051382.9
chr3	3313	3414	-	ENST00000674063.1	intron	ENSG00000051382.9
chr3	3414	3537	-	ENST00000674063.1	CDS	ENSG00000051382.9
chr3	3537	3643	-	ENST00000674063.1	intron	ENSG00000051382.9
chr3	3643	3810	-	ENST00000674063.1	CDS	ENSG00000051382.9
chr3	3810	4496	-	ENST00000674063.1	intron	ENSG00000051382.9
chr3	4496	4574	-	ENST00000674063.1	CDS	ENSG00000051382.9
chr3	4574	4676	-	ENST00000674063.1	intron	ENSG00000051382.9
chr3	4676	4785	-	ENST00000674063.1	CDS	ENSG00000051382.9
chr3	4785	4890	-	ENST00000674063.1	intron	ENSG00000051382.9
chr3	4890	5068	-	ENST00000674063.1	CDS	ENSG00000051382.9
chr3	5068	5172	-	ENST00000674063.1	intron	ENSG00000051382.9
chr3	5172	5271	-	ENST00000674063.1	CDS	ENSG00000051382.9
chr3	5271	5372	-	ENST00000674063.1	intron	ENSG00000051382.9
chr3	5372	5515	-	ENST00000674063.1	CDS	ENSG00000051382.9
chr3	5515	5618	-	ENST00000674063.1	intron	ENSG00000051382.9
chr3	5618	5739	-	ENST00000674063.1	CDS	ENSG00000051382.9
chr3	5739	5840	-	ENST00000674063.1	intron	ENSG00000051382.9
chr3	5840	6028	-	ENST00000674063.1	CDS	ENSG00000051382.9
chr3	6028	6131	-	ENST00000674063.1	intron	ENSG00000051382.9
chr3	6131	6181	-	ENST00000674063.1	CDS	ENSG00000051382.9
chr3	6181	6284	-	ENST00000674063.1	intron	ENSG00000051382.9
chr3	6284	6414	-	ENST00000674063.1	CDS	ENSG00000051382.9
chr3	6414	6516	-	ENST00000674063.1	intron	ENSG00000051382.9
chr3	6516	6612	-	ENST00000674063.1	CDS	ENSG00000051382.9
chr3	6612	6713	-	ENST00000674063.1	intron	ENSG00000051382.9
chr3	6713	6964	-	ENST00000674063.1	CDS	ENSG00000051382.9
chr3	6964	7852	-	ENST00000674063.1	intron	ENSG00000051382.9
chr3	7852	7929	-	ENST00000674063.1	CDS	ENSG00000051382.9
chr3	7929	8030	-	ENST00000674063.1	intron	ENSG00000051382.9
chr3	8030	8200	-	ENST00000674063.1	CDS	ENSG00000051382.9
chr3	8200	8303	-	ENST00000674063.1	intron	ENSG00000051382.9
chr3	8303	8482	-	ENST00000674063.1	CDS	ENSG00000051382.9
chr3	8482	8586	-	ENST00000674063.1	intron	ENSG00000051382.9
chr3	8586	8809	-	ENST00000674063.1	CDS	ENSG00000051382.9
chr3	8809	10571	-	ENST00000674063.1	intron	ENSG00000051382.9
chr3	10571	10796	-	ENST00000674063.1	CDS	ENSG00000051382.9
chr3	10796	10900	-	ENST00000674063.1	intron	ENSG00000051382.9
chr3	10900	11073	-	ENST00000674063.1	CDS	ENSG00000051382.9
chr3	11074	11086	-	ENST00000674063.1	UTR	NA
chr3	11086	11781	-	ENST00000674063.1	intron	NA
chr3	11781	11885	-	ENST00000674063.1	UTR	NA
chr3	11885	12213	-	ENST00000674063.1	intron	NA
chr3	12213	12446	-	ENST00000674063.1	UTR	NA
chr3	1324	2695	-	ONT3.6212.7165	UTR	NA
chr3	2696	2830	-	ONT3.6212.7165	CDS	PIK3CB
chr3	2830	2931	-	ONT3.6212.7165	intron	PIK3CB
chr3	2931	3063	-	ONT3.6212.7165	CDS	PIK3CB
chr3	3063	3168	-	ONT3.6212.7165	intron	PIK3CB
chr3	3168	3313	-	ONT3.6212.7165	CDS	PIK3CB
chr3	3313	3414	-	ONT3.6212.7165	intron	PIK3CB
chr3	3414	3537	-	ONT3.6212.7165	CDS	PIK3CB
chr3	3537	3643	-	ONT3.6212.7165	intron	PIK3CB
chr3	3643	3810	-	ONT3.6212.7165	CDS	PIK3CB
chr3	3810	4496	-	ONT3.6212.7165	intron	PIK3CB
chr3	4496	4563	-	ONT3.6212.7165	CDS	PIK3CB
chr3	4564	4574	-	ONT3.6212.7165	UTR	NA
chr3	4574	4676	-	ONT3.6212.7165	intron	NA
chr3	4676	4728	-	ONT3.6212.7165	UTR	NA
chr3	1318	2695	-	ONT3.6212.7166	UTR	NA
chr3	2696	2830	-	ONT3.6212.7166	CDS	PIK3CB
chr3	2830	2931	-	ONT3.6212.7166	intron	PIK3CB
chr3	2931	3063	-	ONT3.6212.7166	CDS	PIK3CB
chr3	3063	3168	-	ONT3.6212.7166	intron	PIK3CB
chr3	3168	3313	-	ONT3.6212.7166	CDS	PIK3CB
chr3	3313	3414	-	ONT3.6212.7166	intron	PIK3CB
chr3	3414	3537	-	ONT3.6212.7166	CDS	PIK3CB
chr3	3537	3643	-	ONT3.6212.7166	intron	PIK3CB
chr3	3643	3810	-	ONT3.6212.7166	CDS	PIK3CB
chr3	3810	4496	-	ONT3.6212.7166	intron	PIK3CB
chr3	4496	4574	-	ONT3.6212.7166	CDS	PIK3CB
chr3	4574	4676	-	ONT3.6212.7166	intron	PIK3CB
chr3	4676	4785	-	ONT3.6212.7166	CDS	PIK3CB
chr3	4785	4890	-	ONT3.6212.7166	intron	PIK3CB
chr3	4890	5068	-	ONT3.6212.7166	CDS	PIK3CB
chr3	5068	5172	-	ONT3.6212.7166	intron	PIK3CB
chr3	5172	5271	-	ONT3.6212.7166	CDS	PIK3CB
chr3	5271	5372	-	ONT3.6212.7166	intron	PIK3CB
chr3	5372	5515	-	ONT3.6212.7166	CDS	PIK3CB
chr3	5515	5618	-	ONT3.6212.7166	intron	PIK3CB
chr3	5618	5739	-	ONT3.6212.7166	CDS	PIK3CB
chr3	5739	5840	-	ONT3.6212.7166	intron	PIK3CB
chr3	5840	6028	-	ONT3.6212.7166	CDS	PIK3CB
chr3	6028	6131	-	ONT3.6212.7166	intron	PIK3CB
chr3	6131	6181	-	ONT3.6212.7166	CDS	PIK3CB
chr3	6181	6284	-	ONT3.6212.7166	intron	PIK3CB
chr3	6284	6414	-	ONT3.6212.7166	CDS	PIK3CB
chr3	6414	6516	-	ONT3.6212.7166	intron	PIK3CB
chr3	6516	6612	-	ONT3.6212.7166	CDS	PIK3CB
chr3	6612	6713	-	ONT3.6212.7166	intron	PIK3CB
chr3	6713	6829	-	ONT3.6212.7166	CDS	PIK3CB
chr3	6830	6946	-	ONT3.6212.7166	UTR	NA
chr3	1327	2695	-	ONT3.6212.7167	UTR	NA
chr3	2696	2830	-	ONT3.6212.7167	CDS	PIK3CB
chr3	2830	2931	-	ONT3.6212.7167	intron	PIK3CB
chr3	2931	3063	-	ONT3.6212.7167	CDS	PIK3CB
chr3	3063	3168	-	ONT3.6212.7167	intron	PIK3CB
chr3	3168	3313	-	ONT3.6212.7167	CDS	PIK3CB
chr3	3313	3414	-	ONT3.6212.7167	intron	PIK3CB
chr3	3414	3537	-	ONT3.6212.7167	CDS	PIK3CB
chr3	3537	3643	-	ONT3.6212.7167	intron	PIK3CB
chr3	3643	3810	-	ONT3.6212.7167	CDS	PIK3CB
chr3	3810	4496	-	ONT3.6212.7167	intron	PIK3CB
chr3	4496	4574	-	ONT3.6212.7167	CDS	PIK3CB
chr3	4574	4676	-	ONT3.6212.7167	intron	PIK3CB
chr3	4676	4785	-	ONT3.6212.7167	CDS	PIK3CB
chr3	4785	4890	-	ONT3.6212.7167	intron	PIK3CB
chr3	4890	5068	-	ONT3.6212.7167	CDS	PIK3CB
chr3	5068	5172	-	ONT3.6212.7167	intron	PIK3CB
chr3	5172	5271	-	ONT3.6212.7167	CDS	PIK3CB
chr3	5271	5372	-	ONT3.6212.7167	intron	PIK3CB
chr3	5372	5515	-	ONT3.6212.7167	CDS	PIK3CB
chr3	5515	5618	-	ONT3.6212.7167	intron	PIK3CB
chr3	5618	5739	-	ONT3.6212.7167	CDS	PIK3CB
chr3	5739	5840	-	ONT3.6212.7167	intron	PIK3CB
chr3	5840	6028	-	ONT3.6212.7167	CDS	PIK3CB
chr3	6028	6131	-	ONT3.6212.7167	intron	PIK3CB
chr3	6131	6181	-	ONT3.6212.7167	CDS	PIK3CB
chr3	6181	6284	-	ONT3.6212.7167	intron	PIK3CB
chr3	6284	6414	-	ONT3.6212.7167	CDS	PIK3CB
chr3	6414	6516	-	ONT3.6212.7167	intron	PIK3CB
chr3	6516	6612	-	ONT3.6212.7167	CDS	PIK3CB
chr3	6612	6713	-	ONT3.6212.7167	intron	PIK3CB
chr3	6713	6964	-	ONT3.6212.7167	CDS	PIK3CB
chr3	6964	7852	-	ONT3.6212.7167	intron	PIK3CB
chr3	7852	7929	-	ONT3.6212.7167	CDS	PIK3CB
chr3	7929	8030	-	ONT3.6212.7167	intron	PIK3CB
chr3	8030	8131	-	ONT3.6212.7167	CDS	PIK3CB
chr3	8132	8180	-	ONT3.6212.7167	UTR	NA
chr3	1338	2695	-	ONT3.6212.7169	UTR	NA
chr3	2696	2830	-	ONT3.6212.7169	CDS	PIK3CB
chr3	2830	2931	-	ONT3.6212.7169	intron	PIK3CB
chr3	2931	3063	-	ONT3.6212.7169	CDS	PIK3CB
chr3	3063	3168	-	ONT3.6212.7169	intron	PIK3CB
chr3	3168	3313	-	ONT3.6212.7169	CDS	PIK3CB
chr3	3313	3414	-	ONT3.6212.7169	intron	PIK3CB
chr3	3414	3537	-	ONT3.6212.7169	CDS	PIK3CB
chr3	3537	3643	-	ONT3.6212.7169	intron	PIK3CB
chr3	3643	3810	-	ONT3.6212.7169	CDS	PIK3CB
chr3	3810	4496	-	ONT3.6212.7169	intron	PIK3CB
chr3	4496	4574	-	ONT3.6212.7169	CDS	PIK3CB
chr3	4574	4676	-	ONT3.6212.7169	intron	PIK3CB
chr3	4676	4785	-	ONT3.6212.7169	CDS	PIK3CB
chr3	4785	4890	-	ONT3.6212.7169	intron	PIK3CB
chr3	4890	5068	-	ONT3.6212.7169	CDS	PIK3CB
chr3	5068	5172	-	ONT3.6212.7169	intron	PIK3CB
chr3	5172	5271	-	ONT3.6212.7169	CDS	PIK3CB
chr3	5271	5372	-	ONT3.6212.7169	intron	PIK3CB
chr3	5372	5434	-	ONT3.6212.7169	CDS	PIK3CB
chr3	5434	5618	-	ONT3.6212.7169	intron	PIK3CB
chr3	5618	5739	-	ONT3.6212.7169	CDS	PIK3CB
chr3	5739	5840	-	ONT3.6212.7169	intron	PIK3CB
chr3	5840	5950	-	ONT3.6212.7169	CDS	PIK3CB
chr3	5951	5995	-	ONT3.6212.7169	UTR	NA
chr3	1335	2695	-	ONT3.6212.7170	UTR	NA
chr3	2696	2830	-	ONT3.6212.7170	CDS	PIK3CB
chr3	2830	2931	-	ONT3.6212.7170	intron	PIK3CB
chr3	2931	3063	-	ONT3.6212.7170	CDS	PIK3CB
chr3	3063	3168	-	ONT3.6212.7170	intron	PIK3CB
chr3	3168	3313	-	ONT3.6212.7170	CDS	PIK3CB
chr3	3313	3414	-	ONT3.6212.7170	intron	PIK3CB
chr3	3414	3537	-	ONT3.6212.7170	CDS	PIK3CB
chr3	3537	3643	-	ONT3.6212.7170	intron	PIK3CB
chr3	3643	3810	-	ONT3.6212.7170	CDS	PIK3CB
chr3	3810	4496	-	ONT3.6212.7170	intron	PIK3CB
chr3	4496	4574	-	ONT3.6212.7170	CDS	PIK3CB
chr3	4574	4676	-	ONT3.6212.7170	intron	PIK3CB
chr3	4676	4785	-	ONT3.6212.7170	CDS	PIK3CB
chr3	4785	4890	-	ONT3.6212.7170	intron	PIK3CB
chr3	4890	5068	-	ONT3.6212.7170	CDS	PIK3CB
chr3	5068	5172	-	ONT3.6212.7170	intron	PIK3CB
chr3	5172	5195	-	ONT3.6212.7170	CDS	PIK3CB
chr3	5196	5254	-	ONT3.6212.7170	UTR	NA
chr3	1332	2695	-	ONT3.6212.7171	UTR	NA
chr3	2696	2830	-	ONT3.6212.7171	CDS	PIK3CB
chr3	2830	2931	-	ONT3.6212.7171	intron	PIK3CB
chr3	2931	3063	-	ONT3.6212.7171	CDS	PIK3CB
chr3	3063	3168	-	ONT3.6212.7171	intron	PIK3CB
chr3	3168	3313	-	ONT3.6212.7171	CDS	PIK3CB
chr3	3313	3414	-	ONT3.6212.7171	intron	PIK3CB
chr3	3414	3537	-	ONT3.6212.7171	CDS	PIK3CB
chr3	3537	3643	-	ONT3.6212.7171	intron	PIK3CB
chr3	3643	3810	-	ONT3.6212.7171	CDS	PIK3CB
chr3	3810	4496	-	ONT3.6212.7171	intron	PIK3CB
chr3	4496	4574	-	ONT3.6212.7171	CDS	PIK3CB
chr3	4574	4676	-	ONT3.6212.7171	intron	PIK3CB
chr3	4676	4785	-	ONT3.6212.7171	CDS	PIK3CB
chr3	4785	4890	-	ONT3.6212.7171	intron	PIK3CB
chr3	4890	5068	-	ONT3.6212.7171	CDS	PIK3CB
chr3	5068	5172	-	ONT3.6212.7171	intron	PIK3CB
chr3	5172	5271	-	ONT3.6212.7171	CDS	PIK3CB
chr3	5271	5372	-	ONT3.6212.7171	intron	PIK3CB
chr3	5372	5515	-	ONT3.6212.7171	CDS	PIK3CB
chr3	5515	5618	-	ONT3.6212.7171	intron	PIK3CB
chr3	5618	5739	-	ONT3.6212.7171	CDS	PIK3CB
chr3	5739	5840	-	ONT3.6212.7171	intron	PIK3CB
chr3	5840	6028	-	ONT3.6212.7171	CDS	PIK3CB
chr3	6028	6284	-	ONT3.6212.7171	intron	PIK3CB
chr3	6284	6414	-	ONT3.6212.7171	CDS	PIK3CB
chr3	6414	6516	-	ONT3.6212.7171	intron	PIK3CB
chr3	6516	6612	-	ONT3.6212.7171	CDS	PIK3CB
chr3	6612	6713	-	ONT3.6212.7171	intron	PIK3CB
chr3	6713	6829	-	ONT3.6212.7171	CDS	PIK3CB
chr3	6830	6964	-	ONT3.6212.7171	UTR	NA
chr3	6964	7852	-	ONT3.6212.7171	intron	NA
chr3	7852	7921	-	ONT3.6212.7171	UTR	NA
chr3	1329	2695	-	ONT3.6212.7172	UTR	NA
chr3	2696	2830	-	ONT3.6212.7172	CDS	PIK3CB
chr3	2830	2931	-	ONT3.6212.7172	intron	PIK3CB
chr3	2931	3063	-	ONT3.6212.7172	CDS	PIK3CB
chr3	3063	3168	-	ONT3.6212.7172	intron	PIK3CB
chr3	3168	3313	-	ONT3.6212.7172	CDS	PIK3CB
chr3	3313	3414	-	ONT3.6212.7172	intron	PIK3CB
chr3	3414	3537	-	ONT3.6212.7172	CDS	PIK3CB
chr3	3537	3643	-	ONT3.6212.7172	intron	PIK3CB
chr3	3643	3810	-	ONT3.6212.7172	CDS	PIK3CB
