seqnames	start	end	strand	transcript_id	type	gene_id
chr2	4249	5417	-	ENST00000304031.8	UTR	NA
chr2	5418	5676	-	ENST00000304031.8	CDS	ENSG00000118960.13
chr2	5676	7498	-	ENST00000304031.8	intron	ENSG00000118960.13
chr2	7498	7633	-	ENST00000304031.8	CDS	ENSG00000118960.13
chr2	7633	7738	-	ENST00000304031.8	intron	ENSG00000118960.13
chr2	7738	7898	-	ENST00000304031.8	CDS	ENSG00000118960.13
chr2	7898	11720	-	ENST00000304031.8	intron	ENSG00000118960.13
chr2	11720	11936	-	ENST00000304031.8	CDS	ENSG00000118960.13
chr2	11936	13519	-	ENST00000304031.8	intron	ENSG00000118960.13
chr2	13519	13726	-	ENST00000304031.8	CDS	ENSG00000118960.13
chr2	13726	14289	-	ENST00000304031.8	intron	ENSG00000118960.13
chr2	14289	14454	-	ENST00000304031.8	CDS	ENSG00000118960.13
chr2	14454	15461	-	ENST00000304031.8	intron	ENSG00000118960.13
chr2	15461	15495	-	ENST00000304031.8	CDS	ENSG00000118960.13
chr2	15496	15527	-	ENST00000304031.8	UTR	NA
chr2	2	235	-	ONT2.1723.7914	UTR	NA
chr2	236	368	-	ONT2.1723.7914	CDS	HS1BP3
chr2	368	2989	-	ONT2.1723.7914	intron	HS1BP3
chr2	2989	3165	-	ONT2.1723.7914	CDS	HS1BP3
chr2	3165	7498	-	ONT2.1723.7914	intron	HS1BP3
chr2	7498	7633	-	ONT2.1723.7914	CDS	HS1BP3
chr2	7633	7738	-	ONT2.1723.7914	intron	HS1BP3
chr2	7738	7898	-	ONT2.1723.7914	CDS	HS1BP3
chr2	7898	11720	-	ONT2.1723.7914	intron	HS1BP3
chr2	11720	11936	-	ONT2.1723.7914	CDS	HS1BP3
chr2	11936	13519	-	ONT2.1723.7914	intron	HS1BP3
chr2	13519	13726	-	ONT2.1723.7914	CDS	HS1BP3
chr2	13726	14289	-	ONT2.1723.7914	intron	HS1BP3
chr2	14289	14454	-	ONT2.1723.7914	CDS	HS1BP3
chr2	14454	15461	-	ONT2.1723.7914	intron	HS1BP3
chr2	15461	15495	-	ONT2.1723.7914	CDS	HS1BP3
chr2	15496	15506	-	ONT2.1723.7914	UTR	NA
chr2	469	472	-	ONT2.1723.8049	UTR	NA
chr2	473	560	-	ONT2.1723.8049	CDS	HS1BP3
chr2	560	661	-	ONT2.1723.8049	intron	HS1BP3
chr2	661	726	-	ONT2.1723.8049	CDS	HS1BP3
chr2	726	2989	-	ONT2.1723.8049	intron	HS1BP3
chr2	2989	3165	-	ONT2.1723.8049	CDS	HS1BP3
chr2	3165	7498	-	ONT2.1723.8049	intron	HS1BP3
chr2	7498	7633	-	ONT2.1723.8049	CDS	HS1BP3
chr2	7633	7738	-	ONT2.1723.8049	intron	HS1BP3
chr2	7738	7898	-	ONT2.1723.8049	CDS	HS1BP3
chr2	7898	11720	-	ONT2.1723.8049	intron	HS1BP3
chr2	11720	11936	-	ONT2.1723.8049	CDS	HS1BP3
chr2	11936	13519	-	ONT2.1723.8049	intron	HS1BP3
chr2	13519	13726	-	ONT2.1723.8049	CDS	HS1BP3
chr2	13726	14289	-	ONT2.1723.8049	intron	HS1BP3
chr2	14289	14454	-	ONT2.1723.8049	CDS	HS1BP3
chr2	14454	15461	-	ONT2.1723.8049	intron	HS1BP3
chr2	15461	15495	-	ONT2.1723.8049	CDS	HS1BP3
chr2	15496	15501	-	ONT2.1723.8049	UTR	NA
chr2	469	560	-	ONT2.1723.8057	UTR	NA
chr2	560	661	-	ONT2.1723.8057	intron	NA
chr2	661	726	-	ONT2.1723.8057	UTR	NA
chr2	726	2989	-	ONT2.1723.8057	intron	NA
chr2	2989	3165	-	ONT2.1723.8057	UTR	NA
chr2	3165	7498	-	ONT2.1723.8057	intron	NA
chr2	7498	7633	-	ONT2.1723.8057	UTR	NA
chr2	7633	7738	-	ONT2.1723.8057	intron	NA
chr2	7738	7898	-	ONT2.1723.8057	UTR	NA
chr2	7898	11720	-	ONT2.1723.8057	intron	NA
chr2	11720	11786	-	ONT2.1723.8057	UTR	NA
chr2	11787	11936	-	ONT2.1723.8057	CDS	HS1BP3
chr2	11936	14289	-	ONT2.1723.8057	intron	HS1BP3
chr2	14289	14454	-	ONT2.1723.8057	CDS	HS1BP3
chr2	14454	15461	-	ONT2.1723.8057	intron	HS1BP3
chr2	15461	15495	-	ONT2.1723.8057	CDS	HS1BP3
chr2	15496	15513	-	ONT2.1723.8057	UTR	NA
chr2	469	472	-	ONT2.1723.8058	UTR	NA
chr2	473	560	-	ONT2.1723.8058	CDS	HS1BP3
chr2	560	661	-	ONT2.1723.8058	intron	HS1BP3
chr2	661	726	-	ONT2.1723.8058	CDS	HS1BP3
chr2	726	2989	-	ONT2.1723.8058	intron	HS1BP3
chr2	2989	3165	-	ONT2.1723.8058	CDS	HS1BP3
chr2	3165	7498	-	ONT2.1723.8058	intron	HS1BP3
chr2	7498	7633	-	ONT2.1723.8058	CDS	HS1BP3
chr2	7633	7738	-	ONT2.1723.8058	intron	HS1BP3
chr2	7738	7898	-	ONT2.1723.8058	CDS	HS1BP3
chr2	7898	11720	-	ONT2.1723.8058	intron	HS1BP3
chr2	11720	11727	-	ONT2.1723.8058	CDS	HS1BP3
chr2	11728	11848	-	ONT2.1723.8058	UTR	NA
chr2	827	2258	-	ONT2.1723.8113	UTR	NA
chr2	2259	2349	-	ONT2.1723.8113	CDS	HS1BP3
chr2	2349	2989	-	ONT2.1723.8113	intron	HS1BP3
chr2	2989	3165	-	ONT2.1723.8113	CDS	HS1BP3
chr2	3165	7498	-	ONT2.1723.8113	intron	HS1BP3
chr2	7498	7633	-	ONT2.1723.8113	CDS	HS1BP3
chr2	7633	7738	-	ONT2.1723.8113	intron	HS1BP3
chr2	7738	7898	-	ONT2.1723.8113	CDS	HS1BP3
chr2	7898	11720	-	ONT2.1723.8113	intron	HS1BP3
chr2	11720	11936	-	ONT2.1723.8113	CDS	HS1BP3
chr2	11936	13519	-	ONT2.1723.8113	intron	HS1BP3
chr2	13519	13726	-	ONT2.1723.8113	CDS	HS1BP3
chr2	13726	14289	-	ONT2.1723.8113	intron	HS1BP3
chr2	14289	14454	-	ONT2.1723.8113	CDS	HS1BP3
chr2	14454	15461	-	ONT2.1723.8113	intron	HS1BP3
chr2	15461	15495	-	ONT2.1723.8113	CDS	HS1BP3
chr2	15496	15527	-	ONT2.1723.8113	UTR	NA
chr2	1097	2888	-	ONT2.1723.8123	UTR	NA
chr2	2888	2989	-	ONT2.1723.8123	intron	NA
chr2	2989	3165	-	ONT2.1723.8123	UTR	NA
chr2	3165	7498	-	ONT2.1723.8123	intron	NA
chr2	7498	7633	-	ONT2.1723.8123	UTR	NA
chr2	7633	7738	-	ONT2.1723.8123	intron	NA
chr2	7738	7898	-	ONT2.1723.8123	UTR	NA
chr2	7898	11720	-	ONT2.1723.8123	intron	NA
chr2	11720	11786	-	ONT2.1723.8123	UTR	NA
chr2	11787	11936	-	ONT2.1723.8123	CDS	HS1BP3
chr2	11936	14289	-	ONT2.1723.8123	intron	HS1BP3
chr2	14289	14454	-	ONT2.1723.8123	CDS	HS1BP3
chr2	14454	15461	-	ONT2.1723.8123	intron	HS1BP3
chr2	15461	15495	-	ONT2.1723.8123	CDS	HS1BP3
chr2	15496	15500	-	ONT2.1723.8123	UTR	NA
