seqnames	start	end	strand	transcript_id	type	gene_id
chr11	35	3636	-	ENST00000448775.4	UTR	NA
chr11	3637	3937	-	ENST00000448775.4	CDS	ENSG00000166250.12
chr11	3937	4038	-	ENST00000448775.4	intron	ENSG00000166250.12
chr11	4038	4179	-	ENST00000448775.4	CDS	ENSG00000166250.12
chr11	4179	5125	-	ENST00000448775.4	intron	ENSG00000166250.12
chr11	5125	5247	-	ENST00000448775.4	CDS	ENSG00000166250.12
chr11	5247	5348	-	ENST00000448775.4	intron	ENSG00000166250.12
chr11	5348	5515	-	ENST00000448775.4	CDS	ENSG00000166250.12
chr11	5515	5616	-	ENST00000448775.4	intron	ENSG00000166250.12
chr11	5616	5817	-	ENST00000448775.4	CDS	ENSG00000166250.12
chr11	5817	5918	-	ENST00000448775.4	intron	ENSG00000166250.12
chr11	5918	6075	-	ENST00000448775.4	CDS	ENSG00000166250.12
chr11	6075	6176	-	ENST00000448775.4	intron	ENSG00000166250.12
chr11	6176	6206	-	ENST00000448775.4	CDS	ENSG00000166250.12
chr11	6207	6511	-	ENST00000448775.4	UTR	NA
chr11	2	3639	-	ONT11.5641.10819	UTR	NA
chr11	3640	3937	-	ONT11.5641.10819	CDS	CLMP
chr11	3937	4038	-	ONT11.5641.10819	intron	CLMP
chr11	4038	4179	-	ONT11.5641.10819	CDS	CLMP
chr11	4179	5125	-	ONT11.5641.10819	intron	CLMP
chr11	5125	5247	-	ONT11.5641.10819	CDS	CLMP
chr11	5247	5348	-	ONT11.5641.10819	intron	CLMP
chr11	5348	5515	-	ONT11.5641.10819	CDS	CLMP
chr11	5515	5616	-	ONT11.5641.10819	intron	CLMP
chr11	5616	5817	-	ONT11.5641.10819	CDS	CLMP
chr11	5817	5918	-	ONT11.5641.10819	intron	CLMP
chr11	5918	6075	-	ONT11.5641.10819	CDS	CLMP
chr11	6075	6176	-	ONT11.5641.10819	intron	CLMP
chr11	6176	6206	-	ONT11.5641.10819	CDS	CLMP
chr11	6207	6315	-	ONT11.5641.10819	UTR	NA
chr11	35	1859	-	ONT11.5641.10829	UTR	NA
chr11	1859	2560	-	ONT11.5641.10829	intron	NA
chr11	2560	3639	-	ONT11.5641.10829	UTR	NA
chr11	3640	3937	-	ONT11.5641.10829	CDS	CLMP
chr11	3937	4038	-	ONT11.5641.10829	intron	CLMP
chr11	4038	4179	-	ONT11.5641.10829	CDS	CLMP
chr11	4179	5125	-	ONT11.5641.10829	intron	CLMP
chr11	5125	5209	-	ONT11.5641.10829	CDS	CLMP
chr11	5210	5247	-	ONT11.5641.10829	UTR	NA
chr11	5247	5348	-	ONT11.5641.10829	intron	NA
chr11	5348	5515	-	ONT11.5641.10829	UTR	NA
chr11	5515	5616	-	ONT11.5641.10829	intron	NA
chr11	5616	5743	-	ONT11.5641.10829	UTR	NA
chr11	11	3639	-	ONT11.5641.10854	UTR	NA
chr11	3640	3937	-	ONT11.5641.10854	CDS	CLMP
chr11	3937	4038	-	ONT11.5641.10854	intron	CLMP
chr11	4038	4179	-	ONT11.5641.10854	CDS	CLMP
chr11	4179	5125	-	ONT11.5641.10854	intron	CLMP
chr11	5125	5209	-	ONT11.5641.10854	CDS	CLMP
chr11	5210	5247	-	ONT11.5641.10854	UTR	NA
chr11	5247	5348	-	ONT11.5641.10854	intron	NA
chr11	5348	5515	-	ONT11.5641.10854	UTR	NA
chr11	5515	5616	-	ONT11.5641.10854	intron	NA
chr11	5616	5817	-	ONT11.5641.10854	UTR	NA
chr11	5817	5918	-	ONT11.5641.10854	intron	NA
chr11	5918	6065	-	ONT11.5641.10854	UTR	NA
chr11	11	3639	-	ONT11.5641.10868	UTR	NA
chr11	3640	3937	-	ONT11.5641.10868	CDS	CLMP
chr11	3937	4038	-	ONT11.5641.10868	intron	CLMP
chr11	4038	4179	-	ONT11.5641.10868	CDS	CLMP
chr11	4179	5125	-	ONT11.5641.10868	intron	CLMP
chr11	5125	5209	-	ONT11.5641.10868	CDS	CLMP
chr11	5210	5247	-	ONT11.5641.10868	UTR	NA
chr11	5247	5348	-	ONT11.5641.10868	intron	NA
chr11	5348	5478	-	ONT11.5641.10868	UTR	NA
chr11	38	3639	-	ONT11.5641.10871	UTR	NA
chr11	3640	3937	-	ONT11.5641.10871	CDS	CLMP
chr11	3937	4038	-	ONT11.5641.10871	intron	CLMP
chr11	4038	4179	-	ONT11.5641.10871	CDS	CLMP
chr11	4179	5125	-	ONT11.5641.10871	intron	CLMP
chr11	5125	5209	-	ONT11.5641.10871	CDS	CLMP
chr11	5210	5247	-	ONT11.5641.10871	UTR	NA
chr11	5247	5348	-	ONT11.5641.10871	intron	NA
chr11	5348	5515	-	ONT11.5641.10871	UTR	NA
chr11	5515	5616	-	ONT11.5641.10871	intron	NA
chr11	5616	5763	-	ONT11.5641.10871	UTR	NA
chr11	48	725	-	ONT11.5641.10887	UTR	NA
chr11	726	834	-	ONT11.5641.10887	CDS	CLMP
chr11	834	4038	-	ONT11.5641.10887	intron	CLMP
chr11	4038	4179	-	ONT11.5641.10887	CDS	CLMP
chr11	4179	5125	-	ONT11.5641.10887	intron	CLMP
chr11	5125	5247	-	ONT11.5641.10887	CDS	CLMP
chr11	5247	5348	-	ONT11.5641.10887	intron	CLMP
chr11	5348	5515	-	ONT11.5641.10887	CDS	CLMP
chr11	5515	5616	-	ONT11.5641.10887	intron	CLMP
chr11	5616	5817	-	ONT11.5641.10887	CDS	CLMP
chr11	5817	5918	-	ONT11.5641.10887	intron	CLMP
chr11	5918	6075	-	ONT11.5641.10887	CDS	CLMP
chr11	6075	6176	-	ONT11.5641.10887	intron	CLMP
chr11	6176	6206	-	ONT11.5641.10887	CDS	CLMP
chr11	6207	6510	-	ONT11.5641.10887	UTR	NA
chr11	16	1539	-	ONT11.5641.10891	UTR	NA
chr11	1539	3278	-	ONT11.5641.10891	intron	NA
chr11	3278	3639	-	ONT11.5641.10891	UTR	NA
chr11	3640	3937	-	ONT11.5641.10891	CDS	CLMP
chr11	3937	4038	-	ONT11.5641.10891	intron	CLMP
chr11	4038	4179	-	ONT11.5641.10891	CDS	CLMP
chr11	4179	5125	-	ONT11.5641.10891	intron	CLMP
chr11	5125	5247	-	ONT11.5641.10891	CDS	CLMP
chr11	5247	5348	-	ONT11.5641.10891	intron	CLMP
chr11	5348	5515	-	ONT11.5641.10891	CDS	CLMP
chr11	5515	5616	-	ONT11.5641.10891	intron	CLMP
chr11	5616	5817	-	ONT11.5641.10891	CDS	CLMP
chr11	5817	5918	-	ONT11.5641.10891	intron	CLMP
chr11	5918	6075	-	ONT11.5641.10891	CDS	CLMP
chr11	6075	6176	-	ONT11.5641.10891	intron	CLMP
chr11	6176	6206	-	ONT11.5641.10891	CDS	CLMP
chr11	6207	6494	-	ONT11.5641.10891	UTR	NA
chr11	35	3639	-	ONT11.5641.10942	UTR	NA
chr11	3640	3937	-	ONT11.5641.10942	CDS	CLMP
chr11	3937	4038	-	ONT11.5641.10942	intron	CLMP
chr11	4038	4179	-	ONT11.5641.10942	CDS	CLMP
chr11	4179	5125	-	ONT11.5641.10942	intron	CLMP
chr11	5125	5209	-	ONT11.5641.10942	CDS	CLMP
chr11	5210	5247	-	ONT11.5641.10942	UTR	NA
chr11	5247	5348	-	ONT11.5641.10942	intron	NA
chr11	5348	5371	-	ONT11.5641.10942	UTR	NA
chr11	33	3937	-	ONT11.5641.10948	UTR	NA
chr11	3937	4038	-	ONT11.5641.10948	intron	NA
chr11	4038	4186	-	ONT11.5641.10948	UTR	NA
chr11	4186	5125	-	ONT11.5641.10948	intron	NA
chr11	5125	5125	-	ONT11.5641.10948	UTR	NA
chr11	5126	5247	-	ONT11.5641.10948	CDS	CLMP
chr11	5247	5348	-	ONT11.5641.10948	intron	CLMP
chr11	5348	5515	-	ONT11.5641.10948	CDS	CLMP
chr11	5515	5616	-	ONT11.5641.10948	intron	CLMP
chr11	5616	5817	-	ONT11.5641.10948	CDS	CLMP
chr11	5817	5918	-	ONT11.5641.10948	intron	CLMP
chr11	5918	6075	-	ONT11.5641.10948	CDS	CLMP
chr11	6075	6176	-	ONT11.5641.10948	intron	CLMP
chr11	6176	6206	-	ONT11.5641.10948	CDS	CLMP
chr11	6207	6506	-	ONT11.5641.10948	UTR	NA
chr11	35	3639	-	ONT11.5641.10958	UTR	NA
chr11	3640	3937	-	ONT11.5641.10958	CDS	CLMP
chr11	3937	4038	-	ONT11.5641.10958	intron	CLMP
chr11	4038	4179	-	ONT11.5641.10958	CDS	CLMP
chr11	4179	5125	-	ONT11.5641.10958	intron	CLMP
chr11	5125	5247	-	ONT11.5641.10958	CDS	CLMP
chr11	5247	5348	-	ONT11.5641.10958	intron	CLMP
chr11	5348	5515	-	ONT11.5641.10958	CDS	CLMP
chr11	5515	5616	-	ONT11.5641.10958	intron	CLMP
chr11	5616	5817	-	ONT11.5641.10958	CDS	CLMP
chr11	5817	5918	-	ONT11.5641.10958	intron	CLMP
chr11	5918	6075	-	ONT11.5641.10958	CDS	CLMP
chr11	6075	6176	-	ONT11.5641.10958	intron	CLMP
chr11	6176	6206	-	ONT11.5641.10958	CDS	CLMP
chr11	6207	6507	-	ONT11.5641.10958	UTR	NA
